State,City,Population,Total law enforcement employees,Total officers,Total civilians
,Glencoe,5644.0,11.0,10.0,1.0
,Glenwood,2553.0,4.0,4.0,0.0
,Golden Valley,19865.0,36.0,27.0,9.0
,Goodview,3394.0,4.0,4.0,0.0
,Grand Rapids,8297.0,21.0,17.0,4.0
,Granite Falls,2961.0,5.0,5.0,0.0
,Hallock,1051.0,1.0,1.0,0.0
,Hastings,21839.0,32.0,27.0,5.0
,Hermantown,9247.0,15.0,13.0,2.0
,Hibbing,16198.0,32.0,29.0,3.0
,Hokah,582.0,1.0,1.0,0.0
,Hopkins,16613.0,36.0,23.0,13.0
,Houston,991.0,1.0,1.0,0.0
,Hoyt Lakes,1957.0,5.0,5.0,0.0
,Hutchinson,14050.0,34.0,23.0,11.0
,International Falls,6108.0,14.0,13.0,1.0
,Inver Grove Heights,34060.0,42.0,34.0,8.0
,Jackson,3429.0,6.0,5.0,1.0
,Janesville,2201.0,3.0,3.0,0.0
,Jordan,5550.0,10.0,8.0,2.0
,Kasson,5737.0,9.0,8.0,1.0
,Kimball,691.0,3.0,3.0,0.0
,La Crescent,5106.0,8.0,7.0,1.0
,Lake City,5409.0,11.0,10.0,1.0
,Lake Crystal,2562.0,4.0,4.0,0.0
,Lakefield,1687.0,3.0,3.0,0.0
,Lakes Area,8333.0,15.0,13.0,2.0
,Lakeville,54565.0,62.0,52.0,10.0
,Lester Prairie,1737.0,3.0,3.0,0.0
,Le Sueur,4331.0,8.0,7.0,1.0
,Lewiston,1483.0,2.0,2.0,0.0
,Lino Lakes,20334.0,28.0,25.0,3.0
,Litchfield,6655.0,10.0,9.0,1.0
,Little Falls,8162.0,13.0,11.0,2.0
,Long Prairie,2877.0,6.0,6.0,0.0
,Madison,1605.0,3.0,3.0,0.0
,Mankato,35331.0,62.0,49.0,13.0
,Maple Grove,62145.0,76.0,63.0,13.0
,Mapleton,1633.0,3.0,3.0,0.0
,Maplewood,35444.0,60.0,54.0,6.0
,Marshall,12410.0,24.0,21.0,3.0
,Medina,5033.0,11.0,10.0,1.0
,Melrose,3146.0,6.0,5.0,1.0
,Mendota Heights,11318.0,19.0,17.0,2.0
,Milaca,3073.0,7.0,6.0,1.0
,Minneapolis,371240.0,1084.0,848.0,236.0
,Minnetonka,49751.0,74.0,55.0,19.0
,Minnetrista,8350.0,14.0,11.0,3.0
,Montevideo,5305.0,11.0,10.0,1.0
,Montgomery,3308.0,7.0,6.0,1.0
,Moorhead,35052.0,62.0,49.0,13.0
,Moose Lake,2622.0,4.0,4.0,0.0
