Offense charged,"Total all
ages","Ages under
15","Ages
under 18",Ages 18 and over,"Under
10",10-12,13-14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,"65 and
over",,
Property crime3,632834.0,27682.0,92134.0,540700.0,601.0,6175.0,20906.0,18583.0,21963.0,23906.0,26224.0,22983.0,20234.0,18982.0,18845.0,19352.0,19967.0,99993.0,83349.0,65742.0,42389.0,38087.0,30504.0,19954.0,8711.0,5384.0,,
Property crime percent distribution1,100.0,4.4,14.6,85.4,0.1,1.0,3.3,2.9,3.5,3.8,4.1,3.6,3.2,3.0,3.0,3.1,3.2,15.8,13.2,10.4,6.7,6.0,4.8,3.2,1.4,0.9,,
Other assaults,594132.0,23816.0,60430.0,533702.0,780.0,7055.0,15981.0,11278.0,12724.0,12612.0,12377.0,13173.0,14224.0,16634.0,17742.0,18939.0,19721.0,98707.0,84201.0,70760.0,49072.0,41296.0,33570.0,22944.0,11319.0,9023.0,,
Forgery and counterfeiting,28529.0,105.0,748.0,27781.0,1.0,22.0,82.0,110.0,212.0,321.0,854.0,1206.0,1266.0,938.0,1014.0,973.0,1044.0,5260.0,4626.0,3525.0,2302.0,1924.0,1374.0,861.0,397.0,217.0,,
Fraud,60639.0,487.0,2496.0,58143.0,6.0,68.0,413.0,445.0,670.0,894.0,1293.0,1715.0,1856.0,1750.0,1991.0,1955.0,2078.0,10868.0,9593.0,7839.0,5255.0,4430.0,3378.0,2231.0,1152.0,759.0,,
Embezzlement,6381.0,33.0,284.0,6097.0,0.0,7.0,26.0,43.0,81.0,127.0,348.0,345.0,344.0,303.0,288.0,271.0,215.0,1153.0,809.0,635.0,435.0,385.0,266.0,155.0,91.0,54.0,,
"Stolen property; buying, receiving, possessing",60443.0,1377.0,6928.0,53515.0,7.0,185.0,1185.0,1436.0,1934.0,2181.0,2797.0,2472.0,2275.0,2099.0,2138.0,2158.0,2095.0,10846.0,8741.0,6810.0,4154.0,3031.0,2111.0,1136.0,430.0,222.0,,
Vandalism,114670.0,9704.0,23673.0,90997.0,414.0,2780.0,6510.0,4349.0,4797.0,4823.0,4437.0,4198.0,3924.0,3996.0,3968.0,4044.0,3884.0,17875.0,13673.0,10354.0,6478.0,5156.0,4023.0,2663.0,1380.0,944.0,,
"Weapons; carrying, possessing, etc.",117151.0,3665.0,12878.0,104273.0,103.0,941.0,2621.0,2224.0,3054.0,3935.0,4952.0,5047.0,4797.0,5354.0,5279.0,5323.0,5112.0,21943.0,15288.0,11104.0,6702.0,4763.0,3786.0,2525.0,1265.0,1033.0,,
Prostitution and commercialized vice,11124.0,12.0,84.0,11040.0,0.0,3.0,9.0,10.0,29.0,33.0,112.0,178.0,221.0,231.0,290.0,286.0,321.0,1852.0,1756.0,1388.0,1173.0,1008.0,868.0,597.0,409.0,350.0,,
Sex offenses (except rape and prostitution),35019.0,2919.0,5877.0,29142.0,106.0,735.0,2078.0,987.0,935.0,1036.0,1018.0,1006.0,879.0,844.0,767.0,787.0,753.0,3839.0,3608.0,3471.0,2660.0,2504.0,2293.0,1936.0,1326.0,1451.0,,
Drug abuse violations,966121.0,7867.0,56440.0,909681.0,58.0,1142.0,6667.0,8357.0,15040.0,25176.0,43903.0,46241.0,43471.0,40473.0,40364.0,39817.0,39149.0,178705.0,134962.0,103267.0,64567.0,51623.0,39969.0,26382.0,11546.0,5242.0,,
Gambling,1977.0,17.0,174.0,1803.0,0.0,2.0,15.0,26.0,53.0,78.0,101.0,105.0,104.0,81.0,83.0,69.0,84.0,318.0,166.0,165.0,139.0,112.0,104.0,71.0,52.0,49.0,,
Offenses against the family and children,50652.0,600.0,1829.0,48823.0,43.0,148.0,409.0,385.0,390.0,454.0,592.0,574.0,628.0,845.0,911.0,1103.0,1322.0,8559.0,9360.0,8790.0,6010.0,4525.0,2994.0,1575.0,614.0,421.0,,
Driving under the influence,569148.0,69.0,3538.0,565610.0,14.0,5.0,50.0,172.0,812.0,2485.0,7147.0,10580.0,12853.0,20131.0,21347.0,22337.0,22902.0,105801.0,82054.0,66171.0,48766.0,43835.0,38224.0,31135.0,17989.0,14338.0,,
Liquor laws,111935.0,1508.0,15375.0,96560.0,14.0,141.0,1353.0,2194.0,4209.0,7464.0,15154.0,16695.0,14289.0,2744.0,2074.0,1649.0,1587.0,6772.0,5935.0,5465.0,4448.0,5092.0,5518.0,4924.0,2667.0,1547.0,,
Drunkenness,229760.0,277.0,2369.0,227391.0,10.0,21.0,246.0,322.0,593.0,1177.0,3404.0,4421.0,4818.0,7411.0,7168.0,7010.0,6977.0,33829.0,30257.0,26767.0,20913.0,22323.0,21760.0,17125.0,8362.0,4846.0,,
Disorderly conduct,194953.0,12046.0,31203.0,163750.0,305.0,3320.0,8421.0,6122.0,6620.0,6415.0,5991.0,5552.0,5386.0,7001.0,6621.0,6038.0,6017.0,28011.0,22603.0,18650.0,12849.0,12009.0,11003.0,8442.0,4395.0,3182.0,,
Vagrancy,14071.0,118.0,452.0,13619.0,1.0,14.0,103.0,88.0,128.0,118.0,234.0,243.0,247.0,261.0,275.0,308.0,346.0,1692.0,1611.0,1697.0,1321.0,1450.0,1453.0,1416.0,689.0,376.0,,
All other offenses (except traffic),1876286.0,20181.0,83213.0,1793073.0,566.0,3937.0,15678.0,15442.0,21093.0,26497.0,39513.0,49220.0,53476.0,58286.0,60638.0,64054.0,66527.0,336733.0,283792.0,233030.0,158374.0,135913.0,111940.0,78396.0,38420.0,24761.0,,
Suspicion,518.0,14.0,51.0,467.0,0.0,6.0,8.0,13.0,6.0,18.0,15.0,15.0,13.0,10.0,6.0,23.0,12.0,70.0,70.0,74.0,43.0,36.0,28.0,27.0,10.0,15.0,,
Curfew and loitering law violations,16628.0,4794.0,16628.0,-,95.0,943.0,3756.0,3847.0,4442.0,3545.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
