State,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
,Canyon Lake,11544.0,23.0,0.0,1.0,3.0,19.0,170.0,56.0,82.0,32.0,0.0
,Capitola,9432.0,85.0,0.0,9.0,13.0,63.0,811.0,104.0,680.0,27.0,5.0
,Carlsbad,95056.0,318.0,2.0,13.0,88.0,215.0,2448.0,528.0,1684.0,236.0,10.0
,Carmel,3905.0,9.0,0.0,0.0,3.0,6.0,158.0,25.0,122.0,11.0,0.0
,Carpinteria,13392.0,28.0,0.0,4.0,7.0,17.0,227.0,52.0,165.0,10.0,2.0
,Carson,94359.0,684.0,16.0,10.0,220.0,438.0,2605.0,429.0,1593.0,583.0,37.0
,Cathedral City,53953.0,204.0,4.0,18.0,49.0,133.0,1787.0,501.0,906.0,380.0,1.0
,Ceres,43427.0,192.0,3.0,7.0,61.0,121.0,2055.0,374.0,1190.0,491.0,
,Cerritos,52462.0,138.0,0.0,4.0,78.0,56.0,1880.0,333.0,1242.0,305.0,13.0
,Chico,74288.0,385.0,3.0,59.0,107.0,216.0,2454.0,729.0,1450.0,275.0,58.0
,Chino,80699.0,232.0,0.0,7.0,106.0,119.0,2500.0,594.0,1568.0,338.0,14.0
,Chino Hills,76484.0,74.0,1.0,3.0,25.0,45.0,1111.0,279.0,706.0,126.0,8.0
,Chowchilla,18772.0,21.0,2.0,4.0,3.0,12.0,324.0,112.0,194.0,18.0,3.0
,Chula Vista,218718.0,921.0,8.0,57.0,396.0,460.0,7279.0,1093.0,3790.0,2396.0,28.0
,City of Angels,3949.0,20.0,0.0,1.0,1.0,18.0,74.0,25.0,45.0,4.0,3.0
,Claremont,35250.0,87.0,0.0,11.0,41.0,35.0,975.0,269.0,639.0,67.0,9.0
,Clayton,11252.0,9.0,0.0,0.0,6.0,3.0,165.0,37.0,120.0,8.0,0.0
,Clearlake,15133.0,67.0,2.0,9.0,7.0,49.0,654.0,211.0,345.0,98.0,7.0
,Cloverdale,8319.0,28.0,0.0,1.0,5.0,22.0,179.0,28.0,135.0,16.0,1.0
,Clovis,92592.0,133.0,0.0,23.0,48.0,62.0,2843.0,578.0,1964.0,301.0,16.0
,Coachella,38604.0,302.0,2.0,2.0,73.0,225.0,1560.0,380.0,750.0,430.0,8.0
,Coalinga,17801.0,93.0,0.0,4.0,10.0,79.0,498.0,119.0,342.0,37.0,
,Colma,1436.0,14.0,0.0,1.0,5.0,8.0,373.0,5.0,343.0,25.0,1.0
,Colton,51924.0,245.0,9.0,9.0,116.0,111.0,1929.0,498.0,983.0,448.0,5.0
,Colusa,5901.0,14.0,0.0,0.0,5.0,9.0,164.0,63.0,90.0,11.0,0.0
,Commerce,13672.0,149.0,0.0,5.0,67.0,77.0,1137.0,181.0,588.0,368.0,9.0
,Compton,95990.0,1623.0,37.0,42.0,466.0,1078.0,2805.0,636.0,1034.0,1135.0,82.0
,Concord,122202.0,492.0,3.0,13.0,270.0,206.0,4998.0,816.0,2970.0,1212.0,23.0
,Corcoran,23715.0,45.0,0.0,4.0,5.0,36.0,216.0,65.0,119.0,32.0,4.0
,Corning,7348.0,45.0,0.0,4.0,3.0,38.0,265.0,71.0,170.0,24.0,6.0
,Corona,153518.0,340.0,5.0,28.0,187.0,120.0,4022.0,670.0,2659.0,693.0,21.0
,Coronado,26888.0,26.0,1.0,6.0,10.0,9.0,535.0,63.0,378.0,94.0,4.0
,Costa Mesa,109835.0,258.0,0.0,39.0,77.0,142.0,3336.0,509.0,2426.0,401.0,9.0
,Cotati,7272.0,34.0,0.0,0.0,5.0,29.0,154.0,45.0,90.0,19.0,2.0
,Covina,47961.0,216.0,6.0,12.0,98.0,100.0,1845.0,408.0,1241.0,196.0,18.0
,Crescent City,7909.0,29.0,2.0,5.0,4.0,18.0,233.0,67.0,144.0,22.0,1.0
,Cudahy,24953.0,143.0,4.0,9.0,61.0,69.0,558.0,79.0,280.0,199.0,1.0
,Culver City,39474.0,181.0,2.0,6.0,135.0,38.0,1459.0,214.0,1102.0,143.0,1.0
,Cupertino,53002.0,53.0,0.0,7.0,12.0,34.0,837.0,178.0,618.0,41.0,22.0
,Cypress,47741.0,96.0,1.0,5.0,38.0,52.0,919.0,206.0,569.0,144.0,8.0
,Daly City,100632.0,293.0,0.0,15.0,186.0,92.0,2111.0,291.0,1410.0,410.0,44.0
,Dana Point,36051.0,47.0,0.0,3.0,14.0,30.0,552.0,88.0,425.0,39.0,5.0
,Danville,41503.0,22.0,1.0,3.0,7.0,11.0,643.0,80.0,509.0,54.0,1.0
,Davis,61238.0,169.0,0.0,21.0,57.0,91.0,2121.0,579.0,1436.0,106.0,26.0
,Delano,52051.0,282.0,5.0,9.0,42.0,226.0,1863.0,669.0,650.0,544.0,
,Del Mar,4365.0,18.0,0.0,2.0,5.0,11.0,217.0,46.0,134.0,37.0,1.0
,Del Rey Oaks,1545.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,19.0,3.0,0.0
,Desert Hot Springs,23890.0,276.0,4.0,16.0,61.0,195.0,1718.0,637.0,655.0,426.0,0.0
,Diamond Bar,57954.0,133.0,3.0,9.0,55.0,66.0,1058.0,362.0,602.0,94.0,6.0
,Dinuba,19926.0,132.0,1.0,6.0,29.0,96.0,949.0,272.0,503.0,174.0,9.0
,Dixon,17883.0,73.0,1.0,9.0,18.0,45.0,820.0,114.0,624.0,82.0,4.0
,Dorris,851.0,5.0,0.0,0.0,0.0,5.0,11.0,5.0,6.0,0.0,0.0
,Dos Palos,5000.0,35.0,0.0,3.0,0.0,32.0,156.0,44.0,93.0,19.0,0.0
,Downey,109642.0,516.0,3.0,17.0,289.0,207.0,3896.0,669.0,2175.0,1052.0,13.0
,Duarte,22255.0,84.0,1.0,4.0,29.0,50.0,523.0,120.0,316.0,87.0,4.0
,Dublin,43751.0,76.0,0.0,6.0,18.0,52.0,756.0,117.0,543.0,96.0,7.0
,Dunsmuir,1824.0,9.0,0.0,3.0,0.0,6.0,26.0,5.0,19.0,2.0,0.0
,East Palo Alto,33210.0,261.0,7.0,20.0,66.0,168.0,688.0,263.0,202.0,223.0,1.0
,El Cajon,91302.0,494.0,4.0,21.0,184.0,285.0,3952.0,584.0,2127.0,1241.0,14.0
,El Centro,40957.0,266.0,3.0,11.0,31.0,221.0,2072.0,710.0,1115.0,247.0,
