State Agencies/Other Agencies,Agency,Unit/Office,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
,,Lexington County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Marion County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Marlboro County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,McCormick County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Newberry County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Oconee County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Orangeburg County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Pickens County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Richland County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Saluda County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Spartanburg County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Sumter County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Union County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Williamsburg County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,York County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Employment Security Commission,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,Forestry Commission:,Abbeville County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Aiken County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
,,Allendale County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
,,Anderson County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
,,Bamberg County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
,,Barnwell County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
,,Beaufort County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
,,Berkeley County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
,,Calhoun County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Charleston County,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,14.0
,,Cherokee County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Chester County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Chesterfield County,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,16.0
,,Clarendon County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0
,,Colleton County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
,,Darlington County,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
,,Dillon County,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
,,Dorchester County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
,,Edgefield County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Fairfield County,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
,,Florence County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
,,Georgetown County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Greenville County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
,,Greenwood County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Hampton County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
,,Horry County,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,18.0
,,Jasper County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
,,Kershaw County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
,,Lancaster County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,,Laurens County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Lee County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Lexington County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
,,Marion County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,Marlboro County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
,,McCormick County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Newberry County,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
,,Oconee County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
,,Orangeburg County,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,26.0
,,Pickens County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
,,Richland County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
,,Saluda County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Spartanburg County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,Sumter County,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0
,,Union County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Williamsburg County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,111.0
,,York County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Highway Patrol:,Abbeville County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Aiken County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Allendale County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Anderson County,1.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,5.0,0.0
,,Bamberg County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Barnwell County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Beaufort County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Berkeley County,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,,Calhoun County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Charleston County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Cherokee County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Chester County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Chesterfield County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Clarendon County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Colleton County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Darlington County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Dillon County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Dorchester County,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
,,Edgefield County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Fairfield County,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
,,Florence County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Georgetown County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
,,Greenville County,4.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0
,,Greenwood County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Hampton County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Horry County,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
