Age,Total,,Sex Male,Female,Unknown,Race White,Black,IND,ASN,Other,Unknown,,Age,Total,TOTAL,Sex Male,Female,Unknown,Race White,Black,Other,Unknown
4,47.0,47.0,24.0,23.0,,21.0,24.0,,1.0,1.0,1.0,,30 to 34,1552.0,1552.0,1236.0,315.0,1.0,693.0,801.0,47.0,11.0
5,24.0,24.0,13.0,11.0,,15.0,9.0,,0.0,0.0,,,35 to 39,1228.0,1228.0,929.0,298.0,1.0,621.0,561.0,33.0,13.0
6,17.0,17.0,8.0,9.0,,11.0,6.0,,0.0,0.0,,,40 to 44,1147.0,1147.0,813.0,334.0,0.0,630.0,479.0,31.0,7.0
7,20.0,20.0,10.0,10.0,,11.0,9.0,,0.0,0.0,,,45 to 49,920.0,920.0,647.0,272.0,1.0,538.0,347.0,23.0,12.0
8,12.0,12.0,3.0,9.0,,6.0,5.0,,0.0,0.0,1.0,,50 to 54,647.0,647.0,501.0,145.0,1.0,381.0,236.0,21.0,9.0
9,21.0,21.0,11.0,10.0,,10.0,11.0,,0.0,0.0,0.0,,55 to 59,392.0,392.0,285.0,107.0,0.0,242.0,132.0,11.0,7.0
10,13.0,13.0,7.0,6.0,,6.0,5.0,,2.0,2.0,0.0,,60 to 64,275.0,275.0,189.0,86.0,0.0,182.0,78.0,10.0,5.0
11,18.0,18.0,11.0,7.0,,9.0,8.0,,0.0,0.0,1.0,,65 to 69,205.0,205.0,133.0,72.0,0.0,156.0,37.0,10.0,2.0
12,29.0,29.0,19.0,10.0,,16.0,11.0,1.0,1.0,2.0,0.0,,70 to 74,145.0,145.0,99.0,46.0,0.0,95.0,41.0,8.0,1.0
13,31.0,31.0,15.0,16.0,,16.0,13.0,0.0,0.0,0.0,2.0,,75 and over,302.0,302.0,149.0,152.0,1.0,227.0,67.0,4.0,4.0
14,63.0,63.0,53.0,10.0,,26.0,35.0,0.0,1.0,1.0,1.0,,Unknown,258.0,258.0,175.0,60.0,23.0,124.0,74.0,4.0,56.0
15,133.0,133.0,103.0,30.0,,60.0,70.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
16,186.0,186.0,155.0,31.0,,77.0,100.0,3.0,4.0,7.0,2.0,,,,,,,,,,,
17,296.0,296.0,257.0,39.0,,136.0,152.0,5.0,3.0,8.0,0.0,,,,,,,,,,,
18,411.0,411.0,348.0,63.0,,188.0,210.0,5.0,7.0,12.0,1.0,,,,,,,,,,,
19,537.0,537.0,459.0,78.0,,232.0,287.0,5.0,12.0,17.0,1.0,,,,,,,,,,,
20,546.0,546.0,473.0,72.0,1.0,212.0,310.0,5.0,14.0,19.0,5.0,,,,,,,,,,,
21,550.0,550.0,460.0,90.0,,231.0,300.0,6.0,6.0,12.0,7.0,,,,,,,,,,,
22,504.0,504.0,445.0,59.0,,224.0,268.0,4.0,4.0,8.0,4.0,,,,,,,,,,,
23,487.0,487.0,433.0,54.0,,198.0,275.0,2.0,6.0,8.0,6.0,,,,,,,,,,,
24,548.0,548.0,481.0,67.0,,212.0,317.0,6.0,11.0,17.0,2.0,,,,,,,,,,,
25,497.0,497.0,432.0,65.0,,191.0,293.0,5.0,2.0,7.0,6.0,,,,,,,,,,,
26,466.0,466.0,387.0,79.0,,200.0,255.0,0.0,7.0,7.0,4.0,,,,,,,,,,,
27,423.0,423.0,372.0,51.0,,173.0,237.0,5.0,5.0,10.0,3.0,,,,,,,,,,,
28,396.0,396.0,341.0,55.0,,168.0,219.0,3.0,3.0,6.0,3.0,,,,,,,,,,,
29,358.0,358.0,304.0,54.0,,156.0,192.0,1.0,6.0,7.0,3.0,,,,,,,,,,,
30,347.0,347.0,286.0,61.0,,156.0,172.0,6.0,10.0,16.0,3.0,,,,,,,,,,,
31,306.0,306.0,246.0,60.0,,128.0,169.0,2.0,5.0,7.0,2.0,,,,,,,,,,,
32,326.0,326.0,261.0,64.0,1.0,143.0,169.0,2.0,7.0,9.0,5.0,,,,,,,,,,,
33,285.0,285.0,220.0,65.0,,123.0,151.0,3.0,8.0,11.0,0.0,,,,,,,,,,,
34,288.0,288.0,223.0,65.0,,143.0,140.0,1.0,3.0,4.0,1.0,,,,,,,,,,,
35,305.0,305.0,234.0,71.0,,141.0,151.0,4.0,5.0,9.0,4.0,,,,,,,,,,,
36,243.0,243.0,185.0,57.0,1.0,134.0,102.0,5.0,1.0,6.0,1.0,,,,,,,,,,,
37,232.0,232.0,176.0,56.0,,114.0,106.0,3.0,6.0,9.0,3.0,,,,,,,,,,,
38,233.0,233.0,171.0,62.0,,122.0,103.0,1.0,4.0,5.0,3.0,,,,,,,,,,,
39,215.0,215.0,163.0,52.0,,110.0,99.0,1.0,3.0,4.0,2.0,,,,,,,,,,,
40,251.0,251.0,177.0,74.0,,134.0,110.0,2.0,4.0,6.0,1.0,,,,,,,,,,,
41,229.0,229.0,165.0,64.0,,125.0,98.0,0.0,4.0,4.0,2.0,,,,,,,,,,,
42,230.0,230.0,155.0,75.0,,124.0,100.0,0.0,5.0,5.0,1.0,,,,,,,,,,,
43,219.0,219.0,152.0,67.0,,117.0,95.0,2.0,5.0,7.0,0.0,,,,,,,,,,,
44,218.0,218.0,164.0,54.0,,130.0,76.0,4.0,5.0,9.0,3.0,,,,,,,,,,,
45,225.0,225.0,152.0,72.0,1.0,127.0,90.0,2.0,4.0,6.0,2.0,,,,,,,,,,,
46,208.0,208.0,153.0,55.0,,117.0,85.0,0.0,5.0,5.0,1.0,,,,,,,,,,,
47,169.0,169.0,121.0,48.0,,93.0,68.0,1.0,5.0,6.0,2.0,,,,,,,,,,,
48,153.0,153.0,102.0,51.0,,101.0,47.0,0.0,3.0,3.0,2.0,,,,,,,,,,,
49,165.0,165.0,119.0,46.0,,100.0,57.0,1.0,2.0,3.0,5.0,,,,,,,,,,,
50,157.0,157.0,124.0,33.0,,89.0,58.0,3.0,5.0,8.0,2.0,,,,,,,,,,,
51,110.0,110.0,77.0,33.0,,67.0,38.0,0.0,2.0,2.0,3.0,,,,,,,,,,,
52,138.0,138.0,113.0,25.0,,80.0,52.0,1.0,4.0,5.0,1.0,,,,,,,,,,,
53,127.0,127.0,106.0,21.0,,74.0,49.0,0.0,4.0,4.0,0.0,,,,,,,,,,,
54,115.0,115.0,81.0,33.0,1.0,71.0,39.0,0.0,2.0,2.0,3.0,,,,,,,,,,,
55,95.0,95.0,79.0,16.0,,54.0,32.0,3.0,4.0,7.0,2.0,,,,,,,,,,,
56,92.0,92.0,62.0,30.0,,51.0,38.0,0.0,2.0,2.0,1.0,,,,,,,,,,,
57,73.0,73.0,55.0,18.0,,54.0,17.0,0.0,0.0,0.0,2.0,,,,,,,,,,,
58,74.0,74.0,51.0,23.0,,43.0,29.0,1.0,1.0,2.0,0.0,,,,,,,,,,,
59,58.0,58.0,38.0,20.0,,40.0,16.0,0.0,0.0,0.0,2.0,,,,,,,,,,,
60,63.0,63.0,38.0,25.0,,48.0,13.0,1.0,0.0,1.0,1.0,,,,,,,,,,,
61,58.0,58.0,49.0,9.0,,33.0,21.0,0.0,2.0,2.0,2.0,,,,,,,,,,,
62,58.0,58.0,40.0,18.0,,40.0,13.0,0.0,3.0,3.0,2.0,,,,,,,,,,,
63,49.0,49.0,33.0,16.0,,25.0,23.0,0.0,1.0,1.0,0.0,,,,,,,,,,,
64,47.0,47.0,29.0,18.0,,36.0,8.0,1.0,2.0,3.0,0.0,,,,,,,,,,,
65,47.0,47.0,30.0,17.0,,37.0,5.0,0.0,5.0,5.0,0.0,,,,,,,,,,,
66,36.0,36.0,22.0,14.0,,28.0,7.0,1.0,0.0,1.0,0.0,,,,,,,,,,,
67,47.0,47.0,30.0,17.0,,38.0,7.0,0.0,1.0,1.0,1.0,,,,,,,,,,,
68,34.0,34.0,21.0,13.0,,27.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
69,41.0,41.0,30.0,11.0,,26.0,11.0,2.0,1.0,3.0,1.0,,,,,,,,,,,
70,31.0,31.0,23.0,8.0,,16.0,11.0,1.0,3.0,4.0,0.0,,,,,,,,,,,
71,29.0,29.0,24.0,5.0,,18.0,9.0,,1.0,1.0,1.0,,,,,,,,,,,
72,32.0,32.0,17.0,15.0,,19.0,12.0,,1.0,1.0,,,,,,,,,,,,
73,27.0,27.0,17.0,10.0,,19.0,6.0,,2.0,2.0,,,,,,,,,,,,
74,26.0,26.0,18.0,8.0,,23.0,3.0,,0.0,0.0,,,,,,,,,,,,
75,27.0,27.0,17.0,10.0,,19.0,7.0,,0.0,0.0,1.0,,,,,,,,,,,
76,17.0,17.0,6.0,11.0,,13.0,4.0,,0.0,0.0,,,,,,,,,,,,
77,26.0,26.0,16.0,10.0,,15.0,11.0,,0.0,0.0,,,,,,,,,,,,
78,27.0,27.0,11.0,16.0,,18.0,8.0,,1.0,1.0,,,,,,,,,,,,
79,31.0,31.0,17.0,14.0,,27.0,3.0,,1.0,1.0,,,,,,,,,,,,
80,34.0,34.0,15.0,19.0,,30.0,4.0,,,0.0,,,,,,,,,,,,
81,14.0,14.0,6.0,8.0,,11.0,2.0,,,0.0,1.0,,,,,,,,,,,
82,23.0,23.0,13.0,10.0,,16.0,7.0,,,0.0,,,,,,,,,,,,
83,14.0,14.0,9.0,5.0,,10.0,3.0,,,0.0,1.0,,,,,,,,,,,
84,16.0,16.0,10.0,6.0,,11.0,4.0,1.0,,1.0,,,,,,,,,,,,
85,16.0,16.0,4.0,12.0,,13.0,3.0,,,0.0,,,,,,,,,,,,
86,11.0,11.0,6.0,5.0,,11.0,0.0,,,0.0,,,,,,,,,,,,
87,4.0,4.0,0.0,4.0,,3.0,1.0,,,0.0,,,,,,,,,,,,
88,11.0,11.0,3.0,8.0,,9.0,1.0,1.0,,1.0,,,,,,,,,,,,
89,7.0,7.0,4.0,3.0,,7.0,0.0,,,0.0,,,,,,,,,,,,
90,3.0,3.0,0.0,3.0,,2.0,1.0,,,0.0,,,,,,,,,,,,
91,5.0,5.0,4.0,1.0,,1.0,4.0,,,0.0,,,,,,,,,,,,
92,5.0,5.0,2.0,3.0,,3.0,2.0,,,0.0,,,,,,,,,,,,
93,3.0,3.0,1.0,2.0,,2.0,1.0,,,0.0,,,,,,,,,,,,
94,1.0,1.0,1.0,0.0,,1.0,0.0,,,0.0,,,,,,,,,,,,
95,1.0,1.0,1.0,0.0,,1.0,0.0,,,0.0,,,,,,,,,,,,
96,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,
97,1.0,1.0,0.0,1.0,,1.0,0.0,,,0.0,,,,,,,,,,,,
98,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,
99,5.0,5.0,3.0,1.0,1.0,3.0,1.0,,,0.0,1.0,,,,,,,,,,,
