token,count,percent
,67,9.263058117993748e-09
,134,1.8526116235987496e-08
,134,1.8526116235987496e-08
,44,6.083202346145148e-09
,119,1.6452297254347106e-08
,301,4.161463423158385e-08
,209,2.8895211144189452e-08
,4910,6.788300799902882e-07
,693,9.581043695178608e-08
,694,9.594869155056211e-08
,38,5.2536747534889916e-09
,750,1.0369094908201958e-07
,768,1.0617953185998803e-07
,92,1.27194230873944e-08
,2056,2.8425145508350967e-07
,60,8.295275926561566e-09
,88,1.2166404692290296e-08
,175,2.4194554785804565e-08
,534,7.382795574639793e-08
,55,7.604002932681435e-09
,160,2.2120735804164175e-08
 ,590547,8.164583854338589e-05
¡,4812,6.652811293102375e-07
¢,3376,4.667475254678641e-07
£,75657,1.0459928179597806e-05
¤,1241,1.7157395708104838e-07
¥,1211,1.674263191177676e-07
¦,10471,1.4476639037837693e-06
§,4565,6.311322434125591e-07
¨,1641,2.268757965914588e-07
©,9317,1.2881180967962351e-06
«,10496,1.4511202687531698e-06
¬,3395,4.693743628446086e-07
­,41788,5.7773831736525785e-06
®,6999,9.676439368334067e-07
¯,2216,3.063721908876738e-07
°,74372,1.0282271020170613e-05
±,17704,2.447659416730766e-06
´,7721,1.0674637571496975e-06
¶,2364,3.268338715065257e-07
·,12199,1.6865678504687422e-06
¸,674,9.318359957504159e-08
»,11871,1.6412203420702056e-06
¿,24007,3.3190781528160583e-06
×,6603,9.128951157181003e-07
÷,276,3.81582692621832e-08
˂,21,2.903346574296548e-09
˃,21,2.903346574296548e-09
˅,13,1.7973097840883393e-09
˘,54,7.465748333905408e-09
˙,1041,1.4392303732584316e-07
˚,194,2.6821392162549062e-08
˛,2630,3.636095947809486e-07
˜,461,6.373537003574803e-08
˝,57,7.880512130233487e-09
˥,9,1.2442913889842349e-09
˧,3,4.1476379632807825e-10
˨,3,4.1476379632807825e-10
˩,3,4.1476379632807825e-10
˵,16,2.2120735804164176e-09
˷,4,5.530183951041044e-10
˹,12,1.659055185312313e-09
˺,2,2.765091975520522e-10
˼,12,1.659055185312313e-09
;,39,5.391929352265018e-09
΀,2,2.765091975520522e-10
΂,24,3.318110370624626e-09
΄,10,1.382545987760261e-09
·,15,2.0738189816403916e-09
՚,2,2.765091975520522e-10
՛,2,2.765091975520522e-10
՝,170,2.3503281791924437e-08
՞,79,1.0922113303306062e-08
։,198,2.7374410557653166e-08
֍,12,1.659055185312313e-09
־,2,2.765091975520522e-10
׳,29,4.009383364504756e-09
״,5,6.912729938801305e-10
؂,2,2.765091975520522e-10
؆,2,2.765091975520522e-10
؈,8,1.1060367902082088e-09
،,2196,3.036070989121533e-07
؍,5,6.912729938801305e-10
؛,49,6.774475340025278e-09
؟,1075,1.4862369368422805e-07
٪,129,1.7834843242107365e-08
۔,421,5.8205186084706984e-08
۝,4,5.530183951041044e-10
۞,31,4.285892562056809e-09
۩,54,7.465748333905408e-09
۽,2,2.765091975520522e-10
۾,56,7.74225753145746e-09
।,514,7.106286377087742e-08
॥,3,4.1476379632807825e-10
॰,40,5.530183951041044e-09
৳,4,5.530183951041044e-10
஢,6,8.295275926561565e-10
௵,4,5.530183951041044e-10
฿,96,1.3272441482498504e-08
๏,6,8.295275926561565e-10
๛,11,1.520800586536287e-09
༄,23,3.1798557718486e-09
༆,1,1.382545987760261e-10
་,447,6.179980565288366e-08
།,5,6.912729938801305e-10
༻,1,1.382545987760261e-10
༼,320,4.424147160832835e-08
༽,331,4.576227219486464e-08
྅,1,1.382545987760261e-10
࿊,1,1.382545987760261e-10
၊,4,5.530183951041044e-10
။,9,1.2442913889842349e-09
၌,26,3.5946195681766785e-09
၍,12,1.659055185312313e-09
၏,158,2.1844226606612124e-08
 ,1,1.382545987760261e-10
។,14,1.935564382864365e-09
᠎,1,1.382545987760261e-10
᪌,4,5.530183951041044e-10
᪫,6,8.295275926561565e-10
᾽,72,9.954331111873879e-09
᾿,4,5.530183951041044e-10
 ,336,4.6453545188744766e-08
 ,36,4.9771655559369395e-09
 ,170,2.3503281791924437e-08
 ,48,6.636220741249252e-09
 ,3726,5.151366350394732e-07
 ,7591,1.049490659308814e-06
​,14500,2.0046916822523783e-06
‌,1827,2.525911519637997e-07
‍,7209,9.966774025763721e-07
‎,2271,3.1397619382035524e-07
‏,167,2.3088517995596356e-08
‐,3034,4.1946445268646316e-07
‑,656,9.069501679707312e-08
‒,11,1.520800586536287e-09
–,323335,4.4702550695246396e-05
—,204547,2.827956341583981e-05
―,3413,4.7186294562257703e-07
‖,54,7.465748333905408e-09
‘,79009,1.0923357594695046e-05
’,1113885,0.00015399972375763384
‚,2339,3.23377506537125e-07
‛,2,2.765091975520522e-10
“,433206,5.989272171736716e-05
”,431841,5.970400419003789e-05
„,2275,3.1452921221545935e-07
‟,94,1.2995932284946452e-08
†,5226,7.225185332035123e-07
‡,332,4.5900526793640665e-08
•,41289,5.708394128863341e-06
‣,19,2.6268373767444958e-09
․,5,6.912729938801305e-10
‥,2,2.765091975520522e-10
…,390479,5.398551747546389e-05
‧,15,2.0738189816403916e-09
‪,307,4.244416182424001e-08
‫,30,4.147637963280783e-09
‬,310,4.285892562056809e-08
‭,6,8.295275926561565e-10
‮,42,5.806693148593096e-09
 ,610,8.433530525337592e-08
‰,729,1.0078760250772302e-07
′,2835,3.9195178753003397e-07
″,1855,2.564622807295284e-07
‵,1,1.382545987760261e-10
‹,337,4.659179978752079e-08
›,767,1.0604127726121202e-07
※,91,1.2581168488618375e-08
‼,525,7.25836643574137e-08
‽,292,4.0370342842599617e-08
‾,58,8.018766729009513e-09
‿,109,1.5069751266586844e-08
⁂,7,9.677821914321826e-10
⁃,174,2.405630018702854e-08
⁄,377,5.2121983738561835e-08
⁇,3,4.1476379632807825e-10
⁉,34,4.700656358384887e-09
⁎,41,5.66843854981707e-09
⁕,12,1.659055185312313e-09
⁜,36,4.9771655559369395e-09
 ,15,2.0738189816403916e-09
⁠,10,1.382545987760261e-09
⁡,22,3.041601173072574e-09
⁣,48,6.636220741249252e-09
⁦,249,3.4425395095230494e-08
⁨,3,4.1476379632807825e-10
⁩,241,3.3319358305022285e-08
⁯,3,4.1476379632807825e-10
⁺,19,2.6268373767444958e-09
⁻,6028,8.333987214218853e-07
₎,8,1.1060367902082088e-09
₡,4,5.530183951041044e-10
₤,50,6.912729938801305e-09
₦,5,6.912729938801305e-10
₨,4,5.530183951041044e-10
₩,12,1.659055185312313e-09
₪,4,5.530183951041044e-10
₫,6,8.295275926561565e-10
€,31741,4.3883392197498444e-06
₭,4,5.530183951041044e-10
₮,4,5.530183951041044e-10
₱,46,6.3597115436972e-09
₲,5,6.912729938801305e-10
₳,2,2.765091975520522e-10
₴,4,5.530183951041044e-10
₵,4,5.530183951041044e-10
₹,665,9.193930818605736e-08
℃,129,1.7834843242107365e-08
℅,23,3.1798557718486e-09
℉,10,1.382545987760261e-09
№,429,5.931122287491519e-08
℞,11,1.520800586536287e-09
℠,194,2.6821392162549062e-08
™,9070,1.2539692108985566e-06
℣,11,1.520800586536287e-09
⅄,12,1.659055185312313e-09
←,853,1.1793117275595025e-07
↑,1226,1.69500138099408e-07
→,4395,6.076289616206346e-07
↓,1642,2.2701405119023484e-07
↔,74,1.0230840309425931e-08
↕,4,5.530183951041044e-10
↖,15,2.0738189816403916e-09
↗,13,1.7973097840883393e-09
↘,4,5.530183951041044e-10
↙,4,5.530183951041044e-10
↜,9,1.2442913889842349e-09
↡,574,7.935813969743898e-08
↢,46,6.3597115436972e-09
↣,46,6.3597115436972e-09
↦,2,2.765091975520522e-10
↧,48,6.636220741249252e-09
↩,22,3.041601173072574e-09
↪,4,5.530183951041044e-10
↮,1,1.382545987760261e-10
↳,12,1.659055185312313e-09
↴,9,1.2442913889842349e-09
↵,57,7.880512130233487e-09
↹,273,3.7743505465855126e-08
↺,24,3.318110370624626e-09
↻,1,1.382545987760261e-10
↾,15,2.0738189816403916e-09
↿,15,2.0738189816403916e-09
⇄,11,1.520800586536287e-09
⇆,13,1.7973097840883393e-09
⇈,7,9.677821914321826e-10
⇌,6,8.295275926561565e-10
⇏,9,1.2442913889842349e-09
⇐,13,1.7973097840883393e-09
⇑,11,1.520800586536287e-09
⇒,372,5.143071074468171e-08
⇓,184,2.54388461747888e-08
⇔,167,2.3088517995596356e-08
⇘,5,6.912729938801305e-10
⇙,5,6.912729938801305e-10
⇜,1,1.382545987760261e-10
⇝,151,2.087644441517994e-08
⇟,224,3.096903012582984e-08
⇣,224,3.096903012582984e-08
⇥,6,8.295275926561565e-10
⇦,21,2.903346574296548e-09
⇧,113,1.5622769661690948e-08
⇨,49,6.774475340025278e-09
⇩,42,5.806693148593096e-09
⇬,22,3.041601173072574e-09
⇴,50,6.912729938801305e-09
⇷,6,8.295275926561565e-10
񅥮,4,5.530183951041044e-10
󠁢,68,9.401312716769775e-09
󠁣,14,1.935564382864365e-09
󠁥,54,7.465748333905408e-09
󠁧,122,1.6867061050675183e-08
󠁮,54,7.465748333905408e-09
󠁳,14,1.935564382864365e-09
󠁴,14,1.935564382864365e-09
󠁿,68,9.401312716769775e-09
󾇐,3,4.1476379632807825e-10
󾌦,16,2.2120735804164176e-09
󾌧,10,1.382545987760261e-09
󾌪,1,1.382545987760261e-10
󾌭,1,1.382545987760261e-10
󾌰,8,1.1060367902082088e-09
󾌲,2,2.765091975520522e-10
󾌳,24,3.318110370624626e-09
󾌴,3,4.1476379632807825e-10
󾌵,6,8.295275926561565e-10
󾌺,1,1.382545987760261e-10
󾌽,1,1.382545987760261e-10
󾌾,3,4.1476379632807825e-10
󾍄,2,2.765091975520522e-10
󾍇,6,8.295275926561565e-10
󾍕,3,4.1476379632807825e-10
󾍛,12,1.659055185312313e-09
󾓝,6,8.295275926561565e-10
󾓤,6,8.295275926561565e-10
󾓯,6,8.295275926561565e-10
󾓵,1,1.382545987760261e-10
󾔗,2,2.765091975520522e-10
󾔠,4,5.530183951041044e-10
󾔥,6,8.295275926561565e-10
󾔦,5,6.912729938801305e-10
󾕊,6,8.295275926561565e-10
󾟛,2,2.765091975520522e-10
󾟤,9,1.2442913889842349e-09
󾠈,4,5.530183951041044e-10
󾠝,2,2.765091975520522e-10
󾥬,1,1.382545987760261e-10
󾥶,2,2.765091975520522e-10
󾬍,2,2.765091975520522e-10
󾬏,3,4.1476379632807825e-10
󾬐,4,5.530183951041044e-10
󾭂,18,2.4885827779684697e-09
󾭞,2,2.765091975520522e-10
󾮖,13,1.7973097840883393e-09
󾮗,21,2.903346574296548e-09
󾮛,10,1.382545987760261e-09
󾮞,3,4.1476379632807825e-10
󾮟,2,2.765091975520522e-10
󾮡,1,1.382545987760261e-10
󾰕,2,2.765091975520522e-10
󾰦,1,1.382545987760261e-10
󾰬,2,2.765091975520522e-10
󾰴,4,5.530183951041044e-10
􏰒,6,8.295275926561565e-10
􏿽,12,1.659055185312313e-09
