Localidad;Barrio;Fecha;Farmacia;Direccion;Duración;Teléfono
Madrid;FUENCARRAL-BARRIO DEL PILAR;01/01/2018;1870;AV BETANZOS,  61 LC 416 TDA 3 (Barrio del Pilar);SERVICIO 24 HORAS (DE 9'30 A 9'30);3862393
Madrid;FUENCARRAL-BARRIO DEL PILAR;01/01/2018;1867;CL ISLA DE AROSA,  21 (C/V SANTIAGO COMPOSTELA);SERVICIO DIURNO (DE 9'30 A 23'00);7385940
Madrid;MORATALAZ;01/01/2018;641;CL FUENTE CARRANTONA,  29;SERVICIO 24 HORAS (DE 9'30 A 9'30);5616041
Madrid;PUEBLO DE VALLECAS;01/01/2018;751;CL PUENTEDEY, 10 (.);SERVICIO 24 HORAS (DE 9'30 A 9'30);4944536
Madrid;PUEBLO DE VALLECAS;01/01/2018;1890;CL REAL DE ARGANDA,  40 (Vallecas Villa);SERVICIO 24 HORAS (DE 9'30 A 9'30);3013297
Madrid;PUEBLO DE VALLECAS;01/01/2018;139;PS FEDERICO GARCIA LORCA,  19 (Antes A. de los Caidos);SERVICIO 24 HORAS (DE 9'30 A 9'30);3320826
Madrid;PUENTE DE VALLECAS-ENTREVIAS;01/01/2018;515;AV MONTE IGUELDO,  14;SERVICIO 24 HORAS (DE 9'30 A 9'30);4339315
Madrid;PUENTE DE VALLECAS-ENTREVIAS;01/01/2018;1764;AV PABLO NERUDA,  91-97 CEN COM MADRID SUR;SERVICIO 24 HORAS (DE 9'30 A 9'30);5079484
Madrid;PUENTE DE VALLECAS-ENTREVIAS;01/01/2018;124;CL CLEOPATRA,   6;SERVICIO DIURNO (DE 9'30 A 23'00);5073257
Madrid;RETIRO-ARGANZUELA;01/01/2018;1418;CL EMBAJADORES, 197;SERVICIO 24 HORAS (DE 9'30 A 9'30);5306087
Madrid;RETIRO-ARGANZUELA;01/01/2018;2336;PS SANTA MARIA DE LA CABEZA,  64 LC II;SERVICIO 24 HORAS (DE 9'30 A 9'30);4730672
Madrid;RETIRO-ARGANZUELA;01/01/2018;187;AV MENENDEZ PELAYO,  45;SERVICIO 24 HORAS (DE 9'30 A 9'30);4095759
Madrid;RETIRO-ARGANZUELA;01/01/2018;2128;CL BRONCE,   4C LC9;SERVICIO 24 HORAS (DE 9'30 A 9'30);4610270
Madrid;RETIRO-ARGANZUELA;01/01/2018;2360;PS DELICIAS,   5 (Altura 41 Ps Yeserias);SERVICIO 24 HORAS (DE 9'30 A 9'30);4740702
Madrid;RETIRO-ARGANZUELA;01/01/2018;1035;CL MENDEZ ALVARO,  64 A;SERVICIO DIURNO (DE 9'30 A 23'00);4677535
Madrid;RETIRO-ARGANZUELA;01/01/2018;1454;AV MEDITERRANEO,  22;SERVICIO DIURNO (DE 9'30 A 23'00);4337580
Madrid;SALAMANCA-VENTAS;01/01/2018;892;CL FRANCISCO SILVELA,  36;SERVICIO 24 HORAS (DE 9'30 A 9'30);3563573
Madrid;SALAMANCA-VENTAS;01/01/2018;524;CL GOYA,  89;SERVICIO 24 HORAS (DE 9'30 A 9'30);4354958
Madrid;SALAMANCA-VENTAS;01/01/2018;279;CL VELAZQUEZ,  70;SERVICIO DIURNO (DE 9'30 A 23'00);4351347
Madrid;SALAMANCA-VENTAS;01/01/2018;551;CL CONDE DE PEÑALVER,  34 (Esquina a D. Ramon de la Cruz);SERVICIO DIURNO (DE 9'30 A 23'00);4010968
Madrid;SALAMANCA-VENTAS;01/01/2018;289;CL ALCALA, 172 (Entre Manuel Becerra y Ventas);SERVICIO DIURNO (DE 9'30 A 23'00);1626491
Madrid;SALAMANCA-VENTAS;01/01/2018;363;CL CONDE DE PEÑALVER,  27 (Metro Goya);SERVICIO DIURNO (DE 9'30 A 23'00);4024301
Madrid;SALAMANCA-VENTAS;01/01/2018;126;CL CONDE DE PEÑALVER,  80 (Semiesquina a Juan Bravo);SERVICIO DIURNO (DE 9'30 A 23'00);4021171
Madrid;SALAMANCA-VENTAS;01/01/2018;119;CL NARVAEZ,   3 (Esquina a Goya);SERVICIO DIURNO (DE 9'30 A 23'00);5770032
Madrid;SALAMANCA-VENTAS;01/01/2018;333;CL ALCALA, 173 (Esquina a Montesa);SERVICIO DIURNO (DE 9'30 A 23'00);4013639
Madrid;TETUAN-CUATRO CAMINOS;01/01/2018;1346;PS CASTELLANA, 181;SERVICIO 24 HORAS (DE 9'30 A 9'30);5704891
Madrid;TETUAN-CUATRO CAMINOS;01/01/2018;317;CL BRAVO MURILLO, 108 (Cuatro Caminos);SERVICIO DIURNO (DE 9'30 A 23'00);5331219
Madrid;TETUAN-CUATRO CAMINOS;01/01/2018;706;AV ASTURIAS, 34 (.);SERVICIO DIURNO (DE 9'30 A 23'00);2810332
Madrid;USERA-VILLAVERDE;01/01/2018;493;CL MARCELO USERA, 114;SERVICIO 24 HORAS (DE 9'30 A 9'30);4756729
Madrid;USERA-VILLAVERDE;01/01/2018;123;ESQ AV LOS POBLADOS (AV ANDALUCIA, KM 6,4);SERVICIO 24 HORAS (DE 9'30 A 9'30);7237731
Madrid;VICALVARO;01/01/2018;1455;CL MERCURIO,  10;SERVICIO DIURNO (DE 9'30 A 23'00);7764023
Madrid;VICALVARO;01/01/2018;1566;CL CAMPO DE LA TORRE,   1 (APE Valderribas-Vicalvaro);SERVICIO DIURNO (DE 9'30 A 21'30);7750011
Madrid;VICALVARO;01/01/2018;931;CL BULEVAR JOSE PRAT,  35 LC.B-26;SERVICIO DIURNO (DE 9'30 A 21'30);7739994
Madrid;VICALVARO;01/01/2018;1473;CL SAN CIPRIANO,  39 (VICALVARO) (Junto a metro San Cipriano);SERVICIO DIURNO (DE 9'30 A 21'30);7765026
Madrid;VICALVARO;01/01/2018;1533;AV GRAN VIA DEL ESTE,  16 Y 18 (METRO PUERTA ARGANDA);SERVICIO DIURNO (DE 9'30 A 21'30);7753024
Madrid;ARAVACA;02/01/2018;1295;CL BLANCA DE CASTILLA,  11;SERVICIO 24 HORAS (DE 9'30 A 9'30);3576914
Madrid;ARAVACA;02/01/2018;601;AV EUROPA, 30 (ARAVACA);SERVICIO DIURNO (DE 9'30 A 23'00);3513312
Madrid;ARAVACA;02/01/2018;2619;AV VICTORIA, S/N CEN COM SEXTA AVENIDA;SERVICIO DIURNO (DE 9'30 A 23'00);3728818
Madrid;ARAVACA;02/01/2018;1198;AV VALDEMARIN, 165 LC 4-2;SERVICIO DIURNO (DE 9'30 A 23'00);3070836
Madrid;BARAJAS-ALAMEDA DE OSUNA;02/01/2018;19;AV GENERAL,   1 (BARAJAS);SERVICIO DIURNO (DE 9'30 A 23'00);3054120
Madrid;BARAJAS-ALAMEDA DE OSUNA;02/01/2018;677;CL AUTOGIRO,   2 ESQ. CL ALAR DEL REY;SERVICIO DIURNO (DE 9'30 A 23'00);3676575
Madrid;BARAJAS-ALAMEDA DE OSUNA;02/01/2018;2514;AEROPUERTO BARAJAS TERMINAL 1 LLEGADAS SALA 2;SERVICIO DE 7'00 A 23'00 HORAS;3055203
Madrid;BARAJAS-ALAMEDA DE OSUNA;02/01/2018;657;T4 AEROPUERTO BARAJAS LC.T2.15;SERVICIO DE 7'00 A 23'00 HORAS;3338357
Madrid;BARAJAS-ALAMEDA DE OSUNA;02/01/2018;1326;AEROPUERTO BARAJAS BULEVAR TERMINAL T2 (Antiguo Terminal Nacional);SERVICIO DE 7'00 A 23'00 HORAS;3054623
Madrid;CARABANCHEL-LATINA;02/01/2018;2274;AV LOS POBLADOS,  58 C.C.PLAZA ALUCHE LC B1-B2;SERVICIO 24 HORAS (DE 9'30 A 9'30);5094389
Madrid;CARABANCHEL-LATINA;02/01/2018;367;PS EXTREMADURA, 124;SERVICIO 24 HORAS (DE 9'30 A 9'30);4631194
Madrid;CARABANCHEL-LATINA;02/01/2018;1248;CL OCA,  17 (Metro Oporto-salida Oca);SERVICIO DIURNO (DE 9'30 A 23'00);4714773
Madrid;CARABANCHEL-LATINA;02/01/2018;1358;AV PADRE PIQUER,   8 (Metro Campamento);SERVICIO DIURNO (DE 9'30 A 23'00);7113442
Madrid;CARABANCHEL-LATINA;02/01/2018;1301;CL LAS CUEVAS DE ALTAMIRA,  27-29 POR C/P. HUMA.10 (Poblado Dirigido Fuencarral);SERVICIO DIURNO (DE 9'30 A 23'00);5083485
Madrid;CENTRO;02/01/2018;46;PZ DEL ANGEL,  14 (Entre Pz Benavente y Santa Ana);SERVICIO 24 HORAS (DE 9'30 A 9'30);3692318
Madrid;CENTRO;02/01/2018;331;CL MAYOR,  13;SERVICIO 24 HORAS (DE 9'30 A 9'30);3664616
Madrid;CENTRO;02/01/2018;913;PS ACACIAS,  69 (Esquina Glorieta Piramides);SERVICIO 24 HORAS (DE 9'30 A 9'30);4744782
Madrid;CENTRO;02/01/2018;439;CL GRAN VIA,  26;SERVICIO DIURNO (DE 9'30 A 23'00);5213148
Madrid;CENTRO;02/01/2018;238;PZ SAN MIGUEL,   8 (Frente mercado S.Miguel-Proximo c/Mayor);SERVICIO DIURNO (DE 9'30 A 23'00);5480618
Madrid;CENTRO;02/01/2018;350;CL TOLEDO,  46 (Metro La Latina);SERVICIO DIURNO (DE 9'30 A 23'00);3653458
Madrid;CENTRO;02/01/2018;430;CL GRAN VIA,  56;SERVICIO DIURNO (DE 9'30 A 23'00);5472625
Madrid;CENTRO;02/01/2018;116;CL PRECIADOS,  14;SERVICIO DIURNO (DE 9'30 A 23'00);5213183
Madrid;CENTRO;02/01/2018;102;PZ PUERTA DEL SOL,  14;SERVICIO DIURNO (DE 9'30 A 23'00);5312514
Madrid;CENTRO;02/01/2018;968;CL CAPITAN BLANCO ARGIBAY, 24 (.);SERVICIO DIURNO (DE 9'30 A 23'00);5710241
Madrid;CENTRO;02/01/2018;180;CL ARENAL,  15;SERVICIO DIURNO (DE 9'30 A 23'00);5484513
Madrid;CHAMARTIN-HORTALEZA;02/01/2018;624;PZ SAGRADOS CORAZONES,   4 (Esquina a C. Espina, 5);SERVICIO 24 HORAS (DE 9'30 A 9'30);5649284
Madrid;CHAMARTIN-HORTALEZA;02/01/2018;95;AV MACHUPICHU,  37 LC 2 Y 3;SERVICIO 24 HORAS (DE 9'30 A 9'30);3887588
Madrid;CHAMARTIN-HORTALEZA;02/01/2018;412;CL VALDETORRES DEL JARAMA,  31 (Frente Cen. Com. Gran Via de Hortaleza);SERVICIO DIURNO (DE 9'30 A 23'00);3818898
Madrid;CHAMARTIN-HORTALEZA;02/01/2018;1773;CL MAR DE ARAL,   8 (Virgen de la Salud);SERVICIO DIURNO (DE 9'30 A 23'00);3818236
Madrid;CHAMARTIN-HORTALEZA;02/01/2018;1102;PS HABANA,   7 (Semiesq. Ps Castellana 124);SERVICIO DIURNO (DE 9'30 A 23'00);5612244
Madrid;CHAMARTIN-HORTALEZA;02/01/2018;1274;CL VICTOR DE LA SERNA,   1 (FRENTE PARQUE DE BERLIN);SERVICIO DIURNO (DE 9'30 A 23'00);5199116
Madrid;CHAMARTIN-HORTALEZA;02/01/2018;1915;AV PIO XII,   2 LC 21-29 CC ALCAMPO;SERVICIO DIURNO (DE 9'30 A 23'00);3593662
Madrid;CHAMBERI-MONCLOA;02/01/2018;535;CL ELOY GONZALO,  31;SERVICIO 24 HORAS (DE 9'30 A 9'30);4489932
Madrid;CHAMBERI-MONCLOA;02/01/2018;136;CL CEA BERMUDEZ,  15;SERVICIO 24 HORAS (DE 9'30 A 9'30);5335849
Madrid;CHAMBERI-MONCLOA;02/01/2018;525;CL PRINCESA,  30;SERVICIO DIURNO (DE 9'30 A 23'00);5423388
Madrid;CHAMBERI-MONCLOA;02/01/2018;287;CL PRINCESA,  72 (Esq.Hilarion Eslava);SERVICIO DIURNO (DE 9'30 A 23'00);5439463
Madrid;CHAMBERI-MONCLOA;02/01/2018;509;CL BLASCO DE GARAY,   5 (Semiesquina Alberto Aguilera);SERVICIO DIURNO (DE 9'30 A 23'00);5474731
Madrid;CHAMBERI-MONCLOA;02/01/2018;55;CL FERRAZ,  13;SERVICIO DIURNO (DE 9'30 A 23'00);5470572
Madrid;CIUDAD LINEAL-SAN BLAS;02/01/2018;589;CL ALCALA, 321;SERVICIO 24 HORAS (DE 9'30 A 9'30);4511284
Madrid;CIUDAD LINEAL-SAN BLAS;02/01/2018;886;CL HERMANOS GARCIA NOBLEJAS,  21;SERVICIO 24 HORAS (DE 9'30 A 9'30);4080164
Madrid;CIUDAD LINEAL-SAN BLAS;02/01/2018;1077;AV DONOSTIARRA,  22 (Barrio Concepcion);SERVICIO 24 HORAS (DE 9'30 A 9'30);4039654
Madrid;CIUDAD LINEAL-SAN BLAS;02/01/2018;286;CL SAN ROMUALDO,  51;SERVICIO DIURNO (DE 9'30 A 23'00);3759068
Madrid;CIUDAD LINEAL-SAN BLAS;02/01/2018;743;CL SAN TELESFORO,  45-47;SERVICIO DIURNO (DE 9'30 A 23'00);3043416
Madrid;CIUDAD LINEAL-SAN BLAS;02/01/2018;967;CL ARTURO SORIA, 142 (Entrada General Ricardos, 163 - Metro Oporto);SERVICIO DIURNO (DE 9'30 A 23'00);5106511
Madrid;FUENCARRAL-BARRIO DEL PILAR;02/01/2018;1289;CL MARIA MAEZTU,146 C/A C/LEONOR LOPEZ CORDOBA,S/N;SERVICIO 24 HORAS (DE 9'30 A 9'30);3487208
Madrid;FUENCARRAL-BARRIO DEL PILAR;02/01/2018;1870;AV BETANZOS,  61 LC 416 TDA 3 (Barrio del Pilar);SERVICIO 24 HORAS (DE 9'30 A 9'30);3862393
Madrid;FUENCARRAL-BARRIO DEL PILAR;02/01/2018;2314;CL MONASTERIO MONTESCLAROS, 7-B C/V A MO. ESCORIAL;SERVICIO DIURNO (DE 9'30 A 23'00);4275329
Madrid;FUENCARRAL-BARRIO DEL PILAR;02/01/2018;598;CL SAN JUAN ORTEGA,9 C/A AV STO.DOMINGO CALZADA (Antes Ctra. de Toledo);SERVICIO DIURNO (DE 9'30 A 23'00);7647232
Madrid;FUENCARRAL-BARRIO DEL PILAR;02/01/2018;999;CL MONASTERIO DE ARLANZA,  20 (Proximo Reina Victoria);SERVICIO DIURNO (DE 9'30 A 23'00);7508042
Madrid;FUENCARRAL-BARRIO DEL PILAR;02/01/2018;841;CL MELCHOR FERNANDEZ ALMAGRO,   8 (Barrio del Pilar);SERVICIO DIURNO (DE 9'30 A 23'00);3145644
Madrid;FUENCARRAL-BARRIO DEL PILAR;02/01/2018;814;CL PEDRO RICO,  13 (Parque Norte);SERVICIO DIURNO (DE 9'30 A 23'00);3158710
Madrid;FUENCARRAL-BARRIO DEL PILAR;02/01/2018;1408;CL MELCHOR FERNANDEZ ALMAGRO,  84 (Semiesq. Av Betanzos);SERVICIO DIURNO (DE 9'30 A 23'00);7384208
Madrid;MORATALAZ;02/01/2018;641;CL FUENTE CARRANTONA,  29;SERVICIO 24 HORAS (DE 9'30 A 9'30);5616041
Madrid;MORATALAZ;02/01/2018;1088;CL FUENTE CARRANTONA, 47-49 (FINAL C/DR.GARCIA TAPIA);SERVICIO DIURNO (DE 9'30 A 23'00);3014702
Madrid;PUEBLO DE VALLECAS;02/01/2018;751;CL PUENTEDEY, 10 (.);SERVICIO 24 HORAS (DE 9'30 A 9'30);4944536
Madrid;PUEBLO DE VALLECAS;02/01/2018;1890;CL REAL DE ARGANDA,  40 (Vallecas Villa);SERVICIO 24 HORAS (DE 9'30 A 9'30);3013297
Madrid;PUEBLO DE VALLECAS;02/01/2018;139;PS FEDERICO GARCIA LORCA,  19 (Antes A. de los Caidos);SERVICIO 24 HORAS (DE 9'30 A 9'30);3320826
Madrid;PUENTE DE VALLECAS-ENTREVIAS;02/01/2018;515;AV MONTE IGUELDO,  14;SERVICIO 24 HORAS (DE 9'30 A 9'30);4339315
Madrid;PUENTE DE VALLECAS-ENTREVIAS;02/01/2018;1764;AV PABLO NERUDA,  91-97 CEN COM MADRID SUR;SERVICIO 24 HORAS (DE 9'30 A 9'30);5079484
Madrid;PUENTE DE VALLECAS-ENTREVIAS;02/01/2018;124;CL CLEOPATRA,   6;SERVICIO DIURNO (DE 9'30 A 23'00);5073257
Madrid;RETIRO-ARGANZUELA;02/01/2018;1418;CL EMBAJADORES, 197;SERVICIO 24 HORAS (DE 9'30 A 9'30);5306087
Madrid;RETIRO-ARGANZUELA;02/01/2018;2336;PS SANTA MARIA DE LA CABEZA,  64 LC II;SERVICIO 24 HORAS (DE 9'30 A 9'30);4730672
Madrid;RETIRO-ARGANZUELA;02/01/2018;187;AV MENENDEZ PELAYO,  45;SERVICIO 24 HORAS (DE 9'30 A 9'30);4095759
Madrid;RETIRO-ARGANZUELA;02/01/2018;2128;CL BRONCE,   4C LC9;SERVICIO 24 HORAS (DE 9'30 A 9'30);4610270
Madrid;RETIRO-ARGANZUELA;02/01/2018;2360;PS DELICIAS,   5 (Altura 41 Ps Yeserias);SERVICIO 24 HORAS (DE 9'30 A 9'30);4740702
Madrid;RETIRO-ARGANZUELA;02/01/2018;1035;CL MENDEZ ALVARO,  64 A;SERVICIO DIURNO (DE 9'30 A 23'00);4677535
Madrid;RETIRO-ARGANZUELA;02/01/2018;1454;AV MEDITERRANEO,  22;SERVICIO DIURNO (DE 9'30 A 23'00);4337580
Madrid;SALAMANCA-VENTAS;02/01/2018;892;CL FRANCISCO SILVELA,  36;SERVICIO 24 HORAS (DE 9'30 A 9'30);3563573
Madrid;SALAMANCA-VENTAS;02/01/2018;524;CL GOYA,  89;SERVICIO 24 HORAS (DE 9'30 A 9'30);4354958
Madrid;SALAMANCA-VENTAS;02/01/2018;279;CL VELAZQUEZ,  70;SERVICIO DIURNO (DE 9'30 A 23'00);4351347
Madrid;SALAMANCA-VENTAS;02/01/2018;551;CL CONDE DE PEÑALVER,  34 (Esquina a D. Ramon de la Cruz);SERVICIO DIURNO (DE 9'30 A 23'00);4010968
Madrid;SALAMANCA-VENTAS;02/01/2018;289;CL ALCALA, 172 (Entre Manuel Becerra y Ventas);SERVICIO DIURNO (DE 9'30 A 23'00);1626491
Madrid;SALAMANCA-VENTAS;02/01/2018;363;CL CONDE DE PEÑALVER,  27 (Metro Goya);SERVICIO DIURNO (DE 9'30 A 23'00);4024301
Madrid;SALAMANCA-VENTAS;02/01/2018;126;CL CONDE DE PEÑALVER,  80 (Semiesquina a Juan Bravo);SERVICIO DIURNO (DE 9'30 A 23'00);4021171
Madrid;SALAMANCA-VENTAS;02/01/2018;119;CL NARVAEZ,   3 (Esquina a Goya);SERVICIO DIURNO (DE 9'30 A 23'00);5770032
Madrid;SALAMANCA-VENTAS;02/01/2018;333;CL ALCALA, 173 (Esquina a Montesa);SERVICIO DIURNO (DE 9'30 A 23'00);4013639
Madrid;TETUAN-CUATRO CAMINOS;02/01/2018;1346;PS CASTELLANA, 181;SERVICIO 24 HORAS (DE 9'30 A 9'30);5704891
Madrid;TETUAN-CUATRO CAMINOS;02/01/2018;2612;AV PABLO IGLESIAS,  93;SERVICIO DIURNO (DE 9'30 A 23'00);3115270
Madrid;USERA-VILLAVERDE;02/01/2018;493;CL MARCELO USERA, 114;SERVICIO 24 HORAS (DE 9'30 A 9'30);4756729
Madrid;USERA-VILLAVERDE;02/01/2018;123;ESQ AV LOS POBLADOS (AV ANDALUCIA, KM 6,4);SERVICIO 24 HORAS (DE 9'30 A 9'30);7237731
Madrid;VICALVARO;02/01/2018;1455;CL MERCURIO,  10;SERVICIO DIURNO (DE 9'30 A 23'00);7764023
Madrid;VICALVARO;02/01/2018;1566;CL CAMPO DE LA TORRE,   1 (APE Valderribas-Vicalvaro);SERVICIO DIURNO (DE 9'30 A 21'30);7750011
Madrid;VICALVARO;02/01/2018;931;CL BULEVAR JOSE PRAT,  35 LC.B-26;SERVICIO DIURNO (DE 9'30 A 21'30);7739994
Madrid;VICALVARO;02/01/2018;1473;CL SAN CIPRIANO,  39 (VICALVARO) (Junto a metro San Cipriano);SERVICIO DIURNO (DE 9'30 A 21'30);7765026
Madrid;VICALVARO;02/01/2018;1533;AV GRAN VIA DEL ESTE,  16 Y 18 (METRO PUERTA ARGANDA);SERVICIO DIURNO (DE 9'30 A 21'30);7753024
Madrid;ARAVACA;03/01/2018;1295;CL BLANCA DE CASTILLA,  11;SERVICIO 24 HORAS (DE 9'30 A 9'30);3576914
Madrid;ARAVACA;03/01/2018;601;AV EUROPA, 30 (ARAVACA);SERVICIO DIURNO (DE 9'30 A 23'00);3513312
Madrid;ARAVACA;03/01/2018;2619;AV VICTORIA, S/N CEN COM SEXTA AVENIDA;SERVICIO DIURNO (DE 9'30 A 23'00);3728818
Madrid;ARAVACA;03/01/2018;1198;AV VALDEMARIN, 165 LC 4-2;SERVICIO DIURNO (DE 9'30 A 23'00);3070836
Madrid;BARAJAS-ALAMEDA DE OSUNA;03/01/2018;19;AV GENERAL,   1 (BARAJAS);SERVICIO DIURNO (DE 9'30 A 23'00);3054120
Madrid;BARAJAS-ALAMEDA DE OSUNA;03/01/2018;677;CL AUTOGIRO,   2 ESQ. CL ALAR DEL REY;SERVICIO DIURNO (DE 9'30 A 23'00);3676575
Madrid;BARAJAS-ALAMEDA DE OSUNA;03/01/2018;2514;AEROPUERTO BARAJAS TERMINAL 1 LLEGADAS SALA 2;SERVICIO DE 7'00 A 23'00 HORAS;3055203
Madrid;BARAJAS-ALAMEDA DE OSUNA;03/01/2018;657;T4 AEROPUERTO BARAJAS LC.T2.15;SERVICIO DE 7'00 A 23'00 HORAS;3338357
Madrid;BARAJAS-ALAMEDA DE OSUNA;03/01/2018;1326;AEROPUERTO BARAJAS BULEVAR TERMINAL T2 (Antiguo Terminal Nacional);SERVICIO DE 7'00 A 23'00 HORAS;3054623
Madrid;CARABANCHEL-LATINA;03/01/2018;2274;AV LOS POBLADOS,  58 C.C.PLAZA ALUCHE LC B1-B2;SERVICIO 24 HORAS (DE 9'30 A 9'30);5094389
Madrid;CARABANCHEL-LATINA;03/01/2018;367;PS EXTREMADURA, 124;SERVICIO 24 HORAS (DE 9'30 A 9'30);4631194
