ID_AWARD,WIN_NAME,WIN_NATIONALID,WIN_ADDRESS,WIN_TOWN,WIN_POSTAL_CODE,WIN_COUNTRY_CODE
7241005,UPTIME OÜ,,Pärnu mnt. 158,Tallinn,11317,EE
7241006,Tieto Estonia Aktsiaselts,,Tammsaare tee 47,Tallinn,11316,EE
7241007,AS Reach-U,,Riia 24,Tartu,51010,EE
7241008,Cybernetica AS,,Mäealuse 2/1,Tallinn,12618,EE
7241009,Iglu OÜ,,Roosikrantsi 2,Tallinn,10119,EE
7241010,Heisi IT OÜ,,Lõõtsa 2B,Tallinn,11415,EE
7241011,Wizon OÜ,,Aiandi 3/3 – 62,Tallinn,12916,EE
7241012,Osaühing BPW Consulting,,Lõõtsa 8A,Tallinn,11415,EE
7241013,Aktsiaselts Proekspert,,Sõpruse pst 157,Tallinn,13417,EE
7242861,UAB BAIP,,Juozapavičiaus g. 6/2,Vilnius,09310,LT
7243139,SIA Microsoft Latvia,,Zaļā iela 1,Rīga,1010,LV
7243153,Sabiedrība ar ierobežotu atbildību “Lattelecom”,,Dzirnavu iela 105,Rīga,1011,LV
7243280,AS Reach-U,,Riia 24,Tartu,51010,EE
7246279,UAB iTree Lietuva,,Konstitucijos pr. 7,Vilnius,,LT
7249504,VĮ Distancinių tyrimų ir geoinformatikos centras „GIS-Centras“,,Sėlių g. 66,Vilnius,,LT
7253754,Uždaroji akcinė bendrovė „Blue Bridge“,,J. Jasinskio g. 16,Vilnius,,LT
7256282,DCIT a.s.,,Kodanska 1441/46,Praha,10010,CZ
7258590,Osaühing Alphagis,,Mustamäe tee 4,Tallinn,10621,EE
7258600,OÜ TripleDev,,Pärnu mnt 130-45,Tallinn,11317,EE
7258604,Osaühing Icefire,,Pärnu mnt 102 C,Tallinn,11312,EE
7258820,EBSCO Publishing Inc.,,10 Estes Street,Ipswich,,US
7261311,SIA “Visma Enterprise”,,Kronvalda bulvāris 3/5,Rīga,1010,LV
7263601,AS “Balticom”,,Straupes iela 5/3,Rīga,1073,LV
7265996,Aktsiaselts Datel,,Endla 4,Tallinn,10142,EE
7266049,UAB „INNTEC“ (UAB „INNTEC“ (įmonės kodas 302892992) jungtinėje veikloje su UAB „ELSIS PRO“ (įmonės kodas 300064148)),,Ulonų g. 5,Vilnius,08240,LT
7270175,SIA “LIS Ltd”,,Zirgu iela 7-1,Rīga,1050,LV
7270325,Aktsiaselts Datel,,Endla 4,Tallinn,10142,EE
7272162,Telia Eesti AS,,Valge 16,Tallinn,19095,EE
7272167,Oracle East Central Europe Limited Eesti filiaal,,Liivalaia 45,Tallinn,10145,EE
7272190,AS Finestmedia,,Pärnu mnt 139,Tallinn,11317,EE
7274916,Piegādātāju apvienība: SIA “Lattelecom”; SIA “Stream Network”; SIA “Telia Latvia”,,Dzirnavu iela 105,Rīga,1011,LV
7278040,Ingenious IT; UAB,,Ozo g. 10A,Vilnius,08200,LT
7278168,Aktsiaselts Datel,,Endla 4,Tallinn,10142,EE
7288775,Mindware OÜ,,Pärnu mnt. 158,Tallinn,11317,EE
7288786,Osaühing Net Group,,Pärnu mnt 139c,Tallinn,11317,EE
7291339,UAB „Asseco Lietuva“,,Kalvarijų g. 125,Vilnius,08221,LT
7291365,UAB ATEA,,J. Rutkausko g. 6,Vilnius,05132,LT
7291604,Blue Bridge Code; UAB,,J.Jasinskio g. 16A,Vilnius,03163,LT
7298664,SIA „Aletio“,,Raunas g. 44; k-1,Ryga,1039,LV
7298667,UAB „Asseco Lietuva“,,Kalvarijų g.125,Vilnius,08221,LT
7300468,Uždaroji akcinė bendrovė „BLUE BRIDGE“,,J. Jasinskio g. 16,Vilnius,01112,LT
7303961,SIA Tieto Latvia,,Ropažu iela 10,Rīga,1039,LV
7303961,SIA Tieto Latvia,,Ropažu iela 10,Rīga,1039,LV
7303962,SIA “Corporate Services”,,Pērnavas iela 43a-9,Rīga,1009,LV
7308677,SIA “Lattelecom Technology”,,Pērses iela 8,Rīga,1011,LV
7308889,Sabiedrība ar ierobežotu atbildību “Lattelecom Technology”,,Pērses iela 8,Rīga,1011,LV
7308890,,,,,,
7310127,SIA “ipro”,,Gunāra astras iela 8b,Rīga,1082,LV
7312261,UAB „Alna Software“,,A. Goštauto g. 40B,Vilnius,03163,LT
7315054,UAB „SIGMA TELAS“,,Kalvarijų g. 125,Vilnius,08221,LT
7315055,UAB „AFFECTO LIETUVA“,,Gynėjų g. 4,Vilnius,01109,LT
7315059,UAB „AMIDUS“,,Šiaurės pr. 25-14,Kaunas,49194,LT
7320727,Heisi IT OÜ,,Lõõtsa 2B,Tallinn,11415,EE
7320728,Tieto Estonia Aktsiaselts,,Tammsaare tee 47,Tallinn,11316,EE
7320729,Aktsiaselts Medisoft,,Räägu 35A,Tallinn,13417,EE
7323973,UAB „Vikvera“ (Kepurės besnapės),,Jonavos g. 260,Kauno m.,44131,LT
7323974,Uždaroji akcinė bendrovė „Šerkšnė“,,Šv. Gertrūdos g. 39,Kauno m.; 3000 Kauno m. sav.,44283,LT
7323975,Uždaroji akcinė bendrovė „Omniteksas“,,Raudondvario pl. 101,Kauno m.,47184,LT
7326141,SIA “CUBE Aģentūra”,,Eduarda Smiļģa iela 5-8,Rīga,1048,LV
7326142,SIA “CUBE Aģentūra”,,Eduarda Smiļģa iela 5-8,Rīga,1048,LV
7326143,SIA “TestDevLab”,,Raiņa bulvāris 25,Rīga,1050,LV
7328232,Telia Eesti AS,,Valge 16,Tallinn,19095,EE
7334957,Uždaroji akcinė bendrovė „NEVDA“,,Savanorių pr. 178,Vilnius,03154,LT
7339325,SIA “IBM Latvija”,,Bauskas iela 58a-12,Rīga,1004,LV
7339334,SIA “Datakom”,,Vienības gatve 109,Rīga,1058,LV
7339659,UAB „Cetus“,,Verkių g. 44,Vilnius,09109,LT
7343138,Uždaroji akcinė bendrovė „Blue Bridge“,,J. Jasinskio g. 16,Vilnius,,LT
7347063,Aktsiaselts Sertifitseerimiskeskus,,Pärnu mnt 141,Tallinn,11314,EE
7347335,UAB „HNIT-BALTIC“ (veikia kaip ūkio subjektų grupė su UAB „Proit“; į.k. 302560374; adresas Šeimyniškių g. 3A; LT-09312; Vilnius; tel. +370 69879104),,S. Konarskio g. 28A,Vilnius,03127,LT
7354119,UAB „Synergy Consulting“,,Pilaitės pr. 16,Vilnius,04352,LT
7356252,Uždaroji akcinė bendrovė „TUMA“,,Savanorių pr. 139,Vilniaus m.; Vilniaus m. sav.,,LT
7356253,Akcinė bendrovė „Audimas“,,Raudondvario pl. 80,Kauno m.; 3026 Kauno m. sav.,,LT
7357352,UAB „Proit“,,Šeimyniškių g. 3A,Vilnius,09312,LT
7357354,Uždaroji akcinė bendrovė „Dicto Citius“,,Liepyno g. 9,Vilniaus m.; Vilniaus m. sav.,,LT
7357355,UAB ATEA,,J. Rutkausko g. 6,Vilnius,05132,LT
7359347,OÜ Web Expert,,Rüütli tn 38,Pärnu,80011,EE
7359368,Uždaroji akcinė bendrovė „Acena“,,A. Juozapavičiaus g. 6,Vilnius,09310,LT
7365899,Osaühing ASA Quality Services,,Ehitajate tee 108,Tallinn,12915,EE
7366043,AS “Balticom”,,Straupes iela 5/3,Rīga,1073,LV
7368986,Knowit Estonia OÜ,,Luise 19,Tallinn,10142,EE
7368987,Osaühing ASA Quality Services,,Ehitajate tee 108,Tallinn,12915,EE
7370743,UAB „Proact Lietuva“,,J. Jasinskio g. 16A,Vilnius,,LT
7370744,Oracle East Central Europe Limited Filialas,,A. Goštauto g. 40,Vilnius,,LT
7372629,UAB „Algoritmų sistemos“,,A. Jozapavičiaus g.6/2,Vilnius,09310,LT
7372629,UAB „Algoritmų sistemos“,,A. Jozapavičiaus g.6/2,Vilnius,09310,LT
7372630,UAB „Affecto Lietuva“,,Gynėjų g. 4,Vilnius,01109,LT
7372630,UAB „Affecto Lietuva“,,Gynėjų g. 4,Vilnius,01109,LT
7372631,UAB „INNTEC“ (Grupė: UAB „ELSIS PRO“),,Ulonų g. 5,Vilnius,08240,LT
7372631,UAB „INNTEC“ (Grupė: UAB „ELSIS PRO“),,Ulonų g. 5,Vilnius,08240,LT
7376374,UAB „Pronovus“,,Paplaujos g.,Vilnius,11342,LT
7376374,UAB „Pronovus“,,Paplaujos g.,Vilnius,11342,LT
7376475,UAB ATEA,,J. Rutkausko g. 6,Vilnius,05132,LT
7376476,UAB „INNTEC“,,Oslo g. 1,Vilnius,,LT
7380428,,,,,,
7473212,Consortium S3B; consortium member: 3M Belgium BVBA,,Hermeslaan 7,Diegem,1831,BE
7473212,Consortium S3B; consortium member: Bull SAS,,68 rue Jean Jaurès,Les Clayes-sous-Bois,78340,FR
7473212,Consortium S3B; represented by the group leader Sopra Steria Benelux SA,,boulevard du Souverain 36,Brussels,1170,BE
7384066,Personu apvienība; ko veido AS “Exigen Services Latvia” un SIA “Datakom”,,Jāņa Daliņa iela 15,Rīga,1013,LV
7386702,TEO LT; AB,,Lvovo g. 25,Vilnius,03501,LT
7386703,UAB Duomenų logistikos centras,,A. Juozapavičiaus g. 13,Vilnius,09311,LT
7386704,TEO LT; AB,,Lvovo g. 25,Vilnius,03501,LT
7386705,UAB Duomenų logistikos centras,,A. Juozapavičius g. 13,Vilnius,09311,LT
7386721,Uždaroji akcinė bendrovė „OMNITEL“,,T. Ševčenkos g. 25,Vilnius,03503,LT
7386726,"Personu apvienība ""SIA ""DIVI grupa"" un SIA ""Datorikas institūts DIVI""",,Avotu iela 40-33,Rīga,1009,LV
7390030,UAB InnoForce,,Žygio g. 97,Vilnius,08236,LT
7396981,Uždaroji akcinė bendrovė „Santa Monica Networks“,,Šeiminiškių g. 3,Vilnius,09312,LT
7397063,Telia Eesti AS,,Valge 16,Tallinn,19095,EE
7397078,UAB „Adwisery“,,Konstitucijos pr. 15,Vilnius,09319,LT
7397079,UAB „Alna Software“,,A. Domaševičiaus g. 9,Vilniaus m.; Vilniaus m. sav.,,LT
7397080,Blue Bridge Code; UAB,,J. Jasinskio g. 16A,Vilnius,03163,LT
7397081,UAB „Alna Software“,,A. Domaševičiaus g. 9,Vilniaus m.; Vilniaus m. sav.,,LT
7397082,UAB ATEA,,J. Rutkausko g. 6,Vilnius,05132,LT
7397083,Blue Bridge Code; UAB,,J. Jasinskio g.,Vilnius,03163,LT
7401225,UAB ATEA,,J. Rutkausko g. 6,Vilnius,05132,LT
7403423,UAB „S4ID“,,Geležinio Vilko g. 18 A,Vilnius,08104,LT
7404085,,,,,,
7408247,Personu apvienība SIA “ZZ Dats”/ SIA “Agile & Co”,,Elizabetes iela 41/43,Rīga,1010,LV
7408253,SIA “Strream Networks”,,Cēsu iela 31 k-1,Rīga,1012,LV
7408737,Nortal AS,,Lõõtsa 6,Tallinn,11415,EE
7413887,Labdata LT; UAB,,A. Šabaniausko g. 14,Vilnius,08431,LT
7419039,Uždaroji akcinė bendrovė „TUMA“,,Savanorių pr. 139,Vilniaus m.; Vilniaus m. sav.,03150,LT
7419303,"UAB Asserte (ūkio subjektų grupė"" 302838172 UAB Asserte Vilniaus m. sav. Vilniaus m. Petešos g. 7 122588443 UAB ATEA Juozo Rutkausko g. 6; Vilnius 302489386 UAB ""IT&T systems"" Ozo g. 10A; Vilniaus m.)",,Petešos g. 7,Vilnius,25126,LT
7419308,SIA “Lattelecom”,,Dzirnavu iela 105,Rīga,1011,LV
7419316,SIA “In volv Latvia”,,Mazā Nometņu iela 31,Rīga,1002,LV
7419317,AS “Exigen Services Latvia”,,Jāņa Daliņa iela 15,Rīga,1013,LV
7419617,SIA „Lattelecom technology“ Lietuvos Respublikos teritorijoje atstovaujamo SIA „Lattelecom technology“ filialo,,Perses g. 8,Ryga,,LV
7424012,Aktsiaselts Fujitsu Estonia,,Mustamäe tee 16,Tallinn,10617,EE
7424013,Osaühing ASA Quality Services,,Ehitajate tee 108,Tallinn,12915,EE
7424043,AS “Exigen Services Latvia”,,Jāņa Dāliņa 15,Rīga,1013,LV
7424056,Osaühing Icefire,,Pärnu mnt 102 C,Tallinn,11312,EE
7426165,Osaühing Icefire,,Pärnu mnt 102 C,Tallinn,11312,EE
7426685,UAB ATEA,,J. Rutkausko g. 6,Vilnius,05132,LT
7428559,SIA Elva Baltic,,Robežu iela 46,Rīga,1004,LV
7428570,Osaühing Net Group,,Pärnu mnt 139c,Tallinn,11317,EE
7428572,AS CGI Eesti,,A. H. Tammsaare tee 47,Tallinn,11316,EE
7430376,UAB „Eurosoft LT“,,Pilaitės pr. 16,Vilnius,04352,LT
7430514,Akciju sabiedrība “Exigen Services Latvia”,,Jāņa Daliņa iela 15,Rīga,1013,LV
7435733,Aktsiaselts Andmevara,,Pärnu mnt 158,Tallinn,11317,EE
7435831,Seven2one Informationssysteme GmbH,,Waldstraße 41 – 43,Karlsruhe,76133,DE
7437729,UAB „Elsis PRO“,,Baltupio g. 14,Vilnius,08303,LT
7437857,Uždaroji akcinė bendrovė „Blue Bridge“,,J. Jasinskio g. 16,Vilnius,03163,LT
7439048,UAB iTree Lietuva,,Konstitucijos pr. 7,Vilnius,03209,LT
7439141,SIA “Business Instruments”,,Republikas laukums 3-619,Rīga,1010,LV
7440803,UAB „Algoritmų sistemos“,,Smolensko g. 10,Vilnius,03201,LT
7440810,Uždaroji akcinė bendrovė „Santa Monica Networks“,,Šeimyniškių g. 3,Vilnius,09312,LT
7441025,Osaühing MS Ärisüsteemid,,Lõõtsa 2,Tallinn,11415,EE
7443171,SIA “Identity Solutions”,,Pērnavas iela 43A-9,Rīga,1009,LV
7443171,SIA “Identity Solutions”,,Pērnavas iela 43A-9,Rīga,1009,LV
7446990,Vision Box – Soluções De Visão Por Computador S.A.,,Rua Casal do Canas 2,Carnaxide,204,PT
7447007,Nortal AS,,Lõõtsa 6,Tallinn,11415,EE
7447008,Aktsiaselts Helmes,,Lõõtsa 6,Tallinn,11415,EE
7447036,Nortal AS,,Lõõtsa 6,Tallinn,11415,EE
7447049,Aktsiaselts Fujitsu Estonia,,Mustamäe tee 16,Tallinn,10617,EE
7447104,Blue Bridge Code; UAB,,J. Jasinskio g. 16A,Vilnius,03163,LT
7447105,UAB „Affecto Lietuva“,,Gynėjų g. 4,Vilnius,01109,LT
7447106,UAB „Amidus“,,Studentų g. 65-405,Kaunas,51369,LT
7447107,UAB ATEA,,J. Rutkausko g. 6,Vilnius,05132,LT
7447108,Blue Bridge Code; UAB,,J. Jasinskio g. 16A,Vilnius,03163,LT
7447109,UAB „Affecto Lietuva“,,Gynėjų g. 4,Vilnius,01109,LT
7449099,UAB „Alna Software“,,A. Domaševičiaus g. 9,Vilnius,,LT
7488868,Consortium Bridge: consortium member Atos Belgium NV/SA,0401.848.135,Da Vincilaan 5,Zaventem,1930,BE
7488868,Consortium Bridge³; consortium member Morpho SAS,440 305 282,11 boulevard Gallieni,Issy-les-Moulineaux,92130,FR
7488868,Consortium Bridge³; represented by the Group Leader Accenture NV/SA,0438.675.669,boulevard de Waterloo 16,Brussels,1000,BE
7453336,Personu apvienība SIA “Identity Solutions”; SIA “EUSO”; SIA “UNISO” un SIA “Corporate Solutions”,,Pērnavas iela 43A-9,Rīga,1009,LV
7453336,Personu apvienība SIA “Identity Solutions”; SIA “EUSO”; SIA “UNISO” un SIA “Corporate Solutions”,,Pērnavas iela 43A-9,Rīga,1009,LV
7453355,Aktsiaselts Fujitsu Estonia,,Mustamäe tee 16,Tallinn,10617,EE
7453632,Akcinė bendrovė „Informacinio verslo paslaugų įmonė“,,Gedimino pr. 31,Vilnius,01500,LT
7456895,UAB ATEA,,J. Rutkausko g. 6,Vilnius,05132,LT
7456962,Aktsiaselts Helmes,,Lõõtsa 6,Tallinn,11415,EE
7456963,Aktsiaselts Andmevara,,Pärnu mnt 158,Tallinn,11317,EE
7456964,Osaühing Inversion Software,,Puhkekodu tee 7,Tallinn,12013,EE
7456965,Aktsiaselts Fujitsu Estonia,,Mustamäe tee 16,Tallinn,10617,EE
7456966,Aktsiaselts Helmes,,Lõõtsa 6,Tallinn,11415,EE
7456967,OÜ ThorGate Management,,Mäealuse 2/1,Tallinn,12618,EE
7456968,Osaühing Aktors,,A. H. Tammsaare tee 118d,Tallinn,12918,EE
7456979,AS CGI Eesti,,A. H. Tammsaare tee 47,Tallinn,11316,EE
7456980,AS Finestmedia,,Pärnu mnt 139,Tallinn,11317,EE
7456981,Aktsiaselts Helmes,,Lõõtsa 6,Tallinn,11415,EE
7456982,Nortal AS,,Lõõtsa 6,Tallinn,11415,EE
7456983,Osaühing Aktors,,A. H.Tammsaare tee 118d,Tallinn,12918,EE
7456984,RaulWalter OÜ,,Rüütli tn 11,Tallinn,10130,EE
7456985,OÜ TripleDev,,Pärnu mnt 130-45,Tallinn,11317,EE
7464288,VĮ Distancinių tyrimų ir geoinformatikos centras „GIS-Centras“ (VĮ Distancinių tyrimų ir geoinformatikos centras „GIS-Centras“; veikiantis jungtinės veiklos sutarties pagrindu su Vilniaus Gedimino technikos universitetu.),,Sėlių g. 66,Vilnius,08109,LT
7468408,SIA “Giraffe Visualisation Group”,,Stabu iela 61,Rīga,1011,LV
7468655,UAB ATEA,,J. Rutkausko g. 6,Vilnius,05132,LT
7496311,TEO LT; AB,,Lvovo g. 25,Vilnius,03521,LT
7496312,UAB „Proact Lietuva“,,J. Jasinskio g. 16A,Vilnius,03163,LT
7496364,Uždaroji akcinė bendrovė „Blue Bridge“,,J. Jasinskio g. 16,Vilnius,01112,LT
7498936,Osaühing Aktors,,A. H. Tammsaare tee 118d,Tallinn,12918,EE
7504761,UAB „Algoritmų sistemos“ (UAB „Algoritmų sistemos“; veikianti jungtinės veiklos sutarties pagrindu su UAB „Dts solutions“ (135885245)),,Smolensko g. 10,Vilnius,03201,LT
7504762,UAB „Affecto Lietuva“ (ūkio subjektų grupė: UAB „Affecto Lietuva“ (210316340) ir UAB „Hnit-Baltic“ (110584280)),,Perkūnkiemio g. 4A,Vilnius,12128,LT
7506800,J.H.Tonnjes E.A.S.T. GmbH & Co.KG,,Syker Str. 201,Delmenhorst,27751,DE
7506801,AS Exign Servisces Latvia,,J.Daliņa 15,Rīga,1013,LV
7506815,SIA “Meditec”,,Graudu iela 68,Rīga,1058,LV
7506820,SIA “Meditec”,,Graudu ielā 68,Riga,1058,LV
7506972,OÜ Awerk-Data,,Vabaõhumuuseumi tee 4,Tallinn,13522,EE
7511618,Columbus Eesti Aktsiaselts,,Veerenni 58a,Tallinn,11314,EE
7513575,UAB „Affecto Lietuva“,,Gynėjų g. 4,Vilnius,01109,LT
7513748,SIA ABC software,,Turaidas iela 10,Rīga,1039,LV
7513748,SIA ABC software,,Turaidas iela 10,Rīga,1039,LV
7513749,AS RIX Technologies,,Blaumaņa iela 5a-3,Rīga,1011,LV
7513749,AS RIX Technologies,,Blaumaņa iela 5a-3,Rīga,1011,LV
7522505,SIA ABC software,,Turaidas iela 10,Rīga,1039,LV
7522505,SIA ABC software,,Turaidas iela 10,Rīga,1039,LV
7522506,AS RIX Technologies,,Blaumaņa iela 5a-3,Rīga,1011,LV
7522506,AS RIX Technologies,,Blaumaņa iela 5a-3,Rīga,1011,LV
7522509,Sabiedrība ar ierobežotu atbildību “MIKROKODS”,,Brīvības gatve 224,Rīga,1039,LV
7522532,SIA “Atea”,,Ūnijas iela 11a,Rīga,1039,LV
7522586,Osaühing Icefire,,Pärnu mnt 102 C,Tallinn,11312,EE
7522614,Võrguvara Aktsiaselts,,Türi 10c,Tallinn,11313,EE
7525558,,,,,,
7525559,,,,,,
7525560,,,,,,
7525561,,,,,,
7525562,,,,,,
7525563,,,,,,
7525564,,,,,,
7525565,,,,,,
7525566,,,,,,
7525567,,,,,,
7525568,,,,,,
7525569,UAB „voestalpine VAE Legetecha“,,Draugystės g. 8,Valčiūnų k.; Vilniaus r. sav.,,LT
7527109,AS RIX Technologies,,Blaumaņa iela 5A-3,Rīga,1011,LV
7527110,AS RIX Technologies,,Blaumaņa iela 5A-3,Rīga,1011,LV
7529320,UAB „Idea prima“,,Trakų g. 9/1,Vilniaus m.; Vilniaus m. sav.,01133,LT
7529380,SIA “Tieto Latvia”,,Ropažu iela 10,Rīga,1039,LV
7529482,Aktsiaselts Fujitsu Estonia,,Mustamäe tee 16,Tallinn,10617,EE
7530809,Ex Libris Ltd,,Malha Technological Park,Jeruzāleme,9,IL
7530811,SIA “Visma Consulting”,,Skanstes iela 50,Rīga,1013,LV
7531005,Uždaroji akcinė bendrovė „Baltnetos komunikacijos“,,Panerių g. 26,Vilnius,03209,LT
7534373,UAB „Proact Lietuva“,,J. Jasinskio g. 16A,Vilniaus,03163,LT
7534374,UAB „EIT Sprendimai“,,Baltupio g. 14; 08303,Vilnius,05132,LT
7538593,Opus Online OÜ,,Lõkke 4,Tallinn,10122,EE
7541107,OÜ Quretec,,Ülikooli 6A,Tartu,51003,EE
7543036,Cybernetica AS,,Mäealuse 2/1,Tallinn,12618,EE
7545083,SIA Squalio Cloud Consulting,,Elizabetes iela 75,Rīga,1050,LV
7545230,Uždaroji akcinė bendrovė „Blue Bridge“,,J. Jasinskio g. 16,Vilnius,01112,LT
7545231,UAB „Asseco Lietuva“,,Kalvarijų g. 125,Vilnius,08221,LT
7547365,VAS “Latvijas Valsts radio un televīzijas centrs”,,Ērgļu iela 7,Rīga,1395,LV
7547387,Uždaroji akcinė bendrovė „Santa Monica Networks“,,Perkūnkiemio g. 7,Vilnius,,LT
7547388,Uždaroji akcinė bendrovė „Santa Monica Networks“,,Perkūnkiemio g. 7,Vilnius,12131,LT
7550001,Uždaroji akcinė bendrovė „Graina“,,Durpyno g. 22,Panevėžys,36237,LT
7552544,UAB „Asseco Lietuva“,,Kalvarijų g. 125,Vilnius,08221,LT
7556876,Nortal AS,,Lõõtsa 6,Tallinn,11415,EE
7561856,UAB „IO projects“ (Ūkio subjektų grupė UAB „IO projects“ (į. k. 302444537) ir UAB „Netcode“ (į. k. 302906100)),,P. Lukšio g. 32,Vilnius,08222,LT
7567992,UAB „Alna Software“,,A. Domaševičiaus g. 9,Vilniaus m.; Vilniaus m. sav.,03163,LT
7568009,UAB „E. Ana“ (ūkio subjektų grupė – UAB „E.Ana“; UAB „Solver“; UAB e-Projects),,T. Ševčenkos g. 16A,Vilniaus m.; Vilniaus m. sav.,,LT
7570378,Velvet DP OÜ,,Telliskivi tn 60a,Tallinn,10412,EE
7572141,Clarified Security OÜ,,Lõõtsa tn 8,Tallinn,11415,EE
7572150,UAB „Affecto Lietuva“,,Gynėjų g. 4,Vilnius,02128,LT
7573546,UAB „Alna Software“,,A. Goštauto g. 40B,Vilniaus m.; Vilniaus m. sav.,01112,LT
7575302,UAB ATEA,,J. Rutkausko g. 6,Vilnius,,LT
7575305,MCS Grupa d.o.o,,Zagrebačka cesta 126,Zagrebas,10000,HR
7575385,UAB „Alna Software“,,A. Domaševičiaus g. 9,Vilnius,03163,LT
7575386,UAB ATEA,,J. Rutkausko g. 6,vilnis,,LT
7579784,UAB „Dts solutions“ (UAB „Dts solutions“; veikianti jungtinės veiklos sutarties pagrindu su UAB „ATEA“ (122588443)),,Savanorių pr. 133-1,Kauno m.; Kauno m. sav.,3005,LT
7579803,AS Reach-U,,Riia 24,Tartu,51010,EE
7580053,pateikė SIA „Lattelecom technology“ Lietuvos Respublikos teritorijoje atstovaujama SIA „Lattelecom technology“ filialo,,Perses g. 8,Ryga,,LV
7580054,Valstybės įmonė „Oro navigacija“,,Rodūnios kelias 2,Vilnius,,LT
7580059,UAB ATEA,,J. Rutkausko g. 6,Vilnius,05132,LT
7580064,TEO LT; AB,,Savanorių pr. 28,Vilnius,,LT
7581707,sabiedrība ar ierobežotu atbildību “SOAAR”,,Mazplānlejas,Salas novads,5230,LV
7583290,SIA “Arbor Medical Korporācija”,,Meistaru iela 7,Ķekavas novads; Valdlauči,1076,LV
7585283,"UAB ""S2P“",,P. Žadeikos g. 26-17,Vilnius,06322,LT
7587695,UAB „Pronovus“,,Minsko pl. 3-301,Vilnius,02121,LT
7587699,UAB „Asseco Lietuva“,,Kalvarijų g. 125,Vilnius,08221,LT
7587701,Blue Bridge Code; UAB,,J. Jasinskio g. 16A,Vilnius,03163,LT
7587717,UAB „DocLogix“,,J. Galvydžio g. 3,Vilniaus m.; Vilniaus m. sav.,08236,LT
7590201,Uždaroji akcinė bendrovė „Blue Bridge“,,J. Jasinskio g. 16,Vilnius,01112,LT
7593941,UAB iTree Lietuva,,Konstitucijos pr. 7,Vilnius,09308,LT
7594350,UAB „S4ID“,,Pilies g. 36-36,Vilniaus m.; Vilniaus m. sav.,,LT
7596818,Osaühing GT Tarkvara,,Pärnu mnt 141,Tallinn,11314,EE
7598331,UAB ATEA (ūkio subjektų grupė; kurią sudaro UAB „Atea“ ir UAB „Leksinova“),,J. Rutkausko g. 6,Vilnius,,LT
7598545,Ericsson Eesti Aktsiaselts,,Järvevana tee 9,Tallinn,0001,EE
7603399,Aktsiaselts Datel,,Endla tn 4,Tallinn,10142,EE
7603400,Osaühing ASA Quality Services,,Ehitajate tee 108,Tallinn,12915,EE
7604879,Nortal AS,,Lõõtsa 6,Tallinn,11415,EE
7606659,Telia Eesti AS,,Valge 16,Tallinn,19095,EE
7611303,SIA “MikroKods”,,Brīvības gatve 223,Rīga,1039,LV
7615075,Aktsiaselts Helmes,,Lõõtsa 6,Tallinn,11415,EE
7615076,Nortal AS,,Lõõtsa 6,Tallinn,11415,EE
7615077,Aktsiaselts Fujitsu Estonia,,Mustamäe tee 16,Tallinn,10617,EE
7616470,Esecom International OÜ,,Järvevana tee 9,Tallinn,11314,EE
7616480,Aktsiaselts Datel,,Endla tn 4,Tallinn,10142,EE
