id	university	collection	creatorName	resource - creators - creator - affiliation	creatorNameURI	resource - relatedIdentifiers - relatedIdentifier	resource - relatedIdentifiers - relatedIdentifier - relationType	rightsOA	resource - relatedIdentifiers - relatedIdentifier - relatedIdentifierType	otherDescription	abstract	resource - relatedIdentifiers - relatedIdentifier - resourceTypeGeneral	subject	rights	rightsURI	date	dateType	url	title	publisher	identifier	identifierType	resourceTypeGeneral	resourceType	publicationYear	resource - version	language	resource - contributors	resource - contributors - contributor	resource - contributors - contributor - contributorType	resource - contributors - contributor - contributorName	resource - contributors - contributor - givenName	resource - contributors - contributor - familyName	resource - contributors - contributor - affiliation	resource - contributors - contributor - nameIdentifier	resource - contributors - contributor - nameIdentifier - schemeURI	resource - contributors - contributor - nameIdentifier - nameIdentifierScheme
10.5281_zenodo.2551279	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Hapke, Thomas	Technische Universität Hamburg	https://orcid.org/0000-0002-5135-2693	10.5281/zenodo.2551278	IsVersionOf	Open Access	DOI		Grafische Darstellung zum Life Cycle Wissenschaftliche Kommunikation. Nutzung als Advance Organizer im Rahmen von Lehrveranstaltungen. Graphical presentation of the life cycle of scholarly communication (one slide in English). To be used as advance organizer for educational purposes.		scholarly communication	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2019-01-28	Issued	https://doi.org/10.5281/zenodo.2551279	Life-Cycle Wissenschaftliche Kommunikation	Zenodo	10.5281/zenodo.2551279	DOI	Image	Diagram	2019		de										
						https://zenodo.org/communities/tuhh	IsPartOf		URL				wissenschaftliche Kommunikation																								
10.5281_zenodo.33283	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Hapke, Thomas	Hamburg University of Technology, University Library		10.5281/zenodo.618634	IsVersionOf	Open Access	DOI		Short German text on how to deal with citations and references when writing academic texts (Main context: for educational purposes in the engineering sciences). Kurze Handreichung zum Umgang mit Zitierungen beim Schreiben akademischer Texte (Kontext: Didaktische Absicht in den Ingenieurwissenschaften)		citing␟ Zitieren␟ references␟ Zitate␟ academic writing␟ wissenschaftliches Schreiben	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2015-11-05	Issued	https://doi.org/10.5281/zenodo.33283	Zitieren und das Literatur- bzw. Quellenverzeichnis – eine Handreichung	Zenodo	10.5281/zenodo.33283	DOI	InteractiveResource	Interactive Resource	2015												
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
10.5281_zenodo.1745329	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Hapke, Thomas	Hamburg University of Technology, University Library	https://orcid.org/0000-0002-5135-2693	10.5281/zenodo.618634	IsVersionOf	Open Access	DOI		Short German text on how to deal with citations and references when writing academic texts (Main context: for educational purposes in the engineering sciences). Kurze Handreichung zum Umgang mit Zitierungen beim Schreiben akademischer Texte (Kontext: Didaktische Absicht in den Ingenieurwissenschaften)		citing␟ Zitieren␟ references␟ Zitate␟ academic writing␟ wissenschaftliches Schreiben	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2018-11-30	Issued	https://doi.org/10.5281/zenodo.1745329	Zitieren und das Literatur- bzw. Quellenverzeichnis – eine Handreichung	Zenodo	10.5281/zenodo.1745329	DOI	InteractiveResource	Interactive Resource	2018	Logo of pdf udated	de										
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
10.5281_zenodo.1745311	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Hapke, Thomas	Hamburg University of Technology, University Library		10.5281/zenodo.618634	IsVersionOf	Open Access	DOI		Short German text on how to deal with citations and references when writing academic texts (Main context: for educational purposes in the engineering sciences). Kurze Handreichung zum Umgang mit Zitierungen beim Schreiben akademischer Texte (Kontext: Didaktische Absicht in den Ingenieurwissenschaften)		citing␟ Zitieren␟ references␟ Zitate␟ academic writing␟ wissenschaftliches Schreiben	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2018-11-30	Issued	https://doi.org/10.5281/zenodo.1745311	Zitieren und das Literatur- bzw. Quellenverzeichnis – eine Handreichung	Zenodo	10.5281/zenodo.1745311	DOI	InteractiveResource	Interactive Resource	2018	Literaturangaben korrigiert, references corrected, November 2018	de										
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
10.5281_zenodo.908479	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Hapke, Thomas	Hamburg University of Technology (TUHH)	https://orcid.org/0000-0002-5135-2693	10.5281/zenodo.908478	IsVersionOf	Open Access	DOI		Poster (in English and German language) illustrating different views on information literacy. Poster in deutscher und englischer Sprache zur Veranschaulichung verschiedener Sichten auf Informationskompetenz.		information literacy	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2017-09-21	Issued	https://doi.org/10.5281/zenodo.908479	Views on information literacy / Sichten auf Informationskompetenz	Zenodo	10.5281/zenodo.908479	DOI	Text	Poster	2017												
						https://zenodo.org/communities/tuhh	IsPartOf		URL	"Spiranec, S.; Banek Zorica, M. & Kos, D. (2016). Information Literacy in participatory environments: The turn towards a critical literacy perspective. Journal of Documentation 72, 2, 247–264. p. 259␟Addison, C. & Meyers, E. (2013). Perspectives on information literacy: a framework for conceptual understanding. Information research 18, 3 http://www.informationr.net/ir/18-3/colis/paperC27.html␟Whitworth, A. (2013). The Design of Media and Information Literacy. In: Media and Information Literacy for Knowledge Societies. Moscow: Interregional Library Cooperation Centre, 2013. 40-54. p. 47 http://www.ifapcom.ru/files/News/Images/2013/mil_eng_web.pdf␟Hapke, T. (2007). Informationskompetenz 2.0 und das Verschwinden des ""Nutzers"". Bibliothek 31, 2, 137-149. p. 141"			Informationskompetenz																								
10.5281_zenodo.1012684	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Grass, Emilia	TUHH	https://orcid.org/0000-0001-8460-8395	10.5281/zenodo.1012683	IsVersionOf	Open Access	DOI		"File ""DataImport"" contains a ""ReadMe"" file, raw data for all case studies in Excel and the MATLAB code ""ImportData.m"" importing Excel data into MATLAB File ""LShaped"" contains a ""ReadMe"" file, all data in the form of matrices and the MATLAB code ""LShaped_MultiCut.m"" solving all case studies via the standard or accelerated L-shaped method using a multi-cut approach File ""Results"" contains a ""ReadMe"" file, results of all case studies and computation time required by Gurobi, der standard L-shaped method and accelerated L-shaped method"		data for case studies␟ MATLAB codes␟ numerical results	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2017-12-07	Issued	https://doi.org/10.5281/zenodo.1012684	"Additonal material for the dissertation ""An Accelerated Solution Method for Two-Stage Stochastic Models in Disaster Management"": Data, MATLAB codes and results"	Zenodo	10.5281/zenodo.1012684	DOI	Dataset	Dataset	2017		en										
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
10.5281_zenodo.1313054	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Sebastian Lindner	Hamburg University of Technology	https://orcid.org/0000-0002-5694-9675	https://github.com/ComNetsHH/LRE-OMNeT/tree/v1.0.1	IsSupplementTo	Open Access	URL		Integration of the LRE algorithm for the OMNeT++ simulator.			Open Access		2018-07-16	Issued	https://doi.org/10.5281/zenodo.1313054	ComNetsHH/LRE-OMNeT: Publication release	Zenodo	10.5281/zenodo.1313054	DOI	Software	Software	2018	v1.0.1											
						10.5281/zenodo.1313026	IsVersionOf		DOI																												
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
10.5281_zenodo.1313027	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Sebastian Lindner	Hamburg University of Technology	https://orcid.org/0000-0002-5694-9675	https://github.com/ComNetsHH/LRE-OMNeT/tree/v1.0.0	IsSupplementTo	Open Access	URL		Integration of the LRE algorithm into the OMNeT++ simulator.			GNU General Public License v3.0 only		2018-07-16	Issued	https://doi.org/10.5281/zenodo.1313027	ComNetsHH/LRE-OMNeT: First release	Zenodo	10.5281/zenodo.1313027	DOI	Software	Software	2018	v1.0.0											
						10.5281/zenodo.1313026	IsVersionOf		DOI																												
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
10.5281_zenodo.2547325	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Chaykin, Denis	Technische Universität Hamburg		10.5281/zenodo.2547324	IsVersionOf	Open Access	DOI		"The provided dataset contains rigorous error bounds for the ESC and RDM libraries computed before 2016-11-17. The data is used in the publication ""Rigorous results in electronic structure calculations"" by Denis Chaykin, Christian Jansson, Frerich Keil, Marko Lange, Kai Torben Ohlhus, and Siegfried M. Rump (http://www.optimization-online.org/DB_HTML/2016/11/5730.html). This ZIP-archive is organized as follows: data Computed error bounds for 47 ESC and 8 RDM test cases. log Log files of the computations. src Auxiliary MATLAB/GNU Octave code. tables Exported tables for the publication. STEPx.m Four MATLAB/GNU Octave functions to reproduce the data. In general all scripts are executed and the results attached. The scripts are only provided for the purpose of reproducing the given data. STEP1_setup.m Adapt all paths to your local setup and run this function. In particular, the paths of INTLAB, SDPT3, and VSDP-2012 and the data paths of https://github.com/vsdp/ESC and https://github.com/vsdp/RDM must be set. This function must be run before any other of the following functions! STEP2_prepare_data.m This function extracts the original test data and stores it in VSDP-2012 format inside a MAT-file. Those MAT-files can be found in the data subdirectory. STEP3_run.m This function actually performs all VSDP computations again. Thus it may take a few days to complete. Only consider to run this function for reproducing data. It is strongly recommended to adapt the code for relevant parts or test cases only. Logs are written to the log subdirectory. STEP4_export_tables.m This function exports the published tables. Those can be found in the tables subdirectory."			Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2016-11-17	Issued	https://doi.org/10.5281/zenodo.2547325	Rigorous results in electronic structure calculations	Zenodo	10.5281/zenodo.2547325	DOI	Dataset	Dataset	2016		en										
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
			Jansson, Christian	Technische Universität Hamburg																																	
			Keil, Frerich	Technische Universität Hamburg																																	
			Lange, Marko	Technische Universität Hamburg	https://orcid.org/0000-0003-0501-1887																																
			Ohlhus, Kai Torben	Technische Universität Hamburg	https://orcid.org/0000-0003-3915-953X																																
			Rump, Siegfried M.	Technische Universität Hamburg	https://orcid.org/0000-0002-4779-4800																																
10.5281_zenodo.1400553	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Lübkert, Tobias	Telematics, Hamburg University of Technology, Hamburg, Germany	https://orcid.org/0000-0001-5125-5191	10.5281/zenodo.1400552	IsVersionOf	Open Access	DOI		"The Zip file contains the raw data used for drawing conclusions in the paper ""Calculating Retail Prices from Demand Response Target Schedules to Operate Domestic Electric Water Heaters"" accepted for publication in Energy Informatics 2018. The raw data is the parameters of a sample of 50 domestic electric water heaters (DEWHs) used for evaluating the algorithm in the paper. It is explained in the readme.txt."		smart grid␟ demand response␟ domestic electric water heater	Creative Commons Attribution Non Commercial 4.0 International	https://creativecommons.org/licenses/by-nc/4.0/legalcode	2018-08-02	Issued	https://doi.org/10.5281/zenodo.1400553	"Raw data belonging to paper ""Calculating Retail Prices from Demand Response Target Schedules to Operate Domestic Electric Water Heaters"""	Zenodo	10.5281/zenodo.1400553	DOI	Dataset	Dataset	2018	1.0.0											
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
			Venzke, Marcus	Telematics, Hamburg University of Technology, Hamburg, Germany																																	
			Turau, Volker	Telematics, Hamburg University of Technology, Hamburg, Germany	https://orcid.org/0000-0001-9964-8816																																
10.5281_zenodo.1312970	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Sebastian Lindner	Hamburg University of Technology	https://orcid.org/0000-0002-5694-9675	https://github.com/ComNetsHH/LRE/tree/v1.0.0	IsSupplementTo	Open Access	URL		Standalone implementation of the Limited Relative Error algorithm. Includes a Python wrapper.		probability algorithm simulation	GNU Lesser General Public License v2.1 only		2018-07-16	Issued	https://doi.org/10.5281/zenodo.1312970	ComNetsHH/LRE: First release	Zenodo	10.5281/zenodo.1312970	DOI	Software	Software	2018	v1.0.0											
						10.5281/zenodo.1312969	IsVersionOf		DOI																												
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
			Leo Krueger	Hamburg University of Technology	https://orcid.org/0000-0002-9886-889X																																
10.5281_zenodo.3256383	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Janßen, Christian F.	Hamburg University of Technology	https://orcid.org/0000-0003-1462-2778	10.5281/zenodo.3256382	IsVersionOf	Open Access	DOI		This webinar discusses how NVIDIA GPUs and NVIDIA CUDA can enable high-fidelity Computational Fluid Dynamics for Higher Education and Research. Flow field computations for transient and turbulent flow problems are very compute-intensive and time-consuming. Popular existing numerical techniques often compromise on the underlying physics or require a massive amount of computational resources. Accurate high-fidelity CFD simulations on locally available hardware hence are highly appreciated by academia and industry. After a brief review of the theoretical basics and implementation details of a CUDA-accelerated CFD solver, results from several international research projects are presented. They all demonstrate that GPU computing can be a game changer for state-of-the art research projects in many relevant areas of Computational Fluid Dynamics.			Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2019-06-25	Issued	https://doi.org/10.5281/zenodo.3256383	CUDA-accelerated Computational Fluid Dynamics (NVIDIA Webinar)	Zenodo	10.5281/zenodo.3256383	DOI	Text	Presentation	2019												
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
			Mierke, Dennis	Hamburg University of Technology	https://orcid.org/0000-0002-8883-1911																																
			Gehrke, Martin	Hamburg University of Technology	https://orcid.org/0000-0002-5073-397X																																
			Asmuth, Henrik	Uppsala University	https://orcid.org/0000-0003-2929-3022																																
10.5281_zenodo.45801	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Venzke, Marcus 	Telematics, Hamburg University of Technology, Hamburg, Germany		https://zenodo.org/communities/tuhh	IsPartOf	Open Access	URL		"The Zip file contains the raw data used for drawing conclusions in the paper ""Simulative Evaluation of Demand Response Approaches for Waterbeds"" published on IEEE ENERGYCON 2016. The paper quantitatively compares demand response approaches for waterbeds using simulation. The raw data was produces from the simulation log files or measurements with a real waterbed. It is described in file readme.pdf contained in the Zip file."		smart grid	Open Access		2016-02-08	Issued	https://doi.org/10.5281/zenodo.45801	Raw data belonging to paper “Simulative Evaluation of Demand Response Approaches for Waterbeds”	Zenodo	10.5281/zenodo.45801	DOI	Dataset	Dataset	2016												
													demand response																								
													demand side management																								
													waterbed																								
			Turau, Volker	Telematics, Hamburg University of Technology, Hamburg, Germany																																	
10.5281_zenodo.3238600	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Rajski, Beate	Hamburg University of Technology	https://orcid.org/0000-0002-0555-2280	10.5281/zenodo.3238599	IsVersionOf	Open Access	DOI		The Hamburg University of Technology is using DSpace-CRIS for their Open Access repository. In context of the Hamburg Open Science program this repository is going to be extended with a research data repository and supposed to include all researchers, organization units and publications (also non OA, even without any fulltext) building a research information system and a university bibliography. DSpace-CRIS is adopting some recommendations for next generation repositories by the Confederation of Open Access Repositories (COAR) and is providing entity structures, which a normal DSpace system does not have yet. Thus we believe, that by sticking with DSpace (CRIS) we are well prepared for the future having a good community with active developers. This presentation shows, how DSpace-CRIS helped us to cover the two new components of the repository and which challenges we had to face while developing the new All-in-One system.		DSpace	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2019-06-10	Issued	https://doi.org/10.5281/zenodo.3238600	Building an All-in-one Service: Extending an existing Open Access Repository to a complete Research Information System	Zenodo	10.5281/zenodo.3238600	DOI	Text	Presentation	2019		en										
						https://zenodo.org/communities/hamburgopenscience	IsPartOf		URL				CRIS																								
						https://zenodo.org/communities/tuhh	IsPartOf		URL				Repository																								
													Research Data																								
													Hamburg																								
			Goldschmidt, Oliver	Hamburg University of Technology	https://orcid.org/0000-0002-5468-401X																																
10.5281_zenodo.3258247	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Jan Brumm	Institute of Communications, Hamburg University of Technology	https://orcid.org/0000-0002-3623-4584	https://github.com/janbrumm/inbodychannel/tree/v1.0.0	IsSupplementTo	Open Access	URL		The provided data contains the modeling parameters and a Python script to generate random transfer functions for ultra wideband in-body communication as described in [BSB19] J.-C. Brumm, H. Strohm and G. Bauch, “A Stochastic Channel Model for UWB In-Body Communication,” in 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC'2019). Berlin, Germany, 2019. The software can also be found in our GitLab repository https://collaborating.tuhh.de/int/in-body/inbodychannel.			MIT License		2019-06-27	Issued	https://doi.org/10.5281/zenodo.3258247	janbrumm/inbodychannel: Version v1.0.0	Zenodo	10.5281/zenodo.3258247	DOI	Software	Software	2019	v1.0.0											
						10.5281/zenodo.3258246	IsVersionOf		DOI																												
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
			Hannah Strohm	Institute of Communications, Hamburg University of Technology																																	
10.5281_zenodo.33330	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Goldschmidt, Oliver	TU Hamburg-Harburg		https://zenodo.org/communities/tuhh	IsPartOf	Open Access	URL		In dieser Präsentation (deutschsprachig) wird die Migration von OPUS3 zu DSpace anhand der Installation an der TU Hamburg-Harburg beschrieben.			Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2015-10-05	Issued	https://doi.org/10.5281/zenodo.33330	Von OPUS zu DSpace - Ein Migrationsbericht	Zenodo	10.5281/zenodo.33330	DOI	Text	Presentation	2015												
10.5281_zenodo.2543517	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Brumm, Jan-Christoph	Institute of Communications, Hamburg University of Technology	https://orcid.org/0000-0002-3623-4584	10.5281/zenodo.3258247	IsIdenticalTo	Open Access	DOI		The provided data contains the modeling parameters and a Python script to generate random transfer functions for ultra wideband in-body communication as described in [BSB19] J.-C. Brumm, H. Strohm and G. Bauch, “A Stochastic Channel Model for UWB In-Body Communication,” in 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC'2019). Berlin, Germany, 2019. More information can be found in our GitLab repository https://collaborating.tuhh.de/int/in-body/inbodychannel.		Ultra wideband	MIT License		2019-07-23	Issued	https://doi.org/10.5281/zenodo.2543517	"Modeling Parameters from the Paper ""A Stochastic Channel Model for Ultra Wideband In-Body Communication"""	Zenodo	10.5281/zenodo.2543517	DOI	Software	Software	2019	v1.0.0											
						10.5281/zenodo.2543516	IsVersionOf		DOI				In-body communication																								
						https://zenodo.org/communities/tuhh	IsPartOf		URL				Capsule endoscopy																								
													Stochastic Channel Model																								
			Strohm, Hannah	Institute of Communications, Hamburg University of Technology																																	
			Bauch, Gerhard	Institute of Communications, Hamburg University of Technology																																	
10.5281_zenodo.3598649	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Miriam Exner	University Medical Center Hamburg / TU Hamburg		https://github.com/mgraeser/3DAnatomicalRatModel/tree/1.0	IsSupplementTo	Open Access	URL		This is the version 1.0 of our static, 3D printable, anatomical rat model. The designed purpos is to provide a anatomical shaped phantom for medical imaging. The organs are constructed as hollow bodys, which can be filled with contrast agend suiteable for the technology of interest, e.g. iodine for CT, gadolinium for MRI or iron nanoparticles for MPI. Thus, it can be used as reference data or for experiment planing. In addition, it can be used for teaching purposes, for people making first steps in preclinical research. For best results, it is recommended to use the .form files to print the model in the optimized orientation on a Form2 or Form3 printer. On other printers the .stl files should be used. A publication using this phantom can be found here: https://doi.org/10.1515/cdbme-2019-0048		3D printable anatomical rat model	Creative Commons Attribution Non Commercial 4.0 International	https://creativecommons.org/licenses/by-nc/4.0/legalcode	2020-01-06	Issued	https://doi.org/10.5281/zenodo.3598649	3DAnatomicalRatModel: A printable version of a 3D anatomical rat model	Zenodo	10.5281/zenodo.3598649	DOI	Dataset	Dataset	2020	1.0											
						10.5281/zenodo.3598648	IsVersionOf		DOI	Exner et al. doi: 10.1515/cdbme-2019-0048																											
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
			Patryk Szwargulski	University Medical Center Hamburg / TU Hamburg	https://orcid.org/0000-0003-2563-9006																																
			Peter Ludewig	University Medical Center Hamburg	https://orcid.org/0000-0001-9025-6402																																
			Tobias Knopp	University Medical Center Hamburg / TU Hamburg	https://orcid.org/0000-0002-1589-8517																																
			Matthias Graeser	University Medical Center Hamburg / TU Hamburg	https://orcid.org/0000-0003-1472-5988																																
10.5281_zenodo.3351385	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Lindner, Sebastian	Hamburg University of Technology	https://orcid.org/0000-0002-5694-9675	https://github.com/ComNetsHH/simulte/tree/v1.0	IsSupplementTo	Open Access	URL		"Besides some bug fixes and additional statistic collection, this branch implements a new channel model: the abstract two-state Gilbert-Elliot Hidden Markov Model. Configuration and usage is simple using **.lteNic.LteChannelModelType = ""LteGilbertElliotChannelModel""
**.lteNic.channelModel.trans_prob_bad_state = 0.5 # p21
**.lteNic.channelModel.trans_prob_good_state = 0.25 # p12
**.lteNic.channelModel.error_prob_bad_state = 1.0
**.lteNic.channelModel.error_prob_good_state = 0.1
 where transition probabilities from a good to a bad state can be specified and vice-versa, as well as their error probabilities. The discrete-time model is evaluated everytime the error function is used: a random number determines if the channel state changes, and the current state's error probability determines whether the current packet is lost or not."			GNU General Public License v3.0 only		2019-07-25	Issued	https://doi.org/10.5281/zenodo.3351385	ComNetsHH/simulte: Publication Release	Zenodo	10.5281/zenodo.3351385	DOI	Software	Software	2019	v1.0											
						10.5281/zenodo.3351384	IsVersionOf		DOI																												
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
			Elsner, Raphael	Hamburg University of Technology																																	
			Giovanni																																		
			Antonio	University of Pisa																																	
			Rudolf Hornig																																		
			Andras Varga	Opensim Ltd.																																	
			Levente Mészáros																																		
			hchenji																																		
10.5281_zenodo.1477878	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Goldschmidt, Oliver	Hamburg University of Technology	https://orcid.org/0000-0002-5468-401X	10.5281/zenodo.1477877	IsVersionOf	Open Access	DOI		In diesem Poster werden die ORCID-Integrationen der TU Hamburg beschrieben: Use Case #1: Profil in der Kontaktdatenbank Übernahme in LDAP-Directory Anzeige in der Personensuche Anzeige in Typo3-Seiten der Institute Use Case #2: tub.dok: Open Access Repository DSpace-CRIS 5.8 (Basis JSPUI) Anzeige und Übergabe an DataCite Push von Werken zu ORCID Use Case #3: TUHH Open Research Geplant: Erweiterung von tub.dok mit FIS und Forschungsdaten Vollständige ORCID-Integration		ORCID	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2018-11-05	Issued	https://doi.org/10.5281/zenodo.1477878	ORCID Integration TU Hamburg	Zenodo	10.5281/zenodo.1477878	DOI	Text	Poster	2018		de										
						https://zenodo.org/communities/hamburgopenscience	IsPartOf		URL				DSpace																								
						https://zenodo.org/communities/orcid-de	IsPartOf		URL				Repository																								
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
			Rajski, Beate	Hamburg University of Technology	https://orcid.org/0000-0002-0555-2280																																
10.5281_zenodo.3514658	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Bieler, Detlev	Technische Universität Hamburg	https://orcid.org/0000-0001-6503-9633	10.5281/zenodo.3514657	IsVersionOf	Open Access	DOI		Four ways to find an Open Access version of a paywalled article.		Open Access	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2019-10-21	Issued	https://doi.org/10.5281/zenodo.3514658	Zeitschriftenartikel nicht gefunden? – 4 Wege zum Ziel!	Zenodo	10.5281/zenodo.3514658	DOI	Text	Poster	2019												
						https://zenodo.org/communities/oaweek2019-tuhh	IsPartOf		URL				#OAWeek																								
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
10.5281_zenodo.1464796	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Hapke, Thomas	Technische Universität Hamburg	https://orcid.org/0000-0002-5135-2693	10.5281/zenodo.1464795	IsVersionOf	Open Access	DOI		Poster zu Open Access für die TU Hamburg (Überblick)		#OAWeek	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2018-10-17	Issued	https://doi.org/10.5281/zenodo.1464796	Open Access	Zenodo	10.5281/zenodo.1464796	DOI	Text	Poster	2018		de										
						https://zenodo.org/communities/oaweek2018-tuhh	IsPartOf		URL				#OAWeek2018																								
						https://zenodo.org/communities/oaweek2019-tuhh	IsPartOf		URL				open access																								
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
			Rajski, Beate	Technische Universität Hamburg	https://orcid.org/0000-0002-0555-2280																																
			Bieler, Detlev	Technische Universität Hamburg	https://orcid.org/0000-0001-6503-9633																																
10.5281_zenodo.3385665	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Dürkop, Axel	tub.	https://orcid.org/0000-0002-8154-8988	10.5281/zenodo.3385664	IsVersionOf	Open Access	DOI		Das Poster visualisiert den angestrebten kulturellen Wanden an der TU Hamburg ausgehend von der Policy für Offenheit in Forschung und Lehre, die der Akademische Senat am 26.09.2019 verabschiedet hat. Oben zeigt das Poster zunächst die geteilten Wertvorstellungen, unter denen Open Science und Open Education an der TU Hamburg verstanden werden. Im mittleren Bereich sind verschiedene Instrumente gelistet, durch die der kulturelle Wandel hin zu Offenheit in Forschung und Lehre unterstützt und gefördert wird. Den Abschluss schließlich bilden vier beispielhafte offene Produkte aus den beiden Diskursen Open Science und Open Education, zu deren Entwicklung und Veröffentlichung die Policy für Offenheit in Forschung und Lehre motivieren will.		Open Science	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	2019-10-21	Issued	https://doi.org/10.5281/zenodo.3385665	Offene Lehre und Forschung an der TU Hamburg | Den kulturellen Wandel gestalten	Zenodo	10.5281/zenodo.3385665	DOI	Text	Poster	2019	1.0	de										
