cnae09,Column,Column2,Column3,Column4,Column5,titulo,Descripción:,CNAE 09 a dos dígitos,CNAE 09 a tres dígitos,CNAE 09 a cuatro dígitos,Column 3,Ramas de actividad CNAE 09 (R-6),Ramas de actividad CNAE 09 (R-12),Ramas de actividad CNAE 09 (R-28),Ramas de actividad CNAE 09 (R-66)
1420,1,4,2,0,,Fabricación de artículos de peletería,,,,,,,,,
143,1,4,3,,,Confección de prendas de vestir de punto,,,,,,,,,
1431,1,4,3,1,,Confección de calcetería,,,,,,,,,
1439,1,4,3,9,,Confección de otras prendas de vestir de punto,,,,,,,,,
15,1,5,,,,Industria del cuero y del calzado,,,,,,,,,
151,1,5,1,,,"Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería, viaje y de gusrnicionería y talabartería; preparación y teñido de pieles",,,,,,,,,
1511,1,5,1,1,,"Preparación, curtido y acabado del cuero; preparación y teñido de pieles",,,,,,,,,
1512,1,5,1,2,,"Fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería",,,,,,,,,
152,1,5,2,,,Fabricación de calzado,,,,,,,,,
1520,1,5,2,0,,Fabricación de calzado,,,,,,,,,
16,1,6,,,,"Industria de la madera y del corcho, excepto muebles; cestería y espartería",,,,,,,,,
161,1,6,1,,,Aserrado y cepillado de la madera,,,,,,,,,
1610,1,6,1,0,,Aserrado y cepillado de la madera,,,,,,,,,
162,1,6,2,,,"Fabricación de productos de madera, corcho, cestería y espartería",,,,,,,,,
1621,1,6,2,1,,Fabricación de chapas y tableros de madera,,,,,,,,,
1622,1,6,2,2,,Fabricación de suelos de madera ensamblados,,,,,,,,,
1623,1,6,2,3,,Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción,,,,,,,,,
1624,1,6,2,4,,Fabricación de envases y embalajes de madera,,,,,,,,,
1629,1,6,2,9,,"Fabricación de otros productos de madera; artículos de corcho, cestería y espartería",,,,,,,,,
17,1,7,,,,Industria del papel,,,,,,,,,
171,1,7,1,,,"Industria de pasta papelera, papel y cartón",,,,,,,,,
1711,1,7,1,1,,Fabricación de pasta papelera,,,,,,,,,
1712,1,7,1,2,,Fabricación de papel y cartón,,,,,,,,,
172,1,7,2,,,Fabricación de artículos de papel y cartón,,,,,,,,,
1721,1,7,2,1,,Fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón,,,,,,,,,
1722,1,7,2,2,,"Fabricación de artículos de papel y cartón para uso doméstico, sanitario e higiénico",,,,,,,,,
1723,1,7,2,3,,Fabricación de artículos de papelería,,,,,,,,,
1724,1,7,2,4,,Fabricación de papeles pintados,,,,,,,,,
1729,1,7,2,9,,Fabricación de otros artículos de papel y cartón,,,,,,,,,
18,1,8,,,,Artes gráficas y reproducción de soportes grabados,,,,,,,,,
181,1,8,1,,,Artes gráficas y servicios relacionados con las mismas,,,,,,,,,
1811,1,8,1,1,,Impresión de periódicos,,,,,,,,,
1812,1,8,1,2,,Otras actividades de impresión y artes gráficas,,,,,,,,,
1813,1,8,1,3,,Servicios de preimpresión y preparación de soportes,,,,,,,,,
1814,1,8,1,4,,Encuadernación y servicios relacionados con la misma,,,,,,,,,
182,1,8,2,,,Reproducción de soportes grabados,,,,,,,,,
1820,1,8,2,0,,Reproducción de soportes grabados,,,,,,,,,
19,1,9,,,,Coquerías y refino de petróleo,,,,,,,,,
191,1,9,1,,,Coquerías,,,,,,,,,
1910,1,9,1,0,,Coquerías,,,,,,,,,
192,1,9,2,,,Refino de petróleo,,,,,,,,,
1920,1,9,2,0,,Refino de petróleo,,,,,,,,,
20,2,0,,,,Industria química,,,,,,,,,
201,2,0,1,,,"Fabricación de productos químicos básicos, compuestos nitrogeneados, fertilizantes, plásticos y caucho sintético en formas primarias",,,,,,,,,
2011,2,0,1,1,,Fabricación de gases industriales,,,,,,,,,
2012,2,0,1,2,,Fabricación de colorantes y pigmentos,,,,,,,,,
2013,2,0,1,3,,Fabricación de otros productos básicos de química inorgánica,,,,,,,,,
2014,2,0,1,4,,Fabricación de otros productos básicos de química orgánica,,,,,,,,,
2015,2,0,1,5,,Fabricación de fertilizantes y compuestos nitrogenados,,,,,,,,,
2016,2,0,1,6,,Fabricación de plásticos en formas primarias,,,,,,,,,
2017,2,0,1,7,,Fabricación de caucho sintético en formas primarias,,,,,,,,,
202,2,0,2,,,Fabricación de pesticidas y otros productos agroquímicos,,,,,,,,,
2020,2,0,2,0,,Fabricación de pesticidas y otros productos agroquímicos,,,,,,,,,
203,2,0,3,,,"Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas",,,,,,,,,
2030,2,0,3,0,,"Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas",,,,,,,,,
204,2,0,4,,,"Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento; fabricación de perfumes y cosméticos",,,,,,,,,
2041,2,0,4,1,,"Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento",,,,,,,,,
2042,2,0,4,2,,Fabricación de perfumes y cosméticos,,,,,,,,,
205,2,0,5,,,Fabricación de otros productos químicos,,,,,,,,,
2051,2,0,5,1,,Fabricación de explosivos,,,,,,,,,
2052,2,0,5,2,,Fabricación de colas,,,,,,,,,
2053,2,0,5,3,,Fabricación de aceites esenciales,,,,,,,,,
2059,2,0,5,9,,Fabricación de otros productos químicos n.c.o.p.,,,,,,,,,
206,2,0,6,,,Fabricación de fibras artificiales y sintéticas,,,,,,,,,
2060,2,0,6,0,,Fabricación de fibras artificiales y sintéticas,,,,,,,,,
21,2,1,,,,Fabricación de productos farmacéuticos,,,,,,,,,
211,2,1,1,,,Fabricación de productos farmacéuticos de base,,,,,,,,,
2110,2,1,1,0,,Fabricación de productos farmacéuticos de base,,,,,,,,,
212,2,1,2,,,Fabricación de especialidades farmacéuticas,,,,,,,,,
2120,2,1,2,0,,Fabricación de especialidades farmacéuticas,,,,,,,,,
22,2,2,,,,Fabricación de productos de caucho y plásticos,,,,,,,,,
221,2,2,1,,,Fabricación de productos de caucho,,,,,,,,,
2211,2,2,1,1,,Fabricación de neumáticos y cámaras de caucho; reconstrucción y recauchutado de neumáticos,,,,,,,,,
2219,2,2,1,9,,Fabricación de otros productos de caucho,,,,,,,,,
222,2,2,2,,,Fabricación de productos de plástico,,,,,,,,,
2221,2,2,2,1,,"Fabricación de placas, hojas, tubos y perfiles de plástico",,,,,,,,,
2222,2,2,2,2,,Fabricación de envases y embalajes de plástico,,,,,,,,,
2223,2,2,2,3,,Fabricación de productos de plástico para la construcción,,,,,,,,,
2229,2,2,2,9,,Fabricación de otros productos de plástico,,,,,,,,,
23,2,3,,,,Fabricación de otros productos minerales no metálicos,,,,,,,,,
231,2,3,1,,,Fabricación de vidrio y productos de vidrio,,,,,,,,,
2311,2,3,1,1,,Fabricación de vidrio plano,,,,,,,,,
2312,2,3,1,2,,Manipulado y transformación de vidrio plano,,,,,,,,,
2313,2,3,1,3,,Fabricación de vidrio hueco,,,,,,,,,
2314,2,3,1,4,,Fabricación de fibra de vidrio,,,,,,,,,
2319,2,3,1,9,,"Fabricación y manipulado de otro vidrio, incluido el vidrio técnico",,,,,,,,,
232,2,3,2,,,Fabricación de productos cerámicos refractarios,,,,,,,,,
2320,2,3,2,0,,Fabricación de productos cerámicos refractarios,,,,,,,,,
233,2,3,3,,,Fabricación de productos cerámicos para la construcción,,,,,,,,,
2331,2,3,3,1,,Fabricación de azulejos y baldosas de cerámica,,,,,,,,,
2332,2,3,3,2,,"Fabricación de ladrillos, tejas y productos de tierras cocidas para la construcción",,,,,,,,,
234,2,3,4,,,Fabricación de otros productos cerámicos,,,,,,,,,
2341,2,3,4,1,,Fabricación de artículos cerámicos de uso doméstico y ornamental,,,,,,,,,
2342,2,3,4,2,,Fabricación de aparatos sanitarios cerámicos,,,,,,,,,
2343,2,3,4,3,,Fabricación de aisladores y piezas aislantes de material cerámico,,,,,,,,,
2344,2,3,4,4,,Fabricación de otros productos cerámicos de uso técnico,,,,,,,,,
2349,2,3,4,9,,Fabricación de otros productos cerámicos,,,,,,,,,
235,2,3,5,,,"Fabicación de cemento, cal y yeso",,,,,,,,,
2351,2,3,5,1,,Fabricación de cemento,,,,,,,,,
2352,2,3,5,2,,Fabricación de cal y yeso,,,,,,,,,
236,2,3,6,,,"Fabricación de elementos de hormigón, cemento y yeso",,,,,,,,,
2361,2,3,6,1,,Fabricación de elementos de hormigón para la construcción,,,,,,,,,
2362,2,3,6,2,,Fabricación de elementos de yeso para la construcción,,,,,,,,,
2363,2,3,6,3,,Fabricación de hormigón fresco,,,,,,,,,
2364,2,3,6,4,,Fabricación de mortero,,,,,,,,,
2365,2,3,6,5,,Fabricación de fibrocemento,,,,,,,,,
2369,2,3,6,9,,"Fabricación de otros productos de hormigón, yeso y cemento",,,,,,,,,
237,2,3,7,,,"Corte, tallado y acabado de la piedra",,,,,,,,,
2370,2,3,7,0,,"Corte, tallado y acabado de la piedra",,,,,,,,,
239,2,3,9,,,Fabricación de productos abrasivos y productos minerales no metálicos n.c.o.p.,,,,,,,,,
2391,2,3,9,1,,Fabricación de productos abrasivos,,,,,,,,,
2399,2,3,9,9,,Fabricación de otros productos minerales no metálicos n.c.o.p.,,,,,,,,,
24,2,4,,,,"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones",,,,,,,,,
241,2,4,1,,,"Fabricación de productos básicos de hierro, acero y ferroaleaciones",,,,,,,,,
2410,2,4,1,0,,"Fabricación de productos básicos de hierro, acero y ferroaleaciones",,,,,,,,,
242,2,4,2,,,"Fabricación de tubos, tuberias, perfiles huecos  y sus accesorios, de acero",,,,,,,,,
2420,2,4,2,0,,"Fabricación de tubos, tuberias, perfiles huecos  y sus accesorios, de acero",,,,,,,,,
243,2,4,3,,,Fabricación de otros productos de primera transformación del acero,,,,,,,,,
2431,2,4,3,1,,Estirado en frío,,,,,,,,,
2432,2,4,3,2,,Laminación en frío,,,,,,,,,
2433,2,4,3,3,,Producción de perfiles en frío por conformación con plegado,,,,,,,,,
2434,2,4,3,4,,Trefilado en frío,,,,,,,,,
244,2,4,4,,,Producción de metales preciosos y de otros metales no férreos,,,,,,,,,
2441,2,4,4,1,,Producción de metales preciosos,,,,,,,,,
2442,2,4,4,2,,Producción de aluminio,,,,,,,,,
2443,2,4,4,3,,"Producción de plomo, zinc y estaño",,,,,,,,,
2444,2,4,4,4,,Producción de cobre,,,,,,,,,
2445,2,4,4,5,,Producción de otros metales no férreos,,,,,,,,,
2446,2,4,4,6,,Procesamiento de combustibles nucleares,,,,,,,,,
245,2,4,5,,,Fundición de metales,,,,,,,,,
2451,2,4,5,1,,Fundición de hierro,,,,,,,,,
2452,2,4,5,2,,Fundición de acero,,,,,,,,,
2453,2,4,5,3,,Fundición de metales ligeros,,,,,,,,,
2454,2,4,5,4,,Fundición de otros metales no férreos,,,,,,,,,
25,2,5,,,,"Fabricación de productos metálicos, excepto maquinaria y equipo",,,,,,,,,
251,2,5,1,,,Fabricación de elementos metálicos para la construcción,,,,,,,,,
2511,2,5,1,1,,Fabricación de estructuras metálicas y sus componentes,,,,,,,,,
2512,2,5,1,2,,Fabricación de carpintería metálica,,,,,,,,,
252,2,5,2,,,"Fabricación de cisternas, grandes depósitos y contenedores de metal",,,,,,,,,
2521,2,5,2,1,,Fabricación de radiadores y calderas para calefacción central,,,,,,,,,
2529,2,5,2,9,,"Fabricación de otras cisternas, grandes depósitos y contenedores de metal",,,,,,,,,
253,2,5,3,,,"Fabricación de generadores de vapor, excepto calderas para calefacción central",,,,,,,,,
2530,2,5,3,0,,"Fabricación de generadores de vapor, excepto calderas para calefacción central",,,,,,,,,
254,2,5,4,,,Fabricación de armas y municiones,,,,,,,,,
2540,2,5,4,0,,Fabricación de armas y municiones,,,,,,,,,
255,2,5,5,,,"Forja, estampación y embutición de metales; metalurgia de polvos",,,,,,,,,
2550,2,5,5,0,,"Forja, estampación y embutición de metales; metalurgia de polvos",,,,,,,,,
256,2,5,6,,,Tratamiento y revestimiento de metales; ingeniería mecánica por cuenta de terceros,,,,,,,,,
2561,2,5,6,1,,Tratamiento y revestimiento de metales,,,,,,,,,
2562,2,5,6,2,,Ingeniería mecánica por cuenta de terceros,,,,,,,,,
257,2,5,7,,,"Fabricación de artículos de cuchillería y cubertería, herramientas y ferretería",,,,,,,,,
2571,2,5,7,1,,Fabricación de artículos de cuchillería y cubertería,,,,,,,,,
2572,2,5,7,2,,Fabricación de cerraduras y herrajes,,,,,,,,,
2573,2,5,7,3,,Fabricación de herramientas,,,,,,,,,
259,2,5,9,,,Fabricación de otros productos metálicos,,,,,,,,,
2591,2,5,9,1,,Fabricación de bidones y toneles de hierro o acero,,,,,,,,,
2592,2,5,9,2,,Fabricación de envases y embalajes metálicos ligeros,,,,,,,,,
2593,2,5,9,3,,"Fabricación de productos de alambre, cadenas y muelles",,,,,,,,,
2594,2,5,9,4,,Fabricación de pernos y productos de tornillería,,,,,,,,,
2599,2,5,9,9,,Fabricación de otros productos metálicos n.c.o.p.,,,,,,,,,
26,2,6,,,,"Fabricación de productos informáticos, electrónicos y ópticos",,,,,,,,,
261,2,6,1,,,Fabricación de componentes electrónicos y circuitos impresos ensamblados,,,,,,,,,
2611,2,6,1,1,,Fabricación de componentes electrónicos,,,,,,,,,
2612,2,6,1,2,,Fabricación de circuitos impresos ensamblados,,,,,,,,,
262,2,6,2,,,Fabricación de ordenadores y equipos periféricos,,,,,,,,,
2620,2,6,2,0,,Fabricación de ordenadores y equipos periféricos,,,,,,,,,
263,2,6,3,,,Fabricación de equipos de telecomunicaciones,,,,,,,,,
2630,2,6,3,0,,Fabricación de equipos de telecomunicaciones,,,,,,,,,
264,2,6,4,,,Fabricación de productos electrónicos de consumo,,,,,,,,,
2640,2,6,4,0,,Fabricación de productos electrónicos de consumo,,,,,,,,,
265,2,6,5,,,"Fabricación de instrumentos y aparatos de medida, verificación y navegación; fabricación de relojes",,,,,,,,,
2651,2,6,5,1,,"Fabricación de instrumentos y aparatos de medida, verificación y navegación",,,,,,,,,
2652,2,6,5,2,,Fabricación de relojes,,,,,,,,,
266,2,6,6,,,"Fabricación de equipos de radiación, electromédicos y electroterapéuticos",,,,,,,,,
2660,2,6,6,0,,"Fabricación de equipos de radiación, electromédicos y electroterapéuticos",,,,,,,,,
267,2,6,7,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,
2670,2,6,7,0,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,
268,2,6,8,,,Fabricación de soportes magnéticos y ópticos,,,,,,,,,
2680,2,6,8,0,,Fabricación de soportes magnéticos y ópticos,,,,,,,,,
27,2,7,,,,Fabricación de material y equipo eléctrico,,,,,,,,,
271,2,7,1,,,"Fabricación de motores, generadores y transformadores eléctricos, y de aparatos de distribución y control eléctrico",,,,,,,,,
2711,2,7,1,1,,"Fabricación de motores, generadores y transformadores eléctricos",,,,,,,,,
2712,2,7,1,2,,Fabricación de aparatos de distribución y control eléctrico,,,,,,,,,
272,2,7,2,,,Fabricación de pilas y acumuladores eléctricos,,,,,,,,,
2720,2,7,2,0,,Fabricación de pilas y acumuladores eléctricos,,,,,,,,,
273,2,7,3,,,Fabricación de cables y dispositivos de cableado,,,,,,,,,
2731,2,7,3,1,,Fabricación de cables de fibra óptica,,,,,,,,,
2732,2,7,3,2,,Fabricación de otros hilos y cables electrónicos y eléctricos,,,,,,,,,
2733,2,7,3,3,,Fabricación de dispositivos de cableado,,,,,,,,,
274,2,7,4,,,Fabricación de lámparas y aparatos eléctricos de iluminación,,,,,,,,,
