id	resource - creators - creator - creatorName	resource - creators - creator - affiliation	resource - creators - creator - nameIdentifier	resource - relatedIdentifiers - relatedIdentifier	resource - relatedIdentifiers - relatedIdentifier - relationType	resource - relatedIdentifiers - relatedIdentifier - relatedIdentifierType	resource - relatedIdentifiers - relatedIdentifier - resourceTypeGeneral	resource - subjects - subject	resource - rightsList - rights	resource - rightsList - rights - rightsURI	resource - descriptions - description	resource - descriptions - description - descriptionType	resource - dates - date	resource - dates - date - dateType	resource - titles - title	resource - publisher	resource - identifier	resource - identifier - identifierType	resource - resourceType - resourceTypeGeneral	resource - resourceType	resource - publicationYear	resource - version	resource - language	resource - contributors	resource - contributors - contributor	resource - contributors - contributor - contributorType	resource - contributors - contributor - contributorName	resource - contributors - contributor - givenName	resource - contributors - contributor - familyName	resource - contributors - contributor - affiliation	resource - contributors - contributor - nameIdentifier	resource - contributors - contributor - nameIdentifier - schemeURI	resource - contributors - contributor - nameIdentifier - nameIdentifierScheme
10.5281_zenodo.908479	Hapke, Thomas	Hamburg University of Technology (TUHH)	0000-0002-5135-2693	10.5281/zenodo.908478	IsVersionOf	DOI		information literacy	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	<p>Poster (in English and German language) illustrating different views on information literacy. Poster in deutscher und englischer Sprache zur Veranschaulichung verschiedener Sichten auf Informationskompetenz.</p>	Abstract	2017-09-21	Issued	Views on information literacy / Sichten auf Informationskompetenz	Zenodo	10.5281/zenodo.908479	DOI	Text	Poster	2017												
				https://zenodo.org/communities/tuhh	IsPartOf	URL		Informationskompetenz	Open Access	info:eu-repo/semantics/openAccess	"{""references"": [""Spiranec, S.; Banek Zorica, M. & Kos, D. (2016). Information Literacy in participatory environments: The turn towards a critical literacy perspective. Journal of Documentation 72, 2, 247\u2013264. p. 259"", ""Addison, C. & Meyers, E. (2013). Perspectives on information literacy: a framework for conceptual understanding. Information research 18, 3 http://www.informationr.net/ir/18-3/colis/paperC27.html"", ""Whitworth, A. (2013). The Design of Media and Information Literacy. In: Media and Information Literacy for Knowledge Societies. Moscow: Interregional Library Cooperation Centre, 2013. 40-54. p. 47 http://www.ifapcom.ru/files/News/Images/2013/mil_eng_web.pdf"", ""Hapke, T. (2007). Informationskompetenz 2.0 und das Verschwinden des \""Nutzers\"". Bibliothek 31, 2, 137-149. p. 141""]}"	Other																					
10.5281_zenodo.1012684	Grass, Emilia	TUHH	0000-0001-8460-8395	10.5281/zenodo.1012683	IsVersionOf	DOI		data for case studies, MATLAB codes, numerical results	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>File &quot;DataImport&quot; contains a &quot;ReadMe&quot; file, raw data for all case studies in Excel and the MATLAB code &quot;ImportData.m&quot; importing Excel data into MATLAB</p>

<p>File &quot;LShaped&quot; contains a &quot;ReadMe&quot; file, all data in the form of matrices and the MATLAB code &quot;LShaped_MultiCut.m&quot; solving all case studies via the standard or accelerated L-shaped method using a multi-cut approach</p>

<p>File &quot;Results&quot; contains a &quot;ReadMe&quot; file, results of all case studies and computation time required by Gurobi, der standard L-shaped method and accelerated L-shaped method</p>"	Abstract	2017-12-07	Issued	"Additonal material for the dissertation ""An Accelerated Solution Method for Two-Stage Stochastic Models in Disaster Management"": Data, MATLAB codes and results"	Zenodo	10.5281/zenodo.1012684	DOI	Dataset		2017		en										
				https://zenodo.org/communities/tuhh	IsPartOf	URL			Open Access	info:eu-repo/semantics/openAccess																							
10.5281_zenodo.1313054	Sebastian Lindner	Hamburg University of Technology	0000-0002-5694-9675	https://github.com/ComNetsHH/LRE-OMNeT/tree/v1.0.1	IsSupplementTo	URL			Open Access	info:eu-repo/semantics/openAccess	<p>Integration of the LRE algorithm for the OMNeT++ simulator.</p>	Abstract	2018-07-16	Issued	ComNetsHH/LRE-OMNeT: Publication release	Zenodo	10.5281/zenodo.1313054	DOI	Software		2018	v1.0.1											
				10.5281/zenodo.1313026	IsVersionOf	DOI																											
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
10.5281_zenodo.1313027	Sebastian Lindner	Hamburg University of Technology	0000-0002-5694-9675	https://github.com/ComNetsHH/LRE-OMNeT/tree/v1.0.0	IsSupplementTo	URL			GNU General Public License v3.0 only	https://opensource.org/licenses/GPL-3.0	<p>Integration of the LRE algorithm into the OMNeT++ simulator.</p>	Abstract	2018-07-16	Issued	ComNetsHH/LRE-OMNeT: First release	Zenodo	10.5281/zenodo.1313027	DOI	Software		2018	v1.0.0											
				10.5281/zenodo.1313026	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
10.5281_zenodo.2547325	Chaykin, Denis	Technische Universität Hamburg		10.5281/zenodo.2547324	IsVersionOf	DOI			Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>The provided dataset contains rigorous error bounds for the <a href=""http://mf.c.titech.ac.jp/mituhiro/software.html"">ESC</a>&nbsp;and <a href=""http://nakatamaho.riken.jp/rdmsdp/sdp_rdm.html"">RDM</a>&nbsp;libraries computed before <strong>2016-11-17</strong>.</p>

<p>The data is used in the publication &quot;Rigorous results in electronic structure calculations&quot; by Denis Chaykin, Christian Jansson, Frerich Keil, Marko Lange, Kai Torben Ohlhus, and Siegfried M. Rump (<a href=""http://www.optimization-online.org/DB_HTML/2016/11/5730.html"">http://www.optimization-online.org/DB_HTML/2016/11/5730.html</a>).</p>

<p>This ZIP-archive is organized as follows:</p>

<ul>
<li><code>data</code> Computed error bounds for 47 ESC and 8 RDM test cases.</li>
<li><code>log</code> Log files of the computations.</li>
<li><code>src</code> Auxiliary MATLAB/GNU Octave code.</li>
<li><code>tables</code> Exported tables for the publication.</li>
<li><code>STEPx.m</code> Four MATLAB/GNU Octave functions to reproduce the data.</li>
</ul>

<p>In general all scripts are executed and the results attached. The scripts are only provided for the purpose of reproducing the given data.</p>

<ul>
<li><code>STEP1_setup.m</code> Adapt all paths to your local setup and run this function. In particular, the paths of <a href=""http://www.ti3.tu-harburg.de/rump/intlab/"">INTLAB</a>, <a href=""https://github.com/sqlp/sdpt3"">SDPT3</a>, and <a href=""https://github.com/vsdp/vsdp-2012"">VSDP-2012</a> and the data paths of&nbsp;<a href=""https://github.com/vsdp/ESC"">https://github.com/vsdp/ESC</a> and&nbsp;<a href=""https://github.com/vsdp/RDM"">https://github.com/vsdp/RDM</a> must be set. &nbsp;This function <strong>must</strong>&nbsp;be run before any other of the following functions!</li>
<li><code>STEP2_prepare_data.m</code> This function extracts the original test data and stores it in VSDP-2012 format inside a MAT-file. Those MAT-files can be found in the <code>data</code> subdirectory.</li>
<li><code>STEP3_run.m</code> This function actually performs all VSDP computations again. Thus it may take <strong>a few days</strong>&nbsp;to complete. Only consider to run this function for reproducing data. &nbsp;It is strongly recommended to adapt the code for relevant parts or test cases only. &nbsp;Logs are written to the <code>log</code> subdirectory.</li>
<li><code>STEP4_export_tables.m</code> This function exports the published tables.&nbsp;Those can be found in the <code>tables</code> subdirectory.</li>
</ul>"	Abstract	2016-11-17	Issued	Rigorous results in electronic structure calculations	Zenodo	10.5281/zenodo.2547325	DOI	Dataset		2016		en										
				https://zenodo.org/communities/tuhh	IsPartOf	URL			Open Access	info:eu-repo/semantics/openAccess																							
	Jansson, Christian	Technische Universität Hamburg																															
	Keil, Frerich	Technische Universität Hamburg																															
	Lange, Marko	Technische Universität Hamburg	0000-0003-0501-1887																														
	Ohlhus, Kai Torben	Technische Universität Hamburg	0000-0003-3915-953X																														
	Rump, Siegfried M.	Technische Universität Hamburg	0000-0002-4779-4800																														
10.5281_zenodo.1400553	Lübkert, Tobias	Telematics, Hamburg University of Technology, Hamburg, Germany	0000-0001-5125-5191	10.5281/zenodo.1400552	IsVersionOf	DOI		smart grid, demand response, domestic electric water heater	Creative Commons Attribution Non Commercial 4.0 International	https://creativecommons.org/licenses/by-nc/4.0/legalcode	"<p>The Zip file contains the raw data used for drawing conclusions in the paper &quot;Calculating Retail Prices from Demand Response Target Schedules to Operate Domestic Electric Water Heaters&quot; accepted for publication in Energy Informatics 2018.</p>

<p>The raw data is the parameters of a sample of 50 domestic electric water heaters (DEWHs)<br>
used for evaluating the algorithm in the paper. It is explained in the readme.txt.</p>"	Abstract	2018-08-02	Issued	"Raw data belonging to paper ""Calculating Retail Prices from Demand Response Target Schedules to Operate Domestic Electric Water Heaters"""	Zenodo	10.5281/zenodo.1400553	DOI	Dataset		2018	1.0.0											
				https://zenodo.org/communities/tuhh	IsPartOf	URL			Open Access	info:eu-repo/semantics/openAccess																							
	Venzke, Marcus	Telematics, Hamburg University of Technology, Hamburg, Germany																															
	Turau, Volker	Telematics, Hamburg University of Technology, Hamburg, Germany	0000-0001-9964-8816																														
10.5281_zenodo.1312970	Sebastian Lindner	Hamburg University of Technology	0000-0002-5694-9675	https://github.com/ComNetsHH/LRE/tree/v1.0.0	IsSupplementTo	URL		probability algorithm simulation	GNU Lesser General Public License v2.1 only	https://opensource.org/licenses/LGPL-2.1	<p>Standalone implementation of the Limited Relative Error algorithm. Includes a Python wrapper.</p>	Abstract	2018-07-16	Issued	ComNetsHH/LRE: First release	Zenodo	10.5281/zenodo.1312970	DOI	Software		2018	v1.0.0											
				10.5281/zenodo.1312969	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Leo Krueger	Hamburg University of Technology	0000-0002-9886-889X																														
10.5281_zenodo.3256383	Janßen, Christian F.	Hamburg University of Technology	0000-0003-1462-2778	10.5281/zenodo.3256382	IsVersionOf	DOI			Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>This webinar discusses how NVIDIA GPUs and NVIDIA CUDA can enable high-fidelity Computational Fluid Dynamics for Higher Education and Research.</p>

<p>Flow field computations for transient and turbulent flow problems are very compute-intensive and time-consuming. Popular existing numerical techniques often compromise on the underlying physics or require a massive amount of computational resources. Accurate high-fidelity CFD simulations on locally available hardware hence are highly appreciated by academia and industry.</p>

<p>After a brief review of the theoretical basics and implementation details of a CUDA-accelerated CFD solver, results from several international research projects are presented. They all demonstrate that GPU computing can be a game changer for state-of-the art research projects in many relevant areas of Computational Fluid Dynamics.</p>"	Abstract	2019-06-25	Issued	CUDA-accelerated Computational Fluid Dynamics (NVIDIA Webinar)	Zenodo	10.5281/zenodo.3256383	DOI	Text	Presentation	2019												
				https://zenodo.org/communities/tuhh	IsPartOf	URL			Open Access	info:eu-repo/semantics/openAccess																							
	Mierke, Dennis	Hamburg University of Technology	0000-0002-8883-1911																														
	Gehrke, Martin	Hamburg University of Technology	0000-0002-5073-397X																														
	Asmuth, Henrik	Uppsala University	0000-0003-2929-3022																														
10.5281_zenodo.45801	Venzke, Marcus 	Telematics, Hamburg University of Technology, Hamburg, Germany		https://zenodo.org/communities/tuhh	IsPartOf	URL		smart grid	Open Access	info:eu-repo/semantics/openAccess	<p>The Zip file contains the raw data used for drawing conclusions in the paper &quot;Simulative Evaluation of Demand Response Approaches for Waterbeds&quot; published on IEEE ENERGYCON 2016. The paper quantitatively compares demand response approaches for waterbeds using simulation. The raw data was produces from the simulation log files or measurements with a real waterbed. It is described in file readme.pdf contained in the Zip file.</p>	Abstract	2016-02-08	Issued	Raw data belonging to paper “Simulative Evaluation of Demand Response Approaches for Waterbeds”	Zenodo	10.5281/zenodo.45801	DOI	Dataset		2016												
								demand response																									
								demand side management																									
								waterbed																									
	Turau, Volker	Telematics, Hamburg University of Technology, Hamburg, Germany																															
10.5281_zenodo.3238600	Rajski, Beate	Hamburg University of Technology	0000-0002-0555-2280	10.5281/zenodo.3238599	IsVersionOf	DOI		DSpace	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>The Hamburg University of Technology is using DSpace-CRIS for their Open Access repository. In context of the Hamburg Open Science program this repository is going to be extended with a research data repository and supposed to include all researchers, organization units and publications (also non OA, even without any fulltext) building a research information system and a university bibliography.<br>
DSpace-CRIS is adopting some recommendations for next generation repositories by the Confederation of Open Access Repositories (COAR) and is providing entity structures, which a normal DSpace system does not have yet. Thus we believe, that by<br>
sticking with DSpace (CRIS) we are well prepared for the future having a good community with active developers.<br>
This presentation shows, how DSpace-CRIS helped us to cover the two new components of the repository and which challenges we had to face while developing the new All-in-One system.</p>"	Abstract	2019-06-10	Issued	Building an All-in-one Service: Extending an existing Open Access Repository to a complete Research Information System	Zenodo	10.5281/zenodo.3238600	DOI	Text	Presentation	2019		en										
				https://zenodo.org/communities/hamburgopenscience	IsPartOf	URL		CRIS	Open Access	info:eu-repo/semantics/openAccess	Hamburg Open Science	Other																					
				https://zenodo.org/communities/tuhh	IsPartOf	URL		Repository																									
								Research Data																									
								Hamburg																									
	Goldschmidt, Oliver	Hamburg University of Technology	0000-0002-5468-401X																														
10.5281_zenodo.3258247	Jan Brumm	Institute of Communications, Hamburg University of Technology	0000-0002-3623-4584	https://github.com/janbrumm/inbodychannel/tree/v1.0.0	IsSupplementTo	URL			MIT License	https://opensource.org/licenses/MIT	"<p>The provided data contains the modeling parameters and a Python script to generate random transfer functions for ultra wideband in-body communication as described in</p>

<p>[BSB19] J.-C. Brumm, H. Strohm and G. Bauch, &ldquo;A Stochastic Channel Model for UWB In-Body Communication,&rdquo; in <em>41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC&#39;2019)</em>. Berlin, Germany, 2019.</p>

<p>The software can also be found in our GitLab repository https://collaborating.tuhh.de/int/in-body/inbodychannel.</p>"	Abstract	2019-06-27	Issued	janbrumm/inbodychannel: Version v1.0.0	Zenodo	10.5281/zenodo.3258247	DOI	Software		2019	v1.0.0											
				10.5281/zenodo.3258246	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Hannah Strohm	Institute of Communications, Hamburg University of Technology																															
10.5281_zenodo.33330	Goldschmidt, Oliver	TU Hamburg-Harburg		https://zenodo.org/communities/tuhh	IsPartOf	URL			Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	<p>In dieser Pr&auml;sentation (deutschsprachig) wird die Migration von OPUS3 zu DSpace anhand der Installation an der TU Hamburg-Harburg beschrieben.</p>	Abstract	2015-10-05	Issued	Von OPUS zu DSpace - Ein Migrationsbericht	Zenodo	10.5281/zenodo.33330	DOI	Text	Presentation	2015												
									Open Access	info:eu-repo/semantics/openAccess																							
10.5281_zenodo.2543517	Brumm, Jan-Christoph	Institute of Communications, Hamburg University of Technology	0000-0002-3623-4584	10.5281/zenodo.3258247	IsIdenticalTo	DOI		Ultra wideband	MIT License	https://opensource.org/licenses/MIT	"<p>The provided data contains the modeling parameters and a Python script to generate random transfer functions for ultra wideband in-body communication as described in</p>

<p>[BSB19] J.-C. Brumm, H. Strohm and G. Bauch, &ldquo;A Stochastic Channel Model for UWB In-Body Communication,&rdquo; in <em>41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC&#39;2019)</em>. Berlin, Germany, 2019.</p>

<p>More information can be found in our GitLab repository https://collaborating.tuhh.de/int/in-body/inbodychannel.</p>

<p>&nbsp;</p>

<p>&nbsp;</p>"	Abstract	2019-07-23	Issued	"Modeling Parameters from the Paper ""A Stochastic Channel Model for Ultra Wideband In-Body Communication"""	Zenodo	10.5281/zenodo.2543517	DOI	Software		2019	v1.0.0											
				10.5281/zenodo.2543516	IsVersionOf	DOI		In-body communication	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL		Capsule endoscopy																									
								Stochastic Channel Model																									
	Strohm, Hannah	Institute of Communications, Hamburg University of Technology																															
	Bauch, Gerhard	Institute of Communications, Hamburg University of Technology																															
10.5281_zenodo.3598649	Miriam Exner	University Medical Center Hamburg / TU Hamburg		https://github.com/mgraeser/3DAnatomicalRatModel/tree/1.0	IsSupplementTo	URL		3D printable anatomical rat model	Creative Commons Attribution Non Commercial 4.0 International	https://creativecommons.org/licenses/by-nc/4.0/legalcode	"<p>This is the version 1.0 of our static, 3D printable, anatomical rat model. The designed purpos is to provide a anatomical shaped phantom for medical imaging. The organs are constructed as hollow bodys, which can be filled with contrast agend suiteable for the technology of interest, e.g. iodine for CT, gadolinium for MRI or iron nanoparticles for MPI. Thus, it can be used as reference data or for experiment planing.</p>

<p>In addition, it can be used for teaching purposes, for people making first steps in preclinical research.</p>

<p>For best results, it is recommended to use the .form files to print the model in the optimized orientation on a Form2 or Form3 printer. On other printers the .stl files should be used.</p>

<p>A publication using this phantom can be found here: <a href=""https://doi.org/10.1515/cdbme-2019-0048"">https://doi.org/10.1515/cdbme-2019-0048</a></p>"	Abstract	2020-01-06	Issued	3DAnatomicalRatModel: A printable version of a 3D anatomical rat model	Zenodo	10.5281/zenodo.3598649	DOI	Dataset		2020	1.0											
				10.5281/zenodo.3598648	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess	"{""references"": [""Exner et al. doi: 10.1515/cdbme-2019-0048""]}"	Other																					
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Patryk Szwargulski	University Medical Center Hamburg / TU Hamburg	0000-0003-2563-9006																														
	Peter Ludewig	University Medical Center Hamburg	0000-0001-9025-6402																														
	Tobias Knopp	University Medical Center Hamburg / TU Hamburg	0000-0002-1589-8517																														
	Matthias Graeser	University Medical Center Hamburg / TU Hamburg	0000-0003-1472-5988																														
10.5281_zenodo.3351385	Lindner, Sebastian	Hamburg University of Technology	0000-0002-5694-9675	https://github.com/ComNetsHH/simulte/tree/v1.0	IsSupplementTo	URL			GNU General Public License v3.0 only	https://opensource.org/licenses/GPL-3.0	"<p>Besides some bug fixes and additional statistic collection, this branch implements a new channel model: the abstract two-state Gilbert-Elliot Hidden Markov Model.</p>

<p>Configuration and usage is simple using</p>

<pre><code>**.lteNic.LteChannelModelType = ""LteGilbertElliotChannelModel""
**.lteNic.channelModel.trans_prob_bad_state = 0.5 # p21
**.lteNic.channelModel.trans_prob_good_state = 0.25 # p12
**.lteNic.channelModel.error_prob_bad_state = 1.0
**.lteNic.channelModel.error_prob_good_state = 0.1
</code></pre>

<p>where transition probabilities from a good to a bad state can be specified and vice-versa, as well as their error probabilities. The discrete-time model is evaluated everytime the <code>error</code> function is used: a random number determines if the channel state changes, and the current state&#39;s error probability determines whether the current packet is lost or not.</p>"	Abstract	2019-07-25	Issued	ComNetsHH/simulte: Publication Release	Zenodo	10.5281/zenodo.3351385	DOI	Software		2019	v1.0											
				10.5281/zenodo.3351384	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Elsner, Raphael	Hamburg University of Technology																															
	Giovanni																																
	Antonio	University of Pisa																															
	Rudolf Hornig																																
	Andras Varga	Opensim Ltd.																															
	Levente Mészáros																																
	hchenji																																
10.5281_zenodo.1477878	Goldschmidt, Oliver	Hamburg University of Technology	0000-0002-5468-401X	10.5281/zenodo.1477877	IsVersionOf	DOI		ORCID	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>In diesem Poster werden die ORCID-Integrationen der TU Hamburg beschrieben:</p>

<p><strong>Use Case #1: Profil in der Kontaktdatenbank</strong></p>

<ul>
<li>&Uuml;bernahme in LDAP-Directory</li>
<li>Anzeige in der Personensuche</li>
<li>Anzeige in Typo3-Seiten der Institute</li>
</ul>

<p><strong>Use</strong><strong> Case #2: tub.dok</strong><strong>: Open Access Repository</strong></p>

<ul>
<li>DSpace-CRIS 5.8 (Basis JSPUI)</li>
<li>Anzeige und &Uuml;bergabe an DataCite</li>
<li>Push von Werken zu ORCID</li>
</ul>

<p><strong>Use</strong><strong> Case #3: TUHH Open Research</strong></p>

<ul>
<li>Geplant: Erweiterung von tub.dok mit FIS und Forschungsdaten</li>
<li>Vollst&auml;ndige ORCID-Integration</li>
</ul>

<p>&nbsp;</p>"	Abstract	2018-11-05	Issued	ORCID Integration TU Hamburg	Zenodo	10.5281/zenodo.1477878	DOI	Text	Poster	2018		de										
				https://zenodo.org/communities/hamburgopenscience	IsPartOf	URL		DSpace	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/orcid-de	IsPartOf	URL		Repository																									
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Rajski, Beate	Hamburg University of Technology	0000-0002-0555-2280																														
10.5281_zenodo.3514658	Bieler, Detlev	Technische Universität Hamburg	0000-0001-6503-9633	10.5281/zenodo.3514657	IsVersionOf	DOI		Open Access	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	<p>Four ways to find an Open Access version of a paywalled article.</p>	Abstract	2019-10-21	Issued	Zeitschriftenartikel nicht gefunden? – 4 Wege zum Ziel!	Zenodo	10.5281/zenodo.3514658	DOI	Text	Poster	2019												
				https://zenodo.org/communities/oaweek2019-tuhh	IsPartOf	URL		#OAWeek	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
10.5281_zenodo.1464796	Hapke, Thomas	Technische Universität Hamburg	0000-0002-5135-2693	10.5281/zenodo.1464795	IsVersionOf	DOI		#OAWeek	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	<p>Poster zu Open Access f&uuml;r die TU Hamburg (&Uuml;berblick)</p>	Abstract	2018-10-17	Issued	Open Access	Zenodo	10.5281/zenodo.1464796	DOI	Text	Poster	2018		de										
				https://zenodo.org/communities/oaweek2018-tuhh	IsPartOf	URL		#OAWeek2018	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/oaweek2019-tuhh	IsPartOf	URL		open access																									
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Rajski, Beate	Technische Universität Hamburg	0000-0002-0555-2280																														
	Bieler, Detlev	Technische Universität Hamburg	0000-0001-6503-9633																														
