id,codeserc,tipologia,nome,indirizzo,cap,citta,provincia,stelle,email,url,lt,lg,telefono
1084,053012ALB0009,Alberghi - Hotel,Saraceno,"Via Del Saraceno, 69 - - Giglio Porto",58012,Isola del Giglio,GR,3,h.saraceno@tiscali.it,www.saracenohotel.it,42.359111,10.922894,0564 809006
1082,053012ALB0007,Alberghi - Hotel,Castello Monticello,S.P. 74 - Monticello - Giglio Porto,58012,Isola del Giglio,GR,3,info@hotelcastellomonticello.com,www.hotelcastellomonticello.com,42.359151,10.917089,0564 809252
1083,053012ALB0008,Alberghi - Hotel,Demo's Hotel,"Via Thaon De Revel, 45 - - Giglio Porto",58012,Isola del Giglio,GR,3,info@hoteldemos.com,www.hoteldemos.com,42.360088,10.91958,0564 809235
1087,053012ALB0012,Alberghi - Hotel,La Pergola,"Via Thaon De Revel, 30 - - Giglio Porto",58012,Isola del Giglio,GR,2,,,42.360522,10.919139,0564 809051
1077,053012ALB0001,Alberghi - Hotel,Campese,"Via Della Costa, 1 - Campese",58012,Isola del Giglio,GR,3,welcome@hotelcampese.com,www.hotelcampese.com,42.363358,10.876466,0564 804003
2852,053012CAV0003,Case per Vacanze,Villa Delfi,"Via Cotton Dei Nobil, 15 - - Campese",58012,Isola del Giglio,GR,,info@villadelfi.com,www.villadelfi.com,42.363358,10.876466,320 9011218
1356,053012AFR0005,Affittacamere,B&b Airone Di Landini Mario,"Contrada Santa Maria, 12/1 - - Castello",58012,Isola del Giglio,GR,,camere.airone@tiscali.it,www.isoladelgiglio.org,42.363888,10.901221,0564 806076
3081,053012STB0001,Stabilimenti Balneari,Lo Scoglio,Via Di Mezzo Franco - - Campese,58012,Isola del Giglio,GR,,,,42.364565,10.879134,0564 804213
14454,053012AFR0010,Affittacamere,Le Poste Di Simplicio,"Via Di Mezzo Franco, 12 - - Campese",58012,Isola del Giglio,GR,,lepostedisimplicio@libero.it,,42.364779,10.878923,346 0924775
1078,053012ALB0003,Alberghi - Hotel,Da Giovanni,"Via Di Mezzo Franco, 10 - - Campese",58012,Isola del Giglio,GR,2,albergodagiovanni@libero.it,www.albegodagiovanni.it,42.364779,10.878923,0564 804010
1353,053012AFR0001,Affittacamere,Landini Angelo  Di Modesti Giuseppa,"Piazza Gloriosa, 16 - - Castello",58012,Isola del Giglio,GR,,,www.emmeti.it/welcome/toscana/isole/giglio/castello/servizi/landini,42.365526,10.90173,0564 806074
1596,053012ALL0001,Alloggi Privati,Dubblo Maria Lidia,"Via Allume, 1 - Campese",58050,Isola del Giglio,GR,,,,42.365847,10.88135,
1079,053012ALB0004,Alberghi - Hotel,Giardino Delle Palme,"Via Della Torre, 3 - Campese",58012,Isola del Giglio,GR,1,info@giardinolepalme.it,www.giardinolepalme.it,42.367607,10.882116,0564 804037 - 349 7864709
1360,053012AFR0009,Affittacamere,Landini Eleonora - Landini Primo,Provinciale 28 - Giglio Campese,58012,Isola del Giglio,GR,,,,42.367929,10.882108,0564 804135
1080,053012ALB0005,Alberghi - Hotel,La Lampara,Provinciale 66 - Campese,58012,Isola del Giglio,GR,2,albergo.lampara@libero.it,www.lalampara.info,42.367929,10.882108,0564 804022
1089,053012ALB0014,Alberghi - Hotel,Il Porticciolo,"Via Della Torre, 3 - - Campese",58012,Isola del Giglio,GR,2,albergoilporticciolo@virgilio.it,www.albergoilporticciolo.it,42.367929,10.882108,0564 804221
959,053003ALB0003,Alberghi - Hotel,I Briganti Di Capalbio.It,"Chiarone Scalo, 5 - Chiarone Scalo",58011,Capalbio,GR,3,info@ibrigantidicapalbio.it,www.ibrigantidicapalbio.it,42.386658,11.441987,0564 890341 - 320 1142442
2952,053003RES0001,Residence,I Briganti Di Capalbio,"Chiarone Scalo, 5 - Chiarone Scalo",58011,Capalbio,GR,3,info@ibrigantidicapalbio.it,www.ibrigantidicapalbio.it,42.386658,11.441987,0564 642026
1144,053016ALB0013,Alberghi - Hotel,Don Pedro,"Via Panoramica, 7 - - Porto Ercole",58018,Monte Argentario,GR,3,info@hoteldonpedro.it,www.hoteldonpedro.it,42.389909,11.208996,0564 833914
18654,053016ALL0040,Alloggi Privati,Bistazzoni Alberto,"Via Dei Tre Forti, 3 - - Porto Ercole",58018,Monte Argentario,GR,,info@portoercole.org,,42.392598,11.201592,0564 835347 - 335 8156253
1145,053016ALB0014,Alberghi - Hotel,Bi Hotel,"Via Lungomare Andrea Doria, 23 - - Porto Ercole",58018,Monte Argentario,GR,3,info@bi-hotel.it,www.bi-hotel.it,42.394151,11.203506,0564 833055
18009,053016ALB0017,Alberghi - Hotel,A Point Porto Ercole Resort & Spa,Via Caravaggio Ang. Via Tramontana - - Porto Ercole,58018,Monte Argentario,GR,5,reservation@apointportoercole.com,www.apointhotelsresorts.com,42.394151,11.203506,0564 833636
19362,053016AAT0003,Agriturismi,Il Molino,"Via Dei Molini, 95 - - Porto Ercole",58019,Monte Argentario,GR,1,,,42.394684,11.193746,333 2654929
18653,053016ALL0039,Alloggi Privati,Il Caletto,"Via Dei Molini, 9",58019,Monte Argentario,GR,,ilcaletto@yahoo.it,,42.394684,11.193746,347 5241564
1427,053016AFR0002,Affittacamere,Villa Azzurra - Camere,"Via Caravaggio, 93 - - Porto Ercole",58018,Monte Argentario,GR,,,,42.394738,11.203481,0564 833037
2740,053016CAM0001,Campeggi,Feniglia,Strada Feniglia - Feniglia - Porto Ercole,58018,Monte Argentario,GR,1,campingfeniglia@virgilio.it,www.campingfeniglia.it,42.39507,11.203593,0564 831090 - 392 9640592
14139,053016ALL0034,Alloggi Privati,Rispoli Silvana,"Via Ponente, 16 - - Porto Ercole",58018,Monte Argentario,GR,,bebabeb4@g.mail.com,bandbbeba.wordpress.com,42.40068,11.198352,0564 830095
1157,053018ALB0009,Alberghi - Hotel,Vinicio,"Via Delle Mimose, 154 - - Ansedonia",58015,Orbetello,GR,2,vinicio@ouverture.it,www.vinicio.it,42.407181,11.287759,0564 881220
3101,053018STB0012,Stabilimenti Balneari,La Capannuccia,Ansedonia,58016,Orbetello,GR,,,,42.40721,11.28857,0564 881314
1260,053016RTA0001,Residenze Turistico Alb.,Hotel Torre Di Cala Piccola,Cala Piccola - Porto Santo Stefano,58019,Monte Argentario,GR,4,info@torredicalapiccola.com,www.torredicalapiccola.com,42.408502,11.092415,0564 825111
3086,053016STB0005,Stabilimenti Balneari,Mamma Licia,Feniglia - Porto Ercole,58018,Monte Argentario,GR,,freccianera59@tiscal.it,www.mammalicia.it,42.409031,11.208962,0564 834187
3089,053016STB0008,Stabilimenti Balneari,Il Tridente,Feniglia - Porto Ercole,58018,Monte Argentario,GR,,,,42.409031,11.208962,0564 834141
963,053003ALB0007,Alberghi - Hotel,Del Lago,"Via Umbria, 22 - Capalbio Scalo",58010,Capalbio,GR,2,info@albergodellago.it,www.albergodellago.it,42.409047,11.37152,0564 899039
18775,053003ALL0026,Alloggi Privati,Maggiulli Daniele,"Via Origlio, 82",58011,Capalbio,GR,,,,42.409981,11.374014,0564 898497
2971,053003STB0003,Stabilimenti Balneari,Macchiatonda,Macchiatonda - Capalbio Scalo,58010,Capalbio,GR,,,,42.41146,11.36383,0564 898777
14146,053003AAT0034,Agriturismi,Il Padule,"Strada Litoranea, 71",58011,Capalbio,GR,1,,,42.413713,11.322116,333 2182278
2433,053016AAT0001,Agriturismi,Podere Aquilino,Via Aquilino - - Porto Ercole,58019,Monte Argentario,GR,,,,42.414279,11.158842,0564 864195
1135,053016ALB0004,Alberghi - Hotel,Villa Domizia,"S.P. Le 161, 40 - - Santa Liberata",58020,Monte Argentario,GR,4,info@villadomizia.it,www.villadomizia.com,42.414279,11.158842,0564 812735
1137,053016ALB0006,Alberghi - Hotel,Belvedere,"S.P. 161, 2 - - Porto S Stefano",58019,Monte Argentario,GR,3,belvedere@vivigrosseto.it,www.belvedereargentario.it,42.414279,11.158842,0564 812634
1146,053016ALB0015,Alberghi - Hotel,La Conchiglia,"Via Della Marina, 4 - - Porto Ercole",58018,Monte Argentario,GR,2,info@albergolaconchiglia.it,www.albergolaconchiglia.it,42.414279,11.158842,0564 833134
1638,053016ALL0020,Alloggi Privati,Bausani Maria Paola,Il Cocomero,58019,Monte Argentario,GR,,,,42.414279,11.158842,0564 814040
1642,053016ALL0024,Alloggi Privati,Domenici Nadia,"Via C. Colombo, 22 - - Porto Santo Stefano",58019,Monte Argentario,GR,,nadia30giugno@yahoo.it,,42.414279,11.158842,320 2696208 - 0564 813095
1646,053016ALL0028,Alloggi Privati,Navarro Moise,Via Della Forconata - Pozzarello,58019,Monte Argentario,GR,,,,42.414279,11.158842,
18859,053016ALL0042,Alloggi Privati,Anastasia Lucia,"Spaccamontagne / La Marchesa, Snc",58019,Monte Argentario,GR,,antares432000@yahoo.it,,42.414279,11.158842,335 446360
18860,053016ALL0043,Alloggi Privati,Pogany Isabel,"Le Scorpacciate, Snc",58019,Monte Argentario,GR,,isabelpogany@hotmail.com,,42.414279,11.158842,334 2830817
1261,053016RTA0002,Residenze Turistico Alb.,Girasole,Via Poggio Calvello - Porto S.Stefano - Porto Santo Stefano,58019,Monte Argentario,GR,3,,,42.414279,11.158842,0564 812647
960,053003ALB0004,Alberghi - Hotel,La Torricella,Via Aurelia Km.125 - Casal Brizzi - Borgo Carige,58010,Capalbio,GR,2,daetrusco@fionline.it,www.daetrusco.com,42.414649,11.445694,0564 890083 - 328 7157222
1147,053016ALB0016,Alberghi - Hotel,Argentario Golf Resort & Spa,Via Acquedotto Leopoldino Snc - Le Piane - Porto Ercole,58018,Monte Argentario,GR,5,info@argentariogolfresortspa.it,www.argentariogolfresortspa.it,42.416613,11.185112,0564 1828400
961,053003ALB0005,Alberghi - Hotel,Agrialbergo Capalbio,"Strada Della Sugherella, 3",58011,Capalbio,GR,1,info@agrialbergo.it,www.agrialbergo.it,42.4195,11.386753,0564 898763
17026,053003ALL0025,Alloggi Privati,Censini Gino,"Strada Della Sugherella, 3/a",58011,Capalbio,GR,,agrialbergo@gmail.com,,42.4195,11.386753,0564 898763
1805,053003AAT0029,Agriturismi,Il Mandriolo,"Strada Del Trentatre, 1 - - Borgo Carige",58011,Capalbio,GR,1,felice.signorino@ilmandriolo.org,www.ilmandriolo.org,42.420304,11.42442,0564 890210 - 338 8094743
1787,053003AAT0011,Agriturismi,La Grande Quercia,"Strada Aurelia Capalbio, 12 - - Borgo Carige",58010,Capalbio,GR,2,,,42.42083,11.413567,0564 890397
1790,053003AAT0014,Agriturismi,Il Sicomoro,"Strada Madonna Nicola, 8 - Borgo Carige",58010,Capalbio,GR,2,info@sicomoro.net,www.sicomoro.net,42.421765,11.432005,0564 890194 - 328 8258937
2761,053003VIT0001,Villaggi Turistici,Villaggio Capalbio,Strada Pedemontana,58011,Capalbio,GR,3,info@villaggiocapalbio.it,www.villaggiocapalbio.it,42.422485,11.41958,0564 899017
3093,053018STB0004,Stabilimenti Balneari,La Zonca,Feniglia,58015,Orbetello,GR,,,,42.423678,11.259098,0564 833558
3095,053018STB0006,Stabilimenti Balneari,Braccio,Feniglia,58015,Orbetello,GR,,noenavoni@alice.it,,42.423678,11.259098,347 3311284
1803,053003AAT0027,Agriturismi,Il Bosso,"Via Pedemontana, 14 - - Borgo Carige",58011,Capalbio,GR,,sanpelag@inwind.it,www.capalbio.it/ilbosso,42.423923,11.424013,0564 890191 - 38 9320536
1799,053003AAT0023,Agriturismi,Podere 571,"Strada Aurelia-capalbio, 4 - Borgo Carige",58010,Capalbio,GR,2,agriturismopodere571@virgilio.it,,42.424262,11.415638,0564 890358 - 347 3894674
958,053003ALB0002,Alberghi - Hotel,Mimosa,"Via Torino, 34 - - Borgo Carige",58011,Capalbio,GR,2,albergo.mimosa@tiscali.it,www.capalbio.it/mimosa,42.424456,11.419022,0564 890220
2716,053003CAM0003,Campeggi,Costa D'argento,Via S.S.Aurelia Km.134 - Montealzato - Borgo Carige,58010,Capalbio,GR,3,info@costadargento.it,www.costadargento.it,42.424961,11.417975,0564 893007
1429,053016AFR0004,Affittacamere,Relais Country La Mortella B&b,"Via Acquedotto Leopoldino, 54",58019,Monte Argentario,GR,,info@relaislamortella.it,www.relaislamortella.it,42.426479,11.196588,0564 813004
2434,053016AAT0002,Agriturismi,Monte Argentario,Le Piane,58019,Monte Argentario,GR,1,info@agriturismomonteargentario.it,www.agriturismomonteargentario.it,42.430575,11.183199,0564 810641 - 392 8589879
18615,053016CAV0001,Case per Vacanze,Villa La Vuelta,Le Piane - Porto S. Stefano,58019,Monte Argentario,GR,,info@argentariopoloclub.com,www.argentariopoloclub.com,42.430575,11.183199,331 7910101
7204,050039AFR0033,Affittacamere,Le Ginepraie,Podere Le Ginepraie - Località Pignano,56048,Volterra,PI,,info@leginepraie.com,www.leginepraie.com,42.431566,11.832275,0588 35113
1263,053016RTA0004,Residenze Turistico Alb.,Le Poste Del Pianone,"Via Strada Del Pianone, 30 - - Porto S. Stefano",58019,Monte Argentario,GR,3,reception@pianone.it,www.pianone.it,42.432272,11.15216,0564 812219
1264,053016RTA0005,Residenze Turistico Alb.,Le Poste Del Pianone - Dip,"Strada Del Pianone, 30 - - Porto S. Stefano",58019,Monte Argentario,GR,2,reception@pianone.it,www.pianone.it,42.432272,11.15216,0564 812219
1716,053018AST0001,Aree di sosta,Lanini,S.P. Della Giannella - Santa Liberata,58015,Orbetello,GR,,,,42.433149,11.157792,360709528 0564 820102
1627,053016ALL0009,Alloggi Privati,Orsini Vinicio,"Via Roma, 55 - Porto Santo Stefano",58019,Monte Argentario,GR,,,,42.433619,11.122543,0564 817773
1628,053016ALL0010,Alloggi Privati,Orsini Aldo,"Via Roma, 55 - Porto Santo Stefano",58019,Monte Argentario,GR,,,,42.433619,11.122543,0564 817564
1139,053016ALB0008,Alberghi - Hotel,Baia D'argento,S.P. Le 161 - Pozzarello - Porto S. Stefano,58019,Monte Argentario,GR,4,baiadargento@baiadargento.com,www.baiadargento.com,42.434195,11.138141,0564 812643
1162,053018ALB0015,Alberghi - Hotel,Lido Di Giannella,"S.P. Le Di Giannella, 215 - Giannella",58015,Orbetello,GR,3,info@toscanazzurra.it,www.toscanazzurra.it,42.434615,11.162987,0564 821034 - 0564 821078
1630,053016ALL0012,Alloggi Privati,Calvetti Alessandra,"Via Poggio Del Golfo, 10",58019,Monte Argentario,GR,,a.calvetti@libero.it,,42.434927,11.148647,056481432 328 1661200
1663,053018ALL0012,Alloggi Privati,"Gauthier Francoise -""villa Mariel""","S.P. Della Giannella, 170",58015,Orbetello,GR,,,,42.435065,11.163647,
18554,053016ALL0037,Alloggi Privati,B&b La Casa Di Mare,"Via Cuniberti, 32 - - Porto S. Stefano",58019,Monte Argentario,GR,,lacasadimare@gmail.com,bblacasadimare.webr.ly/,42.43509,11.120341,0564 812001
1647,053016ALL0029,Alloggi Privati,Scialla Nicola,"Via Dell'appetito, 106",58019,Monte Argentario,GR,,,,42.435195,11.117947,0564 810097
1140,053016ALB0009,Alberghi - Hotel,Alfiero,"Via Cuniberti, 12/14 - - Porto S.Stefano",58019,Monte Argentario,GR,2,info@hotelalfiero.com,www.hotelalfiero.com,42.435636,11.120505,0564 814067
1164,053018ALB0017,Alberghi - Hotel,Villa Smeraldo,"S.P. Le Di Giannella, 64/a - Giannella",58015,Orbetello,GR,3,info@villasmeraldo.com,www.villasmeraldo.com,42.43632,11.165492,0564 820072
18992,053018CAV0014,Case per Vacanze,Giannella,"Stada Prov.Le Di Giannella, 158 - Giannella",58015,Orbetello,GR,,info@toscanazzurra.it,www.toscanazzurra.it,42.436486,11.168106,0564 820005
3100,053018STB0011,Stabilimenti Balneari,Il Tramonto,S.P. Di Giannella Km. 3 - Giannella,58015,Orbetello,GR,,info@iltramontobeach.com,www.iltramontobeach.com,42.436486,11.168106,0564 820320
1464,053018AFR0036,Affittacamere,Lubrano,"Via Mura Di Levante, 44",58015,Orbetello,GR,,bruno.lubrano@tin.it,www.lubranocamere.it,42.436769,11.211424,0564 867039
18655,053016ALL0041,Alloggi Privati,Galandrini Francesco,"Via Del Fortino, 2 - - Porto S. Stefano",58019,Monte Argentario,GR,,orestina_sclano@yahoo.it,,42.436866,11.130222,0564 812434 - 329 5655247
1154,053018ALB0004,Alberghi - Hotel,Piccolo Parigi,"Corso Italia, 169 - Orbetello",58015,Orbetello,GR,1,albergopiccoloparigi@hotmail.it,www.albergopiccoloparigi.it,42.436881,11.208079,0564 867233
1151,053018ALB0001,Alberghi - Hotel,I Presidi,"Via Mura Di Levante, 34",58015,Orbetello,GR,3,info@ipresidi.com,www.ipresidi.com,42.437008,11.212535,0564 867601
14140,053018ALL0024,Alloggi Privati,Tellini Roberto,"Via Palanca, 2",58015,Orbetello,GR,,,,42.437473,11.210113,
1619,053016ALL0001,Alloggi Privati,Landini Silve,Grottone Di Cala Piccola - Porto Santo Stefano,58019,Monte Argentario,GR,,,,42.437494,11.11495,0564 825061
1637,053016ALL0019,Alloggi Privati,Sciolari Alessio - Il Grottone,Grottone Snc - Porto Santo Stefano,58019,Monte Argentario,GR,,info@ilgrottone.com,,42.437494,11.11495,0564 825093 337 443438
1650,053016ALL0032,Alloggi Privati,Cerulli Anna Maria,"Località San Pietro, Snc - Porto S. Stefano",58019,Monte Argentario,GR,,,,42.437494,11.11495,0564 825261 - 0564 825268
18553,053016ALL0036,Alloggi Privati,Bb Villa Flora,"Localit? Punta Nera, Snc - - Porto S. Stefano",58019,Monte Argentario,GR,,alena2006@hotmail.it,,42.437494,11.11495,0564 815938
18584,053016ALL0038,Alloggi Privati,Marida,"Via Sebastiano Caboto, 9 - Pozzarello - Porto S. Stefano",58019,Monte Argentario,GR,,,,42.437494,11.11495,0564 818872
1262,053016RTA0003,Residenze Turistico Alb.,Filippo Ii,"Poggio Calvello,17 - Porto Santo Stefano",58019,Monte Argentario,GR,4,info@filipposecondo.it,www.filipposecondo.it,42.437494,11.11495,0564 811611
3083,053016STB0002,Stabilimenti Balneari,Due Pini,"Via Statale, 440 - La Soda - Porto S. Stefano",58019,Monte Argentario,GR,1,,,42.437494,11.11495,0564 814012
3084,053016STB0003,Stabilimenti Balneari,Il Gabbiano Della Cantoniera,Via Cantoniera - Cantoniera - Porto S. Stefano,58019,Monte Argentario,GR,,,,42.437494,11.11495,0564 812434
3085,053016STB0004,Stabilimenti Balneari,Il Moletto,Via Del Molo - Molo Della Sanita' - Porto S. Stefano,58019,Monte Argentario,GR,,,www.bagnomoletto.it,42.437494,11.11495,0564 817527
3087,053016STB0006,Stabilimenti Balneari,La Formica,"S.S. 440, 16 - Pozzarello - Porto S. Stefano",58019,Monte Argentario,GR,,info@formicargentario.com,www.formicargentario.com,42.437494,11.11495,339 5857185 - 330 778283
3088,053016STB0007,Stabilimenti Balneari,Cala Piccola,Via Della Cala - Cala Piccola - Porto S. Stefano,58019,Monte Argentario,GR,,,,42.437494,11.11495,0564 825244
2745,053018CAM0005,Campeggi,Comunale Giannella,"S.P. Giannella, 164 - Tombolo Di Giannella",58015,Orbetello,GR,2,info@giannellacamping.it,www.giannellacamping.it,42.437519,11.168759,0564 820054
18179,053018CAV0012,Case per Vacanze,Airone,"Via Delle Saline, 7 - Giannella",58015,Orbetello,GR,,info@toscanazzurra.it,www.toscanazzurra.it,42.437631,11.169715,0564 820058
1268,053018RTA0003,Residenze Turistico Alb.,Airone,"Via Delle Saline, 7 - Giannella",58015,Orbetello,GR,3,info@toscanazzurra.it,www.toscanazzurra.it,42.437631,11.169715,0564 820058
1457,053018AFR0029,Affittacamere,Pensione Verde Luna A,"Via Banti, 1",58015,Orbetello,GR,,,,42.437675,11.210533,0564 862378
1465,053018AFR0037,Affittacamere,Pensione Verde Luna  B,"Via Banti, 1",58015,Orbetello,GR,,albergoverdeluna@aim.com,www.albergoverdeluna.tk,42.437675,11.210533,0564 867451
1152,053018ALB0002,Alberghi - Hotel,Hotel Sole,"Via Colombo, 2",58015,Orbetello,GR,3,info@hotelsoleorbetello.com,www.hotelsoleorbetello.com,42.437835,11.210757,0564 860410
1792,053003AAT0016,Agriturismi,Il Fontino,"Strada Capalbio - Pescia Fiorentina, 15/17 - Pescia Fiorentina",58011,Capalbio,GR,2,info@ilfontino.it,www.ilfontino.it,42.43814,11.464235,0564 895149
1622,053016ALL0004,Alloggi Privati,Capitani Rosanna,"Via Martiri D'ungheria, 19 - Porto Santo Stefano",58019,Monte Argentario,GR,,,,42.438258,11.114863,0564 814398
1141,053016ALB0010,Alberghi - Hotel,Pensione Week End,"Via Martiri D'ungheria, 3 - - Porto S.Stefano",58019,Monte Argentario,GR,1,info@pensioneweekend.it,www.pensioneweekend.it,42.438566,11.115774,0564 812580
1794,053003AAT0018,Agriturismi,I Poggi Di Garavicchio,"Strada Del Chiarone, 6 - - Pescia Fiorentina",58011,Capalbio,GR,2,,,42.438591,11.479302,338 2537380
19479,053003AAT0038,Agriturismi,San Mauro,Cava Del Gesso - - Borgo Carige,58011,Capalbio,GR,2,emanuele@tiscali.it,,42.438966,11.444726,0564 896703 - 347 0512098
1177,053018ALB0030,Alberghi - Hotel,San Biagio,"Via Dante, 44",58015,Orbetello,GR,4,info@sanbiagiorelais.com,www.sanbiagiorelais.com,42.439137,11.211388,0564 860543
1163,053018ALB0016,Alberghi - Hotel,Villa Ambra,"S.P. Le Di Giannella, 113 - Giannella",58015,Orbetello,GR,3,info@hotelvillaambra.com,www.hotelvillaambra.com,42.439176,11.168827,0564 820103
3090,053018STB0001,Stabilimenti Balneari,Nettuno,S.P. Giannella - Giannella,58015,Orbetello,GR,,,,42.439298,11.168958,0564 820196
3099,053018STB0010,Stabilimenti Balneari,Lido Di Giannella,S.P. Della Giannella - Giannella,58015,Orbetello,GR,,lidogiannella@virgilio.it,,42.439298,11.168958,0564 821084
2448,053018AAT0001,Agriturismi,Grazia,"Strada S.Aurelia, 4/b Km.140,100 - Provincaccia - Orbetello Scalo",58016,Orbetello,GR,1,info@agriturismograzia.com,www.agriturismograzia.com,42.439647,11.212408,0564 881182 - 338 1317645
2450,053018AAT0003,Agriturismi,La Valentina,"Strada Vic.Le Della Valentina, 12 - Valentina - Talamone",58010,Orbetello,GR,3,info@agriturismolavalentina.com,www.agriturismolavalentina.com,42.439647,11.212408,0564 885355 - 338 2170888
2455,053018AAT0008,Agriturismi,Doganella,"S.P. 160 Amiatina, 64 - Doganella - Albinia",58010,Orbetello,GR,2,,,42.439647,11.212408,0564 878171 - 338 1094872
2457,053018AAT0010,Agriturismi,Tenuta La Parrina,Km 146 Strada Vic.Le Della Parrina - Parrina - Albinia,58010,Orbetello,GR,2,agriturismo@parrina.it,www.parrina.it,42.439647,11.212408,0564 862626
2459,053018AAT0012,Agriturismi,Tre Cerri,S.P. Le 81 Osa - Tre Cerri - Albinia,58010,Orbetello,GR,1,3cerri@virgilio.it,www.trecerri.it,42.439647,11.212408,0564 885607 - 339 8880463
2460,053018AAT0013,Agriturismi,Podere Dante,"Strada V.Le Di Villa Trieste, 14 - Guinzone - Albinia",58010,Orbetello,GR,1,grazia.cini@libero.it,,42.439647,11.212408,335 6303622
2461,053018AAT0014,Agriturismi,Torre Capita,"Via Fornace Bartolini, 79 - - Albinia",58010,Orbetello,GR,1,info@agriturismotorrecapita.com,www.agriturismotorrecapita.com,42.439647,11.212408,0564 870029
2462,053018AAT0015,Agriturismi,Bella Vista,Querciolaie - Fonteblanda,58010,Orbetello,GR,1,,,42.439647,11.212408,0564 885436
2463,053018AAT0016,Agriturismi,Poggio Aquilone,"Strada Vic.Le Delle Querciolaie, 1 - Querciolaie - Fonteblanda",58010,Orbetello,GR,1,info@poggioaquilone.it,www.poggioaquilone.it,42.439647,11.212408,0564 885339 - 392 1164813
2466,053018AAT0019,Agriturismi,Querciolaie,"S.P. Le Talamone Est, 58 - Querciolaie - Fonteblanda",58010,Orbetello,GR,1,,,42.439647,11.212408,0564 885448
2467,053018AAT0020,Agriturismi,La Marta,"Via Srada Vicinale Della Migliorina, 3/b - La Marta - Fonteblanda",58010,Orbetello,GR,3,info@lamarta.it,www.lamarta.it,42.439647,11.212408,0564 885426 - 349 5620746
2469,053018AAT0022,Agriturismi,La Guglielmina,Via Aurelia Nord Km 145 - Orbetello Scalo,58016,Orbetello,GR,3,la.guglielmina@tiscali.it,www.laguglielmina.com,42.439647,11.212408,0564 862681 - 338 2850809
2470,053018AAT0023,Agriturismi,Podere Il Ghiro,"Strada Vic.Le Del Guinzone, 11 - Albinia",58010,Orbetello,GR,1,,www.podereilghiro.it,42.439647,11.212408,0564 871502
2471,053018AAT0024,Agriturismi,Vallechiara,Casacce - Talamone,58010,Orbetello,GR,1,agriturismovallechiara@alice.it,www.agriturismovallechiara.it,42.439647,11.212408,0564 885617
2473,053018AAT0026,Agriturismi,San Francesco,"S.P. 160 Amiatina, 38 - - Albinia",58010,Orbetello,GR,2,,www.agriturismo.sanfrancesco.org,42.439647,11.212408,0564 878154 - 338 4285254
2474,053018AAT0027,Agriturismi,La Sorgente,"Strada Martavello, 17 - Querciolaie - Fonteblanda",58010,Orbetello,GR,2,az.lasorgente@tiscali.it,www.agriturismolasorgente.net,42.439647,11.212408,0564 885459 - 393 0954283
2475,053018AAT0028,Agriturismi,La Facenda,"Strada Vicinale Del Ramo, 24 - - Albinia",58010,Orbetello,GR,2,lafacenda.agribio@virgilio.it,www.lafacenda.it,42.439647,11.212408,0564 870454 - 333 4082063
2476,053018AAT0029,Agriturismi,La Valle Dell' Albegna,"Strada Vic.Le Camera Dei Ladri, 23 - Polverosa - Albinia",58010,Orbetello,GR,2,,,42.439647,11.212408,0564 879004 - 348 3803242
