ID_NOTICE_CAN,TED_NOTICE_URL,YEAR,ID_TYPE,DT_DISPATCH,XSD_VERSION,CANCELLED,CORRECTIONS,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_ADDRESS,CAE_TOWN,CAE_POSTAL_CODE,CAE_GPA_ANNEX,ISO_COUNTRY_CODE,ISO_COUNTRY_CODE_GPA,B_MULTIPLE_COUNTRY,ISO_COUNTRY_CODE_ALL,CAE_TYPE,EU_INST_CODE,MAIN_ACTIVITY,B_ON_BEHALF,B_INVOLVES_JOINT_PROCUREMENT,B_AWARDED_BY_CENTRAL_BODY,TYPE_OF_CONTRACT,TAL_LOCATION_NUTS,B_FRA_AGREEMENT,FRA_ESTIMATED,B_FRA_CONTRACT,B_DYN_PURCH_SYST,CPV,MAIN_CPV_CODE_GPA,ID_LOT,ADDITIONAL_CPVS,B_GPA,GPA_COVERAGE,LOTS_NUMBER,VALUE_EURO,VALUE_EURO_FIN_1,VALUE_EURO_FIN_2,B_EU_FUNDS,TOP_TYPE,B_ACCELERATED,OUT_OF_DIRECTIVES,CRIT_CODE,CRIT_PRICE_WEIGHT,CRIT_CRITERIA,CRIT_WEIGHTS,B_ELECTRONIC_AUCTION,NUMBER_AWARDS,ID_AWARD,ID_LOT_AWARDED,INFO_ON_NON_AWARD,INFO_UNPUBLISHED,B_AWARDED_TO_A_GROUP,WIN_NAME,WIN_NATIONALID,WIN_ADDRESS,WIN_TOWN,WIN_POSTAL_CODE,WIN_COUNTRY_CODE,B_CONTRACTOR_SME,CONTRACT_NUMBER,TITLE,NUMBER_OFFERS,NUMBER_TENDERS_SME,NUMBER_TENDERS_OTHER_EU,NUMBER_TENDERS_NON_EU,NUMBER_OFFERS_ELECTR,AWARD_EST_VALUE_EURO,AWARD_VALUE_EURO,AWARD_VALUE_EURO_FIN_1,B_SUBCONTRACTED,DT_AWARD
201626269,ted.europa.eu/udl?uri=TED:NOTICE:26269-2016:TEXT:EN:HTML,2016,3,21-JAN-16,R208.S2,0,0,,Rahandusministeerium,70009244,Lõõtsa 8a,Tallinn,11415,A1,EE,EE,,,N,,Economical anf Financial Affairs,N,,,S,,N,,,,72261000,72,,48440000,Y,1,0,557161.07,557161.07,557161.07,N,OPE,,0,L,100,,,N,2,7240597,,,N,,Osaühing MS Ärisüsteemid,,Lõõtsa 2,Tallinn,11415,EE,,2,,3,,,,,,517201.07,517201.07,,19-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7240993,,,N,,Osaühing ASA Quality Services,,Ehitajate tee 108,Tallinn,12915,EE,,1,,21,,,,,100000,,100000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7240994,,,N,,Osaühing Aktors,,A. H. Tammsaare tee 118d,Tallinn,12918,EE,,2,,21,,,,,645000,,645000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7240995,,,N,,AS CGI Eesti,,A. H. Tammsaare tee 47,Tallinn,11316,EE,,3,,21,,,,,695000,,695000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7240996,,,N,,Trinidad Consulting OÜ,,Teaduspargi tn 8,Tallinn,12618,EE,,4,,21,,,,,221000,,221000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7240997,,,N,,Osaühing Icefire,,Pärnu mnt 102 C,Tallinn,11312,EE,,5,,21,,,,,529000,,529000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7240998,,,N,,BitWeb OÜ,,Lai tn 6,Tartu,51005,EE,,6,,21,,,,,645000,,645000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7240999,,,N,,OÜ TripleDev,,Pärnu mnt 130-45,Tallinn,11317,EE,,7,,21,,,,,373000,,373000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241000,,,N,,Aktsiaselts Fujitsu Estonia,,Mustamäe tee 16,Tallinn,10617,EE,,8,,21,,,,,695000,,695000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241001,,,N,,Concise Systems OÜ,,Aasa 2,Elva,61503,EE,,9,,21,,,,,695000,,695000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241002,,,N,,Nortal AS,,Lõõtsa 6,Tallinn,11415,EE,,10,,21,,,,,695000,,695000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241003,,,N,,AS Finestmedia,,Pärnu mnt 139,Tallinn,11317,EE,,11,,21,,,,,645000,,645000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241004,,,N,,Aktsiaselts Datel,,Endla 4,Tallinn,10142,EE,,12,,21,,,,,488000,,488000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241005,,,N,,UPTIME OÜ,,Pärnu mnt. 158,Tallinn,11317,EE,,13,,21,,,,,695000,,695000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241006,,,N,,Tieto Estonia Aktsiaselts,,Tammsaare tee 47,Tallinn,11316,EE,,14,,21,,,,,466000,,466000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241007,,,N,,AS Reach-U,,Riia 24,Tartu,51010,EE,,15,,21,,,,,438000,,438000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241008,,,N,,Cybernetica AS,,Mäealuse 2/1,Tallinn,12618,EE,,16,,21,,,,,495000,,495000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241009,,,N,,Iglu OÜ,,Roosikrantsi 2,Tallinn,10119,EE,,17,,21,,,,,100000,,100000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241010,,,N,,Heisi IT OÜ,,Lõõtsa 2B,Tallinn,11415,EE,,18,,21,,,,,573000,,573000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241011,,,N,,Wizon OÜ,,Aiandi 3/3 – 62,Tallinn,12916,EE,,19,,21,,,,,100000,,100000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241012,,,N,,Osaühing BPW Consulting,,Lõõtsa 8A,Tallinn,11415,EE,,20,,21,,,,,473000,,473000,,18-JAN-16
201626441,ted.europa.eu/udl?uri=TED:NOTICE:26441-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Siseministeerium,70008440,Mäealuse 2,Tallinn,12618,A1,EE,EE,,,N,,Other,N,,,S,,Y,,Y,,72210000,72,,,N,3,0,10000000.0,9994000,9994000,Y,OPE,,0,L,100,,,N,21,7241013,,,N,,Aktsiaselts Proekspert,,Sõpruse pst 157,Tallinn,13417,EE,,21,,21,,,,,228000,,228000,,18-JAN-16
201628148,ted.europa.eu/udl?uri=TED:NOTICE:28148-2016:TEXT:EN:HTML,2016,3,22-JAN-16,R208.S2,0,0,,Sveikatos apsaugos ministerija,188603472,Vilniaus g. 33,Vilnius,01506,A1,LT,LT,,,1,,Health,N,,,S,,N,,,,72200000,72,,,Y,4,0,17150.0,17150,17150,N,OPE,,0,L,100,,,N,1,7242861,,,N,,UAB BAIP,,Juozapavičiaus g. 6/2,Vilnius,09310,LT,,1,,1,,,,,,17150,17150,Y,07-DEC-15
201628283,ted.europa.eu/udl?uri=TED:NOTICE:28283-2016:TEXT:EN:HTML,2016,3,25-JAN-16,R208.S2,0,0,,Valsts ieņēmumu dienests,,Talejas iela 1,Rīga,1978,A1,LV,LV,,,1,,Economical anf Financial Affairs,N,,,S,,N,,,,72610000,72,,,Y,1,0,148410.0,148410,148410,N,NOC,,0,L,100,,,N,1,7243139,,,N,,SIA Microsoft Latvia,,Zaļā iela 1,Rīga,1010,LV,,1,,1,,,,,148761,148410,148410,N,20-JAN-16
201628291,ted.europa.eu/udl?uri=TED:NOTICE:28291-2016:TEXT:EN:HTML,2016,3,25-JAN-16,R208.S2,0,0,,Rīgas domes Informācijas tehnoloģiju centrs,,Brīvības iela 49/53,Rīga,1010,A2,LV,LV,,,3,,General public\services,N,,,S,,N,,,,72400000,72,,,Y,1,0,,,,N,,,0,M,,,,N,1,7243153,,,N,,Sabiedrība ar ierobežotu atbildību “Lattelecom”,,Dzirnavu iela 105,Rīga,1011,LV,,1,,1,,,,,,,,N,12-JAN-16
201628365,ted.europa.eu/udl?uri=TED:NOTICE:28365-2016:TEXT:EN:HTML,2016,3,25-JAN-16,R208.S2,0,0,,Maanteeamet,70001490,Pärnu mnt 463a,Tallinn,10916,A1,EE,EE,,,1,,Other,N,,,S,,N,,,,72211000,72,,,Y,1,0,280388.0,280388,280388,Y,OPE,,0,M,,Pakkumuse maksumus---Võtmeisikute tehnoloogiapõhine kompetents,60---40,N,1,7243280,,,N,,AS Reach-U,,Riia 24,Tartu,51010,EE,,1,,6,,,,,,280388,280388,,21-JAN-16
201630192,ted.europa.eu/udl?uri=TED:NOTICE:30192-2016:TEXT:EN:HTML,2016,3,26-JAN-16,R208.S2,0,0,,Žemės ūkio ministerija — Nacionalinė mokėjimo agentūra,288739270,Blindžių g. 17,Vilnius,01103,A1,LT,LT,,,N,,General public\services,N,,,S,,N,,,,72253200,72,,,Y,1,1,908553.72,908553.72,908553.72,Y,OPE,,0,M,,Pasiūlymo kaina---Paramos už plotus priemonių administravimo aplinkos apžvalga---Palaikymo ir vystymo paslaugų įgyvendinimas,40---20---40,N,1,7246279,1,,N,,UAB iTree Lietuva,,Konstitucijos pr. 7,Vilnius,,LT,,1,2014–2020 m. periodo paramos už plotus priemonių administravimo informacinės sistemos ir Geografinės informacinės sistemos modulių palaikymo ir vystymo paslaugos,2,,,,,,908553.72,908553.72,N,08-DEC-15
201631974,ted.europa.eu/udl?uri=TED:NOTICE:31974-2016:TEXT:EN:HTML,2016,3,27-JAN-16,R208.S2,0,0,,Valstybės įmonė Žemės ūkio informacijos ir kaimo verslo centras,210086220,V. Kudirkos g. 18-1,Vilnius,03105,A2,LT,LT,,,6,,Other,N,,,S,,N,,,,72320000,72,,,Y,1,1,319690.57,319690.57,319690.57,N,OPE,,0,L,100,,,N,1,7249504,1,,N,,VĮ Distancinių tyrimų ir geoinformatikos centras „GIS-Centras“,,Sėlių g. 66,Vilnius,,LT,,1,Lietuvos Respublikos teritorijos M 1:5 000 kontrolinių žemės sklypų duomenų bazės KŽS_DB5LT dirbamos žemės sklypų atnaujinimo pagal žemėnaudas paslauga,2,,,,,,319690.57,319690.57,N,31-DEC-15
201635492,ted.europa.eu/udl?uri=TED:NOTICE:35492-2016:TEXT:EN:HTML,2016,3,29-JAN-16,R208.S2,0,0,,Žemės ūkio ministerija — Nacionalinė mokėjimo agentūra,288739270,Blindžių g. 17,Vilnius,08111,A1,LT,LT,,,N,,General public\services,N,,,S,,N,,,,72261000,72,,,Y,1,0,177489.6,177489.6,177489.6,N,OPE,,0,L,100,,,N,1,7253754,,,N,,Uždaroji akcinė bendrovė „Blue Bridge“,,J. Jasinskio g. 16,Vilnius,,LT,,1,,1,,,,,,177489.6,177489.6,N,07-JAN-16
201637206,ted.europa.eu/udl?uri=TED:NOTICE:37206-2016:TEXT:EN:HTML,2016,3,01-FEB-16,R208.S2,0,0,,Eesti Rahvusringhääling,74002322,Gonsiori 27,Tallinn,15029,A2,EE,EE,,,6,,General public\services;Other,N,,,S,,N,,,,72261000,72,,,Y,1,0,212000.0,212000,212000,N,NOC,,0,L,100,,,N,1,7256282,,,N,,DCIT a.s.,,Kodanska 1441/46,Praha,10010,CZ,,1,,1,,,,,,212000,212000,,20-JAN-16
201638812,ted.europa.eu/udl?uri=TED:NOTICE:38812-2016:TEXT:EN:HTML,2016,3,02-FEB-16,R208.S2,0,0,,Maa-amet,70003098,Mustamäe tee 51,Tallinn,10621,A1,EE,EE,,,1,,Environment;General public\services;Housing and community amenities;Other,N,,,S,,N,,,,72250000,72,,,N,1,0,192150.0,192150,192150,N,NOC,,0,L,100,,,N,1,7258590,,,N,,Osaühing Alphagis,,Mustamäe tee 4,Tallinn,10621,EE,,1,,1,,,,,,192150,192150,,01-FEB-16
201638819,ted.europa.eu/udl?uri=TED:NOTICE:38819-2016:TEXT:EN:HTML,2016,3,02-FEB-16,R208.S2,0,0,,Riigi Kinnisvara Aktsiaselts,10788733,Lelle 24,Tallinn,11318,A2,EE,EE,,,6,,Other,N,,,S,,Y,,Y,,72211000,72,,,Y,4,0,200000.0,200000,200000,N,OPE,,0,L,100,,,N,1,7258600,,,N,,OÜ TripleDev,,Pärnu mnt 130-45,Tallinn,11317,EE,,1,,2,,,,,200000,,200000,,27-JAN-16
