Title,Authors,DOI,URL,Date,Language,Subjects,ISSNs,Publisher,Citation,Licence
"Crystal structure of (E)-1,2-bis(4-bromo-2,6-difluorophenyl)diazene",Johannes Broichhagen|David H. Woodmansee|Dirk Trauner|Peter Mayer,10.1107/S2056989015010622,https://doaj.org/article/4551d33a722e4df286983355441bb2c5,01/07/2015,EN,crystal structure|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp o459-o460 (2015)",CC BY
Crystal structure of (E)-1-(4-tert-butylphenyl)-2-(4-iodophenyl)ethene,Zhiwei Chen|Graeme J. Moxey,10.1107/S2056989015007185,https://doaj.org/article/4786c8acdb314c5faa195abaac78f972,01/05/2015,EN,crystal structure|stilbene|iodoarene|C—I...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp o309-o310 (2015)",CC BY
"Crystal structure of (E)-2-benzylidene-4-[(3-phenyl-4,5-dihydroisoxazol-5-yl)methyl]-2H-benzo[b][1,4]thiazin-3(4H)-one",Nada Kheira Sebbar|Mohamed Ellouz|El Mokhtar Essassi|Mohamed Saadi|Lahcen El Ammari,10.1107/S2056989015009755,https://doaj.org/article/02273a16e32140be80949dfde34368e2,01/06/2015,EN,"crystal structure|benzothiazine|dihydroisoxazole|C—H...O,N hydrogen bonding|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp o423-o424 (2015)",CC BY
"Crystal structure of (E)-3-(3,4-dimethoxyphenyl)-1-(1-hydroxynaphthalen-2-yl)prop-2-en-1-one",K. S. Ezhilarasi|D. Reuben Jonathan|R. Vasanthi|B. K. Revathi|G. Usha,10.1107/S2056989015008087,https://doaj.org/article/7ebd4fc3fb30467d8ca3a000604cd330,01/05/2015,EN,"crystal structure|1,3-diphenyl-2-propene-1-ones|chalcones|α,β-unsaturated carbonyl system|bifurcated C—H...O hydrogen bonds|O—H...O intramolecular hydrogen bond|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp o371-o372 (2015)",CC BY
"Crystal structure of (E)-3-{[2-(2,4-dichlorobenzylidene)hydrazin-1-yl]carbonyl}pyridinium chloride trihydrate",J. Josephine Novina|G. Vasuki|M. Suresh|M. Syed Ali Padusha,10.1107/S2056989015000286,https://doaj.org/article/21d0d8f2cf2744fdb1c2229c06163419,01/02/2015,EN,crystals structure|pyridinium|hydrazide group|hydrogen bonds|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp o105-o106 (2015)",CC BY
Crystal structure of (Z)-2-(1-benzyl-2-oxoindolin-3-ylidene)-N-phenylhydrazine-1-carbothioamide,G. Vimala|J. Haribabu|R. Karvembu|B. V. N. Phani Kumar|A. SubbiahPandi,10.1107/S2056989015002248,https://doaj.org/article/65ed84de919a49968142239e8ada4a7f,01/03/2015,EN,crystal structure|thiosemicarbazones|hydrazine|carbothioamide|2-oxoindolin-3-ylidene|hydrogen bonding|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 3, Pp o160-o161 (2015)",CC BY
"Crystal structure of (Z)-N′-[1-(3-methyl-5-oxo-1-phenyl-1,5-dihydro-4H-pyrazol-4-ylidene)propyl]benzenesulfonohydrazide",Chuan-Chuan He|Guan-Cheng Xu,10.1107/S2056989015007094,https://doaj.org/article/994f0a82dea94de08210101035f698be,01/05/2015,EN,crystal structure|pyrazolone derivative|hydrogen bonding|polymer chain|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp 487-489 (2015)",CC BY
"Crystal structure of (±)-(1SR,5SR,6SR,7SR,10SR,11SR,13SR)-13-benzyloxy-7-methoxymethoxy-11,15,18,18-tetramethyl-3-oxo-2,4-dioxatetracyclo[12.3.1.01,5.06,11]octadeca-14,16-dien-10-yl benzoate",Takeshi Oishi|Keisuke Fukaya|Yu Yamaguchi|Tomoya Sugai|Ami Watanabe|Takaaki Sato|Noritaka Chida,10.1107/S2056989015007136,https://doaj.org/article/a13262aebadb4f9d884acdfa2152d99e,01/05/2015,EN,crystal structure|hydrogen bonds|taxane skeleton|paclitaxel|hydrogen bonding|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp 490-493 (2015)",CC BY
"Crystal structure of (μ-N,N′-dibenzyldithiooxamidato-κN,S:N′,S′)bis[(η3-crotyl)palladium(II)]",Giuseppe Bruno|Santo Lanza|Antonino Giannetto|Alessandro Sacca|Hadi Amiri Rudbari,10.1107/S2056989015001292,https://doaj.org/article/76dc80e564d8474394d4f15a3333b551,01/02/2015,EN,crystal structure|dinuclear palladium(II) complex|dibenzyldithiooxamidate|crotyl|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp m40-m41 (2015)",CC BY
"Crystal structure of 1,2-dibenzoylacenaphthylene",Fred H. Greenberg|Alexander Y. Nazarenko,10.1107/S2056989015011160,https://doaj.org/article/9d1bf1b736e14effac5d22a98d89e8d8,01/07/2015,EN,"crystal structure|1,2-dibenzoylacenaphthylene|crystal packing|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp o487-o488 (2015)",CC BY
Crystal structure of 1-(2-aminophenyl)-3-phenylurea,Joel T. Mague|Shaaban K. Mohamed|Mehmet Akkurt|Omran A. Omran|Mustafa R. Albayati,10.1107/S2056989014028175,https://doaj.org/article/a0ae3c3cc2e34cff8917fb3814735df1,01/02/2015,EN,crystal structure|urea derivatives|N—H...N hydrogen bonds|N—H...O hydrogen bonds|twinned structure|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp o88-o89 (2015)",CC BY
Crystal structure of 1-[(Z)-2-phenylhydrazin-1-ylidene]naphthalen-2(1H)-one,Ali Benosmane|Mohamed Amine Benaouida|Assia Mili|Abdelkader Bouchoul|Hocine Merazig,10.1107/S2056989015006775,https://doaj.org/article/65241d716be24b89a31b607751c56c5f,01/05/2015,EN,crystal structure|hydrazone|naphthalenone|hydrogen bonding|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp o303-o303 (2015)",CC BY
"Crystal structure of 2,2-dimethyl-N-(5-methylpyridin-2-yl)propanamide",Gamal A. El-Hiti|Keith Smith|Amany S. Hegazy|Saud A. Alanazi|Benson M. Kariuki,10.1107/S2056989015009378,https://doaj.org/article/7d2b3befcdff41ffbff49374cbd3154a,01/06/2015,EN,crystal structure|propanamide|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp o419-o420 (2015)",CC BY
"Crystal structure of 2,6-dimethyl-4-pyridone hemihydrate",Dalena M. Nguyen|Vasumathi Desikan|James A. Golen|David R. Manke,10.1107/S2056989015012402,https://doaj.org/article/121c2e914c3446e3ad7570c6b58ace36,01/08/2015,EN,crystal structure|hydrogen bonding|pyridones|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 8, Pp o533-o533 (2015)",CC BY
"Crystal structure of 2-(4-methylphenyl)-4H-1,3-benzothiazine",N. C. Sandhya|Chandra|G. P. Suresha|N. K. Lokanath|M. Mahendra,10.1107/S205698901402725X,https://doaj.org/article/9177fcbd9a8c4a6fa3489a10c128923c,01/02/2015,EN,crystal structure|benzothiazine derivative|biological properties|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp o74-o74 (2015)",CC BY
Crystal structure of 2-(p-tolyl)-6-(trifluoromethyl)benzo[b]thiophene-3-carbonitrile,N. C. Sandhya|S. Naveen|N. K. Lokanath|S. Ananda,10.1107/S2056989015008671,https://doaj.org/article/445127060ecc44ca847c3efa8ff677cd,01/06/2015,EN,crystal structure|benzo[b]thiophene|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp o382-o382 (2015)",CC BY
"Crystal structure of 2-amino-4,6-dimethoxypyrimidinium thiophene-2-carboxylate",Ammaiyappan Rajam|P.T. Muthiah|Ray J. Butcher|Jerry P. Jasinski,10.1107/S2056989015010907,https://doaj.org/article/d60e611bdf95405f84df8e13a0d46d55,01/07/2015,EN,crystal structure|crystal salts|hydrogen-bonding patterns|π–π stacking interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp o479-o480 (2015)",CC BY
Crystal structure of 2-aminopyridinium 6-chloronicotinate,N. Jeeva Jasmine|A. Rajam|P. Thomas Muthiah|N. Stanley|I. Abdul Razak|M. Mustaqim Rosli,10.1107/S2056989015014796,https://doaj.org/article/faccc32c77fe480dab502986a1eddb4c,01/09/2015,EN,crystal structure|2-aminopyridinium|6-chloronicotinate|6-chloropyridine-3-carboxylate|noncovalent interactions|π–π stacking interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 9, Pp o655-o656 (2015)",CC BY
"Crystal structure of 2-butylsulfanyl-4,6-bis[(E)-styryl]pyrimidine",Aijian Wang|Guanghui Li,10.1107/S2056989015008166,https://doaj.org/article/1a841dda3afc4aed99e550d0fed6ce88,01/05/2015,EN,crystal structure|weak interactions|pyrimidine|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp o368-o368 (2015)",CC BY
Crystal structure of 2-methyl-N-{[2-(pyridin-2-yl)ethyl]carbamothioyl}benzamide,Nadiah Ameram|Farook Adam,10.1107/S2056989015013559,https://doaj.org/article/d9bc14ed7b4e43cba075dca4a64d57e6,01/09/2015,EN,crystal structure|benzamide|carbonyl thiourea|inversion dimers|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 9, Pp o636-o636 (2015)",CC BY
"Crystal structure of 2-methylamino-4-(6-methyl-4-oxo-4H-chromen-3-yl)-3-nitropyrano[3,2-c]chromen-5(4H)-one with an unknown solvate",Rajamani Raja|Subramani Kandhasamy|Paramasivam T. Perumal|A. SubbiahPandi,10.1107/S2056989015014413,https://doaj.org/article/51ddf666a41c4556806d8bae65583081,01/09/2015,EN,crystal structure|chromene|bischromene|N—H...O hydrogen bonding|C—H...O hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 9, Pp o645-o646 (2015)",CC BY
Crystal structure of 2-nitro-N-(2-nitrophenyl)benzamide,Rodolfo Moreno-Fuquen|Alexis Azcárate|Alan R. Kennedy,10.1107/S2056989015008695,https://doaj.org/article/1b2b0e246e964d2abc8b3de1ee2bbb27,01/06/2015,EN,crystal structure|benzamide|anticonvulsant properties|antimicrobial properties|inhibitors of diverse enzymes|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp o389-o390 (2015)",CC BY
"Crystal structure of 2-{[(naphthalen-1-yl)oxy]methyl}-5-(2,4,5-trifluorophenyl)-1,3,4-oxadiazole",Muniyappan Govindhan|Kathavarayan Subramanian|Vijayan Viswanathan|Devadasan Velmurugan,10.1107/S2056989015003205,https://doaj.org/article/ceae640a554245f581ca9f943c513a01,01/03/2015,EN,"crystal structure|naphthalen-1-yloxy|trifluorophenyl|1,3,4-oxadiazole|hydrogen bonding|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 3, Pp o190-o191 (2015)",CC BY
"Crystal structure of 2-{[1-(4-bromobenzyl)-1H-1,2,3-triazol-4-yl]methoxy}naphthalene-1,4-dione",Rajamani Raja|Subramani Kandhasamy|Paramasivam T. Perumal|A. SubbiahPandi,10.1107/S2056989015004429,https://doaj.org/article/1da66ebdcbf2458b852f080ab35664cf,01/04/2015,EN,crystal structure|triazole|naphthalene|hydrogen bonds|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 4, Pp o231-o232 (2015)",CC BY
"Crystal structure of 2′-[(2′,4′-difluorobiphenyl-4-yl)carbonyl]-1′-phenyl-1′,2′,5′,6′,7′,7a'-hexahydrospiro[indole-3,3′-pyrrolizin]-2(1H)-one",M. Fathimunnisa|H. Manikandan|S. Selvanayagam|B. Sridhar,10.1107/S2056989015012931,https://doaj.org/article/73798b5476f943e09d9b1106e0fd71f0,01/08/2015,EN,crystal structure|pyrrolizidine derivatives|N—H...O hydrogen bonds|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 8, Pp 915-918 (2015)",CC BY
"Crystal structure of 3,4-dichloroanilinium hydrogen phthalate",Muhammad Shahid|Muhammad Nawaz Tahir|Muhammad Salim|Munawar Ali Munawar,10.1107/S2056989015010300,https://doaj.org/article/07bdd09cf514489695078d976a97e6e3,01/07/2015,EN,crystal structure|hydrogen phthalate|hydrogen bonding|π–π stacking interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp o446-o446 (2015)",CC BY
"Crystal structure of 3-(2,2-dibromoacetyl)-4-hydroxy-2H-chromen-2-one",Ameni Brahmia|Afef Ghouili|Rached Ben Hassen,10.1107/S2056989014027947,https://doaj.org/article/c8ba4025521945a088cb725773e09ac4,01/02/2015,EN,crystal structure|coumarin derivatives|dibromation|hydrogen bonding|π–π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp 121-123 (2015)",CC BY
"Crystal structure of 3-(3,4-dimethylanilino)-2-benzofuran-1(3H)-one",Muhammad Salim|Muhammad Nawaz Tahir|Muhammad Shahid|Munawar Ali Munawar,10.1107/S2056989015009299,https://doaj.org/article/f4c12a95cd894f8c86c2018aaead1c99,01/06/2015,EN,crystal structure|2-benzofuranone|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp o413-o413 (2015)",CC BY
Crystal structure of 3-(hydroxymethyl)chromone,Yoshinobu Ishikawa,10.1107/S2056989015011627,https://doaj.org/article/3fec1abd1335447b8a5927aef2d57a6d,01/07/2015,EN,crystal structure|chromone|hydrogen bonding|π–π stacking|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp o495-o495 (2015)",CC BY
"Crystal structure of 3-(thiophen-2-yl)-5-p-tolyl-4,5-dihydro-1H-pyrazole-1-carbothioamide",S. Naveen|G. Pavithra|Muneer Abdoh|K. Ajay Kumar|Ismail Warad|N. K. Lokanath,10.1107/S2056989015010774,https://doaj.org/article/d7622bef96064e799ffe383ac5e9bad7,01/07/2015,EN,crystal structure|pyrazole|thiophene|carbothioamide|C—H...S hydrogen bonds|N—H...π interactions|π–π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp 763-765 (2015)",CC BY
Crystal structure of 3-amino-2-ethylquinazolin-4(3H)-one,Gamal A. El-Hiti|Keith Smith|Amany S. Hegazy|Mohammed Baashen|Benson M. Kariuki,10.1107/S2056989015014450,https://doaj.org/article/6a43bc0b521c4b80a954ad85bf7341ef,01/09/2015,EN,crystal structure|3-amino-2-ethylquinazolin-4(3H)-one|π–π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 9, Pp o650-o651 (2015)",CC BY
Crystal structure of 3-bromo-2-hydroxybenzoic acid,Gerhard Laus|Volker Kahlenberg|Thomas Gelbrich|Sven Nerdinger|Herwig Schottenberger,10.1107/S2056989015007331,https://doaj.org/article/ef9106b31d1045c781b2f53b2a5cad52,01/05/2015,EN,crystal structure|hydrogen bonding|structural systematics|XPac|salicylic acid derivative|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp 531-535 (2015)",CC BY
"Crystal structure of 4,4′-diethynylbiphenyl",Tei Tagg|C. John McAdam|Brian H. Robinson|Jim Simpson,10.1107/S2056989015011494,https://doaj.org/article/8344202ea3a14dd7bdd5e0857c76b002,01/07/2015,EN,"crystal structure|4,4′-diethynylbiphenyl|C—H...π(ring) interactions|C[triple-bond]C—H...π contacts|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp 816-820 (2015)",CC BY
"Crystal structure of 4-(3,4-dicyanophenoxy)-N-[3-(dimethylamino)propyl]benzamide monohydrate: a phenoxyphthalonitrile derivative",Senem Çolak|Salih Zeki Yıldız|Nagihan Çaylak Delibaş|Hasan Pişkin|Tuncer Hökelek,10.1107/S2056989015014991,https://doaj.org/article/6d092afb202842c9bfc99f93f180542c,01/09/2015,EN,crystal structure|amido amine derivatives|phthalonitrile derivatives|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 9, Pp 1042-1044 (2015)",CC BY
Crystal structure of 4-(dimethylamino)pyridinium 4-aminobenzoate dihydrate,A. Thirunavukkarasu|A. Silambarasan|R. Mohan Kumar|P. R. Umarani|G. Chakkaravarthi,10.1107/S2056989014026310,https://doaj.org/article/21c5e43a57624b2584910f0dbc6ca4d7,01/01/2015,EN,crystal structure|4-(dimethylamino)pyridinium|4-aminobenzoate|hydrate|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 1, Pp o26-o27 (2015)",CC BY
Crystal structure of 4-(trimethylgermyl)benzoic acid,Lena Knauer|Eva R. Barth|Christopher Golz|Carsten Strohmann,10.1107/S2056989015009160,https://doaj.org/article/3ca4f7b75f864055b56b3b9690f50457,01/06/2015,EN,crystal structure|4-(trimethylgermyl)benzoic acid|germanium|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp 687-689 (2015)",CC BY
Crystal structure of 4-aminobenzoic acid–4-methylpyridine (1/1),M. Krishna Kumar|P. Pandi|S. Sudhahar|G. Chakkaravarthi|R. Mohan Kumar,10.1107/S2056989015000791,https://doaj.org/article/c50c71401d8649a3acb9d6dfd174dfed,01/02/2015,EN,crystal structure|adduct|O—H...N and N—H...O hydrogen bonds|layered structure|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp o125-o126 (2015)",CC BY
Crystal structure of 4-methoxyphenyl 2-oxo-2H-chromene-3-carboxylate,H.C. Devarajegowda|P. A. Suchetan|S. Sreenivasa|H. T. Srinivasa|B. S. Palakshamurthy,10.1107/S2056989015006970,https://doaj.org/article/3730bc121c0c46b3bf22bbd7e7b3d119,01/06/2015,EN,crystal structure|2-oxo-2H-chromene|C—H...π interactions|C—H...O interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp o374-o375 (2015)",CC BY
Crystal structure of 4-methyl-N-[2-(piperidin-1-yl)ethyl]benzamide monohydrate,B. K. Revathi|D. Reuben Jonathan|S. Sathya|K. Prathebha|G. Usha,10.1107/S2056989015007653,https://doaj.org/article/807a27c1ca814cff802e03ca13356d81,01/05/2015,EN,crystal structure|piperidine|benzamide|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp o359-o360 (2015)",CC BY
Crystal structure of 4-nitro-N-[(pyridin-2-yl)methylidene]aniline,Watcharin Saphu|Kittipong Chainok,10.1107/S2056989015016928,https://doaj.org/article/e0c737be799741478746cf68e925fac8,01/10/2015,EN,crystal structure|hydrogen bonds|Schiff base|π–π stacking|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 10, Pp o760-o760 (2015)",CC BY
Crystal structure of 4-oxo-4H-chromene-3-carboxylic acid,Yoshinobu Ishikawa,10.1107/S2056989015013456,https://doaj.org/article/688e92dd9dbc4306bd3861cbaed8b67f,01/08/2015,EN,crystal structure|chromone|hydrogen bonding|stacking interaction|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 8, Pp o580-o581 (2015)",CC BY
