Record - metadata - oai_dc:dc - xsi:schemaLocation	dc:subject	Record - metadata - oai_dc:dc - dc:subject - xsi:type	Record - metadata - oai_dc:dc - dc:subject - ddb:GND-Nr	dc:creator	dc:type	Record - metadata - oai_dc:dc - dc:audience	dc:identifier	dc:rights	dc:title	dc:format	dc:date	dc:language	dc:description	Record - metadata - oai_dc:dc - dc:relation	dc:contributor	dc:publisher	dc:source	Record - header - setSpec	Record - header - datestamp
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Richter, Falco	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/38	info:eu-repo/semantics/openAccess	urbanRESET Hamburg : wirkungsgeschichtliche Untersuchungen zu bestandsorientierten Strategien von Städtebau und Stadtentwicklung in Hamburg anhand des ehemaligen Schlachthof-Areals auf St. Pauli	application/pdf	2013-01-01	ger	"Der städtebautheoretische Forschungsansatz „urbanRESET“ steht für eine europaweite Suche nach innovativen Projektbeispielen des Umdeutens, Transformierens und Reintegrierens städtischer Räume. Im Hamburger Kontext spielt diese urbane Praxis traditionell eine untergeordnete Rolle. Zwar lassen sich zahlreiche Arbeiten im Bestand identifizieren, ergebnisoffene innovative Prozesse stellen aber die absolute Ausnahme dar. Allmählich gewinnen jedoch vor dem Hintergrund einer forcierten Innenentwicklung und eines steigenden Drucks aus der Bevölkerung bestandsorientierte Strategien erneut an Bedeutung. 

Die Analyse des ehemaligen Schlachthof-Areals auf St. Pauli mit Hilfe des Erklärungsmodus von urbanRESET stellt dieses als herausragendes Beispiel für die Umsetzung bestandsorientierter Strategien dar. Ursprünglich als  Teil einer europaweiten Schlachthof-Bewegung entstanden, durchlief dieses Areal in mehreren Perioden einen ab den 70er Jahren intensivierten städtebaulichen und strukturellen Wandel. Durch sensible Revitalisierungen haben sich funktionale Stadtbausteine herausbilden können, denen eine zentrale Bedeutung auf der Stadtteilebene zukommt. Aus den wirkungsgeschichtlichen Untersuchungen ergeben sich neue Impulse für den Hamburger Städtebau und die Stadtentwicklung im Bestand."					com_hcu_13	2023-01-27T09:34:24Z
	Stadtentwicklung				doc-type:masterThesis	Students												col_hcu_31	
	Stadtumbau																	open_access	
	Stadtsanierung																	ddc:710	
	Bestand																	doc-type:masterThesis	
	Transformation																		
	Landesbetrieb Vieh- und Fleischzentrum Hamburg																		
	Hamburg																		
	ddc:710																		
	Stadtentwicklung	xMetaDiss:GND	4056730-8																
	Stadtumbau	xMetaDiss:GND																	
	Stadtsanierung	xMetaDiss:GND																	
	Bestand	xMetaDiss:GND																	
	Transformation	xMetaDiss:GND																	
	Landesbetrieb Vieh- und Fleischzentrum Hamburg	xMetaDiss:GND																	
	Hamburg	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Richter-Rethwisch, Sophie	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/41	info:eu-repo/semantics/openAccess	Der neue Häuserkampf in Berlin : wie können Stadtplanung und Wohnungspolitik ein „Recht auf Stadt“ ermöglichen?	application/pdf	2013-01-01	ger	"Vormals „Soziale Brennpunkte“, zentral gelegene Arbeiterviertel wie Neukölln oder Kreuzberg wandeln sich zu begehrten Wohnlagen. Noch vor wenigen Jahren, als im März 2006 die Neuköllner Rütli-Schule durch einen Brandbrief der Rektorin an den Berliner Senat bundesweit bekannt wurde, galt Neukölln als Symbolstadtteil für Armut und Gewalt. Die in den 1960er Jahren zuziehenden Gastarbeiter durften laut Stempel in ihrem Pass nur in den Arbeiterbezirken wohnen und konzentrieren sich bis heute in den
Sozialbauten, für die die Anschlussförderungen versagt wurden und die Kappung der Sozialwohnungsmieten 2011 endete. Seitdem können Mieten bis auf das Kostenmietenniveau erhoben werden, sodass Geringverdiener und Sozialleistungsbezieher schlagartig aus den Wohnungen verdrängt werden und bezahlbare Wohnungen meist nur in den Großwohnsiedlungen am Stadtrand finden können. Diese stadträumliche Verdrängung verstärkt die gesellschaftliche Marginalisierung ökonomisch
benachteiligter Milieus in bisher für Berlin nicht bekanntem Ausmaß. Sie befördert Gewalt und Kriminalität, wie sie in den Pariser Banlieues vorkommt, und zieht weitere gesellschaftliche Integrationsprobleme nach sich. Viele Gastarbeiter, die überwiegend aus der Türkei stammen, konzentrieren sich in den Sozialbauten am Kottbusser Tor, dem „Kotti“, und machen Kreuzberg zu dem bunten, offenen und urbanen Stadtteil, der er heute noch ist. Für die Integration weniger zahlungskräftiger
Bevölkerungsgruppen ist das „Recht auf Stadt“, d.h. vor allem das Recht
auf innerstädtischen Wohnraum, von zentraler Bedeutung, dessen Sicherung eine wichtige Aufgabe der kommunalen Wohnungspolitik sein muss. Auch die steigende Zahl prekär beschäftigter „kreativer Milieus“, von denen viele einer akademischen Bildungsschicht angehören, sind auf preisdämmende staatliche Maßnahmen angewiesen, um ihr „Recht auf Stadt“ zu ermöglichen. Seit Beginn der Finanzkrise gewinnen die Immobilienmärkte als sichere Anlage an Zuspruch durch Investoren, Fondsgesellschaften und Privatpersonen. Besonders die Investition
in Luxusbauten in zentralen Großstadtlagen ermöglicht die größte Rendite. Der jüngste Immobilienboom im Luxussegment treibt die Preise nach oben und verschärft die Knappheit an bezahlbarem Wohnraum in den Großstadtzentren.Zunehmend sind von dem allgemeinen Anstieg der Wohnungspreise in Kreuzberg und Neukölln Teile der Mittelschicht betroffen. Der soziale Wohnungsbau, der nach dem Zweiten Weltkrieg als „nationale Aufgabe“ zum Ziel hatte, „breite Schichten der Bevölkerung“
mit Wohnraum zu versorgen, ist seit Mitte der 1990er Jahre Ländersache. Als preisdämmendes Korrektiv verliert er seine Bedeutung. Der Rückgang der staatlichen Steuerung aufgrund des lange als „entspannt“ geltenden Wohnungsmarktes in Berlin führte zu einer sich zuspitzenden Wohnungsnot. Zahlreicher und lauter werdende Mieterinitiativen machen deutlich, dass ein politisches Gegensteuern und eine Zusammenarbeit mit betroffenen Mietern notwendig sind. Die Mietergemeinschaft Kotti & Co hat ihr Protestcamp am Kottbusser Tor im Oktober 2012 mit Bauwagen und Bretterbude winterfest gemacht und will weiterhin präsent bleiben,
bis die Politik ihre Forderungen umsetzt. Regelmäßig trägt sie mit größer werdenden Lärmdemos ihre Kritik auf die Straße."					com_hcu_13	2023-01-27T09:25:45Z
	Wohnungspolitik				doc-type:masterThesis	Students												col_hcu_31	
	Stadtsoziologie																	open_access	
	Stadtentwicklung																	ddc:710	
	Beteiligung																	doc-type:masterThesis	
	Berlin-Kreuzberg																		
	ddc:710																		
	Wohnungspolitik	xMetaDiss:GND	4066796-0																
	Stadtsoziologie	xMetaDiss:GND	4077811-3																
	Stadtentwicklung	xMetaDiss:GND	4056730-8																
	Beteiligung	xMetaDiss:GND	4006092-5																
	Berlin-Kreuzberg	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	M2 Projekt			Look, Frithjof	StudyThesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/42	info:eu-repo/semantics/openAccess	Großmarkt Hamburg : Szenarien für eine Um- und Neunutzung	application/pdf	2012-01-01	ger	"Die Projektarbeit „Großmarkt Hamburg. Szenarien für eine Um- und
Neunutzung“ erarbeitet zwei Szenarien mit je zwei Handlungsoptionen
bzw. möglichen Entwicklungsschritten. Ein Szenario greift die
aktuellen Öffnungsstrategien des Großmarktes (u.a. „food market“,
Harley Days) auf und ergänzt diese durch einen „food court“. Das
andere, „radikale“ Szenario geht von einer Komplettverlagerung
des Großmarkts aus und entwirft eine mögliche Neunutzung des
Areals durch ein Forschungszentrum für Nachhaltigkeit.
Wesentlich ist dabei, dass nicht nur ein finaler Entwurf erarbeitet
wird, der suggestiv mit dem Vollendeten wirbt, sondern durch je
eine positive und eine negative Handlungsoption auch die Determinanten,
die für eine derartige Entwicklung erfüllt sein müssten,
herausgestellt und beschrieben werden.
Der Projektgruppe geht es dabei nicht nur um die Erarbeitung zweier
Endzustände und des Wegs dahin, sondern auch um die Anwendung
der Szenariotechnik."					com_hcu_13	2023-01-26T15:00:41Z
	710: Landschaftsgestaltung, Raumplanung			Petersen, Jens-Phillip	doc-type:StudyThesis	Students												col_hcu_31	
	Großmarkt / Hamburg			Schmedemann, Jan-Phillipp														open_access	
	Nutzungsänderung			Schill, Olga														ddc:710	
	ddc:710																	doc-type:StudyThesis	
	Großmarkt / Hamburg	xMetaDiss:GND																	
	Nutzungsänderung	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Groß, Ramona	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/43	info:eu-repo/semantics/openAccess	Dornröschen, wach auf! : ein städtebaulich-touristisches Konzept für Eutin-Fissau	application/pdf	2013-01-01	ger	"Die Arbeit möchte einen fachlichen Beitrag zum allgemeinen Umgang mit wenig zeitgemäßen Tourismusstrukturen
in Destinationen leisten und für eine konkrete Dorfschaft als Grundlage und Entscheidungshilfe für künftige planerische Überlegungen dienen. Ziel ist es dabei, bestehende wissenschaftliche Erkenntnisse zur städtebaulich-
touristischen Entwicklung praktisch anhand einer norddeutschen Dorfschaft mit traditionsreichen, jedoch modernisierungsbedürftigen, touristischen Strukturen zu nutzen. Dazu soll ein besucher- und ortsgerechtes Konzept entwickelt werden, welches sich auf den Ansatz der regionalen Identität stützt und so die bestehenden städtebaulichen sowie touristischen Defizite des Ortes behebt und Potenziale hervorbringt."		Koch, Michael			com_hcu_13	2023-01-27T09:21:08Z
	Stadtentwicklung			Slawski, Anika	doc-type:bachelorThesis	Students												col_hcu_31	
	Tourismus																	open_access	
	Eutin																	ddc:710	
	ddc:710																	doc-type:bachelorThesis	
	Stadtentwicklung	xMetaDiss:GND	4056730-8																
	Tourismus	xMetaDiss:GND																	
	Eutin	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Kemper, Leonie	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/44	info:eu-repo/semantics/openAccess	Die Karstquellen der Hellwegbörden : schützenswertes Element der Kulturlandschaft? ; ein Beitrag zum Schutz historischer Kulturlandschaftselemente	application/pdf	2013-01-01	ger	Die Kulturlandschaftsforschung in Nordrhein-Westfalen hat bereits zu einer Analyse des Raumes geführt, sodass 32 Kulturlandschaften anhand ihrer entscheidenden Charakteristika und Merkmale definiert werden konnten. Auch den Hellwegbörden wurde im Zuge dessen der Status der Kulturlandschaft verliehen. In dieser Region Nordrhein-Westfalens lässt sich ein besonders hohes Aufkommen an sogenannten Karstquellen auffinden, welche durch den Zugang zum Frischwasser aus historischer Sicht starken Einfluss auf die Entwicklung dieses Gebietes ausübten. Diese Naturdenkmäler wurden jedoch im Rahmen der Kulturlandschaftsforschung in Nordrhein-Westfalen nicht umfangreich untersucht, sodass sie bisher keine Schutzwürdigkeit als Bestandteile der Hellwegbörden erfahren. Diese Bachelorarbeit leistet einen Beitrag zum Kulturlandschaftsschutz, indem sie sich der Fragestellung widmet, ob die Karstquellen schützenswerte Elemente der Kulturlandschaft Hellwegbörden darstellen. Anhand von Bewertungskriterien soll untersucht werden, inwiefern sie die verschiedenen Werte eines schutzwürdigen Kulturlandschaftselementes erfüllen. Abschließend wird eine Empfehlung zum weiteren Umgang mit den Karstquellen gegeben.		Knieling, Jörg			com_hcu_13	2023-01-27T09:20:14Z
	Kulturlandschaft				doc-type:bachelorThesis	Students												col_hcu_31	
	Hellwegbörde																	open_access	
	Westfalen																	ddc:710	
	ddc:710																	doc-type:bachelorThesis	
	Kulturlandschaft	xMetaDiss:GND																	
	Hellwegbörde	xMetaDiss:GND																	
	Westfalen	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Ulaş, Coşkun	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/45	info:eu-repo/semantics/openAccess	Im Schatten des Billstedt-Centers? : Potenziale des lokalen Gewerbes im direkten Umfeld eines Shopping-Centers	application/pdf	2013-01-01	ger	"Die vorliegende Ausarbeitung ist eine analytische Untersuchung im Bereich „Lokales Gewerbe mit dem Schwerpunkt Einzelhandel und Gastronomie im direkten Umfeld eines Shopping-Centers“. Dabei beschränkt sich die Analyse nicht auf den kleinteilig angelegten lokalen Einzelhandel, sondern beschreibt vielmehr dessen Situation im räumlichen und funktionalen Bezug zum angrenzenden Shopping-Center. Sie arbeitet die Potenziale des untersuchten
Gebietes aus und beschreibt auch in diesem Zusammenhang bereits existierende bzw. mögliche Probleme. ... Die Zielsetzung und das damit verbundene Erkenntnisinteresse hierbei ist die Ausarbeitung von Potenzialen und Problemen, die die strukturelle Situation im untersuchten Gebiet vorweist. Im Rahmen der Analyse wird diese Situation abschließend bewertet und auf diesen Ergebnissen aufbauend werden erste Handlungsempfehlungen bzw. Verbesserungsvorschläge formuliert."		Krüger, Thomas			com_hcu_13	2023-01-27T09:16:40Z
	Hamburg-Billstedt				doc-type:bachelorThesis	Students												col_hcu_31	
	Einkaufszentrum																	open_access	
	Einzelhandel																	ddc:710	
	ddc:710																	doc-type:bachelorThesis	
	Hamburg-Billstedt	xMetaDiss:GND																	
	Einkaufszentrum	xMetaDiss:GND																	
	Einzelhandel	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Klein, Philipp	StudyThesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/46	info:eu-repo/semantics/openAccess	Städtebaureform und Nachverdichtung in Hamm und Horn	application/pdf	2014-01-01	ger						com_hcu_13	2023-01-26T15:11:17Z
	Städtebau			Krämer, Ronja	doc-type:StudyThesis	Students												col_hcu_31	
	Reform			Lobinger, Sophia														open_access	
	Verdichtete Bebauung			Macele, Sharon														ddc:710	
	ddc:710			Tihanyi, Attila														doc-type:StudyThesis	
	Städtebau	xMetaDiss:GND																	
	Reform	xMetaDiss:GND																	
	Verdichtete Bebauung	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Stellmacher, Christoph	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/47	info:eu-repo/semantics/openAccess	Informelle Ökonomie - informeller Strassenhandel : allgemeine Theorie, gelebte Praxis und deren Auswirkungen in Mexiko-Stadt	application/pdf	2011-01-01	ger	"""Die vorliegende Untersuchung verknüpft die Auseinandersetzung um die Bedeutung und Gründe für informelle Ökonomie mit dem konkreten Beispiel des Straßenhandels von Mexiko-Stadt und dessen räumlichen Auswirkungen. Es wird anhand der Diskussion um die informelle Ökonomie in der Form des informellen Straßenhandels die spezifische Situation in Mexiko-Stadt genauer analysiert.
Das Interesse dieser Arbeit liegt zunächst darin, die Grundelemente des Begriffs der informellen Ökonomie und Unterschiede in der wissenschaftlichen Auseinandersetzung zu erarbeiten. Fragen nach der genauen Bedeutung des Begriffes und einer möglichen Abgrenzbarkeit stellen sich ebenso wie jene nach der Betrachtungsweise informeller Wirtschaftsaktivitäten.
Auch stellt sich die Frage nach der spezifischen Situation des Staates Mexiko und jener von Mexiko-Stadt. Wie sich die Stadt entwickelte, welchen Einfluss die Wirtschaft des gesamten Landes auf die Stadt hat, welche Rolle die informelle Ökonomie in der gesamten Wirtschaftsleistung einnimmt und welchen Stellenwert der Straßenhandel in Mexiko-Stadt hat ist von Bedeutung für die Untersuchung.
Der Interessenschwerpunkt der Arbeit liegt auf den Nutzungs- und Aneignungsformen des öffentlichen Stadtraumes durch den informellen Straßenhandel in Mexiko-Stadt. So ist es interessant, verschiedene Formen der Aneignung sowie die Praktiken zu untersuchen, mit denen Formen der Repression begegnet wird, beziehungsweise zu klären, welche Folgen gezielte Eingriffe durch Maßnahmen auf den Straßenhandel haben ... """					com_hcu_13	2023-01-27T09:44:31Z
	Schattenwirtschaft				doc-type:masterThesis	Students												col_hcu_31	
	Straßenverkauf																	open_access	
	Mexiko <Stadt>																	ddc:710	
	ddc:710																	doc-type:masterThesis	
	Schattenwirtschaft	xMetaDiss:GND																	
	Straßenverkauf	xMetaDiss:GND																	
	Mexiko <Stadt>	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Ygit, Ayse	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/49	info:eu-repo/semantics/openAccess	Bürgerbeteiligung am Beispiel des Veddeler Nordufers : Darstellung und Bewertung einzelner Bürgerbeteiligungsverfahren mit einer großen Anzahl an Bewohnern mit Migrationshintergrund	application/pdf	2014-01-01	ger			Schubert, Dirk			com_hcu_13	2023-01-27T09:20:13Z
	Bürgerbeteiligung				doc-type:bachelorThesis	Students												col_hcu_31	
	Hamburg-Veddel																	open_access	
	Migration																	ddc:710	
	ddc:710																	doc-type:bachelorThesis	
	Bürgerbeteiligung	xMetaDiss:GND	4008767-0																
	Hamburg-Veddel	xMetaDiss:GND																	
	Migration	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Jürgens, Florian	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/51	info:eu-repo/semantics/openAccess	Zukunftsperspektiven für die vorbereitende Bauleitplanung	application/pdf	2011-01-01	ger						com_hcu_13	2023-01-27T09:34:26Z
	Bauleitplanung				doc-type:masterThesis	Students												col_hcu_31	
	ddc:710																	open_access	
	Bauleitplanung	xMetaDiss:GND																ddc:710	
																		doc-type:masterThesis	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Pahl, Julius	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/52	info:eu-repo/semantics/openAccess	Transformation von Stadträumen : Nachverdichtung in Hamburg-Eimsbütttel	application/pdf	2013-01-01	ger			Koch, Michael			com_hcu_13	2023-01-27T09:20:14Z
	Stadtteil				doc-type:bachelorThesis	Students												col_hcu_31	
	Hamburg-Eimsbüttel																	open_access	
	Weiterentwicklung																	ddc:710	
	Bebauungsdichte																	doc-type:bachelorThesis	
	ddc:710																		
	Stadtteil	xMetaDiss:GND																	
	Hamburg-Eimsbüttel	xMetaDiss:GND																	
	Weiterentwicklung	xMetaDiss:GND																	
	Bebauungsdichte	xMetaDiss:GND																	
