Column 1,Column 2,Column 3,Column 4
O30033,"Twin pregnancy,",O318X21,Other complications specific to multiple
,"monochorionic/diamniotic, third trimester",,"gestation, second trimester, fetus 1"
O30039,"Twin pregnancy,",O318X22,Other complications specific to multiple
,"monochorionic/diamniotic, unspecified",,"gestation, second trimester, fetus 2"
trimester,,,
O30041,"Twin pregnancy, dichorionic/diamniotic,",O318X23,Other complications specific to multiple
,first trimester,,"gestation, second trimester, fetus 3"
O30042,"Twin pregnancy, dichorionic/diamniotic,",O318X24,Other complications specific to multiple
,second trimester,,"gestation, second trimester, fetus 4"
O30043,"Twin pregnancy, dichorionic/diamniotic,",O318X25,Other complications specific to multiple
,third trimester,,"gestation, second trimester, fetus 5"
O30049,"Twin pregnancy, dichorionic/diamniotic,",O318X29,Other complications specific to multiple
,unspecified trimester,,"gestation, second trimester, other fetus"
O30091,"Twin pregnancy, unable to determine",O318X30,Other complications specific to multiple
,number of placenta and number of,,"gestation, third trimester, not applicable"
,"amniotic sacs, first trimester",,or unspecified
O30092,"Twin pregnancy, unable to determine",O318X31,Other complications specific to multiple
,number of placenta and number of,,"gestation, third trimester, fetus 1"
,"amniotic sacs, second trimester",,
O30093,"Twin pregnancy, unable to determine",O318X32,Other complications specific to multiple
,number of placenta and number of,,"gestation, third trimester, fetus 2"
,"amniotic sacs, third trimester",,
O30099,"Twin pregnancy, unable to determine",O318X33,Other complications specific to multiple
,number of placenta and number of,,"gestation, third trimester, fetus 3"
,"amniotic sacs, unspecified trimester",,
O30101,"Triplet pregnancy, unspecified number of",O318X34,Other complications specific to multiple
,placenta and unspecified number of,,"gestation, third trimester, fetus 4"
,"amniotic sacs, first trimester",,
O30102,"Triplet pregnancy, unspecified number of",O318X35,Other complications specific to multiple
,placenta and unspecified number of,,"gestation, third trimester, fetus 5"
,"amniotic sacs, second trimester",,
O30103,"Triplet pregnancy, unspecified number of",O318X39,Other complications specific to multiple
,placenta and unspecified number of,,"gestation, third trimester, other fetus"
,"amniotic sacs, third trimester",,
July 2020,2 of 11,,
HRQ QI™ ICD-10-CM/PCS Specification v2020,Appendix A,,
Inpatient Quality Indicators Appendices,,,
www.qualityindicators.ahrq.gov,,,
O30109,"Triplet pregnancy, unspecified number of",O318X90,Other complications specific to multiple
,placenta and unspecified number of,,"gestation, unspecified trimester, not"
,"amniotic sacs, unspecified trimester",applicable or unspecified,
O30111,Triplet pregnancy with two or more,O318X91,Other complications specific to multiple
,"monochorionic fetuses, first trimester",,"gestation, unspecified trimester, fetus 1"
O30112,Triplet pregnancy with two or more,O318X92,Other complications specific to multiple
,"monochorionic fetuses, second trimester",,"gestation, unspecified trimester, fetus 2"
O30113,Triplet pregnancy with two or more,O318X93,Other complications specific to multiple
,"monochorionic fetuses, third trimester",,"gestation, unspecified trimester, fetus 3"
O30119,Triplet pregnancy with two or more,O318X94,Other complications specific to multiple
,"monochorionic fetuses, unspecified",,"gestation, unspecified trimester, fetus 4"
trimester,,,
O30121,Triplet pregnancy with two or more,O318X95,Other complications specific to multiple
,"monoamniotic fetuses, first trimester",,"gestation, unspecified trimester, fetus 5"
O30122,Triplet pregnancy with two or more,O318X99,Other complications specific to multiple
,"monoamniotic fetuses, second trimester",,"gestation, unspecified trimester, other"
,,fetus,
O30123,Triplet pregnancy with two or more,O321XX0,"Maternal care for breech presentation, not"
,"monoamniotic fetuses, third trimester",applicable or unspecified,
O30129,Triplet pregnancy with two or more,O321XX1,"Maternal care for breech presentation,"
,"monoamniotic fetuses, unspecified",fetus 1,
trimester,,,
O30131,"Triplet pregnancy, trichorionic/triamniotic,",O321XX2,"Maternal care for breech presentation,"
first trimester,,fetus 2,
O30132,"Triplet pregnancy, trichorionic/triamniotic,",O321XX3,"Maternal care for breech presentation,"
second trimester,,fetus 3,
O30133,"Triplet pregnancy, trichorionic/triamniotic,",O321XX4,"Maternal care for breech presentation,"
third trimester,,fetus 4,
O30139,"Triplet pregnancy, trichorionic/triamniotic,",O321XX5,"Maternal care for breech presentation,"
unspecified trimester,,fetus 5,
O30191,"Triplet pregnancy, unable to determine",O321XX9,"Maternal care for breech presentation,"
,number of placenta and number of,other fetus,
,"amniotic sacs, first trimester",,
O30192,"Triplet pregnancy, unable to determine",O322XX0,Maternal care for transverse and oblique
,number of placenta and number of,,"lie, not applicable or unspecified"
,"amniotic sacs, second trimester",,
,,July 2020,3 of 11
HRQ QI™ ICD-10-CM/PCS Specification v2020,Appendix A,,
Inpatient Quality Indicators Appendices,,,
www.qualityindicators.ahrq.gov,,,
O30193,"Triplet pregnancy, unable to determine",O322XX1,Maternal care for transverse and oblique
,number of placenta and number of,,"lie, fetus 1"
,"amniotic sacs, third trimester",,
O30199,"Triplet pregnancy, unable to determine",O322XX2,Maternal care for transverse and oblique
,number of placenta and number of,,"lie, fetus 2"
,"amniotic sacs, unspecified trimester",,
O30201,"Quadruplet pregnancy, unspecified number",O322XX3,Maternal care for transverse and oblique
,of placenta and unspecified number of,,"lie, fetus 3"
,"amniotic sacs, first trimester",,
O30202,"Quadruplet pregnancy, unspecified number",O322XX4,Maternal care for transverse and oblique
,of placenta and unspecified number of,,"lie, fetus 4"
,"amniotic sacs, second trimester",,
O30203,"Quadruplet pregnancy, unspecified number",O322XX5,Maternal care for transverse and oblique
,of placenta and unspecified number of,,"lie, fetus 5"
,"amniotic sacs, third trimester",,
O30209,"Quadruplet pregnancy, unspecified number",O322XX9,Maternal care for transverse and oblique
,of placenta and unspecified number of,,"lie, other fetus"
,"amniotic sacs, unspecified trimester",,
O30211,Quadruplet pregnancy with two or more,O323XX0,"Maternal care for face, brow and chin"
,"monochorionic fetuses, first trimester",,"presentation, not applicable or"
,,,unspecified
O30212,Quadruplet pregnancy with two or more,O323XX1,"Maternal care for face, brow and chin"
,"monochorionic fetuses, second trimester",,"presentation, fetus 1"
O30213,Quadruplet pregnancy with two or more,O323XX2,"Maternal care for face, brow and chin"
,"monochorionic fetuses, third trimester",,"presentation, fetus 2"
O30219,Quadruplet pregnancy with two or more,O323XX3,"Maternal care for face, brow and chin"
,"monochorionic fetuses, unspecified",,"presentation, fetus 3"
trimester,,,
O30221,Quadruplet pregnancy with two or more,O323XX4,"Maternal care for face, brow and chin"
,"monoamniotic fetuses, first trimester",,"presentation, fetus 4"
O30222,Quadruplet pregnancy with two or more,O323XX5,"Maternal care for face, brow and chin"
,"monoamniotic fetuses, second trimester",,"presentation, fetus 5"
O30223,Quadruplet pregnancy with two or more,O323XX9,"Maternal care for face, brow and chin"
,"monoamniotic fetuses, third trimester",,"presentation, other fetus"
July 2020,4 of 11,,
,HRQ QI™ ICD-10-CM/PCS Specification v2020,Appendix A,
,Inpatient Quality Indicators Appendices,,
www.qualityindicators.ahrq.gov,,,
O30229,Quadruplet pregnancy with two or more,O329XX0,Maternal care for malpresentation of
,"monoamniotic fetuses, unspecified",,"fetus, unspecified, not applicable or"
,trimester,unspecified,
O30231,"Quadruplet pregnancy,",O329XX1,Maternal care for malpresentation of
,"quadrachorionic/quadra-amniotic, first",,"fetus, unspecified, fetus 1"
,trimester,,
O30232,"Quadruplet pregnancy,",O329XX2,Maternal care for malpresentation of
,"quadrachorionic/quadra-amniotic, second",,"fetus, unspecified, fetus 2"
,trimester,,
O30233,"Quadruplet pregnancy,",O329XX3,Maternal care for malpresentation of
,"quadrachorionic/quadra-amniotic, third",,"fetus, unspecified, fetus 3"
,trimester,,
O30239,"Quadruplet pregnancy,",O329XX4,Maternal care for malpresentation of
,"quadrachorionic/quadra-amniotic,",,"fetus, unspecified, fetus 4"
,unspecified trimester,,
O30291,"Quadruplet pregnancy, unable to determine",O329XX5,Maternal care for malpresentation of
,number of placenta and number of,,"fetus, unspecified, fetus 5"
,"amniotic sacs, first trimester",,
O30292,"Quadruplet pregnancy, unable to determine",O329XX9,Maternal care for malpresentation of
,number of placenta and number of,,"fetus, unspecified, other fetus"
,"amniotic sacs, second trimester",,
O30293,"Quadruplet pregnancy, unable to determine",O364XX0,"Maternal care for intrauterine death, not"
,number of placenta and number of,,applicable or unspecified
,"amniotic sacs, third trimester",,
O30299,"Quadruplet pregnancy, unable to determine",O364XX1,"Maternal care for intrauterine death, fetus"
,number of placenta and number of,1,
,"amniotic sacs, unspecified trimester",,
O30801,"Other specified multiple gestation,",O364XX2,"Maternal care for intrauterine death, fetus"
,unspecified number of placenta and,2,
,"unspecified number of amniotic sacs, first",,
,trimester,,
O30802,"Other specified multiple gestation,",O364XX3,"Maternal care for intrauterine death, fetus"
,unspecified number of placenta and,3,
,"unspecified number of amniotic sacs,",,
,second trimester,,
O30803,"Other specified multiple gestation,",O364XX4,"Maternal care for intrauterine death, fetus"
,unspecified number of placenta and,4,
,"unspecified number of amniotic sacs, third",,
,trimester,,
July 2020,5 of 11,,
HRQ QI™ ICD-10-CM/PCS Specification v2020,Appendix A,,
Inpatient Quality Indicators Appendices,,,
www.qualityindicators.ahrq.gov,,,
O30809,"Other specified multiple gestation,",O364XX5,"Maternal care for intrauterine death, fetus"
,unspecified number of placenta and,5,
,"unspecified number of amniotic sacs,",,
unspecified trimester,,,
O30811,Other specified multiple gestation with two,O364XX9,"Maternal care for intrauterine death, other"
,"or more monochorionic fetuses, first",fetus,
trimester,,,
O30812,Other specified multiple gestation with two,O6010X0,"Preterm labor with preterm delivery,"
,"or more monochorionic fetuses, second",,"unspecified trimester, not applicable or"
trimester,,unspecified,
O30813,Other specified multiple gestation with two,O6010X1,"Preterm labor with preterm delivery,"
,"or more monochorionic fetuses, third",,"unspecified trimester, fetus 1"
trimester,,,
O30819,Other specified multiple gestation with two,O6010X2,"Preterm labor with preterm delivery,"
,"or more monochorionic fetuses,",,"unspecified trimester, fetus 2"
unspecified trimester,,,
O30821,Other specified multiple gestation with two,O6010X3,"Preterm labor with preterm delivery,"
,"or more monoamniotic fetuses, first",,"unspecified trimester, fetus 3"
trimester,,,
O30822,Other specified multiple gestation with two,O6010X4,"Preterm labor with preterm delivery,"
,"or more monoamniotic fetuses, second",,"unspecified trimester, fetus 4"
trimester,,,
O30823,Other specified multiple gestation with two,O6010X5,"Preterm labor with preterm delivery,"
,"or more monoamniotic fetuses, third",,"unspecified trimester, fetus 5"
trimester,,,
O30829,Other specified multiple gestation with two,O6010X9,"Preterm labor with preterm delivery,"
,"or more monoamniotic fetuses, unspecified",,"unspecified trimester, other fetus"
trimester,,,
O30831,"Other specified multiple gestation, number",O6012X0,Preterm labor second trimester with
,of chorions and amnions are both equal to,,"preterm delivery second trimester, not"
,"the number of fetuses, first trimester",,applicable or unspecified
O30832,"Other specified multiple gestation, number",O6012X1,Preterm labor second trimester with
,of chorions and amnions are both equal to,,"preterm delivery second trimester, fetus 1"
,"the number of fetuses, second trimester",,
O30833,"Other specified multiple gestation, number",O6012X2,Preterm labor second trimester with
,of chorions and amnions are both equal to,,"preterm delivery second trimester, fetus 2"
,"the number of fetuses, third trimester",,
O30839,"Other specified multiple gestation, number",O6012X3,Preterm labor second trimester with
,of chorions and amnions are both equal to,,"preterm delivery second trimester, fetus 3"
,"the number of fetuses, unspecified",,
trimester,,,
,July 2020,,6 of 11
HRQ QI™ ICD-10-CM/PCS Specification v2020,Appendix A,,
Inpatient Quality Indicators Appendices,,,
www.qualityindicators.ahrq.gov,,,
O30891,"Other specified multiple gestation, unable",O6012X4,Preterm labor second trimester with
,to determine number of placenta and,,"preterm delivery second trimester, fetus 4"
,"number of amniotic sacs, first trimester",,
O30892,"Other specified multiple gestation, unable",O6012X5,Preterm labor second trimester with
,to determine number of placenta and,,"preterm delivery second trimester, fetus 5"
,"number of amniotic sacs, second trimester",,
O30893,"Other specified multiple gestation, unable",O6012X9,Preterm labor second trimester with
,to determine number of placenta and,,"preterm delivery second trimester, other"
,"number of amniotic sacs, third trimester",fetus,
O30899,"Other specified multiple gestation, unable",O6013X0,Preterm labor second trimester with
,to determine number of placenta and,,"preterm delivery third trimester, not"
,"number of amniotic sacs, unspecified",,applicable or unspecified
trimester,,,
O3090,"Multiple gestation, unspecified,",O6013X1,Preterm labor second trimester with
unspecified trimester,,,"preterm delivery third trimester, fetus 1"
O3091,"Multiple gestation, unspecified, first",O6013X2,Preterm labor second trimester with
trimester,,,"preterm delivery third trimester, fetus 2"
O3092,"Multiple gestation, unspecified, second",O6013X3,Preterm labor second trimester with
trimester,,,"preterm delivery third trimester, fetus 3"
O3093,"Multiple gestation, unspecified, third",O6013X4,Preterm labor second trimester with
trimester,,,"preterm delivery third trimester, fetus 4"
O3110X0,Continuing pregnancy after spontaneous,O6013X5,Preterm labor second trimester with
,"abortion of one fetus or more, unspecified",,"preterm delivery third trimester, fetus 5"
,"trimester, not applicable or unspecified",,
O3110X1,Continuing pregnancy after spontaneous,O6013X9,Preterm labor second trimester with
,"abortion of one fetus or more, unspecified",,"preterm delivery third trimester, other"
"trimester, fetus 1",,fetus,
O3110X2,Continuing pregnancy after spontaneous,O6014X0,Preterm labor third trimester with preterm
,"abortion of one fetus or more, unspecified",,"delivery third trimester, not applicable or"
"trimester, fetus 2",,unspecified,
O3110X3,Continuing pregnancy after spontaneous,O6014X1,Preterm labor third trimester with preterm
,"abortion of one fetus or more, unspecified",,"delivery third trimester, fetus 1"
"trimester, fetus 3",,,
O3110X4,Continuing pregnancy after spontaneous,O6014X2,Preterm labor third trimester with preterm
,"abortion of one fetus or more, unspecified",,"delivery third trimester, fetus 2"
"trimester, fetus 4",,,
,,July 2020,7 of 11
HRQ QI™ ICD-10-CM/PCS Specification v2020,Appendix A,,
Inpatient Quality Indicators Appendices,,,
www.qualityindicators.ahrq.gov,,,
O3110X5,Continuing pregnancy after spontaneous,O6014X3,Preterm labor third trimester with preterm
,"abortion of one fetus or more, unspecified",,"delivery third trimester, fetus 3"
"trimester, fetus 5",,,
O3110X9,Continuing pregnancy after spontaneous,O6014X4,Preterm labor third trimester with preterm
,"abortion of one fetus or more, unspecified",,"delivery third trimester, fetus 4"
"trimester, other fetus",,,
O3111X0,Continuing pregnancy after spontaneous,O6014X5,Preterm labor third trimester with preterm
,"abortion of one fetus or more, first",,"delivery third trimester, fetus 5"
,"trimester, not applicable or unspecified",,
O3111X1,Continuing pregnancy after spontaneous,O6014X9,Preterm labor third trimester with preterm
,"abortion of one fetus or more, first",,"delivery third trimester, other fetus"
"trimester, fetus 1",,,
O3111X2,Continuing pregnancy after spontaneous,O632,"Delayed delivery of second twin, triplet,"
,"abortion of one fetus or more, first",etc.,
"trimester, fetus 2",,,
O3111X3,Continuing pregnancy after spontaneous,O641XX0,Obstructed labor due to breech
,"abortion of one fetus or more, first",,"presentation, not applicable or"
"trimester, fetus 3",,unspecified,
O3111X4,Continuing pregnancy after spontaneous,O641XX1,Obstructed labor due to breech
,"abortion of one fetus or more, first",,"presentation, fetus 1"
"trimester, fetus 4",,,
O3111X5,Continuing pregnancy after spontaneous,O641XX2,Obstructed labor due to breech
,"abortion of one fetus or more, first",,"presentation, fetus 2"
"trimester, fetus 5",,,
O3111X9,Continuing pregnancy after spontaneous,O641XX3,Obstructed labor due to breech
,"abortion of one fetus or more, first",,"presentation, fetus 3"
"trimester, other fetus",,,
O3112X0,Continuing pregnancy after spontaneous,O641XX4,Obstructed labor due to breech
,"abortion of one fetus or more, second",,"presentation, fetus 4"
,"trimester, not applicable or unspecified",,
O3112X1,Continuing pregnancy after spontaneous,O641XX5,Obstructed labor due to breech
,"abortion of one fetus or more, second",,"presentation, fetus 5"
"trimester, fetus 1",,,
O3112X2,Continuing pregnancy after spontaneous,O641XX9,Obstructed labor due to breech
,"abortion of one fetus or more, second",,"presentation, other fetus"
"trimester, fetus 2",,,
O3112X3,Continuing pregnancy after spontaneous,O642XX0,"Obstructed labor due to face presentation,"
,"abortion of one fetus or more, second",,not applicable or unspecified
"trimester, fetus 3",,,
O3112X4,Continuing pregnancy after spontaneous,O642XX1,"Obstructed labor due to face presentation,"
,"abortion of one fetus or more, second",fetus 1,
"trimester, fetus 4",,,
,,July 2020,8 of 11
HRQ QI™ ICD-10-CM/PCS Specification v2020,Appendix A,,
Inpatient Quality Indicators Appendices,,,
www.qualityindicators.ahrq.gov,,,
O3112X5,Continuing pregnancy after spontaneous,O642XX2,"Obstructed labor due to face presentation,"
,"abortion of one fetus or more, second",fetus 2,
"trimester, fetus 5",,,
O3112X9,Continuing pregnancy after spontaneous,O642XX3,"Obstructed labor due to face presentation,"
,"abortion of one fetus or more, second",fetus 3,
"trimester, other fetus",,,
O3113X0,Continuing pregnancy after spontaneous,O642XX4,"Obstructed labor due to face presentation,"
,"abortion of one fetus or more, third",fetus 4,
,"trimester, not applicable or unspecified",,
O3113X1,Continuing pregnancy after spontaneous,O642XX5,"Obstructed labor due to face presentation,"
,"abortion of one fetus or more, third",fetus 5,
"trimester, fetus 1",,,
O3113X2,Continuing pregnancy after spontaneous,O642XX9,"Obstructed labor due to face presentation,"
,"abortion of one fetus or more, third",other fetus,
"trimester, fetus 2",,,
O3113X3,Continuing pregnancy after spontaneous,O643XX0,Obstructed labor due to brow
,"abortion of one fetus or more, third",,"presentation, not applicable or"
"trimester, fetus 3",,unspecified,
O3113X4,Continuing pregnancy after spontaneous,O643XX1,Obstructed labor due to brow
,"abortion of one fetus or more, third","presentation, fetus 1",
"trimester, fetus 4",,,
O3113X5,Continuing pregnancy after spontaneous,O643XX2,Obstructed labor due to brow
,"abortion of one fetus or more, third","presentation, fetus 2",
"trimester, fetus 5",,,
O3113X9,Continuing pregnancy after spontaneous,O643XX3,Obstructed labor due to brow
,"abortion of one fetus or more, third","presentation, fetus 3",
"trimester, other fetus",,,
O3120X0,Continuing pregnancy after intrauterine,O643XX4,Obstructed labor due to brow
,"death of one fetus or more, unspecified","presentation, fetus 4",
,"trimester, not applicable or unspecified",,
O3120X1,Continuing pregnancy after intrauterine,O643XX5,Obstructed labor due to brow
,"death of one fetus or more, unspecified","presentation, fetus 5",
"trimester, fetus 1",,,
O3120X2,Continuing pregnancy after intrauterine,O643XX9,Obstructed labor due to brow
,"death of one fetus or more, unspecified","presentation, other fetus",
"trimester, fetus 2",,,
O3120X3,Continuing pregnancy after intrauterine,O661,Obstructed labor due to locked twins
,"death of one fetus or more, unspecified",,
"trimester, fetus 3",,,
O3120X4,Continuing pregnancy after intrauterine,O666,Obstructed labor due to other multiple
,"death of one fetus or more, unspecified",fetuses,
"trimester, fetus 4",,,
,July 2020,,9 of 11
,HRQ QI™ ICD-10-CM/PCS Specification v2020,Appendix A,
Inpatient Quality Indicators Appendices,,,
www.qualityindicators.ahrq.gov,,,
O3120X5,Continuing pregnancy after intrauterine,Z371,Single stillbirth
,"death of one fetus or more, unspecified",,
"trimester, fetus 5",,,
O3120X9,Continuing pregnancy after intrauterine,Z372,"Twins, both liveborn"
,"death of one fetus or more, unspecified",,
,"trimester, other fetus",,
O3121X0,Continuing pregnancy after intrauterine,Z373,"Twins, one liveborn and one stillborn"
,"death of one fetus or more, first trimester,",,
,not applicable or unspecified,,
O3121X1,Continuing pregnancy after intrauterine,Z374,"Twins, both stillborn"
,"death of one fetus or more, first trimester,",,
fetus 1,,,
O3121X2,Continuing pregnancy after intrauterine,Z3750,"Multiple births, unspecified, all liveborn"
,"death of one fetus or more, first trimester,",,
fetus 2,,,
O3121X3,Continuing pregnancy after intrauterine,Z3751,"Triplets, all liveborn"
,"death of one fetus or more, first trimester,",,
fetus 3,,,
O3121X4,Continuing pregnancy after intrauterine,Z3752,"Quadruplets, all liveborn"
,"death of one fetus or more, first trimester,",,
fetus 4,,,
O3121X5,Continuing pregnancy after intrauterine,Z3753,"Quintuplets, all liveborn"
,"death of one fetus or more, first trimester,",,
fetus 5,,,
O3121X9,Continuing pregnancy after intrauterine,Z3754,"Sextuplets, all liveborn"
,"death of one fetus or more, first trimester,",,
other fetus,,,
O3122X0,Continuing pregnancy after intrauterine,Z3759,"Other multiple births, all liveborn"
,"death of one fetus or more, second",,
,"trimester, not applicable or unspecified",,
O3122X1,Continuing pregnancy after intrauterine,Z3760,"Multiple births, unspecified, some"
,"death of one fetus or more, second",,liveborn
"trimester, fetus 1",,,
O3122X2,Continuing pregnancy after intrauterine,Z3761,"Triplets, some liveborn"
,"death of one fetus or more, second",,
"trimester, fetus 2",,,
O3122X3,Continuing pregnancy after intrauterine,Z3762,"Quadruplets, some liveborn"
,"death of one fetus or more, second",,
"trimester, fetus 3",,,
O3122X4,Continuing pregnancy after intrauterine,Z3763,"Quintuplets, some liveborn"
,"death of one fetus or more, second",,
"trimester, fetus 4",,,
July 2020,10 of 11,,
HRQ QI™ ICD-10-CM/PCS Specification v2020,Appendix A,,
Inpatient Quality Indicators Appendices,,,
www.qualityindicators.ahrq.gov,,,
O3122X5,Continuing pregnancy after intrauterine,Z3764,"Sextuplets, some liveborn"
,"death of one fetus or more, second",,
"trimester, fetus 5",,,
O3122X9,Continuing pregnancy after intrauterine,Z3769,"Other multiple births, some liveborn"
,"death of one fetus or more, second",,
"trimester, other fetus",,,
O3123X0,Continuing pregnancy after intrauterine,Z377,"Other multiple births, all stillborn"
,"death of one fetus or more, third trimester,",,
,not applicable or unspecified,,
July 2020,11 of 11,,
