Seccion,Division,Epigrafe,Literal,literal corto,INDICE
F,43,432001,"Instalaciónes eléctricas, de fontanería y otras en obras de construcción","Instalacion.eléctricas,fontanería y otras en obras construc.",
F,43,433001,"Acabado de edificios (Carpintería, revocamiento, revestimiento de suelos y paredes,  pintura, acristalamiento)","Acabado edificios (carpintería,revestimiento,pintura,...)",
F,43,439001,"Otras actividades de construcción especializada (construcción de cubiertas, cimentación, piscinas)","Otras activ.construccion: cubiertas,cimentación,piscinas ...",
G,45,451001,Comercio de vehículos de motor nuevos,Comercio de vehículos de motor nuevos,
G,45,451002,Comercio de vehículos de motor usados,Comercio de vehículos de motor usados,
G,45,452001,Taller de reparación de automóviles especializado en chapa y pintura,Taller reparación automóvil especializado en chapa y pintura,
G,45,452002,Taller de reparación de automóviles especializado en mecánica y electricidad,"Taller reparación automóvil especializ. mecánica,electrici.",
G,45,452003,Taller de montaje de accesorios para el automóvil,Taller de montaje de accesorios para el automóvil,
G,45,452004,Mantenimiento y reparación de vehículos de motor n.c.o.p.,Mantenimiento y reparación de vehículos de motor n.c.o.p.,
G,45,453001,Comercio de respuestos y accesorios de vehículos de motor,Comercio de respuestos y accesorios de vehículos de motor,
G,45,454001,Mantenimiento y reparación de motocicletas y venta de sus repuestos y accesorios,"Mantenimto.y reparac.motocicletas;venta repuestos,accesor.",
G,45,454002,Venta de motocicletas,Venta de motocicletas,
G,46,461101,"Intermediarios del comercio de materias primas agrarias, animales vivos, materias primas textiles y productos semielaborados","Interm.com.mat.primas sect.primar., textil,prod.semielab.",
G,46,461201,"Intermediarios del comercio de combustibles, minerales, metales y productos quimicos industriales","Interm.com.combustibles,mineral.,metales,prod.quim.indus.",
G,46,461301,Intermediarios del comercio de la madera y materiales de construcción,Intermediarios comercio madera y materiales de construcción,
G,46,461401,"Intermediarios del comercio de maquinaria, equipo industrial, embarcaciones y aeronaves","Interm.com.maquinar.,equi.indust.,embarcaciones,aeronaves",
G,46,461501,Intermediarios del comercio de muebles,Intermediarios del comercio de muebles,
G,46,461601,"Intermediarios del comercio de textiles, prendas de vestir, peletería, calzado y artículos de cuero","Interm.com.textil,prend.vestir,peletería,calzado,art.cuero",
G,46,461701,"Intermediario del comercio de productos alimenticios, bebidas y tabaco","Interm.com. produc.alimenticios, bebidas y tabaco",
G,46,461801,Intermediarios del comercio especializados en la venta de otros productos específicos,Interm.com.especializados en venta otros prod.específic.,
G,46,461802,Intermediarios del comercio de productos farmaceúticos y distribución de medicamentos,Interm.com.prod.farmaceúticos y distribución medicamentos,
G,46,461901,Intermediarios del comercio de accesorios de vehículos,Intermediarios del comercio de accesorios de vehículos,
G,46,462001,"Comercio al por mayor de materias primas agrarias, de animales vivos y alimentos para animales","Com. mayor mat.primas agrar.,animales vivos y sus alimentos",
G,46,463101,"Comercio al por mayor frutas, verduras y derivados","Comercio al por mayor frutas, verduras y derivados",
G,46,463102,Almacen y distribución de frutas y hortalizas frescas y otros productos vegetales transformados,Almacen y distribuc fruta y hortaliza fresca y veg.transf.,
G,46,463201,"Comercio al por mayor carnes y derivados, aves y caza","Comercio al por mayor carnes y derivados, aves y caza",
G,46,463202,Almacén de distribución a temperatura de refrigeración y congelación de carne y derivados de carne,Almacen distribución temp.refriger.y congel.de carne y der.,
G,46,463301,Comercio al por mayor de huevos y derivados,Comercio al por mayor de huevos y derivados,
G,46,463302,Comercio al por mayor de aceites y grasas comestibles,Comercio al por mayor de aceites y grasas comestibles,
G,46,463303,Comercio al por mayor de leche y derivados,Comercio al por mayor de leche y derivados,
G,46,463401,Comercio al por mayor de bebidas,Comercio al por mayor de bebidas,
G,46,463501,Comercio al por mayor de tabacos,Comercio al por mayor de tabacos,
G,46,463601,"Comercio al por mayor de azúcar, chocolate y confitería","Comercio al por mayor de azúcar, chocolate y confitería",
G,46,463701,"Comercio al por mayor de café, té, cacao y especias","Comercio al por mayor de café, té, cacao y especias",
G,46,463801,"Comercio al por mayor de harinas, derivados y cereales","Comercio al por mayor de harinas, derivados y cereales",
G,46,463802,Comercio al por mayor de productos de la pesca y mariscos (excepto congelados),Com.mayor produc.pesca y mariscos (excepto congelados),
G,46,463803,Comercio al por mayor de productos de la pesca y mariscos congelados,Com.mayor produc.pesca y mariscos congelados,
G,46,463804,Almacen distribución a temperatura de refrigeración de productos pesqueros y de mariscos,Almacen distrib.temperat.refriger.prod. pesqueros y mariscos,
G,46,463805,Almacen de distribución a temperatura de congelación de productos pesqueros y de mariscos,Almacen distrib.temperat.congel.prod. pesqueros y mariscos,
G,46,463901,Comercio al por mayor de platos preparados y cocinados,Comercio al por mayor de platos preparados y cocinados,
G,46,463902,Almacen de distribución de productos alimenticios,Almacen de distribución de productos alimenticios,
G,46,463903,Almacen de distribución polivalente a temperatura de refrigeración,Almacen distribución polivalente a temperatura refrigeración,
G,46,463904,Almacen de distribución polivalente a temperatura de congelacion,Almacen distribución polivalente a temperatura congelación,
G,46,463905,Almacen de distribución polivalente a temperatura no regulada,Almacen distribución polivalente temperatura no regulada,
G,46,463906,Comercio al por mayor de otros productos alimenticios,Comercio al por mayor de otros productos alimenticios,
G,46,464101,Comercio al por mayor de textiles,Comercio al por mayor de textiles,
G,46,464201,"Comercio al por mayor de prendas de vestir, calzado y artículos de cuero","Com.mayor prendas vestir, calzado y artículos de cuero",
G,46,464301,Comercio al por mayor de aparatos electrodomésticos,Comercio al por mayor de aparatos electrodomésticos,
G,46,464401,"Comercio al por mayor de porcelana, cristalería y artículos de limpieza","Com.mayor porcelana, cristalería y artículos de limpieza",
G,46,464501,"Comercio al por mayor de perfumería,cosmética, droguería y limpieza","Com.mayor perfumería,cosmética, droguería y limpieza",
G,46,464601,Comercio al por mayor de productos farmacéuticos,Comercio al por mayor de productos farmacéuticos,
G,46,464602,Comercio al por mayor de instrumentos médicos y ortopédicos,Comercio al por mayor de instrumentos médicos y ortopédicos,
G,46,464701,Comercio al por mayor de muebles,Comercio al por mayor de muebles,
G,46,464801,"Comercio al por mayor de metales preciosos, joyería y relojería","Com.mayor metales preciosos, joyería y relojería",
G,46,464901,Comercio al por mayor de juguetes y artículos de deporte,Comercio al por mayor de juguetes y artículos de deporte,
G,46,464902,"Comercio al por mayor de libros, periódicos, revistas, papelería y escritorio","Com.may.libros,periódicos,revistas,papelería y escritorio",
G,46,464903,Comercio al por mayor de otros artículos de uso doméstico n.c.o.p.,Com.mayor otros artículos de uso doméstico n.c.o.p.,
G,46,465001,Comercio al por mayor de material y aparatos electrónicos para las tecnologías de la información y las comunicaciones,Com.may.electrónica para tecnolog.informac. y comunicac.,
G,46,466001,Comercio al por mayor de envases y embalajes,Comercio al por mayor de envases y embalajes,
G,46,466002,"Comercio al por mayor de maquinaria, equipo de  oficina y suministros","Com.mayor maquinaria, equipo de  oficina y suministros",
G,46,467001,"Comercio al por mayor de metales férreos y no férreos, material de construcción, papel y cartón","Com.may.metales férreos y no fer.,mat.constr,papel,cartón",
G,46,467002,"Comercio al por mayor de combustibles, químicos y productos semielaborados","Com.mayor combustibles,químicos y prod. semielaborados",
G,46,469001,Comercio al mayor con almacén,Comercio al mayor con almacén,
G,47,471101,"Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco (autoservicio)",Com.men.estab.no espec.c/predomin.alim.y beb.(autoservicio),
G,47,471102,"Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco (Grandes superficies)",Com.menor establecimiento no espec. (grandes superficies),
G,47,471103,Tienda de conveniencia (24h),Tienda de conveniencia (24h),
G,47,471104,Comercio al por menor de productos alimenticios no perecederos envasados,Com.menor productos alimenticios no perecederos envasados,
G,47,471901,"Comercio al por menor en establecimientos no especializados, sin predominio en productos alimenticios, bebidas y tabaco","Com.menor establ.no espec.s/predominio  alimen.,bebi.,tabaco",
G,47,471902,"Comercio al por menor de productos de precio único, bazares y asimilables","Comercio menor productos precio único, bazares y asimilables",
G,47,472101,Comercio al por menor de frutas y hortalizas con obrador,Comercio al por menor de frutas y hortalizas con obrador,
G,47,472102,Comercio al por menor de frutas y hortalizas sin obrador,Comercio al por menor de frutas y hortalizas sin obrador,
G,47,472201,Comercio al por menor de carnicería,Comercio al por menor de carnicería,
G,47,472202,Comercio al por menor de charcutería,Comercio al por menor de charcutería,
G,47,472203,Comercio al por menor de carnicería-charcutería,Comercio al por menor de carnicería-charcutería,
G,47,472204,Comercio al por menor de carnicería-salchichería,Comercio al por menor de carnicería-salchichería,
G,47,472205,"Comercio al por menor de aves, huevos y caza con obrador","Comercio al por menor de aves, huevos y caza con obrador",
G,47,472206,"Comercio al por menor de aves, huevos y caza sin obrador","Comercio al por menor de aves, huevos y caza sin obrador",
G,47,472207,Comercio al por menor de casquería,Comercio al por menor de casquería,
G,47,472301,Comercio al por menor de pescados y mariscos con obrador (incluye cocción),Comercio menor pescados y marisc.c/ obrador(incluye cocción),
G,47,472302,Comercio al por menor de pescados y mariscos sin obrador,Comercio al por menor de pescados y mariscos sin obrador,
G,47,472303,Comercio al por menor de bacalao y salazones,Comercio al por menor de bacalao y salazones,
G,47,472401,Comercio al por menor de pan y productos de panadería y bollería con obrador,Comercio menor pan y produc.panadería y bollería con obrador,
G,47,472402,Comercio al por menor de pan y productos de panadería y bollería sin obrador,Comercio menor pan y produc.panadería y bollería sin obrador,
G,47,472403,"Comercio al por menor de pastelería, confitería, repostería con obrador-barra degustación","Com.menor pastele., confit., repost. c/obrador-barra degust.",
G,47,472404,"Comercio al por menor de  pastelería, confitería, repostería con obrador-sin barra degustación","Com.menor pastele.,confit.,repost. c/obrador,s/barra degust.",
G,47,472405,"Comercio al por menor de pastelería, confitería, repostería sin obrador","Comercio menor pastelería, confitería, reposter. sin obrador",
G,47,472406,Establecimientos de venta de platos preparados sin obrador,Establecimientos de venta de platos preparados sin obrador,
G,47,472407,Establecimientos de venta de platos preparados con obrador,Establecimientos de venta de platos preparados con obrador,
G,47,472501,"Comercio al por menor de leche, productos lácteos y bebidas refrescantes","Com.menor leche, productos lácteos y bebidas refrescantes",
G,47,472502,Comercio al por menor de vinos y alcoholes (bodega) sin consumo,Comercio menor vinos y alcoholes (bodega) sin consumo,
G,47,472601,Comercio al por menor de tabacos y artículos de fumador,Comercio al por menor de tabacos y artículos de fumador,
G,47,472901,Comercio al por menor de productos de herbolario,Comercio al por menor de productos de herbolario,
G,47,472902,Comercio al por menor de helados con obrador con barra de degustación,Comercio menor helados con obrador y barra de degustación,
G,47,472903,Comercio al por menor de helados con obrador sin barra de degustación,Comercio menor helados con obrador sin barra de degustación,
G,47,472904,Comercio al por menor de helados sin obrador,Comercio al por menor de helados sin obrador,
G,47,472905,Comercio al por menor de congelados,Comercio al por menor de congelados,
G,47,472906,Comercio al por menor de golosinas,Comercio al por menor de golosinas,
G,47,472907,Comercio al por menor de frutos secos y variantes,Comercio al por menor de frutos secos y variantes,
G,47,472908,"Comercio al por menor de masas y patatas fritas, churrería con obrador","Comercio menor masas y patatas fritas, churrería con obrador",
G,47,472909,"Comercio al por menor de masas y patatas fritas, churrería sin obrador","Comercio menor masas y patatas fritas, churrería sin obrador",
G,47,472910,"Comercio al por menor de café, infusiones y chocolate","Comercio al por menor de café, infusiones y chocolate",
G,47,472911,Otro comercio al por menor de productos alimenticios (perecederos y no perecederos) con vendedor n.c.o.p.,Otro com.menor productos alimenticios c/vendedor n.c.o.p.,
G,47,473001,Comercio al por menor de combustible para la automoción en establecimientos especializados,Com.menor combustible para automoción en establec.especial.,
G,47,474101,Comercio al por menor de maquinaria y equipos de oficina,Comercio al por menor de maquinaria y equipos de oficina,
G,47,474102,"Comercio al por menor de productos informáticos (ordenadores, programas, equipos periféricos y consumibles)","Com.menor produc.informáticos (orden,program,equipos,consumibles)",
G,47,474201,Comercio al por menor de productos de telefonía y telecomunicaciones,Comercio menor productos de telefonía y telecomunicaciones,
G,47,474301,Comercio al por menor de equipos o aparatos audiovisuales,Comercio al por menor de equipos o aparatos audiovisuales,
G,47,474302,Comercio al por menor de material electrónico,Comercio al por menor de material electrónico,
G,47,475101,Comercio al por menor de textiles para el hogar,Comercio al por menor de textiles para el hogar,
G,47,475201,Comercio al por menor de artículos de ferretería,Comercio al por menor de artículos de ferretería,
G,47,475202,Comercio al por menor de materiales de construcción,Comercio al por menor de materiales de construcción,
G,47,475203,"Comercio al por menor de puertas, ventanas y persianas","Comercio al por menor de puertas, ventanas y persianas",
G,47,475204,Comercio al por menor en tiendas de bricolaje,Comercio al por menor en tiendas de bricolaje,
G,47,475205,Comercio al por menor de saneamientos,Comercio al por menor de saneamientos,
G,47,475206,Comercio al por menor de material eléctrico,Comercio al por menor de material eléctrico,
G,47,475301,"Comercio al por menor de alfombras, moquetas y revestimientos de paredes y suelos en establecimientos especializados","Com.menor alfombras, moquetas y revest.paredes/suelos",
G,47,475401,Comercio al por menor de electrodomésticos,Comercio al por menor de electrodomésticos,
G,47,475901,Comercio al por menor de muebles,Comercio al por menor de muebles,
G,47,475902,Comercio al por menor de menaje del hogar,Comercio al por menor de menaje del hogar,
G,47,475903,Comercio al por menor de muebles de cocina,Comercio al por menor de muebles de cocina,
G,47,475904,Comercio al por menor de instrumentos musicales,Comercio al por menor de instrumentos musicales,
G,47,475905,Comercio al por menor de colchonería,Comercio al por menor de colchonería,
G,47,475906,Comercio al por menor de aparatos de iluminación,Comercio al por menor de aparatos de iluminación,
G,47,475907,Comercio al por menor de artículos de uso doméstico en establecimiento especializado,Comercio menor artíc. uso doméstico en establec. especializ.,
G,47,476101,Comercio al por menor de libros,Comercio al por menor de libros,
G,47,476201,"Comercio al por menor de periodicos, revistas y artículos de papelería","Comercio menor periódicos, revistas y artículos de papelería",
G,47,476301,"Comercio al por menor de productos audiovisuales en establecimientos especializados (CD,DVD,…)","Comercio menor produc.audiovis.en establ.especia.(cd,dvd,…)",
G,47,476401,Comercio al por menor de bicicletas,Comercio al por menor de bicicletas,
G,47,476402,Comercio al por menor de embarcaciones de recreo,Comercio al por menor de embarcaciones de recreo,
G,47,476403,Comercio al por menor de artículos deportivos,Comercio al por menor de artículos deportivos,
G,47,476501,Comercio al por menor de juegos y juguetes,Comercio al por menor de juegos y juguetes,
G,47,477101,Comercio al por menor de prendas de vestir en establecimientos especializados,Comercio menor prendas de vestir en establec. especializados,
G,47,477201,Comercio al por menor de calzado y artículos de cuero en establecimientos especializados,Comercio menor calzado y artíc.cuero en establec.especializ.,
G,47,477301,Farmacia,Farmacia,
G,47,477401,Comercio al por menor de productos parafarmaceúticos,Comercio al por menor de productos parafarmaceúticos,
G,47,477402,Comercio al por menor de artículos ortopédicos,Comercio al por menor de artículos ortopédicos,
G,47,477403,Comercio al por menor de instrumentos médicos y ortopédicos,Comercio al por menor de instrumentos médicos y ortopédicos,
G,47,477501,Comercio al por menor de artículos de perfumería y cosmética,Comercio al por menor de artículos de perfumería y cosmética,
G,47,477601,"Comercio al por menor de semillas, abonos, plantas y flor cortada","Comercio menor semillas, abonos, plantas y flor cortada",
G,47,477602,Comercio al por menor de complementos y alimentos para animales de compañía,Comercio menor complementos y alimentos anim.compañia,
G,47,477603,"	Comercio al por menor de animales de compañía","	Comercio al por menor de animales de compañía",
G,47,477701,"Comercio al por menor de joyas, relojería y bisutería","Comercio al por menor de joyas, relojería y bisutería",
G,47,477801,Comercio al por menor de productos de droguería,Comercio al por menor de productos de droguería,
G,47,477802,"Comercio al por menor de sellos, monedas y medallas","Comercio al por menor de sellos, monedas y medallas",
G,47,477803,Comercio al por menor de armas,Comercio al por menor de armas,
G,47,477804,Sex-Shop,Sex-Shop,
G,47,477805,Comercio al por menor de material fotográfico y fotografía,Comercio al por menor de material fotográfico y fotografía,
G,47,477806,Comercio al por menor de material de óptica,Comercio al por menor de material de óptica,
G,47,477807,Sala de exposiciones y galerias de arte con venta,Sala de exposiciones y galerias de arte con venta,
G,47,477808,Otro comercio al por menor del artículos nuevos n.c.o.p.,Otro comercio al por menor del artículos nuevos n.c.o.p.,
G,47,477901,Comercio al por menor de artículos de segunda mano,Comercio al por menor de artículos de segunda mano,
G,47,47800101, Situados de helados y/o bebidas refrescantes,Situados de helados y/o bebidas refrescantes,
G,47,47800102,Situados de castañas y/o tubérculos asados,Situados de castañas y/o tubérculos asados,
G,47,47800103,Situados de melones y sandias,Situados de melones y sandias,
G,47,47800104,Situados de churros y freidurías sin ningún tipo de relleno,Situados de churros y freidurías sin ningún relleno,
G,47,47800105,Situados de flores y plantas,Situados de flores y plantas,
G,47,47800106,Situados de articulos navideños no alimenticios,Situados de articulos navideños no alimenticios,
G,47,47800107,"Situados de artículos de confitería, frutos secos y patatas fritas envasados en establecimientos autorizados","Situados art confitería, frutos secos y pat fritas envasados",
G,47,47800108,"Situados de complementos, bisutería y artesanía","Situados de complementos, bisutería y artesanía",
G,47,47800109,Situados de objetos y publicaciones politico-social-económico-deportiva. Quioscos de Prensa,Situado obj./public.polit.-social-econó-depor.Quiosco Prensa,
G,47,47800110,Quiosco de la ONCE,Quiosco de la ONCE,
G,47,47800111,Sin determinar actividad en situado,Sin determinar actividad en situado,
G,47,47800112,Situados de alimentos envasados sometidos a transformación,Situados de alimentos envasados sometidos a transformación,
G,47,479001,"Comercio al por menor por correspondencia, internet, a domicilio","Comercio menor por correspondencia, internet, a domicilio",
G,47,479002,Comercio al por menor con máquinas expendedoras,Comercio al por menor con máquinas expendedoras,
H,49,491001,Transporte interurbano de pasajeros por ferrocarril,Transporte interurbano de pasajeros por ferrocarril,
H,49,492001,Transporte de mercancías por ferrocarril,Transporte de mercancías por ferrocarril,
H,49,493001,"Transporte terrestre urbano (autobus, metro, taxi) o interurbano (excepto por ferrocarril)","Transp.terrest.urba.(bus,metro, taxi),interurb.except.ferroc",
H,49,494001,Transporte de mercancías por carretera y servicios de mudanzas,Transporte  mercancías por carretera y servicios de mudanzas,
H,49,495001,Transporte por tubería,Transporte por tubería,
H,50,500001,Transporte marítimo y por vías navegables interiores,Transporte marítimo y por vías navegables interiores,
H,51,510001,Transporte aéreo,Transporte aéreo,
H,52,521001,Depósito y almacenamiento,Depósito y almacenamiento,
H,52,522001,Aparcamientos mixtos,Aparcamientos mixtos,
H,52,522002,Aparcamientos públicos,Aparcamientos públicos,
H,52,522003,Aparcamientos privados,Aparcamientos privados,
H,52,522004,Actividades anexas al transporte,Actividades anexas al transporte,
