Column 1,Column 2,Column 3
DEMAR,DEMAR,DEMARCACION         
DEMAR,DEMAR,DEMARCACION         
DRERA,DRERA,DRECERA             
EIRAD,EIRAD,EIRADO              
ENTD ,ENTD ,ENTRADA             
EPTZA,EPTZA,ENPARANTZA          
EPTZA,PL   ,ENPARANTZA          
EPTZA,PLAZA,ENPARANTZA          
ERREB,ARRAL,ERREBAL             
ERREB,ERREB,ERREBAL             
ERREB,RABAL,ERREBAL             
ERREB,RAVAL,ERREBAL             
ERREK,ARRY ,ERREKA              
ERREK,ERREK,ERREKA              
ERREK,RIERA,ERREKA              
ERREP,CTRA ,ERREPIDE            
ERREP,ERREP,ERREPIDE            
ERRIB,ERRIB,ERRIBERA            
ERRIB,VEGA ,ERRIBERA            
ESCA ,ESCA ,ESCALERA            
ESCAL,ESCAL,ESCALINATA          
ESCU ,ESCU ,ESCULLERA           
ESLDA,ESLDA,ESPALDA             
ESTDA,ESTDA,ESTRADA             
ETDEA,AV   ,ETORBIDE            
ETDEA,AVDA ,ETORBIDE            
ETDEA,AVGDA,ETORBIDE            
ETDEA,ETDEA,ETORBIDE            
ETDEA,HIRIB,ETORBIDE            
ETXAD,ETXAD,ETXADI              
ETXAD,GRUP ,ETXADI              
ETXAD,GRUPO,ETXADI              
ETXAD,TALDE,ETXADI              
ETXAR,CLLON,ETXARTE             
ETXAR,ETXAR,ETXARTE             
ETXAT,ETXAT,ETXATZE             
ETXAT,TRAS ,ETXATZE             
ETXAT,TRAS ,ETXATZE             
EXPLA,EXPLA,EXPLANADA           
EXTRM,EXTRM,EXTRAMUROS          
EXTRR,EXTRR,EXTRARRADIO         
FALDA,FALDA,FALDA               
FINCA,FINCA,FINCA               
G.V. ,G.V. ,GRAN VIA            
GAIN ,ALTO ,GAIN                
GAIN ,GAIN ,GAIN                
GALE ,GALE ,GALERIA             
GORAB,GORAB,GORABIDE            
GORAB,SBIDA,GORABIDE            
GORAB,PJDA ,GORABIDE            
GRUP ,ETXAD,GRUPO               
GRUP ,GRUP ,GRUPO               
GRUP ,GRUPO,GRUPO               
GRUP ,TALDE,GRUPO               
GRUPO,ETXAD,GRUPO               
GRUPO,GRUP ,GRUPO               
GRUPO,GRUPO,GRUPO               
GRUPO,TALDE,GRUPO               
GTA  ,BIDEB,GLORIETA            
GTA  ,GTA  ,GLORIETA            
HEGI ,HEGI ,HEGI                
HIRIB,AV   ,HIRIBIDE            
HIRIB,AVDA ,HIRIBIDE            
HIRIB,AVGDA,HIRIBIDE            
HIRIB,ETDEA,HIRIBIDE            
HIRIB,HIRIB,HIRIBIDE            
HONDA,HONDA,HONDARTZA           
HONDA,ONDAR,HONDARTZA           
HONDA,PLAYA,HONDARTZA           
HONDA,PRAIA,HONDARTZA           
HONDA,PTJA ,HONDARTZA           
HOYA ,HOYA ,HOYA                
IBILB,IBILB,IBILBIDE            
IBILB,PASEA,IBILBIDE            
IBILB,PASEA,IBILBIDE            
IBILB,PASEO,IBILBIDE            
IBILB,PG   ,IBILBIDE            
ILLA ,ILLA ,ILLA                
INDA ,INDA ,INDA                
JARD ,JARD ,JARDI               
JDIN ,JDIN ,JARDIN              
JDIN ,LORAK,JARDIN              
JDIN ,LORAT,JARDIN              
JDIN ,XDIN ,JARDIN              
JDINS,JDINS,JARDINES            
KAI  ,KAI  ,KAI                 
KAI  ,MUELL,KAI                 
KALE ,C    ,KALE                
KALE ,C/   ,KALE                
KALE ,CALLE,KALE                
KALE ,CARRE,KALE                
KALE ,KALE ,KALE                
KALE ,KARRI,KALE                
KALE ,RUA  ,KALE                
KARIK,CLLJA,KARRIKA             
KARIK,KARIK,KARRIKA             
KARIK,RUELA,KARRIKA             
KARRE,CRA  ,KARRERA             
KARRE,KARRE,KARRERA             
KARRI,C    ,KARRICA             
KARRI,C/   ,KARRICA             
KARRI,CALLE,KARRICA             
KARRI,CARRE,KARRICA             
KARRI,KALE ,KARRICA             
KARRI,KARRI,KARRICA             
KARRI,RUA  ,KARRICA             
KOSTA,COSTA,KOSTA               
KOSTA,KOSTA,KOSTA               
KRRIL,CRRIL,KARRIL              
KRRIL,KRRIL,KARRIL              
LAGO ,LAGO ,LAGO                
LASTE,ATAJO,LASTERBIDE          
LASTE,ATAL ,LASTERBIDE          
LASTE,ATALL,LASTERBIDE          
LASTE,LASTE,LASTERBIDE          
LDERA,LDERA,LADERA              
LEKU ,LEKU ,LEKU                
LEKU ,LLOC ,LEKU                
LEKU ,LUGAR,LEKU                
LLOC ,LEKU ,LLOC                
LLOC ,LLOC ,LLOC                
LLOC ,LUGAR,LLOC                
LOMA ,LOMA ,LOMA                
LORAK,JDIN ,LORATEGIAK          
LORAK,LORAK,LORATEGIAK          
LORAK,LORAT,LORATEGIAK          
LORAK,XDIN ,LORATEGIAK          
LORAT,JDIN ,LORATEGI            
LORAT,LORAK,LORATEGI            
LORAT,LORAT,LORATEGI            
LORAT,XDIN ,LORATEGI            
LUGAR,LEKU ,LUGAR               
LUGAR,LLOC ,LUGAR               
LUGAR,LUGAR,LUGAR               
MALEC,MALEC,MALECON             
MAZO ,MAZO ,MAZO                
MENDI,MENDI,MENDI               
MENDI,MONTE,MENDI               
MIRAD,MIRAD,MIRADOR             
MOLL ,MOLL ,MOLL                
MONTE,MENDI,MONTE               
MONTE,MONTE,MONTE               
MUELL,KAI  ,MUELLE              
MUELL,MUELL,MUELLE              
ONDAR,HONDA,ONDARTZA            
ONDAR,ONDAR,ONDARTZA            
ONDAR,PLAYA,ONDARTZA            
ONDAR,PRAIA,ONDARTZA            
ONDAR,PTJA ,ONDARTZA            
PAGO ,PAGO ,PAGO                
PARC ,PARC ,PARQUE              
PARC ,PARC ,PARQUE              
PARKE,PARKE,PARKE               
PARKE,PQUE ,PARKE               
PARTI,PARTI,PARTICULAR          
PAS  ,PAS  ,PAS                 
PASAI,PASAI,PASAI               
PASAI,PSAJE,PASAI               
PASAI,PSAXE,PASAI               
PASAI,PTGE ,PASAI               
PASEA,IBILB,PASEABIDE           
PASEA,PASEA,PASEABIDE           
PASEA,PASEA,PASEABIDE           
PASEA,PASEO,PASEABIDE           
PASEA,PG   ,PASEABIDE           
PASEA,IBILB,PASEALEKU           
PASEA,PASEA,PASEALEKU           
PASEA,PASEA,PASEALEKU           
PASEA,PASEO,PASEALEKU           
PASEA,PG   ,PASEALEKU           
PASEO,IBILB,PASEO               
PASEO,PASEA,PASEO               
PASEO,PASEA,PASEO               
PASEO,PASEO,PASEO               
PASEO,PG   ,PASEO               
PBDO ,PBDO ,POBLADO             
PDA  ,PDA  ,PUJADA              
PDIS ,PDIS ,PASSADIS            
PDIS ,PZO  ,PASSADIS            
PG   ,IBILB,PASSEIG             
PG   ,PASEA,PASSEIG             
PG   ,PASEA,PASSEIG             
PG   ,PASEO,PASSEIG             
PG   ,PG   ,PASSEIG             
PINAR,PINAR,PINAR               
PISTA,PISTA,PISTA               
PJDA ,PJDA ,"PUJADA,SUBIDA       "
PJDA ,SBIDA,"PUJADA,SUBIDA       "
PL   ,EPTZA,PLACA               
PL   ,PL   ,PLACA               
PL   ,PLAZA,PLACA               
PL   ,PLAÇA,PLAÇA               
PL   ,PL   ,PLAÇA               
PLA  ,PLA  ,PLA                 
PLAÇA,PLAÇA,PLAÇA               
PLAÇA,PLACA,PLAÇA               
PLAÇA,PLAZA,PLAÇA               
PLAÇA,PL   ,PLAÇA               
PLAYA,HONDA,PLAYA               
PLAYA,ONDAR,PLAYA               
PLAYA,PLAYA,PLAYA               
PLAYA,PRAIA,PLAYA               
PLAYA,PTJA ,PLAYA               
PLAZA,EPTZA,PLAZA               
PLAZA,PL   ,PLAZA               
PLAZA,PLAZA,PLAZA               
PLAZA,PLAÇA,PLAZA               
PLCET,PLCET,PLACETA             
PLLO ,PLLO ,PASILLO             
PLZLA,PLZLA,PLAZUELA            
PNTE ,PNTE ,PUENTE              
POLIG,POLIG,POLIGONO            
PONT ,PONT ,PONT                
PONT ,PONTE,PONT                
PONTE,PONT ,PONTE               
PONTE,PONTE,PONTE               
PORT ,PORT ,PORT                
PQUE ,PARKE,PARQUE              
PQUE ,PQUE ,PARQUE              
PRAÑA,PRAÑA,PRACIÑA             
PRAGE,PRAGE,PARATGE             
PRAGE,PRAJE,PARATGE             
PRAGE,PSAXE,PARATGE             
PRAGE,TOKI ,PARATGE             
PRAIA,HONDA,PRAIA               
PRAIA,ONDAR,PRAIA               
PRAIA,PLAYA,PRAIA               
PRAIA,PRAIA,PRAIA               
PRAIA,PTJA ,PRAIA               
PRAJE,PRAGE,PARAJE              
PRAJE,PRAJE,PARAJE              
PRAJE,PSAXE,PARAJE              
PRAJE,TOKI ,PARAJE              
PRAZA,PRAZA,PRAZA               
PROL ,PROL ,PORLONGACION        
PROL ,PROL ,PROLONGACION        
PSAJE,PASAI,PASAJE              
PSAJE,PSAJE,PASAJE              
PSAJE,PSAXE,PASAJE              
PSAJE,PTGE ,PASAJE              
PSAXE,PRAGE,PARAXE              
PSAXE,PRAJE,PARAXE              
PSAXE,PSAXE,PARAXE              
PSAXE,TOKI ,PARAXE              
PSAXE,PASAI,PASAXE              
PSAXE,PSAJE,PASAXE              
PSAXE,PSAXE,PASAXE              
PSAXE,PTGE ,PASAXE              
PSAXE,PSAXE,PASAXE              
PTDA ,PTDA ,PARTIDA             
PTGE ,PASAI,PASSATGE            
PTGE ,PSAJE,PASSATGE            
PTGE ,PSAXE,PASSATGE            
PTGE ,PTGE ,PASSATGE            
PTILO,PTILO,PORTILLO            
PTJA ,PLAYA,PLATJA              
PTJA ,ONDAR,PLATJA              
PTJA ,HONDA,PLATJA              
PTJA ,PRAIA,PLATJA              
PTJA ,PTJA ,PLATJA              
PTLLO,PTLLO,PORTILLO            
PZO  ,PDIS ,PASADIZO            
PZO  ,PZO  ,PASADIZO            
PZTA ,PZTA ,PLAZOLETA           
RABAL,ARRAL,RABAL               
RABAL,ERREB,RABAL               
RABAL,RABAL,RABAL               
RABAL,RAVAL,RABAL               
RACDA,RACDA,RACONADA            
RACDA,RCDA ,RACONADA            
RACO ,RACO ,RACO                
RACO ,RCON ,RACO                
RAMAL,RAMAL,RAMAL               
RAMPA,RAMPA,RAMPA               
RAMPS,RAMPS,RAMPAS              
RAVAL,ARRAL,RAVAL               
RAVAL,ERREB,RAVAL               
RAVAL,RABAL,RAVAL               
RAVAL,RAVAL,RAVAL               
RBLA ,RBLA ,RAMBLA              
RBRA ,RBRA ,RIBERA              
RCDA ,RACDA,RINCONADA           
RCDA ,RCDA ,RINCONADA           
RCDA ,RENTO,RINCONADA           
RCON ,RACO ,RINCON              
RCON ,RCON ,RINCON              
RENTO,RENTO,RECANTO             
RENTO,RCDA ,RECANTO             
RIERA,ARRY ,RIERA               
RIERA,ERREK,RIERA               
RIERA,RIERA,RIERA               
RONDA,RONDA,RONDA               
RTDA ,RTDA ,ROTONDA             
RUA  ,C    ,RUA                 
RUA  ,C/   ,RUA                 
RUA  ,CALLE,RUA                 
RUA  ,CARRE,RUA                 
RUA  ,KALE ,RUA                 
RUA  ,KARRI,RUA                 
RUA  ,RUA  ,RUA                 
RUELA,CJLA ,RUELA               
RUELA,RUELA,RUELA               
RUELA,CLLJA,RUELA               
RUELA,KARIK,RUELA               
RUELA,RUELA,RUELA               
RUERO,RUERO,RUEIRO              
SARBI,ACCE ,SARBIDE             
SARBI,ACCES,SARBIDE             
SARBI,SARBI,SARBIDE             
SBIDA,GORAB,SUBIDA              
SBIDA,SBIDA,SUBIDA              
SBIDA,PJDA ,GORABIDE            
SECT ,SECT ,SECTOR              
SECT ,SEKT ,SECTOR              
SEDER,CRROL,SENDER              
SEDER,SEDER,SENDER              
SEDER,SENDA,SENDER              
SEDRA,SEDRA,SENDERA             
SEKT ,SECT ,SEKTORE             
SEKT ,SEKT ,SEKTORE             
SEND ,SEND ,SENDERO             
SEND ,VIANY,SENDERO             
SENDA,CRROL,SENDA               
SENDA,SEDER,SENDA               
SENDA,SENDA,SENDA               
SVTIA,SVTIA,SERVENTIA           
SVTIA,CMNO ,SERVENTIA           
TALDE,ETXAD,TALDE               
TALDE,GRUP ,TALDE               
TALDE,GRUPO,TALDE               
TALDE,TALDE,TALDE               
TOKI ,PRAGE,TOKI                
TOKI ,PRAJE,TOKI                
TOKI ,PSAXE,TOKI                
TOKI ,TOKI ,TOKI                
TRANS,TRANS,TRANSITO            
TRAS ,ETXAT,TRASERA             
TRAS ,TRAS ,TRASERA             
TRAS ,TRAS ,TRASERA             
TRAS ,ETXAT,TRASEIRA            
TRAS ,TRAS ,TRASEIRA            
TRAS ,TRAS ,TRASEIRA            
TRAV ,TRAV ,TRAVESSERA          
TRAV ,TRSSI,TRAVESSERA          
TRAV ,TRVA ,TRAVESSERA          
TRAV ,TRVSA,TRAVESSERA          
TRRNT,TRRNT,TORRENT             
TRSSI,TRAV ,TRAVESSIA           
TRSSI,TRSSI,TRAVESSIA           
TRSSI,TRVA ,TRAVESSIA           
TRSSI,TRVSA,TRAVESSERA          
TRVA ,TRAV ,TRAVESIA            
TRVA ,TRSSI,TRAVESIA            
TRVA ,TRVA ,TRAVESIA            
TRVAL,TRVAL,TRANSVERSAL         
TRVSA,TRVSA,TRAVESA             
TRVSA,TRAV ,TRAVESA             
TRVSA,TRSSI,TRAVESA             
TUNEL,TUNEL,TUNEL               
URB  ,URB  ,URBANIZACION        
URB  ,URBAT,URBANIZACION        
URB  ,URBAZ,URBANIZACION        
URBAT,URB  ,URBANITZACIO        
URBAT,URBAT,URBANITZACIO        
URBAT,URBAZ,URBANITZACIO        
URBAZ,URB  ,URBANIZAZIO         
URBAZ,URBAT,URBANIZAZIO         
URBAZ,URBAZ,URBANIZAZIO         
VALLE,VALLE,VALLE               
VCTO ,VCTO ,VIADUCTO            
VEGA ,ERRIB,VEGA                
VEGA ,VEGA ,VEGA                
VENAT,VENAT,VEINAT              
VENLA,VENLA,VENELA              
VIA  ,BIDE ,VIA                 
VIA  ,VIA  ,VIA                 
VIAL ,VIAL ,VIAL                
VIANY,SEND ,VIARANY             
VIANY,VIANY,VIARANY             
VREDA,VREDA,VEREDA              
XDIN ,JDIN ,XARDIN              
XDIN ,LORAK,XARDIN              
XDIN ,LORAT,XARDIN              
XDIN ,XDIN ,XARDIN              
ZEHAR,ZEHAR,ZEARKALETA          
ZONA ,ZONA ,ZONA                
ZUBI ,ZUBI ,ZUBI                
ZUHAI,ARB  ,ZUHAIZTI            
ZUHAI,ZUHAI,ZUHAIZTI            
ZUMAR,ALAM ,ZUMARDI             
ZUMAR,ZUMAR,ZUMARDI             
