"filename","predicted_delimiter","predicted_quotechar","predicted_escapechar","target_delimiter","target_quotechar","target_escapechar","prediction_time"
"6e325e6de4ab67aac9b3d02c559fa330.csv","d*","","",",","","","0"
"91972be1cf605d516d12cfb2f106a56b.csv",";","""","l*",";","""","","0"
"3e2dceed5ce8a391f672188638ee819d.csv","d*","'","A*",",","'","","0"
"3569f5f434ea228f47d131102a58ff1d.csv",",","""","/",",","""","""","0"
"ResultsOR30x100-0.75_1.dat__m10.csv",";","""","l",";","""","","0"
"637258ccd4d8e59ec1e34bb11dd26016.csv",";","""","L*",";","""","","0"
"34e68111731df530dea80897425acd0a.csv"," ","l","","	","","","0"
"CO_Transparency_data_-_November_2012.csv"," ","""","""",",","""","","0"
"75fa3cd589dbaa23f3610bc85233ffd2.csv","	","/","","	","","","0"
"FTIR-4.9%Mn.csv","d*","","",",","","","0"
"19eb1716fa14deabad1f9c5aaa170652.csv","d*",".","",",","","","0"
"761bc7a83b37ea56d9b7e041778216c7.csv","d*","","","","","","0"
"39787fc34f3f4f96f69ae19f0e8509e8.csv",";","""","",";","""","","0"
"06a52f791dd3d78903cbf96f05ccb1d1.csv",",","","",",","","","0"
"5cdaf24eafd2b088ad0478c30334a1a8.csv"," ","""","/",",","""","\","0"
"SouthTrent_DestinationZones.csv","d*",".","",",","","","0"
"NCAA_Basketball_men_scores_out.csv",",","""","""",",","""","","0"
"6cf77eae5d6b22e940d751dbec3057fe.csv",",","""","",",","""","","0"
"Auto_Tone_sub312_day1.csv",",","'","l",",","'","","0"
"238a3a16f7a6de76db9b351e42262daa.csv","d*",".","","","","","0"
"ResultsOR30x100-0.25_10.dat__m16.csv",";","""","""",";","""","","0"
"6d4b523d0e45b49aba3c3fe321b46b7f.csv","l*","""","","","""","","0"
"ResultsOR30x100-0.25_1.dat__m28.csv",";","""","""",";","""","","0"
"6a726a8ce1cc4ed0783271cf8a82ced6.csv","d*",".","",",","","","0"
"Recruitment-20150219-exceptions-q3-final.csv",",","£","",",","","","0"
"3c617e22ca0aed707516c60761bb1741.csv","d*","","","","","","0"
"56da1d4654d0ebdb2f59f64798f171ba.csv",",","_","",",","","","0"
"103fd335fe5d54936bc4be85712649b7.csv","d","-","","","","","0"
"Song2018-7yrs-ch4.csv","d*","","",",","","","0"
"ResultsOR30x100-0.25_5.dat__m22.csv",";","""","""",";","""","","0"
"52bb6568dd718afa72d68ce4774c874c.csv","	","","","	","","","0"
"48963548df7cd2f243af97f8b8968e4f.csv",",","""","'",",","""","""","0"
"ResultsOR30x500-0.75_4.dat.csv",";","""","""",";","""","","0"
"2cee139a59b261550ef597abc736df53.csv","	","","","	","","","0"
"387cc073b6fc4c847faa6dc0a15c148d.csv","T*","""","T*",",","""","""","0"
"ResultsOR30x100-0.75_5.dat__m14.csv",";","""","""",";","""","","0"
"8258f4a04f82ffac419ecd3b9a9947bb.csv","d*","|","l*","|","","","0"
"7bf0f379f245491963fd69eddf03f8f6.csv"," ","""","T*",",","""","""","0"
"3093e5c25c1ef042b2d50c5af22899e7.csv","l*","""","T*","	","","","0"
"15a5eb93a05acd01f74f13f7b67d2ea7.csv","T*","""","""",",","""","""","0"
"Trial_25.csv","d","","",",","","","0"
"Resultsgk05.dat.csv",";","""","d",";","""","","0"
"ResultsOR30x100-0.50_5.dat__m19.csv",";","""","""",";","""","","0"
"071e00d6c8a35ad105410c9fe109ac56.csv","	","l","","	","","","0"
"TC-KOH-900C-4mg-KOH LSV-1600.bin.csv","d","","\",",","","","0"
"6367c718f8431f3d6243349dcc947244.csv",";","""",")",";","""","\","0"
"ResultsOR30x100-0.50_10.dat__m13.csv",";","""","""",";","""","","0"
"78d8b0fbcc35390516a411cbcb07a34d.csv","d*","","","|","","","0"
