Latitude(deg),Longitude(deg),Depth(m),Pore,Pressure(MPa),Uncertainty(+/-,MPa),,,,
53.50,-116.32,3475,61.58,8.14,,,,,,
53.50,-116.30,3481,61.74,8.14,,,,,,
53.50,-116.28,3467,61.34,8.14,,,,,,
53.50,-116.26,3438,60.50,8.14,,,,,,
53.50,-116.24,3419,59.95,8.14,,,,,,
53.50,-116.22,3387,59.02,8.14,,,,,,
53.50,-116.20,3358,58.17,8.14,,,,,,
53.50,-116.18,3344,57.77,8.14,,,,,,
53.50,-116.16,3334,57.47,8.14,,,,,,
53.50,-116.14,3326,57.24,8.14,,,,,,
53.50,-116.12,3329,57.32,8.14,,,,,,
53.50,-116.10,3326,57.23,8.14,,,,,,
53.50,-116.08,3299,56.44,8.14,,,,,,
53.50,-116.06,3265,55.46,8.14,,,,,,
53.50,-116.04,3269,55.58,8.14,,,,,,
53.50,-116.02,3274,55.72,8.14,,,,,,
53.50,-116.00,3247,54.94,8.14,,,,,,
53.50,-115.98,3222,54.20,8.14,,,,,,
53.50,-115.96,3199,53.52,8.14,,,,,,
53.50,-115.94,3175,52.85,8.14,,,,,,
53.50,-115.92,3138,51.75,8.14,,,,,,
53.50,-115.90,3118,51.18,8.14,,,,,,
53.50,-115.88,3130,51.52,8.14,,,,,,
53.50,-115.86,3114,51.05,8.14,,,,,,
53.50,-115.84,3099,50.62,8.14,,,,,,
53.50,-115.82,3067,49.70,8.14,,,,,,
53.50,-115.80,3047,49.13,8.14,,,,,,
53.50,-115.78,3035,48.78,8.14,,,,,,
53.50,-115.76,3023,48.43,8.14,,,,,,
53.50,-115.74,3013,48.13,8.14,,,,,,
53.50,-115.72,3003,47.83,8.14,,,,,,
53.50,-115.70,3008,47.97,8.14,,,,,,
53.50,-115.68,2990,47.46,8.14,,,,,,
53.50,-115.66,2972,46.92,8.14,,,,,,
53.50,-115.64,2956,46.48,8.14,,,,,,
53.50,-115.62,2944,46.11,8.14,,,,,,
53.50,-115.60,2929,45.69,8.14,,,,,,
53.50,-115.58,2901,44.86,8.14,,,,,,
53.50,-115.56,2882,44.33,8.14,,,,,,
53.50,-115.54,2865,43.82,8.14,,,,,,
53.50,-115.52,2825,42.64,8.14,,,,,,
53.50,-115.50,2802,42.00,8.14,,,,,,
53.52,-118.50,6296,143.67,8.14,,,,,,
53.52,-118.48,6514,150.00,8.14,,,,,,
53.52,-118.46,6331,144.67,8.14,,,,,,
53.52,-118.44,6377,146.00,8.14,,,,,,
53.52,-118.42,6475,148.85,8.14,,,,,,
53.52,-118.40,6407,146.90,8.14,,,,,,
53.52,-118.38,6237,141.95,8.14,,,,,,
53.52,-118.36,6392,146.46,8.14,,,,,,
53.52,-118.34,6477,148.93,8.14,,,,,,
53.52,-118.32,6276,143.07,8.14,,,,,,
53.52,-118.30,6167,139.91,8.14,,,,,,
53.52,-118.28,6045,136.36,8.14,,,,,,
53.52,-118.26,6046,136.39,8.14,,,,,,
53.52,-118.24,6235,141.87,8.14,,,,,,
53.52,-118.22,6214,141.27,8.14,,,,,,
53.52,-118.20,6067,137.00,8.14,,,,,,
53.52,-118.18,5949,133.58,8.14,,,,,,
53.52,-118.16,5849,130.64,8.14,,,,,,
53.52,-118.14,5681,125.77,8.14,,,,,,
53.52,-118.12,5705,126.46,8.14,,,,,,
53.52,-118.10,5662,125.21,8.14,,,,,,
53.52,-118.08,5610,123.69,8.14,,,,,,
53.52,-118.06,5603,123.50,8.14,,,,,,
53.52,-118.04,5641,124.60,8.14,,,,,,
53.52,-118.02,5685,125.88,8.14,,,,,,
53.52,-118.00,5567,122.45,8.14,,,,,,
53.52,-117.98,5452,119.10,8.14,,,,,,
53.52,-117.96,5381,117.05,8.14,,,,,,
53.52,-117.94,5331,115.57,8.14,,,,,,
53.52,-117.92,5375,116.85,8.14,,,,,,
53.52,-117.90,5342,115.88,8.14,,,,,,
53.52,-117.88,5432,118.51,8.14,,,,,,
53.52,-117.86,5345,116.00,8.14,,,,,,
53.52,-117.84,5178,111.13,8.14,,,,,,
53.52,-117.82,5115,109.29,8.14,,,,,,
53.52,-117.80,5130,109.72,8.14,,,,,,
53.52,-117.78,5239,112.90,8.14,,,,,,
53.52,-117.76,5367,116.62,8.14,,,,,,
53.52,-117.74,5351,116.17,8.14,,,,,,
53.52,-117.72,5325,115.40,8.14,,,,,,
53.52,-117.70,5290,114.39,8.14,,,,,,
53.52,-117.68,5266,113.69,8.14,,,,,,
53.52,-117.66,5251,113.25,8.14,,,,,,
53.52,-117.64,5199,111.75,8.14,,,,,,
53.52,-117.62,5177,111.10,8.14,,,,,,
53.52,-117.60,5199,111.75,8.14,,,,,,
53.52,-117.58,5188,111.40,8.14,,,,,,
53.52,-117.56,5187,111.38,8.14,,,,,,
53.52,-117.54,5179,111.16,8.14,,,,,,
53.52,-117.52,5159,110.57,8.14,,,,,,
53.52,-117.50,5011,106.27,8.14,,,,,,
53.52,-117.48,4953,104.59,8.14,,,,,,
53.52,-117.46,4877,102.37,8.14,,,,,,
53.52,-117.44,4812,100.46,8.14,,,,,,
53.52,-117.42,4705,97.36,8.14,,,,,,
53.52,-117.40,4616,94.76,8.14,,,,,,
53.52,-117.38,4566,93.32,8.14,,,,,,
53.52,-117.36,4508,91.64,8.14,,,,,,
53.52,-117.34,4516,91.87,8.14,,,,,,
53.52,-117.32,4545,92.70,8.14,,,,,,
53.52,-117.30,4540,92.57,8.14,,,,,,
53.52,-117.28,4576,93.60,8.14,,,,,,
53.52,-117.26,4600,94.30,8.14,,,,,,
53.52,-117.24,4642,95.51,8.14,,,,,,
53.52,-117.22,4684,96.74,8.14,,,,,,
53.52,-117.20,4630,95.18,8.14,,,,,,
53.52,-117.18,4549,92.83,8.14,,,,,,
53.52,-117.16,4495,91.26,8.14,,,,,,
53.52,-117.14,4439,89.61,8.14,,,,,,
53.52,-117.12,4368,87.54,8.14,,,,,,
53.52,-117.10,4336,86.61,8.14,,,,,,
53.52,-117.08,4324,86.28,8.14,,,,,,
53.52,-117.06,4282,85.04,8.14,,,,,,
53.52,-117.04,4266,84.58,8.14,,,,,,
53.52,-117.02,4222,83.32,8.14,,,,,,
53.52,-117.00,4198,82.60,8.14,,,,,,
53.52,-116.98,4188,82.32,8.14,,,,,,
53.52,-116.96,4155,81.36,8.14,,,,,,
53.52,-116.94,4116,80.23,8.14,,,,,,
53.52,-116.92,4094,79.60,8.14,,,,,,
53.52,-116.90,4068,78.85,8.14,,,,,,
53.52,-116.88,4035,77.89,8.14,,,,,,
53.52,-116.86,4013,77.25,8.14,,,,,,
53.52,-116.84,3992,76.64,8.14,,,,,,
53.52,-116.82,3960,75.72,8.14,,,,,,
53.52,-116.80,3932,74.92,8.14,,,,,,
53.52,-116.78,3908,74.23,8.14,,,,,,
53.52,-116.76,3883,73.51,8.14,,,,,,
53.52,-116.74,3867,73.07,8.14,,,,,,
53.52,-116.72,3860,72.86,8.14,,,,,,
53.52,-116.70,3845,72.43,8.14,,,,,,
53.52,-116.68,3821,71.72,8.14,,,,,,
53.52,-116.66,3804,71.25,8.14,,,,,,
53.52,-116.64,3782,70.62,8.14,,,,,,
53.52,-116.62,3749,69.66,8.14,,,,,,
53.52,-116.60,3723,68.89,8.14,,,,,,
53.52,-116.58,3690,67.93,8.14,,,,,,
53.52,-116.56,3674,67.44,8.14,,,,,,
53.52,-116.54,3658,66.98,8.14,,,,,,
53.52,-116.52,3633,66.24,8.14,,,,,,
53.52,-116.50,3620,65.86,8.14,,,,,,
53.52,-116.48,3609,65.53,8.14,,,,,,
53.52,-116.46,3594,65.10,8.14,,,,,,
53.52,-116.44,3588,64.91,8.14,,,,,,
53.52,-116.42,3567,64.28,8.14,,,,,,
53.52,-116.40,3546,63.68,8.14,,,,,,
53.52,-116.38,3514,62.72,8.14,,,,,,
53.52,-116.36,3492,62.07,8.14,,,,,,
53.52,-116.34,3466,61.32,8.14,,,,,,
53.52,-116.32,3449,60.82,8.14,,,,,,
53.52,-116.30,3431,60.30,8.14,,,,,,
53.52,-116.28,3420,59.96,8.14,,,,,,
53.52,-116.26,3413,59.76,8.14,,,,,,
53.52,-116.24,3391,59.12,8.14,,,,,,
53.52,-116.22,3355,58.07,8.14,,,,,,
53.52,-116.20,3333,57.44,8.14,,,,,,
53.52,-116.18,3326,57.22,8.14,,,,,,
53.52,-116.16,3315,56.92,8.14,,,,,,
53.52,-116.14,3302,56.54,8.14,,,,,,
53.52,-116.12,3311,56.80,8.14,,,,,,
53.52,-116.10,3295,56.34,8.14,,,,,,
53.52,-116.08,3268,55.55,8.14,,,,,,
53.52,-116.06,3241,54.76,8.14,,,,,,
53.52,-116.04,3238,54.67,8.14,,,,,,
53.52,-116.02,3230,54.43,8.14,,,,,,
53.52,-116.00,3210,53.86,8.14,,,,,,
53.52,-115.98,3208,53.80,8.14,,,,,,
53.52,-115.96,3181,53.00,8.14,,,,,,
53.52,-115.94,3158,52.36,8.14,,,,,,
53.52,-115.92,3119,51.21,8.14,,,,,,
53.52,-115.90,3099,50.62,8.14,,,,,,
53.52,-115.88,3114,51.07,8.14,,,,,,
53.52,-115.86,3109,50.92,8.14,,,,,,
53.52,-115.84,3079,50.06,8.14,,,,,,
53.52,-115.82,3048,49.14,8.14,,,,,,
53.52,-115.80,3023,48.43,8.14,,,,,,
53.52,-115.78,2996,47.65,8.14,,,,,,
53.52,-115.76,2986,47.34,8.14,,,,,,
53.52,-115.74,2978,47.11,8.14,,,,,,
53.52,-115.72,2976,47.04,8.14,,,,,,
53.52,-115.70,2966,46.76,8.14,,,,,,
53.52,-115.68,2944,46.13,8.14,,,,,,
53.52,-115.66,2929,45.69,8.14,,,,,,
53.52,-115.64,2916,45.32,8.14,,,,,,
53.52,-115.62,2902,44.90,8.14,,,,,,
53.52,-115.60,2895,44.70,8.14,,,,,,
53.52,-115.58,2882,44.32,8.14,,,,,,
53.52,-115.56,2863,43.75,8.14,,,,,,
53.52,-115.54,2846,43.26,8.14,,,,,,
53.52,-115.52,2820,42.52,8.14,,,,,,
53.52,-115.50,2786,41.52,8.14,,,,,,
53.54,-118.50,6434,147.68,8.14,,,,,,
53.54,-118.48,6498,149.54,8.14,,,,,,
53.54,-118.46,6489,149.28,8.14,,,,,,
53.54,-118.44,6565,151.49,8.14,,,,,,
53.54,-118.42,6564,151.47,8.14,,,,,,
53.54,-118.40,6573,151.71,8.14,,,,,,
53.54,-118.38,6527,150.37,8.14,,,,,,
53.54,-118.36,6434,147.67,8.14,,,,,,
53.54,-118.34,6220,141.44,8.14,,,,,,
53.54,-118.32,6114,138.37,8.14,,,,,,
53.54,-118.30,6191,140.59,8.14,,,,,,
53.54,-118.28,6243,142.11,8.14,,,,,,
53.54,-118.26,6311,144.11,8.14,,,,,,
53.54,-118.24,6210,141.16,8.14,,,,,,
53.54,-118.22,5964,133.99,8.14,,,,,,
53.54,-118.20,5911,132.47,8.14,,,,,,
53.54,-118.18,5809,129.48,8.14,,,,,,
53.54,-118.16,5751,127.81,8.14,,,,,,
53.54,-118.14,5786,128.83,8.14,,,,,,
53.54,-118.12,5817,129.73,8.14,,,,,,
53.54,-118.10,5729,127.17,8.14,,,,,,
53.54,-118.08,5699,126.27,8.14,,,,,,
53.54,-118.06,5637,124.47,8.14,,,,,,
53.54,-118.04,5565,122.39,8.14,,,,,,
53.54,-118.02,5484,120.03,8.14,,,,,,
53.54,-118.00,5409,117.84,8.14,,,,,,
53.54,-117.98,5403,117.67,8.14,,,,,,
53.54,-117.96,5352,116.19,8.14,,,,,,
53.54,-117.94,5272,113.87,8.14,,,,,,
53.54,-117.92,5275,113.93,8.14,,,,,,
53.54,-117.90,5269,113.79,8.14,,,,,,
53.54,-117.88,5280,114.09,8.14,,,,,,
53.54,-117.86,5234,112.75,8.14,,,,,,
53.54,-117.84,5162,110.66,8.14,,,,,,
53.54,-117.82,5119,109.40,8.14,,,,,,
53.54,-117.80,5060,107.71,8.14,,,,,,
53.54,-117.78,5077,108.17,8.14,,,,,,
53.54,-117.76,5179,111.17,8.14,,,,,,
53.54,-117.74,5160,110.60,8.14,,,,,,
53.54,-117.72,5182,111.24,8.14,,,,,,
53.54,-117.70,5267,113.71,8.14,,,,,,
53.54,-117.68,5244,113.04,8.14,,,,,,
53.54,-117.66,5201,111.80,8.14,,,,,,
53.54,-117.64,5183,111.26,8.14,,,,,,
53.54,-117.62,5139,109.99,8.14,,,,,,
53.54,-117.60,5103,108.94,8.14,,,,,,
53.54,-117.58,5099,108.83,8.14,,,,,,
53.54,-117.56,5124,109.56,8.14,,,,,,
53.54,-117.54,5156,110.47,8.14,,,,,,
53.54,-117.52,5221,112.38,8.14,,,,,,
53.54,-117.50,5091,108.58,8.14,,,,,,
53.54,-117.48,5004,106.07,8.14,,,,,,
53.54,-117.46,4891,102.76,8.14,,,,,,
53.54,-117.44,4807,100.34,8.14,,,,,,
53.54,-117.42,4728,98.03,8.14,,,,,,
53.54,-117.40,4683,96.71,8.14,,,,,,
53.54,-117.38,4623,94.99,8.14,,,,,,
53.54,-117.36,4540,92.56,8.14,,,,,,
53.54,-117.34,4473,90.62,8.14,,,,,,
53.54,-117.32,4419,89.03,8.14,,,,,,
53.54,-117.30,4436,89.52,8.14,,,,,,
53.54,-117.28,4441,89.66,8.14,,,,,,
53.54,-117.26,4485,90.94,8.14,,,,,,
53.54,-117.24,4487,91.01,8.14,,,,,,
53.54,-117.22,4481,90.85,8.14,,,,,,
53.54,-117.20,4480,90.79,8.14,,,,,,
53.54,-117.18,4453,90.02,8.14,,,,,,
53.54,-117.16,4400,88.49,8.14,,,,,,
53.54,-117.14,4349,86.99,8.14,,,,,,
53.54,-117.12,4328,86.37,8.14,,,,,,
53.54,-117.10,4301,85.60,8.14,,,,,,
53.54,-117.08,4273,84.77,8.14,,,,,,
53.54,-117.06,4263,84.49,8.14,,,,,,
53.54,-117.04,4253,84.19,8.14,,,,,,
53.54,-117.02,4237,83.74,8.14,,,,,,
53.54,-117.00,4220,83.25,8.14,,,,,,
53.54,-116.98,4180,82.09,8.14,,,,,,
53.54,-116.96,4144,81.06,8.14,,,,,,
53.54,-116.94,4110,80.07,8.14,,,,,,
53.54,-116.92,4100,79.81,8.14,,,,,,
53.54,-116.90,4075,79.08,8.14,,,,,,
53.54,-116.88,4036,77.96,8.14,,,,,,
53.54,-116.86,4009,77.19,8.14,,,,,,
53.54,-116.84,3973,76.17,8.14,,,,,,
53.54,-116.82,3936,75.11,8.14,,,,,,
53.54,-116.80,3913,74.43,8.14,,,,,,
53.54,-116.78,3899,74.06,8.14,,,,,,
53.54,-116.76,3876,73.38,8.14,,,,,,
53.54,-116.74,3858,72.88,8.14,,,,,,
53.54,-116.72,3832,72.13,8.13,,,,,,
53.54,-116.70,3813,71.58,8.13,,,,,,
53.54,-116.68,3803,71.30,8.13,,,,,,
53.54,-116.66,3786,70.82,8.13,,,,,,
53.54,-116.64,3756,69.95,8.13,,,,,,
53.54,-116.62,3732,69.25,8.13,,,,,,
53.54,-116.60,3713,68.70,8.13,,,,,,
53.54,-116.58,3663,67.23,8.13,,,,,,
53.54,-116.56,3642,66.60,8.13,,,,,,
53.54,-116.54,3628,66.20,8.13,,,,,,
53.54,-116.52,3623,66.04,8.14,,,,,,
53.54,-116.50,3626,66.13,8.14,,,,,,
53.54,-116.48,3605,65.51,8.14,,,,,,
53.54,-116.46,3565,64.32,8.14,,,,,,
53.54,-116.44,3537,63.49,8.14,,,,,,
53.54,-116.42,3520,62.98,8.14,,,,,,
53.54,-116.40,3496,62.27,8.14,,,,,,
53.54,-116.38,3464,61.33,8.14,,,,,,
53.54,-116.36,3458,61.12,8.14,,,,,,
53.54,-116.34,3443,60.69,8.14,,,,,,
53.54,-116.32,3419,59.99,8.14,,,,,,
53.54,-116.30,3395,59.27,8.14,,,,,,
53.54,-116.28,3383,58.90,8.14,,,,,,
53.54,-116.26,3373,58.61,8.14,,,,,,
53.54,-116.24,3356,58.11,8.14,,,,,,
53.54,-116.22,3331,57.38,8.14,,,,,,
53.54,-116.20,3318,56.99,8.14,,,,,,
53.54,-116.18,3304,56.59,8.14,,,,,,
53.54,-116.16,3297,56.38,8.14,,,,,,
53.54,-116.14,3285,56.03,8.14,,,,,,
53.54,-116.12,3284,56.01,8.14,,,,,,
53.54,-116.10,3270,55.60,8.14,,,,,,
53.54,-116.08,3247,54.95,8.14,,,,,,
53.54,-116.06,3233,54.54,8.14,,,,,,
53.54,-116.04,3226,54.32,8.14,,,,,,
53.54,-116.02,3202,53.63,8.14,,,,,,
53.54,-116.00,3171,52.73,8.14,,,,,,
53.54,-115.98,3154,52.23,8.14,,,,,,
53.54,-115.96,3145,51.96,8.14,,,,,,
53.54,-115.94,3111,50.99,8.14,,,,,,
53.54,-115.92,3093,50.45,8.14,,,,,,
53.54,-115.90,3072,49.84,8.14,,,,,,
53.54,-115.88,3071,49.80,8.14,,,,,,
53.54,-115.86,3066,49.65,8.14,,,,,,
53.54,-115.84,3060,49.51,8.14,,,,,,
53.54,-115.82,3032,48.68,8.14,,,,,,
53.54,-115.80,3007,47.96,8.14,,,,,,
53.54,-115.78,2975,47.02,8.14,,,,,,
53.54,-115.76,2950,46.29,8.14,,,,,,
53.54,-115.74,2950,46.28,8.14,,,,,,
53.54,-115.72,2945,46.14,8.14,,,,,,
53.54,-115.70,2930,45.72,8.14,,,,,,
53.54,-115.68,2909,45.10,8.14,,,,,,
53.54,-115.66,2901,44.87,8.14,,,,,,
53.54,-115.64,2883,44.33,8.14,,,,,,
53.54,-115.62,2869,43.94,8.14,,,,,,
53.54,-115.60,2867,43.88,8.14,,,,,,
53.54,-115.58,2843,43.18,8.14,,,,,,
53.54,-115.56,2811,42.24,8.14,,,,,,
53.54,-115.54,2806,42.09,8.14,,,,,,
53.54,-115.52,2810,42.20,8.14,,,,,,
53.54,-115.50,2787,41.54,8.14,,,,,,
53.56,-118.50,6703,155.49,8.14,,,,,,
53.56,-118.48,6592,152.26,8.14,,,,,,
53.56,-118.46,6638,153.62,8.14,,,,,,
53.56,-118.44,6805,158.47,8.14,,,,,,
53.56,-118.42,6475,148.87,8.14,,,,,,
53.56,-118.40,6331,144.67,8.14,,,,,,
53.56,-118.38,6419,147.25,8.14,,,,,,
53.56,-118.36,6415,147.11,8.14,,,,,,
53.56,-118.34,6439,147.83,8.14,,,,,,
53.56,-118.32,6446,148.04,8.14,,,,,,
53.56,-118.30,6438,147.78,8.14,,,,,,
53.56,-118.28,6244,142.13,8.14,,,,,,
53.56,-118.26,6175,140.13,8.14,,,,,,
53.56,-118.24,6010,135.33,8.14,,,,,,
53.56,-118.22,5943,133.38,8.14,,,,,,
53.56,-118.20,5896,132.02,8.14,,,,,,
53.56,-118.18,5814,129.62,8.14,,,,,,
53.56,-118.16,5854,130.80,8.14,,,,,,
53.56,-118.14,5834,130.21,8.14,,,,,,
53.56,-118.12,5746,127.67,8.14,,,,,,
53.56,-118.10,5657,125.06,8.14,,,,,,
53.56,-118.08,5579,122.79,8.14,,,,,,
53.56,-118.06,5541,121.68,8.14,,,,,,
53.56,-118.04,5502,120.56,8.14,,,,,,
53.56,-118.02,5487,120.13,8.14,,,,,,
53.56,-118.00,5411,117.90,8.14,,,,,,
53.56,-117.98,5348,116.07,8.14,,,,,,
53.56,-117.96,5337,115.76,8.14,,,,,,
53.56,-117.94,5349,116.10,8.14,,,,,,
53.56,-117.92,5255,113.36,8.14,,,,,,
53.56,-117.90,5191,111.49,8.14,,,,,,
53.56,-117.88,5156,110.47,8.14,,,,,,
53.56,-117.86,5132,109.80,8.14,,,,,,
53.56,-117.84,5115,109.29,8.14,,,,,,
53.56,-117.82,5105,109.01,8.14,,,,,,
53.56,-117.80,5092,108.63,8.14,,,,,,
53.56,-117.78,5012,106.28,8.14,,,,,,
53.56,-117.76,4994,105.77,8.14,,,,,,
53.56,-117.74,5096,108.74,8.14,,,,,,
53.56,-117.72,5115,109.29,8.14,,,,,,
53.56,-117.70,5160,110.62,8.14,,,,,,
53.56,-117.68,5141,110.04,8.14,,,,,,
53.56,-117.66,5102,108.93,8.14,,,,,,
53.56,-117.64,5120,109.45,8.14,,,,,,
53.56,-117.62,5116,109.33,8.14,,,,,,
53.56,-117.60,5056,107.57,8.14,,,,,,
53.56,-117.58,5002,106.01,8.14,,,,,,
53.56,-117.56,5009,106.22,8.14,,,,,,
53.56,-117.54,5029,106.80,8.14,,,,,,
53.56,-117.52,5115,109.28,8.14,,,,,,
53.56,-117.50,5171,110.92,8.14,,,,,,
53.56,-117.48,5024,106.63,8.14,,,,,,
53.56,-117.46,4892,102.79,8.14,,,,,,
53.56,-117.44,4841,101.31,8.14,,,,,,
53.56,-117.42,4804,100.25,8.14,,,,,,
53.56,-117.40,4859,101.84,8.14,,,,,,
53.56,-117.38,4758,98.90,8.14,,,,,,
53.56,-117.36,4595,94.15,8.14,,,,,,
53.56,-117.34,4513,91.75,8.14,,,,,,
53.56,-117.32,4424,89.16,8.14,,,,,,
53.56,-117.30,4361,87.35,8.14,,,,,,
53.56,-117.28,4391,88.20,8.13,,,,,,
53.56,-117.26,4381,87.92,8.13,,,,,,
53.56,-117.24,4393,88.26,8.13,,,,,,
53.56,-117.22,4436,89.51,8.13,,,,,,
53.56,-117.20,4423,89.14,8.13,,,,,,
53.56,-117.18,4373,87.68,8.13,,,,,,
53.56,-117.16,4333,86.52,8.13,,,,,,
53.56,-117.14,4311,85.87,8.13,,,,,,
53.56,-117.12,4302,85.61,8.13,,,,,,
53.56,-117.10,4274,84.81,8.13,,,,,,
53.56,-117.08,4249,84.06,8.13,,,,,,
53.56,-117.06,4221,83.26,8.13,,,,,,
53.56,-117.04,4209,82.93,8.13,,,,,,
53.56,-117.02,4198,82.61,8.14,,,,,,
53.56,-117.00,4183,82.19,8.14,,,,,,
53.56,-116.98,4152,81.30,8.14,,,,,,
53.56,-116.96,4116,80.29,8.14,,,,,,
53.56,-116.94,4078,79.18,8.14,,,,,,
53.56,-116.92,4069,78.96,8.14,,,,,,
53.56,-116.90,4049,78.37,8.14,,,,,,
