##Temp./°C,Time/min,Mass/%
 40.00100,  1.12667,99.90105
 40.05000,  1.13333,99.90059
 40.09800,  1.14000,99.90013
 40.14900,  1.14667,99.89871
 40.19800,  1.15333,99.89825
 40.24600,  1.16000,99.89778
 40.29500,  1.16667,99.89685
 40.34400,  1.17333,99.89639
 40.39200,  1.18000,99.89594
 40.44200,  1.18667,99.89549
 40.48800,  1.19333,99.89456
 40.53600,  1.20000,99.89411
 40.58600,  1.20667,99.89366
 40.63400,  1.21333,99.89369
 40.68000,  1.22000,99.89324
 40.72900,  1.22667,99.89230
 40.77500,  1.23333,99.89185
 40.82600,  1.24000,99.89140
 40.87300,  1.24667,99.89096
 40.92000,  1.25333,99.89005
 40.96500,  1.26000,99.88962
 41.01100,  1.26667,99.88919
 41.06000,  1.27333,99.88780
 41.10600,  1.28000,99.88737
 41.15300,  1.28667,99.88694
 41.20000,  1.29333,99.88651
 41.24300,  1.30000,99.88561
 41.29100,  1.30667,99.88518
 41.33600,  1.31333,99.88475
 41.38400,  1.32000,99.88336
 41.42900,  1.32667,99.88293
 41.47400,  1.33333,99.88251
 41.51900,  1.34000,99.88114
 41.56500,  1.34667,99.88073
 41.60800,  1.35333,99.87985
 41.65500,  1.36000,99.87897
 41.69800,  1.36667,99.87809
 41.74200,  1.37333,99.87768
 41.78600,  1.38000,99.87681
 41.83000,  1.38667,99.87593
 41.87600,  1.39333,99.87553
 41.91600,  1.40000,99.87465
 41.96100,  1.40667,99.87473
 42.00400,  1.41333,99.87432
 42.04800,  1.42000,99.87391
 42.09200,  1.42667,99.87399
 42.13300,  1.43333,99.87359
 42.17700,  1.44000,99.87272
 42.22000,  1.44667,99.87234
 42.26100,  1.45333,99.87195
 42.30100,  1.46000,99.87156
 42.34500,  1.46667,99.87069
 42.38500,  1.47333,99.87029
 42.43100,  1.48000,99.86990
 42.47000,  1.48667,99.86952
 42.51100,  1.49333,99.86820
 42.55100,  1.50000,99.86783
 42.59000,  1.50667,99.86794
 42.63200,  1.51333,99.86756
 42.67200,  1.52000,99.86622
 42.71300,  1.52667,99.86583
 42.75300,  1.53333,99.86545
 42.79200,  1.54000,99.86412
 42.83200,  1.54667,99.86373
 42.87000,  1.55333,99.86238
 42.91100,  1.56000,99.86151
 42.95100,  1.56667,99.86015
 42.99000,  1.57333,99.85975
 43.03000,  1.58000,99.85935
 43.06700,  1.58667,99.85800
 43.10600,  1.59333,99.85759
 43.14600,  1.60000,99.85671
 43.18600,  1.60667,99.85582
 43.22300,  1.61333,99.85543
 43.26200,  1.62000,99.85504
 43.30100,  1.62667,99.85466
 43.33500,  1.63333,99.85476
 43.37500,  1.64000,99.85342
 43.41000,  1.64667,99.85351
 43.45100,  1.65333,99.85264
 43.48600,  1.66000,99.85272
 43.52200,  1.66667,99.85184
 43.56000,  1.67333,99.85142
 43.59900,  1.68000,99.85149
 43.63600,  1.68667,99.85108
 43.67200,  1.69333,99.85115
 43.70800,  1.70000,99.85076
 43.74600,  1.70667,99.84989
 43.78100,  1.71333,99.84950
 43.81500,  1.72000,99.84910
 43.85300,  1.72667,99.84870
 43.88800,  1.73333,99.84781
 43.92400,  1.74000,99.84740
 43.96000,  1.74667,99.84651
 43.99600,  1.75333,99.84561
 44.03200,  1.76000,99.84521
 44.06700,  1.76667,99.84481
 44.10100,  1.77333,99.84441
 44.13700,  1.78000,99.84305
 44.17000,  1.78667,99.84265
 44.20500,  1.79333,99.84225
 44.23900,  1.80000,99.84136
 44.27600,  1.80667,99.84095
 44.30900,  1.81333,99.84102
 44.34400,  1.82000,99.84061
 44.37500,  1.82667,99.84020
 44.41200,  1.83333,99.84026
 44.44300,  1.84000,99.83936
 44.48100,  1.84667,99.83894
 44.51200,  1.85333,99.83853
 44.54800,  1.86000,99.83812
 44.57900,  1.86667,99.83723
 44.61100,  1.87333,99.83633
 44.64600,  1.88000,99.83591
 44.68000,  1.88667,99.83453
 44.71300,  1.89333,99.83364
 44.74500,  1.90000,99.83227
 44.77800,  1.90667,99.83187
 44.80900,  1.91333,99.83050
 44.84200,  1.92000,99.82961
 44.87400,  1.92667,99.82822
 44.90700,  1.93333,99.82778
 44.93900,  1.94000,99.82734
 44.97300,  1.94667,99.82689
 45.00500,  1.95333,99.82692
 45.03600,  1.96000,99.82695
 45.07100,  1.96667,99.82699
 45.10300,  1.97333,99.82703
 45.13300,  1.98000,99.82708
 45.16700,  1.98667,99.82713
 45.19700,  1.99333,99.82718
 45.22800,  2.00000,99.82723
 45.26000,  2.00667,99.82727
 45.29200,  2.01333,99.82635
 45.32200,  2.02000,99.82638
 45.35500,  2.02667,99.82640
 45.38900,  2.03333,99.82595
 45.41700,  2.04000,99.82550
 45.44800,  2.04667,99.82552
 45.48200,  2.05333,99.82507
 45.51200,  2.06000,99.82413
 45.54300,  2.06667,99.82367
 45.57500,  2.07333,99.82274
 45.60600,  2.08000,99.82132
 45.63700,  2.08667,99.82086
 45.66800,  2.09333,99.81944
 45.69600,  2.10000,99.81897
 45.73200,  2.10667,99.81850
 45.76200,  2.11333,99.81707
 45.79200,  2.12000,99.81661
 45.82400,  2.12667,99.81568
 45.85300,  2.13333,99.81475
 45.88200,  2.14000,99.81429
 45.91500,  2.14667,99.81383
 45.94600,  2.15333,99.81336
 45.97400,  2.16000,99.81240
 46.00600,  2.16667,99.81192
 46.03800,  2.17333,99.81143
 46.06600,  2.18000,99.81094
 46.10200,  2.18667,99.81094
 46.13000,  2.19333,99.80998
 46.15900,  2.20000,99.80999
 46.19100,  2.20667,99.80953
 46.22200,  2.21333,99.80955
 46.24900,  2.22000,99.80957
 46.28000,  2.22667,99.80958
 46.31200,  2.23333,99.80911
 46.33900,  2.24000,99.80911
 46.37100,  2.24667,99.80911
 46.40100,  2.25333,99.80863
 46.43200,  2.26000,99.80766
 46.46000,  2.26667,99.80765
 46.49200,  2.27333,99.80715
 46.52200,  2.28000,99.80666
 46.55300,  2.28667,99.80617
 46.58600,  2.29333,99.80523
 46.61200,  2.30000,99.80477
 46.63900,  2.30667,99.80384
 46.67000,  2.31333,99.80289
 46.70000,  2.32000,99.80241
 46.73000,  2.32667,99.80193
 46.76000,  2.33333,99.80049
 46.79100,  2.34000,99.80001
 46.81900,  2.34667,99.79953
 46.84700,  2.35333,99.79905
 46.87800,  2.36000,99.79808
 46.90800,  2.36667,99.79807
 46.93700,  2.37333,99.79758
 46.96900,  2.38000,99.79710
 46.99600,  2.38667,99.79708
 47.02300,  2.39333,99.79658
 47.05600,  2.40000,99.79654
 47.08900,  2.40667,99.79555
 47.11600,  2.41333,99.79552
 47.14500,  2.42000,99.79501
 47.17700,  2.42667,99.79499
 47.20600,  2.43333,99.79450
 47.23700,  2.44000,99.79448
 47.26300,  2.44667,99.79398
 47.29300,  2.45333,99.79395
 47.32500,  2.46000,99.79295
 47.35500,  2.46667,99.79195
 47.38600,  2.47333,99.79191
 47.41500,  2.48000,99.79140
 47.44500,  2.48667,99.79042
 47.47600,  2.49333,99.79041
 47.50200,  2.50000,99.78991
 47.53300,  2.50667,99.78941
 47.56300,  2.51333,99.78890
 47.59400,  2.52000,99.78742
 47.62300,  2.52667,99.78691
 47.65400,  2.53333,99.78641
 47.68200,  2.54000,99.78542
 47.71300,  2.54667,99.78540
 47.74100,  2.55333,99.78441
 47.77200,  2.56000,99.78390
 47.80300,  2.56667,99.78291
 47.83100,  2.57333,99.78287
 47.86000,  2.58000,99.78234
 47.89100,  2.58667,99.78181
 47.92500,  2.59333,99.78127
 47.95400,  2.60000,99.78122
 47.98100,  2.60667,99.78117
 48.01400,  2.61333,99.78016
 48.04400,  2.62000,99.78010
 48.07300,  2.62667,99.77956
 48.10500,  2.63333,99.77948
 48.13700,  2.64000,99.77940
 48.16800,  2.64667,99.77885
 48.20000,  2.65333,99.77879
 48.22900,  2.66000,99.77874
 48.26100,  2.66667,99.77821
 48.28900,  2.67333,99.77817
 48.32100,  2.68000,99.77812
 48.35200,  2.68667,99.77712
 48.38300,  2.69333,99.77708
 48.41400,  2.70000,99.77656
 48.44300,  2.70667,99.77604
 48.47300,  2.71333,99.77553
 48.50500,  2.72000,99.77549
 48.53400,  2.72667,99.77449
 48.56700,  2.73333,99.77397
 48.59600,  2.74000,99.77393
 48.62600,  2.74667,99.77340
 48.65800,  2.75333,99.77288
 48.68900,  2.76000,99.77282
 48.71900,  2.76667,99.77181
 48.74900,  2.77333,99.77175
 48.78300,  2.78000,99.77122
 48.81300,  2.78667,99.77118
 48.84500,  2.79333,99.77066
 48.87300,  2.80000,99.77063
 48.90400,  2.80667,99.77059
 48.93500,  2.81333,99.77007
 48.96600,  2.82000,99.77002
 48.99700,  2.82667,99.76996
 49.03000,  2.83333,99.76990
 49.05900,  2.84000,99.76889
 49.09100,  2.84667,99.76883
 49.12400,  2.85333,99.76877
 49.15200,  2.86000,99.76872
 49.18600,  2.86667,99.76818
 49.21600,  2.87333,99.76811
 49.24800,  2.88000,99.76709
 49.28100,  2.88667,99.76702
 49.31100,  2.89333,99.76600
 49.34400,  2.90000,99.76546
 49.37500,  2.90667,99.76540
 49.40500,  2.91333,99.76486
 49.43900,  2.92000,99.76432
 49.47100,  2.92667,99.76426
 49.50200,  2.93333,99.76323
 49.53200,  2.94000,99.76269
 49.56800,  2.94667,99.76215
 49.59800,  2.95333,99.76162
 49.63000,  2.96000,99.76157
 49.66200,  2.96667,99.76058
 49.69200,  2.97333,99.76054
 49.72400,  2.98000,99.76002
 49.75600,  2.98667,99.75950
 49.78600,  2.99333,99.75945
 49.82000,  3.00000,99.75892
 49.85200,  3.00667,99.75886
 49.88200,  3.01333,99.75785
 49.91500,  3.02000,99.75779
 49.94800,  3.02667,99.75726
 49.98100,  3.03333,99.75722
 50.01100,  3.04000,99.75670
 50.04300,  3.04667,99.75666
 50.07300,  3.05333,99.75613
 50.10600,  3.06000,99.75608
 50.13900,  3.06667,99.75506
 50.17200,  3.07333,99.75452
 50.20400,  3.08000,99.75447
 50.23500,  3.08667,99.75392
 50.26700,  3.09333,99.75386
 50.30000,  3.10000,99.75331
 50.33500,  3.10667,99.75324
 50.36700,  3.11333,99.75223
 50.39900,  3.12000,99.75217
 50.42900,  3.12667,99.75164
 50.46300,  3.13333,99.75158
 50.49800,  3.14000,99.75105
 50.52800,  3.14667,99.75099
 50.56000,  3.15333,99.75045
 50.59400,  3.16000,99.75039
 50.62700,  3.16667,99.75033
 50.66000,  3.17333,99.74930
 50.69200,  3.18000,99.74924
 50.72600,  3.18667,99.74917
 50.75800,  3.19333,99.74862
 50.79200,  3.20000,99.74855
 50.82500,  3.20667,99.74847
 50.85900,  3.21333,99.74840
 50.89200,  3.22000,99.74786
 50.92600,  3.22667,99.74780
 50.95900,  3.23333,99.74774
 50.99100,  3.24000,99.74769
 51.02400,  3.24667,99.74716
 51.05700,  3.25333,99.74710
 51.09200,  3.26000,99.74704
 51.12500,  3.26667,99.74603
 51.15700,  3.27333,99.74597
 51.19100,  3.28000,99.74545
 51.22500,  3.28667,99.74541
 51.25800,  3.29333,99.74490
 51.28900,  3.30000,99.74440
 51.32300,  3.30667,99.74438
 51.35300,  3.31333,99.74340
 51.38800,  3.32000,99.74288
 51.42100,  3.32667,99.74284
 51.45200,  3.33333,99.74231
 51.48700,  3.34000,99.74176
 51.52000,  3.34667,99.74074
 51.55700,  3.35333,99.74020
 51.58700,  3.36000,99.74015
 51.62200,  3.36667,99.73962
 51.65400,  3.37333,99.73910
 51.68800,  3.38000,99.73906
 51.72100,  3.38667,99.73806
 51.75300,  3.39333,99.73802
 51.78900,  3.40000,99.73798
 51.82100,  3.40667,99.73746
 51.85300,  3.41333,99.73742
 51.88800,  3.42000,99.73691
 51.92200,  3.42667,99.73688
 51.95100,  3.43333,99.73684
 51.98700,  3.44000,99.73680
 52.02000,  3.44667,99.73628
 52.05300,  3.45333,99.73623
 52.08700,  3.46000,99.73618
 52.12000,  3.46667,99.73612
 52.15400,  3.47333,99.73511
 52.18900,  3.48000,99.73506
 52.22100,  3.48667,99.73502
 52.25700,  3.49333,99.73499
 52.28800,  3.50000,99.73448
 52.32000,  3.50667,99.73446
 52.35300,  3.51333,99.73443
 52.39000,  3.52000,99.73393
 52.42000,  3.52667,99.73341
 52.45200,  3.53333,99.73338
 52.48700,  3.54000,99.73237
 52.52000,  3.54667,99.73231
 52.55500,  3.55333,99.73177
 52.59100,  3.56000,99.73172
 52.62100,  3.56667,99.73119
 52.65500,  3.57333,99.73115
 52.69200,  3.58000,99.73063
 52.72300,  3.58667,99.73059
 52.75500,  3.59333,99.72959
 52.79100,  3.60000,99.72954
 52.82300,  3.60667,99.72948
 52.85900,  3.61333,99.72895
 52.89300,  3.62000,99.72890
 52.92700,  3.62667,99.72885
 52.96000,  3.63333,99.72834
 52.99300,  3.64000,99.72830
 53.02600,  3.64667,99.72826
 53.06100,  3.65333,99.72822
 53.09500,  3.66000,99.72818
 53.12800,  3.66667,99.72766
 53.16400,  3.67333,99.72761
 53.19400,  3.68000,99.72756
 53.22900,  3.68667,99.72750
 53.26500,  3.69333,99.72648
 53.30000,  3.70000,99.72643
 53.33400,  3.70667,99.72638
 53.36600,  3.71333,99.72585
 53.40100,  3.72000,99.72582
 53.43600,  3.72667,99.72578
 53.46900,  3.73333,99.72526
 53.50200,  3.74000,99.72522
 53.53500,  3.74667,99.72469
 53.57100,  3.75333,99.72368
 53.60600,  3.76000,99.72363
 53.64200,  3.76667,99.72359
 53.67200,  3.77333,99.72307
 53.70700,  3.78000,99.72257
 53.74300,  3.78667,99.72254
 53.77400,  3.79333,99.72204
 53.80900,  3.80000,99.72106
 53.84300,  3.80667,99.72103
 53.87500,  3.81333,99.72051
 53.90700,  3.82000,99.71998
 53.94700,  3.82667,99.71993
 53.97900,  3.83333,99.71988
 54.01400,  3.84000,99.71935
 54.04800,  3.84667,99.71931
 54.08100,  3.85333,99.71831
 54.11500,  3.86000,99.71827
 54.15000,  3.86667,99.71822
 54.18500,  3.87333,99.71818
 54.21900,  3.88000,99.71814
 54.25200,  3.88667,99.71810
 54.28800,  3.89333,99.71759
 54.32000,  3.90000,99.71755
 54.35400,  3.90667,99.71751
 54.39000,  3.91333,99.71747
 54.42400,  3.92000,99.71743
 54.45900,  3.92667,99.71739
 54.49000,  3.93333,99.71736
 54.52700,  3.94000,99.71684
 54.56000,  3.94667,99.71680
 54.59600,  3.95333,99.71629
 54.62900,  3.96000,99.71627
 54.66100,  3.96667,99.71529
 54.69800,  3.97333,99.71527
 54.73000,  3.98000,99.71477
 54.76300,  3.98667,99.71474
 54.79800,  3.99333,99.71423
 54.83100,  4.00000,99.71419
 54.86700,  4.00667,99.71367
 54.90100,  4.01333,99.71363
 54.93600,  4.02000,99.71264
 54.96700,  4.02667,99.71260
 55.00300,  4.03333,99.71257
 55.03800,  4.04000,99.71206
 55.07200,  4.04667,99.71204
 55.10500,  4.05333,99.71202
 55.14000,  4.06000,99.71200
 55.17100,  4.06667,99.71199
 55.20400,  4.07333,99.71149
 55.24200,  4.08000,99.71147
 55.27500,  4.08667,99.71145
 55.30600,  4.09333,99.71144
 55.34100,  4.10000,99.71142
 55.37200,  4.10667,99.71140
 55.40900,  4.11333,99.71088
 55.44100,  4.12000,99.71084
 55.47900,  4.12667,99.71080
 55.50900,  4.13333,99.71077
 55.54400,  4.14000,99.70977
 55.57800,  4.14667,99.70974
 55.61500,  4.15333,99.70970
 55.64500,  4.16000,99.70967
 55.68000,  4.16667,99.70916
 55.71500,  4.17333,99.70913
 55.74700,  4.18000,99.70861
 55.78200,  4.18667,99.70857
 55.81800,  4.19333,99.70853
 55.85000,  4.20000,99.70801
 55.88500,  4.20667,99.70797
 55.91900,  4.21333,99.70792
 55.95300,  4.22000,99.70692
 55.98800,  4.22667,99.70641
 56.02400,  4.23333,99.70591
 56.05600,  4.24000,99.70446
 56.08800,  4.24667,99.70349
 56.12200,  4.25333,99.70300
 56.15400,  4.26000,99.70201
 56.19100,  4.26667,99.70149
 56.22300,  4.27333,99.70144
 56.25900,  4.28000,99.70139
 56.29500,  4.28667,99.70135
 56.32900,  4.29333,99.70133
 56.36100,  4.30000,99.70131
 56.39300,  4.30667,99.70130
 56.42800,  4.31333,99.70176
 56.46100,  4.32000,99.70173
 56.49700,  4.32667,99.70170
 56.52900,  4.33333,99.70168
 56.56500,  4.34000,99.70118
 56.59700,  4.34667,99.70117
 56.62900,  4.35333,99.70115
 56.66400,  4.36000,99.70065
 56.69700,  4.36667,99.70063
 56.73300,  4.37333,99.70060
 56.76400,  4.38000,99.70056
 56.79800,  4.38667,99.70053
 56.83500,  4.39333,99.70098
 56.86600,  4.40000,99.70096
 56.90300,  4.40667,99.70094
 56.93200,  4.41333,99.70142
 56.96700,  4.42000,99.70141
 57.00100,  4.42667,99.70140
 57.03200,  4.43333,99.70138
 57.06500,  4.44000,99.70135
 57.10300,  4.44667,99.70132
 57.13400,  4.45333,99.70081
 57.16800,  4.46000,99.70078
 57.20100,  4.46667,99.70027
 57.23600,  4.47333,99.70024
 57.26800,  4.48000,99.69972
 57.30400,  4.48667,99.69969
 57.33700,  4.49333,99.69870
 57.37100,  4.50000,99.69819
 57.40200,  4.50667,99.69768
 57.43800,  4.51333,99.69716
 57.47200,  4.52000,99.69616
 57.50500,  4.52667,99.69612
 57.54200,  4.53333,99.69560
 57.57200,  4.54000,99.69557
 57.60800,  4.54667,99.69506
 57.64100,  4.55333,99.69503
 57.67400,  4.56000,99.69500
 57.70800,  4.56667,99.69449
 57.74400,  4.57333,99.69446
 57.77600,  4.58000,99.69444
 57.80900,  4.58667,99.69442
 57.84400,  4.59333,99.69441
 57.87600,  4.60000,99.69439
 57.90800,  4.60667,99.69438
 57.94400,  4.61333,99.69436
 57.97700,  4.62000,99.69435
 58.00700,  4.62667,99.69432
 58.04400,  4.63333,99.69430
 58.07600,  4.64000,99.69331
 58.11100,  4.64667,99.69327
 58.14300,  4.65333,99.69323
 58.17800,  4.66000,99.69319
 58.21100,  4.66667,99.69315
 58.24600,  4.67333,99.69263
 58.28200,  4.68000,99.69260
 58.31100,  4.68667,99.69209
 58.34700,  4.69333,99.69207
 58.38000,  4.70000,99.69156
 58.41300,  4.70667,99.69154
 58.44800,  4.71333,99.69055
 58.48100,  4.72000,99.69053
 58.51300,  4.72667,99.69002
 58.54800,  4.73333,99.68999
 58.58300,  4.74000,99.68948
 58.61300,  4.74667,99.68945
 58.64900,  4.75333,99.68940
 58.68200,  4.76000,99.68936
 58.71800,  4.76667,99.68884
 58.75100,  4.77333,99.68880
 58.78600,  4.78000,99.68877
 58.81700,  4.78667,99.68875
 58.85200,  4.79333,99.68778
 58.88400,  4.80000,99.68776
 58.91900,  4.80667,99.68775
 58.95200,  4.81333,99.68774
 58.98400,  4.82000,99.68773
 59.01700,  4.82667,99.68771
 59.05000,  4.83333,99.68722
 59.08500,  4.84000,99.68720
 59.11800,  4.84667,99.68718
 59.15100,  4.85333,99.68717
 59.18300,  4.86000,99.68715
 59.21500,  4.86667,99.68712
 59.25000,  4.87333,99.68709
 59.28500,  4.88000,99.68704
 59.31800,  4.88667,99.68701
 59.35200,  4.89333,99.68697
 59.38500,  4.90000,99.68646
 59.41700,  4.90667,99.68642
 59.45300,  4.91333,99.68639
 59.48700,  4.92000,99.68635
 59.51900,  4.92667,99.68632
 59.55200,  4.93333,99.68581
 59.58700,  4.94000,99.68579
 59.62200,  4.94667,99.68577
 59.65300,  4.95333,99.68576
 59.68400,  4.96000,99.68574
 59.71800,  4.96667,99.68475
 59.75500,  4.97333,99.68472
 59.78600,  4.98000,99.68469
 59.81900,  4.98667,99.68418
 59.85600,  4.99333,99.68416
 59.88500,  5.00000,99.68414
 59.91900,  5.00667,99.68411
 59.95300,  5.01333,99.68360
 59.98700,  5.02000,99.68356
 60.02000,  5.02667,99.68352
 60.05500,  5.03333,99.68349
 60.08700,  5.04000,99.68346
 60.12300,  5.04667,99.68296
 60.15200,  5.05333,99.68293
 60.19000,  5.06000,99.68291
 60.21900,  5.06667,99.68289
 60.25500,  5.07333,99.68287
 60.28700,  5.08000,99.68286
 60.32200,  5.08667,99.68189
 60.35300,  5.09333,99.68189
 60.38500,  5.10000,99.68190
 60.42000,  5.10667,99.68190
 60.44900,  5.11333,99.68142
 60.48400,  5.12000,99.68141
 60.51400,  5.12667,99.68139
 60.55000,  5.13333,99.68088
 60.58200,  5.14000,99.68085
 60.61500,  5.14667,99.68032
 60.65000,  5.15333,99.68028
 60.68400,  5.16000,99.67929
 60.71500,  5.16667,99.67925
 60.75000,  5.17333,99.67874
 60.78400,  5.18000,99.67872
 60.81400,  5.18667,99.67869
 60.85000,  5.19333,99.67819
 60.88100,  5.20000,99.67815
 60.91500,  5.20667,99.67812
 60.95000,  5.21333,99.67760
 60.98200,  5.22000,99.67756
 61.01500,  5.22667,99.67752
 61.05000,  5.23333,99.67653
 61.08400,  5.24000,99.67651
 61.11400,  5.24667,99.67647
 61.14900,  5.25333,99.67644
 61.18200,  5.26000,99.67592
 61.21500,  5.26667,99.67587
 61.25200,  5.27333,99.67535
 61.28300,  5.28000,99.67531
 61.31600,  5.28667,99.67480
 61.35300,  5.29333,99.67477
 61.38200,  5.30000,99.67475
 61.41700,  5.30667,99.67378
 61.45000,  5.31333,99.67376
 61.48400,  5.32000,99.67375
 61.51500,  5.32667,99.67374
 61.54800,  5.33333,99.67325
 61.58200,  5.34000,99.67323
 61.61200,  5.34667,99.67320
 61.64900,  5.35333,99.67269
 61.67900,  5.36000,99.67264
 61.71700,  5.36667,99.67212
 61.74800,  5.37333,99.67209
 61.78300,  5.38000,99.67110
 61.81500,  5.38667,99.67108
 61.84800,  5.39333,99.67107
 61.88000,  5.40000,99.67057
 61.91400,  5.40667,99.67056
 61.94800,  5.41333,99.67054
 61.97700,  5.42000,99.67005
 62.01400,  5.42667,99.67004
 62.04600,  5.43333,99.66955
 62.07800,  5.44000,99.66954
 62.10900,  5.44667,99.66856
 62.14200,  5.45333,99.66805
 62.17600,  5.46000,99.66801
 62.21200,  5.46667,99.66797
