##Temp./°C,Time/min,DSC/(mW/mg),Sensit./(uV/mW)
181.00000,30.19838,-0.14905,3.13322
182.00000,30.39838,-0.14847,3.13028
183.00000,30.59838,-0.14763,3.12734
184.00000,30.79840,-0.14737,3.12438
185.00000,30.99834,-0.14669,3.12141
186.00000,31.19829,-0.14617,3.11844
187.00000,31.39834,-0.14573,3.11545
188.00000,31.59835,-0.14502,3.11246
189.00000,31.79832,-0.14470,3.10945
190.00000,31.99834,-0.14413,3.10644
191.00000,32.19837,-0.14385,3.10341
192.00000,32.39834,-0.14319,3.10038
193.00000,32.59829,-0.14226,3.09734
194.00000,32.79826,-0.14140,3.09429
195.00000,32.99832,-0.14066,3.09123
196.00000,33.19838,-0.13987,3.08816
197.00000,33.39832,-0.13913,3.08509
198.00000,33.59828,-0.13919,3.08201
199.00000,33.79831,-0.13824,3.07892
200.00000,33.99834,-0.13761,3.07582
