config.b190k1680mu0700j02s16t08,
   0   8   5   0, -0.28074173806326335745
   0   8   6   0,  -0.8893616168621534257
   0   8   7   0, -0.97256649233998770931
   0   8   8   0, -0.35276527674017921221
   0   8   9   0,-0.074555893317633556427
   0   8  10   0,-0.0085801829640329459192
   0   8  11   0,0.0045768940812598987375
   0   8  12   0,0.0059994152676824240994
   0   8  13   0,0.0043303846443200483263
   0   8  14   0,0.0026210642460512858891
   0   8  15   0,0.0016025328828817432363
   0   9   0   0,0.0062042810279293626741
   0   9   1   0,0.0037051959371668043326
   0   9   2   0, 0.002006556203202679127
   0   9   3   0,-0.0046342614347947286291
   0   9   4   0,-0.047534790666005549697
   0   9   5   0, -0.25448265954518461962
   0   9   6   0, -0.79609584936167232527
   0   9   7   0, -0.84841911470816588903
   0   9   8   0, -0.29112230599657740182
   0   9   9   0,-0.050374874002905717374
   0   9  10   0,2.4996303794477207211e-05
   0   9  11   0,0.0073134353827509230445
   0   9  12   0,0.0074577135541911586045
   0   9  13   0,0.0068445555413158389382
   0   9  14   0,0.0070875117000318964972
   0   9  15   0,0.0070878069667615166416
   0  10   0   0, 0.023222443877182790545
   0  10   1   0, 0.010350329196336745599
   0  10   2   0,0.0066781857298347339913
   0  10   3   0,0.0038449629675576498314
   0  10   4   0, -0.01664727793886859597
   0  10   5   0, -0.09359022606752195883
   0  10   6   0, -0.22871401006272878975
   0  10   7   0, -0.18557741069504482545
   0  10   8   0,-0.022294872447338447835
   0  10   9   0,  0.02217051256124531744
   0  10  10   0, 0.018153442809112192713
   0  10  11   0, 0.014871306542223872507
   0  10  12   0, 0.018714136284317398756
   0  10  13   0, 0.030143018490152533734
   0  10  14   0, 0.043435943875023932947
   0  10  15   0,  0.03994335564032756164
   0  11   0   0, 0.091710069967899043863
   0  11   1   0, 0.034690632027829987338
   0  11   2   0, 0.027800522725393683743
   0  11   3   0, 0.033277228688844723292
   0  11   4   0, 0.024636741234559611513
   0  11   5   0, 0.018377884671020777718
   0  11   6   0,  0.07343591374486629908
   0  11   7   0,  0.19392597885891518783
   0  11   8   0,  0.19189802803781719209
   0  11   9   0, 0.091132680549841207918
   0  11  10   0, 0.036157461753509645419
   0  11  11   0, 0.031713344252688728531
   0  11  12   0, 0.068396747002948815597
   0  11  13   0,  0.16715913823325814769
   0  11  14   0,  0.28562582261617963653
   0  11  15   0,  0.22365351797032340109
   0  12   0   0,   0.2494421301506664912
   0  12   1   0,   0.1035277498448098632
   0  12   2   0,  0.11014701625605151369
   0  12   3   0,  0.13993955624809215066
   0  12   4   0,  0.10707034577144899923
   0  12   5   0, 0.090271772616290463231
   0  12   6   0,  0.18502846214223012122
   0  12   7   0,  0.33646859376554677512
   0  12   8   0,  0.28221349478518903409
   0  12   9   0,  0.11495515386684460046
   0  12  10   0, 0.042374934000292942271
   0  12  11   0, 0.058407718532013777613
   0  12  12   0,  0.19104740462557343039
   0  12  13   0,  0.60911041139434440872
   0  12  14   0,   1.1751786311807650431
   0  12  15   0,  0.76380816700003528741
   0  13   0   0,  0.23483531690249304091
   0  13   1   0,  0.14429281943046334824
   0  13   2   0,  0.22321571736041045941
   0  13   3   0,   0.2839246957200882715
   0  13   4   0,  0.18351307945640144004
   0  13   5   0,  0.10659463437280849996
   0  13   6   0,  0.14829919639707284107
   0  13   7   0,  0.23500877285798579819
   0  13   8   0,  0.18528055743821100765
   0  13   9   0,  0.07223006515663278615
   0  13  10   0, 0.032190039474552158139
   0  13  11   0, 0.071939914093017684471
   0  13  12   0,  0.26380060677486971699
   0  13  13   0,  0.80351890467183717526
   0  13  14   0,   1.3110033012102719763
   0  13  15   0,   0.7021211619115281799
   0  14   0   0, 0.085428795421632647278
   0  14   1   0, 0.084810235909965503431
   0  14   2   0,  0.16624341503171280454
   0  14   3   0,  0.19841538397844302177
   0  14   4   0,  0.11346686718912138425
   0  14   5   0, 0.052436170538729620638
   0  14   6   0, 0.060321119085615174105
   0  14   7   0, 0.090785973397635666426
   0  14   8   0, 0.074347821554016008117
   0  14   9   0, 0.041406566099136475623
   0  14  10   0, 0.042541578231636609231
   0  14  11   0, 0.089425049054283001215
   0  14  12   0,  0.23016172437923471117
   0  14  13   0,  0.47203406116793866776
   0  14  14   0,  0.51697674852253849842
   0  14  15   0,  0.23454032424187754025
   0  15   0   0, 0.023682373951880612145
   0  15   1   0, 0.030363937820472690354
   0  15   2   0, 0.057756140040449044371
   0  15   3   0, 0.056085181588311487644
   0  15   4   0, 0.021794949910410636729
   0  15   5   0,0.0041101685880109203181
   0  15   6   0, 0.013530324827306216412
   0  15   7   0, 0.033909395017452013954
   0  15   8   0, 0.050928416634196824186
   0  15   9   0, 0.080426783021346759384
   0  15  10   0,  0.12551610637294877137
   0  15  11   0,  0.17453921772667430057
   0  15  12   0,  0.24299328029556677144
   0  15  13   0,  0.27882379404590529326
   0  15  14   0,  0.19294726149797269965
   0  15  15   0,  0.06911864134182121866
   1   0   0   0, 0.021084648478894192636
   1   0   1   0,0.0090657019549463778441
   1   0   2   0, 0.001515714609176264157
   1   0   3   0,-0.0094659572636359087805
   1   0   4   0, -0.02016308660789356208
   1   0   5   0,-0.023522932185219405654
   1   0   6   0,-0.014690564729360245516
   1   0   7   0,   0.0139491026958926366
   1   0   8   0, 0.075251840378463927261
   1   0   9   0,  0.19287428748838780779
   1   0  10   0,  0.33494089126418608027
   1   0  11   0,  0.43767228286625897704
   1   0  12   0,  0.43232444913196943492
   1   0  13   0,  0.29254557994574492685
   1   0  14   0,  0.14455562205336125459
   1   0  15   0, 0.054632556273234961219
   1   1   0   0, 0.022463112322563504042
   1   1   1   0,0.0077697844125910794227
   1   1   2   0,-0.0029963119254418240679
   1   1   3   0,-0.013716972870510992302
   1   1   4   0,-0.021238291608390982845
   1   1   5   0,-0.022355203864639263539
   1   1   6   0,-0.016635899102134907301
   1   1   7   0,0.0017130433274743872649
   1   1   8   0, 0.046115236684953736512
   1   1   9   0,  0.15764120445508733592
   1   1  10   0,  0.43905263703156022226
   1   1  11   0,  0.99426147340466586311
   1   1  12   0,   1.1065364145336733515
   1   1  13   0,  0.50273822169832582674
   1   1  14   0,  0.15938384934559415851
   1   1  15   0, 0.054615381919977924741
   1   2   0   0, 0.028743280717547475822
   1   2   1   0,  0.01262527871685463661
   1   2   2   0,-0.00073845804860213186405
   1   2   3   0,-0.011801549774949007462
   1   2   4   0,-0.017825546181098547022
   1   2   5   0,-0.016904462228163986276
   1   2   6   0, -0.01151798188123995606
   1   2   7   0,-0.0011647006270564324529
   1   2   8   0, 0.024437426357891804674
   1   2   9   0,  0.12099955142267151964
   1   2  10   0,  0.57574175307462716056
   1   2  11   0,   2.0427256494197254533
   1   2  12   0,   2.4692469922590207787
   1   2  13   0,  0.84843133228834299864
   1   2  14   0,  0.18739022173750899403
   1   2  15   0, 0.057541924099698604778
   1   3   0   0, 0.030766252265495709628
   1   3   1   0, 0.017407871169381913118
   1   3   2   0,0.0031518116470321128064
   1   3   3   0,-0.0081129084121202392488
   1   3   4   0,-0.014414565038684660353
   1   3   5   0,-0.014086492997069852834
   1   3   6   0,-0.0089243379988662649427
   1   3   7   0,-0.0006087809788720740644
   1   3   8   0, 0.017586546944993584896
   1   3   9   0, 0.093467772811587607196
   1   3  10   0,  0.47665899459877186795
   1   3  11   0,   1.6983769726885453721
   1   3  12   0,   1.9655302443258944045
   1   3  13   0,  0.63808702531340011355
   1   3  14   0,   0.1257447468352264619
   1   3  15   0, 0.041845780427715369154
   1   4   0   0,  0.02386742484611974191
   1   4   1   0,  0.01438961920587858434
   1   4   2   0,0.0030043286226426320178
   1   4   3   0,-0.0058977273438347403711
   1   4   4   0,-0.012069066203588156572
   1   4   5   0,-0.014347953706077552424
   1   4   6   0,-0.011677060407979601014
   1   4   7   0,-0.0040566919979332692961
   1   4   8   0, 0.010186429125061596812
   1   4   9   0, 0.050474377431036401842
   1   4  10   0,  0.19513513955552172496
   1   4  11   0,  0.52338180362446895533
   1   4  12   0,  0.56030486943325397142
   1   4  13   0,   0.2162149673022559504
   1   4  14   0, 0.052101677090285292149
   1   4  15   0, 0.024631706211153764352
   1   5   0   0, 0.011943484055527453166
   1   5   1   0,0.0059626886023715266333
   1   5   2   0,-8.6312263712256089357e-05
   1   5   3   0,-0.0050664070905728601779
   1   5   4   0,-0.010825175112369720548
   1   5   5   0,-0.017717006992325257109
   1   5   6   0,-0.021559801969341218369
   1   5   7   0,-0.015902903438992390533
   1   5   8   0,-0.0022906124140840648101
   1   5   9   0, 0.018036857942513494224
   1   5  10   0, 0.058323475328384333238
   1   5  11   0,  0.11829405954009430957
   1   5  12   0,  0.12001559704278301488
   1   5  13   0, 0.059287164057679489493
   1   5  14   0, 0.022297460638050457804
   1   5  15   0, 0.014182107026887803836
   1   6   0   0,0.0038737803162850184199
   1   6   1   0,0.00078417268786290799006
   1   6   2   0,-0.001521928921775616856
   1   6   3   0,-0.0043194015912406211882
   1   6   4   0, -0.01192639237525369017
   1   6   5   0,-0.029211680773522923082
   1   6   6   0,-0.050057406312209368204
   1   6   7   0,-0.047973612966630156673
   1   6   8   0,-0.023289160133990308155
   1   6   9   0,-0.00090628922458008695853
   1   6  10   0, 0.016697927373222651998
   1   6  11   0,   0.0307689839359824302
   1   6  12   0, 0.030934589548912608259
   1   6  13   0, 0.019314157491878748002
   1   6  14   0, 0.010436476270010517503
   1   6  15   0,0.0067212839395950664534
   1   7   0   0,0.0016864919087645844492
   1   7   1   0,0.00019301505763007187864
   1   7   2   0,-0.00093559375324594421398
   1   7   3   0,-0.0043504927884308614711
   1   7   4   0,-0.018621084080050306214
   1   7   5   0,-0.061376263586405480077
   1   7   6   0, -0.13088878641027718031
   1   7   7   0, -0.13586138468914565891
   1   7   8   0,-0.066702958653990729321
   1   7   9   0,-0.017356458183848254284
   1   7  10   0,0.0037735981902464561452
   1   7  11   0, 0.011976299014750401567
   1   7  12   0, 0.012598599502412847692
   1   7  13   0,0.0090031054306630078216
   1   7  14   0,0.0055460658196163793027
   1   7  15   0,0.0032584762387272920084
   1   8   0   0,0.0043258696702919352192
   1   8   1   0,0.0026124822894202166974
   1   8   2   0,0.0008975105138041264332
   1   8   3   0,-0.0045615886384629674918
   1   8   4   0,-0.028243108413439323851
   1   8   5   0,  -0.1094145810134704716
   1   8   6   0, -0.26530631389604120152
   1   8   7   0,  -0.2795535102362788904
   1   8   8   0, -0.12420935572957594872
   1   8   9   0,-0.030282460160974404573
   1   8  10   0,0.00026922893155543916981
   1   8  11   0,0.0081686168541548320049
   1   8  12   0,0.0088819664890002203439
   1   8  13   0,0.0071338824545976670458
   1   8  14   0,0.0056350470737384344283
   1   8  15   0,0.0047470388539084026197
   1   9   0   0,   0.0144589975497616402
   1   9   1   0, 0.007722247873948311081
   1   9   2   0,0.0038920394754724889873
   1   9   3   0,-0.0022399317172713804382
   1   9   4   0,-0.026710509576150717748
   1   9   5   0, -0.10836157440753754755
   1   9   6   0, -0.25859780336434345926
   1   9   7   0, -0.26131840097347225349
   1   9   8   0, -0.10431489588861100892
   1   9   9   0,-0.017426492662674743228
   1   9  10   0,0.0057622132168530819027
   1   9  11   0,0.0097839467884861270469
   1   9  12   0,  0.01052205738552131585
   1   9  13   0, 0.012238940756496010168
   1   9  14   0,  0.01640288297785277849
   1   9  15   0, 0.018262100381449930531
   1  10   0   0, 0.054078527298661034639
   1  10   1   0, 0.018154091988966378213
   1  10   2   0,0.0076576999578555167078
   1  10   3   0,0.0028082887202829052986
   1  10   4   0,-0.012410424969685461896
   1  10   5   0,-0.050979571115955774063
   1  10   6   0, -0.09516417867979340417
   1  10   7   0,-0.060093595357363457921
   1  10   8   0,  0.01005184862782779881
   1  10   9   0,   0.0266858826698635615
   1  10  10   0, 0.019864093981051027943
   1  10  11   0,  0.01636607778630196075
   1  10  12   0, 0.024585526512347254807
   1  10  13   0, 0.054084573236978863986
   1  10  14   0,  0.10370710536261271151
   1  10  15   0,  0.10639916088203210665
   1  11   0   0,  0.21980677009301846647
   1  11   1   0, 0.044309435475525800474
   1  11   2   0, 0.014581105201743512975
   1  11   3   0,  0.01296663849866129016
   1  11   4   0,0.0069397363432184139276
   1  11   5   0,0.0053762039656751374819
   1  11   6   0, 0.044669277211622754331
   1  11   7   0,  0.12693216555955266767
   1  11   8   0,  0.13960052144168946797
   1  11   9   0,  0.07993265361549983794
   1  11  10   0,  0.03679632945658270482
   1  11  11   0, 0.033347015043391374511
   1  11  12   0, 0.096649063898732748279
   1  11  13   0,  0.34746498342902909506
   1  11  14   0,  0.84721249334548387466
   1  11  15   0,  0.71579121258278011197
   1  12   0   0,  0.55204083342566589998
   1  12   1   0,  0.08716960546892352224
   1  12   2   0, 0.032257743119345996807
   1  12   3   0, 0.037010544203464543211
   1  12   4   0, 0.032671953607296216893
   1  12   5   0, 0.042311825875100531058
   1  12   6   0,   0.1146765164011918775
   1  12   7   0,   0.2225248314986717213
   1  12   8   0,  0.20963323610052425616
   1  12   9   0,  0.10647823592995570019
   1  12  10   0, 0.045866146071969413067
   1  12  11   0, 0.064572842023489923635
   1  12  12   0,  0.30499152576122556813
   1  12  13   0,   1.5160287138251811179
   1  12  14   0,   4.4808368187840823538
   1  12  15   0,   2.8247036856808453997
   1  13   0   0,  0.37381320235970982857
   1  13   1   0, 0.078835122612636643336
   1  13   2   0, 0.051505470436617725727
   1  13   3   0, 0.060400633316912602511
   1  13   4   0, 0.046418491134002815013
   1  13   5   0,  0.04359688235572804077
   1  13   6   0, 0.095205197485249332123
   1  13   7   0,  0.17292195792729125881
   1  13   8   0,  0.16142711751880561843
   1  13   9   0, 0.085224370867536092256
   1  13  10   0, 0.042391456253655042385
   1  13  11   0, 0.079824219598058701597
   1  13  12   0,  0.39857158330016662084
   1  13  13   0,   1.7638669290730475403
   1  13  14   0,   3.9384079727178979979
   1  13  15   0,   1.8892964058146921591
   1  14   0   0,  0.11005272811648207643
   1  14   1   0, 0.041109367970830770767
   1  14   2   0, 0.041126145439052463892
   1  14   3   0, 0.041578500470950491286
   1  14   4   0, 0.023299484184963699385
   1  14   5   0, 0.014680136350599136408
   1  14   6   0, 0.039421645889062210955
   1  14   7   0, 0.083208532070998070251
   1  14   8   0, 0.094383173826481744917
   1  14   9   0, 0.077238299480564015509
   1  14  10   0, 0.066317461551389914054
   1  14  11   0, 0.095723399630937303084
   1  14  12   0,  0.28032585835612150449
   1  14  13   0,  0.74900640189626765952
   1  14  14   0,  0.98914130300065439272
   1  14  15   0,  0.42824528429488895043
   1  15   0   0, 0.035418405295428501134
   1  15   1   0,  0.01966606312294293113
   1  15   2   0, 0.017894400809023082444
   1  15   3   0,0.0096723548527891597959
   1  15   4   0,-0.0041608299764112292168
   1  15   5   0,-0.0085997807517795409743
   1  15   6   0,0.0065012545280107511547
   1  15   7   0, 0.040822428326865743686
   1  15   8   0, 0.085349236974186601379
   1  15   9   0,  0.14321768411786872655
   1  15  10   0,  0.18460218371943415416
   1  15  11   0,  0.19953487751951332063
   1  15  12   0,  0.25760752710881112959
   1  15  13   0,   0.3330273611028559122
   1  15  14   0,  0.26494226313603752576
   1  15  15   0,  0.10531527073293051044
   2   0   0   0, 0.028448339324268843986
   2   0   1   0, 0.014085355307592696897
   2   0   2   0,0.0026393518975868089822
   2   0   3   0,-0.0082849683822229895636
   2   0   4   0,-0.018954616003015675035
   2   0   5   0,-0.030723141456820632356
   2   0   6   0, -0.03434057142769715576
   2   0   7   0,-0.0018232134728434154242
   2   0   8   0, 0.064968776375494655118
   2   0   9   0,  0.15157195846030777076
   2   0  10   0,  0.22327524396695047626
   2   0  11   0,  0.26901584192666894157
   2   0  12   0,  0.24209817227301055897
   2   0  13   0,  0.15384591816215406612
   2   0  14   0, 0.090528590400522412907
   2   0  15   0, 0.049240060476000921397
   2   1   0   0, 0.034994673550611546387
   2   1   1   0, 0.015945518958318739139
   2   1   2   0,1.2032941785020123682e-05
   2   1   3   0,-0.011311982192869270841
   2   1   4   0, -0.01800803658377231678
   2   1   5   0, -0.02564115164343544126
   2   1   6   0,-0.033040908743924783664
   2   1   7   0,-0.012493999733228941529
   2   1   8   0, 0.035788232499390462693
   2   1   9   0,  0.11439694035134062577
   2   1  10   0,  0.31077643590905179583
   2   1  11   0,  0.79279027441086413752
   2   1  12   0,  0.87184082747023761151
   2   1  13   0,  0.34788976211977856723
   2   1  14   0,  0.11067788017061028216
   2   1  15   0, 0.055264153024659756763
   2   2   0   0, 0.064652238328780947674
   2   2   1   0, 0.037476618326310676133
   2   2   2   0,0.0099497989114869268834
   2   2   3   0,-0.007128572408282518591
   2   2   4   0,-0.013256290666349188068
   2   2   5   0,-0.013719630959977316409
   2   2   6   0,-0.014296632290612093508
   2   2   7   0,-0.0053117831935856696726
   2   2   8   0, 0.020813309616266258834
   2   2   9   0,   0.1045614423702915935
   2   2  10   0,  0.56526279093361642136
   2   2  11   0,   2.2731201497889248486
   2   2  12   0,    2.602272681519385511
   2   2  13   0,  0.73440247140916459223
   2   2  14   0,  0.13603751132969746362
   2   2  15   0, 0.069857280724719778009
   2   3   0   0,  0.10845983873304290701
   2   3   1   0, 0.070090724753322217189
   2   3   2   0, 0.026151781489252790003
   2   3   3   0,0.00091584941024782859365
   2   3   4   0,-0.0086200415502186780725
   2   3   5   0,-0.0079456320667703229932
   2   3   6   0,-0.0036461212641159547986
   2   3   7   0, 0.003805105156080215191
   2   3   8   0,  0.02343724611262129956
   2   3   9   0,  0.10869417345423712518
   2   3  10   0,  0.57548573910432720968
   2   3  11   0,   2.1593125434877915581
   2   3  12   0,   2.3032937371704735874
   2   3  13   0,  0.60500057640889415289
   2   3  14   0, 0.090378380484340811729
   2   3  15   0, 0.077318924145299450235
   2   4   0   0,  0.11172691925693348236
   2   4   1   0, 0.071175373873473501973
   2   4   2   0, 0.027937620105099952861
   2   4   3   0,0.0045557276539452424419
   2   4   4   0,-0.0051476195829436317136
   2   4   5   0,-0.0063810004856569620818
   2   4   6   0,-0.0028155905202753234509
   2   4   7   0,0.0042830819781308534372
   2   4   8   0, 0.019004899426724626565
   2   4   9   0, 0.066210354319754763375
   2   4  10   0,  0.24326768341573604126
   2   4  11   0,  0.65338606189691361692
   2   4  12   0,  0.65642719709662067373
   2   4  13   0,  0.22147427669676406081
   2   4  14   0, 0.056465087082268286545
   2   4  15   0, 0.078635730517662011385
   2   5   0   0, 0.054756266553843281619
   2   5   1   0, 0.034057047429626445545
   2   5   2   0, 0.013818724121945640329
   2   5   3   0,0.0025842673312315477333
   2   5   4   0,-0.0031825160270936344448
   2   5   5   0,-0.0061949230229455575295
   2   5   6   0,-0.0063999135460589126265
   2   5   7   0,-0.0019110685743756591556
   2   5   8   0,0.0078583867759330176817
   2   5   9   0, 0.027170517217240799934
   2   5  10   0, 0.071542722834830596579
   2   5  11   0,  0.13962734766958648236
   2   5  12   0,  0.13713217663371601862
   2   5  13   0, 0.067783510200995197859
   2   5  14   0, 0.036613832672133445056
   2   5  15   0, 0.047236675883988374358
   2   6   0   0, 0.015687912915794105517
   2   6   1   0,0.0093809373515267337196
   2   6   2   0,0.0042834756211737757409
   2   6   3   0,0.00099548405351696867341
   2   6   4   0,-0.0027648612310492578191
   2   6   5   0,-0.0089775738142503207911
   2   6   6   0,-0.015245537382262905335
   2   6   7   0,-0.013698072889493050769
   2   6   8   0,-0.0039217327473666562312
   2   6   9   0,0.0080883690737385792457
   2   6  10   0, 0.021727399288191669852
   2   6  11   0, 0.034504343629732613097
   2   6  12   0,   0.0339031951258633793
   2   6  13   0, 0.022850706064187611966
   2   6  14   0, 0.017000498844261253961
   2   6  15   0, 0.017323513269242959978
   2   7   0   0,0.0049768682254901445289
   2   7   1   0,0.0036850996401759346724
   2   7   2   0,0.0026709318881034237875
   2   7   3   0,0.0004764864350758071191
   2   7   4   0,-0.0057577903804613694838
   2   7   5   0,-0.019863342147170767737
   2   7   6   0,-0.037869689598220554472
   2   7   7   0,-0.038462651379092320514
   2   7   8   0,-0.019586622956314327787
   2   7   9   0,-0.0019313495170523856722
   2   7  10   0,0.0086591743843408876258
   2   7  11   0, 0.013883623102309766012
   2   7  12   0, 0.013777988366908057449
   2   7  13   0, 0.010466748919781016652
   2   7  14   0,0.0077697687059643562313
   2   7  15   0,0.0060553571468341714848
   2   8   0   0,0.0099440679966743307505
   2   8   1   0,0.0079004879552048053182
   2   8   2   0,0.0052082133523290493476
   2   8   3   0,0.00036343836009350080629
   2   8   4   0,-0.011367274968895163881
   2   8   5   0,-0.037782806396022640405
   2   8   6   0,-0.073670736128622710259
   2   8   7   0,-0.074731058607169581487
   2   8   8   0,-0.037424639200959890217
   2   8   9   0,-0.0075991713273336463502
   2   8  10   0,0.0057553409404670248517
   2   8  11   0, 0.010258290067413093974
   2   8  12   0,  0.01054669705839757568
   2   8  13   0,0.0091874434376314380313
   2   8  14   0,0.0087921390572645308215
   2   8  15   0, 0.009352572241774111117
   2   9   0   0, 0.035520113096769875827
   2   9   1   0, 0.021126152490633053754
   2   9   2   0, 0.010872030409718968363
   2   9   3   0,0.0021095725519956623831
   2   9   4   0,-0.013148963343971155002
   2   9   5   0,-0.043960085205469789926
   2   9   6   0,-0.082290993520218291835
   2   9   7   0,-0.078080442768697785882
   2   9   8   0,-0.033413483600856851152
   2   9   9   0,-0.002143375230550501314
   2   9  10   0,0.0089864475568506938657
   2   9  11   0, 0.011624612328544184359
   2   9  12   0, 0.012693359838869294753
   2   9  13   0, 0.016450835343688428869
   2   9  14   0, 0.027960121767904792811
   2   9  15   0, 0.039506842243911988177
   2  10   0   0,  0.13590098222729185551
   2  10   1   0, 0.053759134764041857646
   2  10   2   0, 0.020523303452213939591
   2  10   3   0,0.0066218008999798820199
   2  10   4   0,-0.0079259993125228370148
   2  10   5   0,-0.028908018302588898985
   2  10   6   0,-0.044420739373638412628
   2  10   7   0,-0.026797902427602320052
   2  10   8   0,0.0060016066491862963411
   2  10   9   0, 0.019272577566696345169
   2  10  10   0, 0.018234002731612877074
   2  10  11   0, 0.016156112783750595924
   2  10  12   0, 0.021927488003501260233
   2  10  13   0,  0.05184396248918439476
   2  10  14   0,  0.13974201793232005064
   2  10  15   0,  0.20767764048239259478
   2  11   0   0,  0.48727010841567758304
   2  11   1   0,   0.1224360979182854553
