Item Number,Item Description,Purchase Unit Size,Purchase Price,Minimum Usage Size size,units,fraction of whole,Minimum Usage Unit Cost,Number of Minimum Units Used,Total Item Cost
107.0,"tubing, steel",1 foot lengths,0.84,1.0,inches,0.08333333333333333,0.06999999999999999,,0.0
108.0,"tubing, aluminum",2 feet,0.6,1.0,foot,0.5,0.3,,0.0
109.0,"tubing, brass",1 foot lengths,0.75,1.0,foot,1.0,0.75,,0.0
110.0,"tubing, copper",50' long,11.91,1.0,foot,0.02,0.2382,,0.0
111.0,"twine, nylon",230' long,3.61,2.0,feet,0.008695652173913044,0.03139130434782609,,0.0
112.0,Velcro strip,one lengths,1.0,1.0,foot,1.0,1.0,,0.0
113.0,"Velcro, patches",package of 15,2.49,1.0,patches,0.06666666666666667,0.166,,0.0
114.0,"washers, lock",one,0.05,1.0,washer,1.0,0.05,,0.0
115.0,"wax, skating/skiing",one package,1.0,1.0,pack,1.0,1.0,,0.0
116.0,weather stripping,10 ft roll,3.89,1.0,ft,0.1,0.389,,0.0
117.0,wheels,1 truck,3.99,2.0,wheels,0.25,0.9975,,0.0
118.0,"wire, coat hanger",package of 10,0.1,1.0,hanger,0.1,0.010000000000000002,,0.0
119.0,"wood, balsa plank","3"" by 24""",1.98,1/4,plank,0.25,0.495,,0.0
120.0,"wood, plank",4 ' long,1.0,1.0,foot,0.25,0.25,,0.0
121.0,"Mylar, aluminum coated",Square meter sheet,2.88,1.0,sq m,1.0,2.88,,0.0
122.0,Oven/Turkey bags (Al foil),Package of 2,2.0,1.0,bag,0.5,1.0,,0.0
123.0,Aluminum foil,"roll, 300 sq. ft",3.5,6.0,sq. ft.,0.02,0.07,,0.0
124.0,Helium,Cubic foot,0.8,1.0,cu. ft.,1.0,0.8,,0.0
135.0,Tissue paper,18.05 square ft,1.79,9.025,sq. ft.,0.5,0.895,,0.0
