PAYMENT DATE,BUSINESS UNIT,PAYMENT TYPE,PAYEE,PAYMENT AMOUNT
2013-05-03 00:00:00,Non-Departmental GF L4,OTHER PROFESSIONAL SERVICES,"LEGENDS SALES & MARKETING, LLC",10833.33
2013-05-03 00:00:00,Non-Departmental GF L4,OTHER PROFESSIONAL SERVICES,"LEGENDS SALES & MARKETING, LLC",10833.33
2013-05-03 00:00:00,City Atty Office L4,POSTAGE & COURIERS,U S POSTAL SERVICE,5.8
2013-05-03 00:00:00,City Atty Office L4,ELECTRICITY,GEXA ENERGY,238.82
2013-05-03 00:00:00,Human Resources L4,POSTAGE & COURIERS,U S POSTAL SERVICE,6.06
2013-05-03 00:00:00,Human Resources L4,ELECTRICITY,GEXA ENERGY,384.39
2013-05-03 00:00:00,Muni Court Operations L4,POSTAGE & COURIERS,U S POSTAL SERVICE,1415.19
2013-05-03 00:00:00,Muni Court Operations L4,ELECTRICITY,GEXA ENERGY,3710.12
2013-05-03 00:00:00,Muni Court Judicial L4,OTHER PROFESSIONAL SERVICES,W. BRUCE WOODY,500
2013-05-03 00:00:00,Risk Admin L4,POSTAGE & COURIERS,U S POSTAL SERVICE,13.51
2013-05-03 00:00:00,Risk Admin L4,ELECTRICITY,GEXA ENERGY,33.3
2013-05-03 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,LLOYD GOSSELINK ROCHELLE &,2398.9
2013-05-03 00:00:00,Accounting L4,POSTAGE & COURIERS,U S POSTAL SERVICE,288.86
2013-05-03 00:00:00,Accounting L4,ELECTRICITY,GEXA ENERGY,202.66
2013-05-03 00:00:00,UCS and Rev Collection L4,POSTAGE & COURIERS,FEDERAL EXPRESS CORPORATION,5.92
2013-05-03 00:00:00,UCS and Rev Collection L4,POSTAGE & COURIERS,U S POSTAL SERVICE,1329.55
2013-05-03 00:00:00,UCS and Rev Collection L4,UNIFORMS & CLOTHING,KMC UNIFORMS INC.,125
2013-05-03 00:00:00,UCS and Rev Collection L4,ELECTRICITY,GEXA ENERGY,685.06
2013-05-03 00:00:00,Purchasing L4,POSTAGE & COURIERS,U S POSTAL SERVICE,3.04
2013-05-03 00:00:00,Purchasing L4,POSTAGE & COURIERS,U S POSTAL SERVICE,0
2013-05-03 00:00:00,Purchasing L4,ELECTRICITY,GEXA ENERGY,235.01
2013-05-03 00:00:00,General Services L4,ELECTRICITY,GEXA ENERGY,276.88
2013-05-03 00:00:00,Finance Admin L4,POSTAGE & COURIERS,U S POSTAL SERVICE,0.87
2013-05-03 00:00:00,Finance Admin L4,ELECTRICITY,GEXA ENERGY,150.33
2013-05-03 00:00:00,Budget MA L4,ELECTRICITY,GEXA ENERGY,165.56
2013-05-03 00:00:00,Information Technology L4,POSTAGE & COURIERS,U S POSTAL SERVICE,6.11
2013-05-03 00:00:00,Information Technology L4,OTHER PROFESSIONAL SERVICES,"PERCEPTIVE SOFTWARE, INC.",456.47
2013-05-03 00:00:00,Information Technology L4,ELECTRICITY,GEXA ENERGY,2208.48
2013-05-03 00:00:00,Facility Services L4,R/M SUP.-STRUCTURES,ENVIRONMENTAL SIGNAGE,110.54
2013-05-03 00:00:00,Facility Services L4,OTHER PROFESSIONAL SERVICES,THYSSENKRUPP ELEVATOR CORP,479.51
2013-05-03 00:00:00,Facility Services L4,ELECTRICITY,GEXA ENERGY,279.1
2013-05-03 00:00:00,Facility Services L4,ELECTRICITY,GEXA ENERGY,439.88
2013-05-03 00:00:00,Facility Services L4,ELECTRICITY,GEXA ENERGY,-0.02
2013-05-03 00:00:00,Marketing Services L4,POSTAGE & COURIERS,U S POSTAL SERVICE,6.82
2013-05-03 00:00:00,Marketing Services L4,ELECTRICITY,GEXA ENERGY,179.83
2013-05-03 00:00:00,Police Management Services,POSTAGE & COURIERS,U S POSTAL SERVICE,301.34000000000003
2013-05-03 00:00:00,Police Management Services,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,55.95
2013-05-03 00:00:00,Police Management Services,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,344.75
2013-05-03 00:00:00,Police Management Services,UNIFORMS & CLOTHING,"UNIFORMS, INC.",799.95
2013-05-03 00:00:00,Police Management Services,OTHER PROFESSIONAL SERVICES,"STANARD & ASSOCIATES, INC.",4772.25
2013-05-03 00:00:00,Police Management Services,ELECTRICITY,GEXA ENERGY,7358.97
2013-05-03 00:00:00,Police Operations L4,OFFICE SUPPLIES,"FONDREN FORENSICS, INC",150
2013-05-03 00:00:00,Police Operations L4,POSTAGE & COURIERS,U S POSTAL SERVICE,0.43
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,185.85
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,248.85
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,341.7
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,82.95
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,"UNIFORMS, INC.",799.95
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,165.9
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,66.95
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,248.85
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,66.95
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,452.65
