PEAK POWER,Peak Days,Days,Sat,Sun,Holidays,ON-PEAK Hrs,OFF-PEAK Hrs,7x8 Hrs,2x16 Hrs,Peak Contact,Off Peak Contract,Total Hrs,
2008-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2008-05-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2008-06-01 00:00:00,21,30,4,5,0,336,384,240,144,16800,19200,720,
2008-07-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2008-08-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2008-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2008-10-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2008-11-01 00:00:00,19,30,5,5,1,304,416,240,176,15200,20800,720,
2008-12-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2009-01-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2009-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2009-03-01 00:00:00,22,31,4,5,0,352,392,248,144,17600,19600,744,
2009-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2009-05-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2009-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2009-07-01 00:00:00,23,31,3,4,1,368,376,248,128,18400,18800,744,
2009-08-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2009-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2009-10-01 00:00:00,22,31,5,4,0,352,392,248,144,17600,19600,744,
2009-11-01 00:00:00,20,30,4,5,1,320,400,240,160,16000,20000,720,
2009-12-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2010-01-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2010-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2010-03-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2010-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2010-05-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2010-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2010-07-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2010-08-01 00:00:00,22,31,4,5,0,352,392,248,144,17600,19600,744,
2010-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2010-10-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2010-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2010-12-01 00:00:00,23,31,3,4,1,368,376,248,128,18400,18800,744,
2011-01-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2011-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2011-03-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2011-04-01 00:00:00,21,30,5,4,0,336,384,240,144,16800,19200,720,
2011-05-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2011-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2011-07-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2011-08-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2011-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2011-10-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2011-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
