College,,Dept,Dept Abbrv,,Degree Program,,,Major Abbrv,,Opt.,,Degree,,Level,,CIP
AGLS,,Entomology,ENTO,,ECONOMIC ENTOMOLOGY,,,ECEN,,,,MAGR,,3.0,,01110500
AGLS,,Rangeland Ecology & Mgmt,RLEM,,RANGELAND ECOLOGY & MANAGEMENT,,,RLEM,,,,[BS],,2.0,,01110600
AGLS,,Rangeland Ecology & Mgmt,RLEM,,,RGLN ECL & MGT-RANGELAND RESOURCES,,RLEM,,RRO,,BS,,2.0,,01110600
AGLS,,Rangeland Ecology & Mgmt,RLEM,,RANGELAND ECOLOGY & MANAGEMENT,,,RLEM,,,,MAGR,,3.0,,01110600
AGLS,,Rangeland Ecology & Mgmt,RLEM,,RANGELAND ECOLOGY & MANAGEMENT,,,RLEM,,,,MS,,3.0,,01110600
AGLS,,Rangeland Ecology & Mgmt,RLEM,,RANGELAND ECOLOGY & MANAGEMENT,,,RLEM,,,,PHD,,4.0,,01110600
AGLS,,Soil & Crop Sciences,SCSC,,SOIL SCIENCE,,,SOSC,,,,MS,,3.0,,01120100
AGLS,,Soil & Crop Sciences,SCSC,,SOIL SCIENCE,,,SOSC,,,,PHD,,4.0,,01120100
AGLS,,College Interdisciplinary,CLAG,,RENEWABLE NATURAL RESOURCES,,,RENR,,,,BS,,2.0,,03010100
AGLS,,College Interdisciplinary,CLAG,,NATURAL RESOURCES DEVELOPMENT,,,NRDV,,,,MAGR,,3.0,,03010100
AGLS,,Agricultrual Economics,AGEC,,,AGRI ECON-RESOURCE ECONOMICS,,AGEC,,REO,,BS,,2.0,,03010100
AGLS,,Wildlife & Fisheries Sci,WFSC,,WILDLIFE & FISHERIES SCIENCES,,,WFSC,,,,[BS],,2.0,,03010100
AGLS,,Wildlife & Fisheries Sci,WFSC,,,WL & FS SCI-URBAN WILDLIFE & FISHERIES,,WFSC,,UWF,,BS,,2.0,,03010100
AGLS,,Wildlife & Fisheries Sci,WFSC,,,WL & FS SCI-WILDLIFE/FISHERIES MANAGEMENT,,WFSC,,WFM,,BS,,2.0,,03010100
AGLS,,Wildlife & Fisheries Sci,WFSC,,WILDLIFE & FISHERIES SCIENCES,,,WFSC,,,,MS,,3.0,,03010100
AGLS,,Wildlife & Fisheries Sci,WFSC,,WILDLIFE & FISHERIES SCIENCES,,,WFSC,,,,PHD,,4.0,,03010100
GEOS,,College Interdisciplinary,CLGE,,ENVIRONMENTAL STUDIES,,,ENST,,,,BS,,2.0,,03010300
GEOS,,Geography,GEOG,,,GEOG-ENVIRONMENTAL STUDIES (end 2007),,GEOG,,ENV,,BS,,2.0,,03010300
AGLS,,Plant Pathology & Micro,PLPM,,BIOENVIRONMENTAL SCIENCES,,,BESC,,,,BS,,2.0,,03010400
GEOS,,College Interdisciplinary,CLGE,,ENVIRONMENTAL GEOSCIENCE,,,ENGS,,,,BS,,2.0,,03010400
AGLS,,Wildlife & Fisheries Sci,WFSC,,,WL & FS SCI-FISHERIES ECOLOGY & MGMT,,WFSC,,FEM,,BS,,2.0,,03030100
AGLS,,Wildlife & Fisheries Sci,WFSC,,FISHERIES SCIENCE,,,FISC,,,,MAGR,,3.0,,03030100
AGLS,,Forest Science,FRSC,,FORESTRY,,,FORS,,,,[BS],,2.0,,03050100
AGLS,,Forest Science,FRSC,,FORESTRY,,,FORS,,,,MS,,3.0,,03050100
AGLS,,Forest Science,FRSC,,FORESTRY,,,FORS,,,,PHD,,4.0,,03050100
AGLS,,Forest Science,FRSC,,,FSTRY-FORESTRY RESOURCE MANAGEMENT,,FORS,,FMO,,BS,,2.0,,03050600
AGLS,,Forest Science,FRSC,,,FSTRY-URBAN FORESTRY,,FORS,,UFO,,BS,,2.0,,03050800
AGLS,,Wildlife & Fisheries Sci,WFSC,,,WL & FS SCI-WILDLIFE ECOLOGY  & MGMT,,WFSC,,WEM,,BS,,2.0,,03060100
AGLS,,Wildlife & Fisheries Sci,WFSC,,WILDLIFE SCIENCE,,,WISC,,,,MAGR,,3.0,,03060100
AGLS,,Wildlife & Fisheries Sci,WFSC,,WILDLIFE SCIENCE (Joint  w/ KINGSVILLE),,,WISC,,,,PHD,,4.0,,03060100
ARCH,,Architecture,ARCH,,,ARCHITECTURAL STUDIES,,ENDS,,AST,,BED,,2.0,,04020100
ARCH,,Architecture,ARCH,,ARCHITECTURE,,,ARCH,,,,MARCH,,3.0,,04020100
ARCH,,Architecture,ARCH,,ARCHITECTURE,,,ARCH,,,,MS,,3.0,,04020100
ARCH,,Architecture,ARCH,,ARCHITECTURE,,,ARCH,,,,PHD,,4.0,,04020100
ARCH,,Landscape Arch & Urban Pl,LAUP,,URBAN & REGIONAL PLANNING,,,URPL,,,,MUP,,3.0,,04030100
ARCH,,Landscape Arch & Urban Pl,LAUP,,URBAN & REGIONAL SCIENCE,,,URSC,,,,PHD,,4.0,,04030100
ARCH,,Architecture,ARCH,,ENVIRONMENTAL DESIGN,,,ENDS,,,,[BED],,2.0,,04040100
ARCH,,Architecture,ARCH,,,VISUAL STUDIES,,ENDS,,VST,,BED,,2.0,,04040100
ARCH,,Landscape Arch & Urban Pl,LAUP,,LANDSCAPE ARCHITECTURE,,,LAND,,,,BLA,,2.0,,04060100
ARCH,,Landscape Arch & Urban Pl,LAUP,,LANDSCAPE ARCHITECTURE,,,LAND,,,,MLA,,3.0,,04060100
L A,,College Interdisciplinary,CLLA,,AMERICAN STUDIES,,,AMST,,,,BA,,2.0,,05010200
L A,,Journalism,JOUR,,JOURNALISM,,,JOUR,,,,BA,,2.0,,09040100
L A,,Journalism,JOUR,,JOURNALISM,,,JOUR,,,,BS,,2.0,,09040100
L A,,Communication,COMM,,TELECOMMUNICATION  MEDIA STUDIES,,,TCMS,,,,BA,,2.0,,09070200
L A,,Communication,COMM,,TELECOMMUNICATION  MEDIA STUDIES,,,TCMS,,,,BS,,2.0,,09070200
L A,,Journalism,JOUR,,SCIENCE & TECHNOLOGY JOURNALISM,,,STJR,,,,MS,,3.0,,09099901
ENGR,,Computer Science,CPSC,,COMPUTER SCIENCE,,,CPSC,,,,BS,,2.0,,11070100
ENGR,,Computer Science,CPSC,,COMPUTER SCIENCE,,,CPSC,,,,MCS,,3.0,,11070100
ENGR,,Computer Science,CPSC,,COMPUTER SCIENCE,,,CPSC,,,,MS,,3.0,,11070100
ENGR,,Computer Science,CPSC,,COMPUTER SCIENCE,,,CPSC,,,,PHD,,4.0,,11070100
EDUC,,Teaching Learning & Culture,TLAC,,CURRICULUM & INSTRUCTION,,,EDCI,,,,MED,,3.0,,13030100
EDUC,,Teaching Learning & Culture,TLAC,,CURRICULUM & INSTRUCTION,,,EDCI,,,,MS,,3.0,,13030100
EDUC,,Teaching Learning & Culture,TLAC,,CURRICULUM & INSTRUCTION,,,EDCI,,,,PHD,,4.0,,13030100
EDUC,,Teaching Learning & Culture,TLAC,,CURRICULUM & INSTRUCTION,,,EDCI,,,,EDD,,4.0,,13030100
EDUC,,Ed Adm & Human Res Dev,EAHR,,EDUCATIONAL ADMINISTRATION,,,EDAD,,,,MED,,3.0,,13040100
EDUC,,Ed Adm & Human Res Dev,EAHR,,EDUCATIONAL ADMINISTRATION,,,EDAD,,,,MS,,3.0,,13040100
EDUC,,Ed Adm & Human Res Dev,EAHR,,EDUCATIONAL ADMINISTRATION,,,EDAD,,,,PHD,,4.0,,13040100
