col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29
1,2001-12-01 00:00:00,-0.005,0.01,0.02,-0.01,0.015,,-0.01,-0.02,0.04,0,0.02,-0.005,0,-0.0275,-0.005,0.01,0.03,0,0.01,0,0.01,-0.02,0,,0.015,-0.005,0,-0.015
2,2002-01-01 00:00:00,-0.005,0.01,0.02,-0.01,0.015,,-0.01,-0.02,0.04,-0.0013253972415664,0.02,-0.005,0,-0.0275,-0.005,0.01,0.03,0,0.01,0,0.01,-0.02,0,,0.015,-0.005,0,-0.015
3,2002-02-01 00:00:00,-0.005,0.01,0.02,-0.01,0.015,,-0.01,-0.02,0.03,-0.0013252314129382,0.02,-0.005,0,-0.0275,-0.005,0.01,0.03,0,0.01,0,0.01,-0.02,0,,0.015,-0.005,0,-0.015
4,2002-03-01 00:00:00,-0.005,0.01,0.02,-0.01,0.015,,-0.01,-0.02,0.015,-0.0013250352378296,0.02,-0.005,0,-0.0275,-0.005,0.01,0.03,0,0.01,0,0.01,-0.02,0,,0.015,-0.005,0,-0.015
4,2002-04-01 00:00:00,-0.0025,0.03,0.02,-0.01,0.02,,0,0,0.01,-0.0013247810367675,0.01,-0.015,0,-0.01,-0.0025,0.02,0.02,0.01,0.01,0,0.01,0,0,,0.015,-0.015,0,0
4,2002-05-01 00:00:00,-0.0025,0.03,0.02,-0.01,0.02,,0,0,0.01,-0.0013246912673717,0.01,-0.015,0,-0.01,-0.0025,0.02,0.02,0.01,0.01,0,0.01,0,0,,0.015,-0.015,0,0
4,2002-06-01 00:00:00,-0.0025,0.03,0.02,-0.01,0.02,,0,0,0.01,-0.0013246574475658,0.01,-0.015,0,-0.01,-0.0025,0.02,0.02,0.01,0.01,0,0.01,0,0,,0.015,-0.015,0,0
4,2002-07-01 00:00:00,-0.0025,0.03,0.02,-0.01,0.02,,0,0,0.01,-0.0013246692707604,0.01,-0.015,0,-0.01,-0.0025,0.03,0.03,0.03,0.01,0,0.01,0,0,,0.015,-0.015,0,0.005
5,2002-08-01 00:00:00,-0.0025,0.03,0.02,-0.01,0.02,,0,0,0.01,-0.0013247536935477,0.01,-0.015,0,-0.01,-0.0025,0.03,0.03,0.03,0.01,0,0.01,0,0,,0.015,-0.015,0,0.005
5,2002-09-01 00:00:00,-0.0025,0.03,0.02,-0.01,0,,0,0,0.01,-0.00132489841814,0.0125,-0.015,0,-0.01,-0.0025,0.03,0.03,0.03,0.01,0,0.01,0,0,,0.015,-0.015,0,0.005
5,2002-10-01 00:00:00,0,0.03,0.02,-0.01,0.02,,0,0,0.01,-0.0013250152425138,0.03,-0.015,0,-0.01,0,0.02,0.02,0.01,0.01,0,0.01,0,0,,0.015,-0.015,0,0
5,2002-11-01 00:00:00,0,0.04,0.04,0.02,0.0275,,0,0,0.045,-0.0013251075588273,0.03,-0.005,0.02,0,0,0.035,0.03,0.02,0.02,0,0.01,0,0,,0.015,-0.005,0,0.01
5,2002-12-01 00:00:00,0,0.04,0.04,0.02,0.0275,,0,0,0.045,-0.0013252267325479,0.03,-0.005,0.02,0,0,0.035,0.03,0.02,0.02,0,0.01,0,0,,0.015,-0.005,0,0.01
5,2003-01-01 00:00:00,0,0.04,0.04,0.02,0.0275,,0,0,0.045,0.0053013538115483,0.03,-0.005,0.02,0,0,0.035,0.03,0.02,0.02,0,0.01,0,0,,0.015,-0.005,0,0.01
5,2003-02-01 00:00:00,0,0.04,0.04,0.02,0.0275,,0,0,0.045,0.0053017782037123,0.03,-0.005,0.02,0,0,0.035,0.03,0.02,0.02,0,0.01,0,0,,0.015,-0.005,0,0.01
,2003-03-01 00:00:00,0,0.04,0.04,0.02,0.0275,,0,0,0.045,0.005302232484039,0.03,-0.005,0.02,0,0,0.035,0.03,0.02,0.02,0,0.01,0,0,,0.015,-0.005,0,0.01
,2003-04-01 00:00:00,0,0.02,0.03,0.02,0.02,,0.0025,0,0.015,0.0016571253453312,0.01,-0.015,0.02,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2003-05-01 00:00:00,0,0.02,0.03,0.02,0.02,,0.0025,0,0.015,0.001657289674152,0.01,-0.015,0.02,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2003-06-01 00:00:00,0,0.02,0.03,0.02,0.02,,0.0025,0,0.015,0.0016574805758571,0.01,-0.015,0.02,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2003-07-01 00:00:00,0,0.02,0.03,0.02,0.02,,0.0025,0,0.015,0.0016576478511306,0.01,-0.015,0.02,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2003-08-01 00:00:00,0,0.02,0.03,0.02,0.02,,0.0025,0,0.015,0.0016577807977259,0.01,-0.015,0.02,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2003-09-01 00:00:00,0,0.02,0.03,0.02,0.02,,0.0025,0,0.015,0.0016579254281243,0.0125,-0.015,0.02,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2003-10-01 00:00:00,0,0.02,0.03,0.02,0.02,,0.0025,0,0.015,0.0016579994554858,0.03,-0.015,0.02,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2003-11-01 00:00:00,0,0.03,0.04,0.03,0.03,,0.005,0,0.05,0.0053055347450877,0.03,-0.005,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2003-12-01 00:00:00,0,0.03,0.04,0.03,0.03,,0.005,0,0.05,0.0053063642507291,0.03,-0.005,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2004-01-01 00:00:00,0,0.03,0.04,0.03,0.03,,0.005,0,0.05,0.0053082438479924,0.03,-0.005,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2004-02-01 00:00:00,0,0.03,0.04,0.03,0.03,,0.005,0,0.05,0.005310095206038,0.03,-0.005,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2004-03-01 00:00:00,0,0.03,0.04,0.03,0.03,,0.005,0,0.05,0.0053119426327644,0.03,-0.005,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2004-04-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016605035456686,0.01,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2004-05-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016608936458114,0.01,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2004-06-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016613164666432,0.01,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2004-07-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016616298065081,0.01,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2004-08-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016618356153048,0.01,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2004-09-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016620456548818,0.0125,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2004-10-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016621418404479,0.03,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2004-11-01 00:00:00,0,0.03,0.04,0.03,0.035,,0.005,0,0.05,0.0053188123427358,0.03,-0.005,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2004-12-01 00:00:00,0,0.03,0.04,0.03,0.035,,0.005,0,0.05,0.0053198300979824,0.03,-0.005,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2005-01-01 00:00:00,0,0.03,0.04,0.03,0.035,,0.005,0,0.05,0.00532177811705,0.03,-0.005,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2005-02-01 00:00:00,0,0.03,0.04,0.03,0.035,,0.005,0,0.05,0.0053235622982854,0.03,-0.005,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2005-03-01 00:00:00,0,0.03,0.04,0.03,0.035,,0.005,0,0.05,0.0053252324565663,0.03,-0.005,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2005-04-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016645600244003,0.01,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2005-05-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016648285464719,0.01,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2005-06-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016651106716238,0.01,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2005-07-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016652831726095,0.01,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2005-08-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016653576754831,0.01,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2005-09-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016654271186469,0.0125,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2005-10-01 00:00:00,0,0.03,0.03,0.03,0.02,,0.0025,0,0.015,0.0016654233169359,0.03,-0.015,0.03,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2005-11-01 00:00:00,0,0.032,0.03,0.032,0.035,,0.005,0,0.05,0.0053288707506891,0.03,-0.005,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2005-12-01 00:00:00,0,0.032,0.03,0.032,0.035,,0.005,0,0.05,0.0053283600254421,0.03,-0.005,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2006-01-01 00:00:00,0,0.032,0.03,0.032,0.035,,0.005,0,0.05,0.0053274800111598,0.03,-0.005,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2006-02-01 00:00:00,0,0.032,0.03,0.032,0.035,,0.005,0,0.05,0.0053259709073125,0.03,-0.005,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2006-03-01 00:00:00,0,0.032,0.03,0.032,0.035,,0.005,0,0.05,0.005324539442903,0.03,-0.005,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2006-04-01 00:00:00,0,0.032,0.03,0.032,0.02,,0.0025,0,0.015,0.0016633996803337,0.01,-0.015,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2006-05-01 00:00:00,0,0.032,0.03,0.032,0.02,,0.0025,0,0.015,0.0016628739083026,0.01,-0.015,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2006-06-01 00:00:00,0,0.032,0.03,0.032,0.02,,0.0025,0,0.015,0.0016623062439201,0.01,-0.015,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2006-07-01 00:00:00,0,0.032,0.03,0.032,0.02,,0.0025,0,0.015,0.00166173334574,0.01,-0.015,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2006-08-01 00:00:00,0,0.032,0.03,0.032,0.02,,0.0025,0,0.015,0.0016611170581947,0.01,-0.015,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2006-09-01 00:00:00,0,0.032,0.03,0.032,0.02,,0.0025,0,0.015,0.0016604761189645,0.0125,-0.015,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2006-10-01 00:00:00,0,0.032,0.03,0.032,0.02,,0.0025,0,0.015,0.0016598324219332,0.03,-0.015,0.032,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2006-11-01 00:00:00,0,0.034,0.03,0.034,0.035,,0.005,0,0.05,0.0053092579030526,0.03,-0.005,0.034,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2006-12-01 00:00:00,0,0.034,0.03,0.034,0.035,,0.005,0,0.05,0.005308700089165,0.03,-0.005,0.034,0.005,0,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2007-01-01 00:00:00,0.0025,0.034,0.03,0.034,0.035,,0.005,0,0.05,0.0053090253534318,0.03,-0.005,0.034,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2007-02-01 00:00:00,0.0025,0.034,0.03,0.034,0.035,,0.005,0,0.05,0.0053093585091552,0.03,-0.005,0.034,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2007-03-01 00:00:00,0.0025,0.034,0.03,0.034,0.035,,0.005,0,0.05,0.005309666206506,0.03,-0.005,0.034,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2007-04-01 00:00:00,0.0025,0.034,0.03,0.034,0.02,,0.0025,0,0.015,0.0016593794938285,0.01,-0.015,0.034,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2007-05-01 00:00:00,0.0025,0.034,0.03,0.034,0.02,,0.0025,0,0.015,0.00165948713599,0.01,-0.015,0.034,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2007-06-01 00:00:00,0.0025,0.034,0.03,0.034,0.02,,0.0025,0,0.015,0.0016596007920569,0.01,-0.015,0.034,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2007-07-01 00:00:00,0.0025,0.034,0.03,0.034,0.02,,0.0025,0,0.015,0.0016597131292901,0.01,-0.015,0.034,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2007-08-01 00:00:00,0.0025,0.034,0.03,0.034,0.02,,0.0025,0,0.015,0.0016598316367548,0.01,-0.015,0.034,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2007-09-01 00:00:00,0.0025,0.034,0.03,0.034,0.02,,0.0025,0,0.015,0.0016599526095674,0.0125,-0.015,0.034,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2007-10-01 00:00:00,0.0025,0.034,0.03,0.034,0.02,,0.0025,0,0.015,0.0016600720273107,0.03,-0.015,0.034,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2007-11-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.005,0,0.05,0.0053126331235708,0,-0.005,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2007-12-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.005,0,0.05,0.0053130302824918,0,-0.005,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2008-01-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.005,0,0.05,0.0053134484413208,0,-0.005,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2008-02-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.005,0,0.05,0.0053138744885963,0,-0.005,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2008-03-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.005,0,0.05,0.0053142801903885,0,-0.005,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2008-04-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.0025,0,0.015,0.0016608504704901,0,-0.015,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2008-05-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.0025,0,0.015,0.0016609862798859,0,-0.015,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2008-06-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.0025,0,0.015,0.0016611290416653,0,-0.015,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2008-07-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.0025,0,0.015,0.0016612695454217,0,-0.015,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2008-08-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.0025,0,0.015,0.0016614171581153,0,-0.015,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2008-09-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.0025,0,0.015,0.0016615672361035,0,-0.015,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2008-10-01 00:00:00,0.0025,0.036,0.03,0.036,0,,0.0025,0,0.015,0.0016617148202171,0,-0.015,0.036,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2008-11-01 00:00:00,0.0025,0.038,0.03,0.038,0,,0.005,0,0.05,0.0053179831983087,0,-0.005,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2008-12-01 00:00:00,0.0025,0.038,0.03,0.038,0,,0.005,0,0.05,0.0053174393314473,0,-0.005,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2009-01-01 00:00:00,0.0025,0.038,0.03,0.038,0,,0.005,0,0.05,0.0053149981598178,0,-0.005,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2009-02-01 00:00:00,0.0025,0.038,0.03,0.038,0,,0.005,0,0.05,0.0053124963486048,0,-0.005,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2009-03-01 00:00:00,0.0025,0.038,0.03,0.038,0,,0.005,0,0.05,0.005310184608783,0,-0.005,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,2009-04-01 00:00:00,0.0025,0.038,0.03,0.038,0,,0.0025,0,0.015,0.0016586148936759,0,-0.015,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2009-05-01 00:00:00,0.0025,0.038,0.03,0.038,0,,0.0025,0,0.015,0.0016578055210205,0,-0.015,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2009-06-01 00:00:00,0.0025,0.038,0.03,0.038,0,,0.0025,0,0.015,0.0016569506457605,0,-0.015,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,2009-07-01 00:00:00,0.0025,0.038,0.03,0.038,0,,0.0025,0,0.015,0.0016561054520234,0,-0.015,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0.038,0.03,0.038,0,,0.0025,0,0.015,0.0016552136264291,0,-0.015,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0.038,0.03,0.038,0,,0.0025,0,0.015,0.0016543030735254,0,-0.015,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0.038,0.03,0.038,0,,0.0025,0,0.015,0.00165340409538,0,-0.015,0.038,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.005,0,0.05,0.0052878617433474,0,-0.005,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.005,0,0.05,0.0052848714294601,0,-0.005,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.005,0,0.05,0.0052817229240755,0,-0.005,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.005,0,0.05,0.0052785150636729,0,-0.005,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.005,0,0.05,0.0052755667257795,0,-0.005,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.0025,0,0.015,0.0016475769492598,0,-0.015,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.0025,0,0.015,0.0016465552152449,0,-0.015,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.0025,0,0.015,0.0016454813229359,0,-0.015,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.0025,0,0.015,0.00164442459338,0,-0.015,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.0025,0,0.015,0.0016433146178737,0,-0.015,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0.04,0.03,0.04,0,,0.0025,0,0.015,0.0016421863664773,0,-0.015,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
