Start,End,Length,Description,Type,AASWD
133,133,1,Eng. Limited Identified,alpha or blank,
,,,(Not used),,
134,145,12,Record Description,alphanumeric or blank,"e.g, SPR08OATA, SPR08OGTA"
146,147,2,Writing Performance Level,numeric or blank,11=Advanced
,,,,,12=Accelerated
,,,,,13=Proficient
,,,,,14=Basic
,,,,,15=Limited
,,,,,99=invalidated (INV)
,,,,,blank=DNA/TOG/DNS/Missing
148,150,3,Writing Scale Score,alphanumeric or blank,OGTSWD: Range 000-999
,,,,,OGTSWD: DNA=Did Not Attempt
,,,,,OGTSWD: INV=Invalidated
151,152,2,Condition - Prompt 1,alphanumeric or blank,
153,154,2,Condition - Prompt 2,alphanumeric or blank,
155,157,3,Writing Performance Domain Score,alphanumeric or blank,Not reported for SWD
158,158,1,Indicator 1,alpha or blank,Not reported for SWD
159,161,3,Writing Instructional Context Domain Score,alphanumeric or blank,Not reported for SWD
162,162,1,Indicator 2,alpha or blank,Not reported for SWD
163,165,3,Writing Independence Domain Score,alphanumeric or blank,Not reported for SWD
166,166,1,Indicator 3,alpha or blank,Not reported for SWD
167,169,3,Settings and Interactions Domain Score,alphanumeric or blank,Not reported for SWD
170,170,1,Indicator 4,alpha,
171,171,1,filler,,
172,174,3,Writing Total Raw Score,alphanumeric or blank,Not reported for SWD
175,180,6,filler,,
181,192,12,filler,,
193,194,2,Reading Performance Level,numeric or blank,11=Advanced
,,,,,12=Accelerated
,,,,,13=Proficient
,,,,,14=Basic
,,,,,15=Limited
,,,,,99=invalidated
,,,,,blank=DNA/TOG/DNS/Missing
195,197,3,Reading Scale Score,alphanumeric or blank,Range 000-999
,,,,,DNA=Did Not Attempt
,,,,,INV=Invalidated
198,200,3,Reading Performance Domain Score,alphanumeric or blank,Not reported for SWD
201,201,1,Indicator 1,alpha or blank,Not reported for SWD
202,204,3,Reading Instructional Context Domain Score,alphanumeric or blank,Not reported for SWD
205,205,1,Indicator 2,alpha or blank,Not reported for SWD
206,208,3,Reading Independence Domain Score,alphanumeric or blank,Not reported for SWD
209,209,1,Indicator 3,alpha or blank,Not reported for SWD
210,212,3,Settings and Interactions Domain Score,alphanumeric or blank,Not reported for SWD
213,213,1,Indicator 4,alpha,
214,216,3,"Reading Content Standard Raw Score 5 
ALT: N/A
OTELA: N/A
OAT: N/A
OGT:  N/A",alphanumeric or blank,
217,217,1,Indicator 5,alpha or blank,
218,218,1,filler,,
219,221,3,Reading Total Raw Score,alphanumeric or blank,Not reported for SWD
222,228,7,filler,,
229,240,12,filler,,
241,242,2,Math Performance Level,numeric or blank,11=Advanced
,,,,,12=Accelerated
,,,,,13=Proficient
,,,,,14=Basic
,,,,,15=Limited
,,,,,99=invalidated
,,,,,blank=DNA/TOG/DNS/Missing
243,245,3,Math Scale Score,alphanumeric or blank,Range 000-999
,,,,,DNA=Did Not Attempt
,,,,,INV=Invalidated
246,248,3,Math Performance Domain Score,alphanumeric or blank,Not reported for SWD
249,249,1,Indicator 1,alpha or blank,Not reported for SWD
250,252,3,Math Instructional Context Domain Score,alphanumeric or blank,Not reported for SWD
253,253,1,Indicator 2,alpha or blank,Not reported for SWD
254,256,3,Math Independence Domain Score,alphanumeric or blank,Not reported for SWD
257,257,1,Indicator 3,alpha or blank,Not reported for SWD
258,260,3,"Settings and Interactions
Domain Score",alphanumeric or blank,Not reported for SWD
261,261,1,Indicator 4,alpha or blank,
262,264,3,"Math Content Standard Raw Score 5  
ALT: N/A
OTELA: N/A
OAT: Geometry and Spatial Sense
OGT: Geometry and Spatial Sense",,
265,265,1,Indicator 5,alpha or blank,
266,266,1,filler,,
267,269,3,Math Total Raw Score,alphanumeric or blank,Not reported for SWD
270,276,7,filler,,
277,288,12,filler,,
289,290,2,Social Studies Performance Level,numeric or blank,11=Advanced
,,,,,12=Accelerated
,,,,,13=Proficient
,,,,,14=Basic
,,,,,15=Limited
