col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
1993-11-01 00:00:00,3689,1366,13931,7485,3787,2933,4252,2148,2104,893,6220,28985,24991,16863,424917,358180,7267,45848
1993-12-01 00:00:00,6925,1063,10580,5250,2741,1592,4678,2011,2667,1846,6586,30615,23086,13567,422335,320684,5455,44182
1994-01-01 00:00:00,1771,342,12153,7470,2361,1570,2570,1041,1529,1859,5150,23503,22977,8219,425425,330464,4131,31722
1994-02-01 00:00:00,1640,851,11508,8627,1632,1874,2635,1266,1369,3074,3930,22787,24428,8171,421423,340812,11181,30958
1994-03-01 00:00:00,1598,939,19331,10462,6015,3429,4720,2391,2329,1819,6870,34338,23343,15606,414514,336351,14903,49944
1994-04-01 00:00:00,1820,658,10779,6654,1949,2074,3335,2003,1332,2740,5248,23922,21959,12873,422579,346700,3009,36795
1994-05-01 00:00:00,3592,3234,12200,7388,2805,445,4232,2072,2160,675,2269,22968,24034,18149,426997,351366,3188,41117
1994-06-01 00:00:00,4798,2129,21678,9151,7978,235,7349,2465,4884,4575,1896,40296,25205,16610,434179,339881,3896,56906
1994-07-01 00:00:00,3240,2691,12626,7720,3661,10,5132,2626,2506,3123,2558,26679,23398,7933,426747,333712,13576,34612
1994-08-01 00:00:00,7811,4444,16520,7374,6282,0,5164,3005,2159,1665,3525,34685,25845,9037,428015,345233,5240,43722
1994-09-01 00:00:00,3185,2687,13920,5272,4506,693,7286,3559,3727,2162,3911,30464,20504,9341,329139,268484,59143,39805
1994-10-01 00:00:00,3477,3240,11915,4511,4930,170,6097,3290,2807,1830,3867,27186,24392,10619,302876,237665,34913,37805
