,Futures Commission Merchant / Retail Foreign Exchange Dealer,Reg As    (a),DSRO    (b),A/O Date,Adjusted Net Capital,Net Capital Requirement   (c),Excess Net Capital   (d),Customers' Assets in Seg  (e),Customers' Seg Required 4d(a)(2)  (f),Excess/Deficient Funds in Seg   (g),Funds in Separate Section 30.7 Accounts  (h),Customer Amount Pt. 30 Required  (i),Excess/Deficient Funds in Separate Section 30.7 Accounts (j),Total Amount of Retail Forex Obligation  (k)
55.0,MAREX NORTH AMERICA LLC,FCM,CME,2013-09-30 00:00:00,11639112,7390680,4248432,93218840,88004646,5214194,7673089,6832345,840744,0
56.0,MB TRADING FUTURES INC,FCMRFD,NFA,2013-09-30 00:00:00,25097774,21315851,3781923,0,0,0,0,0,0,36317025
57.0,MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2013-09-30 00:00:00,12904920,3849807,9055113,807758402,786665185,21093217,2350556,0,2350556,0
58.0,MERRILL LYNCH PIERCE FENNER & SMITH,FCM BD,CBOT,2013-09-30 00:00:00,12031925657,901130259,11130795398,9168970027,8816496192,352473835,2648350715,2395530176,252820539,0
59.0,MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2013-09-30 00:00:00,1966412638,328349409,1638063229,1705561453,879549075,826012378,29322962,1324030,27998932,0
60.0,MID CO COMMODITIES INC,FCM,NFA,2013-09-30 00:00:00,10425473,3360797,7064676,46304631,34941808,11362823,0,0,0,0
61.0,MITSUBISHI UFJ SECURITIES USA INC,FCM BD,NFA,2013-09-30 00:00:00,225767277,2019819,223747458,0,0,0,0,0,0,0
62.0,MITSUI BUSSAN COMMODITIES USA INC,FCM,NFA,2013-09-30 00:00:00,3385192,1000000,2385192,0,0,0,0,0,0,0
63.0,MIZUHO SECURITIES USA INC,FCM BD,CME,2013-09-30 00:00:00,426526733,202507188,224019545,2466934914,2284501906,182433008,481916990,388335323,93581667,0
64.0,MORGAN STANLEY & CO LLC,FCM BD,CME,2013-09-30 00:00:00,7221900056,1530726086,5691173970,9102487543,8894601313,207886230,2576633448,2322718313,253915135,0
65.0,MORGAN STANLEY SMITH BARNEY LLC,FCM BD,NFA,2013-09-30 00:00:00,3888222103,167121021,3721101082,726165259,637877862,88287397,88523036,63761977,24761059,0
66.0,NATIXIS SECURITIES AMERICAS LLC,FCM BD,NFA,2013-09-30 00:00:00,313253934,2586493,310667441,0,0,0,0,0,0,0
67.0,NEUBERGER BERMAN LLC,FCM BD,NFA,2013-09-30 00:00:00,84623125,1500000,83123125,0,0,0,0,0,0,0
68.0,NEWEDGE USA LLC,FCM BD,NYME,2013-09-30 00:00:00,1807006609,1015076541,791930068,14376172385,13725670092,650502293,3359334923,3016527869,342807054,0
69.0,NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2013-09-30 00:00:00,1567449163,33159331,1534289832,66417755,55453647,10964108,4395321,809629,3585692,0
70.0,OANDA CORPORATION,FCMRFD,NFA,2013-09-30 00:00:00,133648644,26132177,107516467,0,0,0,0,0,0,132643538
71.0,OPPENHEIMER & CO INC,FCM BD,NFA,2013-09-30 00:00:00,158953792,26153289,132800503,32320894,16244043,16076851,0,0,0,0
72.0,OPTIONSXPRESS INC,FCM BD,NFA,2013-09-30 00:00:00,99733200,6778031,92955169,111031924,81586567,29445357,3646839,1072201,2574638,0
73.0,PHILLIP FUTURES INC,FCM,CME,2013-09-30 00:00:00,28122631,20000000,8122631,126717760,105911581,20806179,6030230,2953808,3076422,0
74.0,PIONEER FUTURES INC,FCM,NFA,2013-09-30 00:00:00,2369743,1000000,1369743,0,0,0,0,0,0,0
75.0,RAND FINANCIAL SERVICES INC,FCM,CME,2013-09-30 00:00:00,79306918,19697489,59609429,340778500,300822100,39956400,31717300,9014300,22703000,0
76.0,RAYMOND JAMES & ASSOCIATES INC,FCM BD,NFA,2013-09-30 00:00:00,431501807,37625076,393876731,0,0,0,0,0,0,0
77.0,RBC CAPITAL MARKETS LLC,FCM BD,CME,2013-09-30 00:00:00,1099504171,109536323,989967848,960946934,895779481,65167453,191386753,121815547,69571206,0
78.0,RBS SECURITIES INC,FCM BD,CBOT,2013-09-30 00:00:00,4352648017,132375111,4220272906,1553250738,1401009177,152241561,212604127,94293330,118310797,0
79.0,RJ OBRIEN ASSOCIATES LLC,FCM,CME,2013-09-30 00:00:00,192625623,129543641,63081982,3777320592,3662943335,114377257,173100563,147749177,25351386,1337790
80.0,ROSENTHAL COLLINS GROUP LLC,FCM,CME,2013-09-30 00:00:00,75492702,56018927,19473775,1454490898,1432776143,21714755,37320923,27295826,10025097,0
81.0,SANFORD C BERNSTEIN & CO LLC,FCM BD,NFA,2013-09-30 00:00:00,170096129,19024334,151071795,0,0,0,0,0,0,0
82.0,SANTANDER INVESTMENT SECURITIES INC,FCM BD,NYME,2013-09-30 00:00:00,217357033,8452810,208904223,674444681,672033184,2411497,0,0,0,0
83.0,STATE STREET GLOBAL MARKETS LLC,FCM BD,CME,2013-09-30 00:00:00,531668383,19346629,512321754,305952414,217922891,88029523,64316745,23049108,41267637,0
84.0,STRAITS FINANCIAL LLC,FCM,CME,2013-09-30 00:00:00,9508426,3987448,5520978,138113377,131056593,7056784,23585064,21956185,1628879,0
85.0,TD AMERITRADE INC,FCM BD,NFA,2013-09-30 00:00:00,305075239,10515870,294559369,141534398,117283048,24251350,0,0,0,0
86.0,TIMBER HILL LLC,FCM BD,CME,2013-09-30 00:00:00,469950158,50425353,419524805,693978082,691441153,2536929,0,0,0,0
87.0,TRADELINK LLC,FCM BD,CBOT,2013-09-30 00:00:00,14362999,1000000,13362999,0,0,0,0,0,0,0
88.0,TRADESTATION SECURITIES INC,FCM BD,NFA,2013-09-30 00:00:00,58714386,3404646,55309740,409320140,398587364,10732776,16905204,15813960,1091244,0
89.0,TULLETT PREBON FINANCIAL SERVICES LLC,FCM BD,NFA,2013-09-30 00:00:00,29919538,1000000,28919538,0,0,0,0,0,0,0
90.0,UBS FINANCIAL SERVICES INC,FCM BD,NFA,2013-09-30 00:00:00,1447982620,96356500,1351626120,122988090,101088260,21899830,24370457,2683340,21687117,0
91.0,UBS SECURITIES LLC,FCM BD,CBOT,2013-09-30 00:00:00,9294132544,912647484,8381485060,8725882618,8078466011,647416607,4800087745,4379811074,420276671,0
92.0,VELOCITY FUTURES LLC,FCM,NFA,2013-09-30 00:00:00,1264470,1000000,264470,60858099,59832975,1025124,1223126,799896,423230,0
93.0,VISION FINANCIAL MARKETS LLC,FCM BD,CME,2013-09-30 00:00:00,34258099,10083116,24174983,481036327,470618903,10417424,16318432,14288639,2029793,0
94.0,WELLS FARGO ADVISORS FINANCIAL NETWORK LLC,FCM BD,NFA,2013-09-30 00:00:00,57467253,1000000,56467253,0,0,0,0,0,0,0
95.0,WELLS FARGO ADVISORS LLC,FCM BD,NFA,2013-09-30 00:00:00,1536774762,1500000,1535274762,0,0,0,0,0,0,0
96.0,WELLS FARGO SECURITIES LLC,FCM BD,CME,2013-09-30 00:00:00,3153455580,58379073,3095076507,16776503,6666932,10109571,5032981,0,5032981,0
97.0,WHITE COMMERCIAL CORPORATION,FCM,NFA,2013-09-30 00:00:00,2709540,1000000,1709540,0,0,0,0,0,0,0
