Ref. No.,Supplier Name,Payment Date,Invoice NET £,Directorate,Cost Type
Aug2911,BETSY CLARA HOUSE,2-Aug-10,"1,729.91",Adult Services,Private Contractors
Aug3035,KAY JAMES BHSC (HONS) OT#ME16,2-Aug-10,"1,800.00",Adult Services,External Training
Aug3281,HIGHLAND HOUSE RETIREMENT HOME,2-Aug-10,"1,924.95",Adult Services,Private Contractors
Aug3412,KENT TOP TEMPS LTD,2-Aug-10,"2,025.00",Adult Services,Agency Staff
Aug3593,KENT COUNTY COUNCIL,2-Aug-10,"2,128.00",Adult Services,Personal Expenses/Adaptations
Aug3624,SAXON COURT,2-Aug-10,"2,169.84",Adult Services,Private Contractors
Aug3650,ABERDEEN CITY COUNCIL,2-Aug-10,"2,203.24",Adult Services,Private Contractors
Aug3939,WARWICK PARK NURSING & RES HOME#IN LIQUIDATION,2-Aug-10,"2,336.43",Adult Services,Private Contractors
Aug4020,KENT TOP TEMPS LTD,2-Aug-10,"2,377.71",Adult Services,Agency Staff
Aug4047,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,2-Aug-10,"2,423.96",Adult Services,Private Contractors
Aug4048,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,2-Aug-10,"2,423.96",Adult Services,Private Contractors
Aug4049,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,2-Aug-10,"2,423.96",Adult Services,Private Contractors
Aug4180,DALE MOUNT RESIDENTIAL HOME,2-Aug-10,"2,692.02",Adult Services,Private Contractors
Aug4343,THE AVENUES TRUST LTD,2-Aug-10,"2,977.92",Adult Services,Private Contractors
Aug4449,ADMIRAL HOUSE#USE 148830,2-Aug-10,"3,171.84",Adult Services,Private Contractors
Aug4471,SCOPE,2-Aug-10,"3,222.18",Adult Services,Private Contractors
Aug4509,THE O'SHEA PARTNERSHIP LLP,2-Aug-10,"3,294.00",Adult Services,Private Contractors
Aug4527,NAS SERVICES LTD,2-Aug-10,"3,347.08",Adult Services,Private Contractors
Aug4528,NAS SERVICES LTD,2-Aug-10,"3,347.08",Adult Services,Private Contractors
Aug4542,SCOPE,2-Aug-10,"3,383.96",Adult Services,Private Contractors
Aug4576,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"3,429.80",Adult Services,Private Contractors
Aug4675,BRITISH TELECOM PLC # CALL CHARGES,2-Aug-10,"3,662.14",Adult Services,Telephone/ Fax Calls
Aug4740,BETSY CLARA HOUSE,2-Aug-10,"3,802.89",Adult Services,Private Contractors
Aug4771,WELCOME HOME,2-Aug-10,"3,871.88",Adult Services,Private Contractors
Aug4878,SKILLNET GROUP COMMUNITY INTEREST COMPANY#CT2 7EG,2-Aug-10,"4,199.75",Adult Services,Private Contractors
Aug4912,THE AVENUES TRUST LTD,2-Aug-10,"4,266.48",Adult Services,Private Contractors
Aug4951,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,392.30",Adult Services,Private Contractors
Aug4975,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,472.41",Adult Services,Voluntary Associations
Aug4976,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,472.41",Adult Services,Voluntary Associations
Aug4977,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,472.41",Adult Services,Voluntary Associations
Aug4978,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,472.41",Adult Services,Voluntary Associations
Aug4979,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,472.41",Adult Services,Voluntary Associations
Aug4988,SEVEN SPRINGS CHESHIRE HOME,2-Aug-10,"4,518.12",Adult Services,Voluntary Associations
Aug4991,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,518.12",Adult Services,Private Contractors
Aug5011,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,587.82",Adult Services,Voluntary Associations
Aug5020,SCOPE,2-Aug-10,"4,617.95",Adult Services,Voluntary Associations
Aug5197,THE AVENUES TRUST LTD,2-Aug-10,"5,411.56",Adult Services,Private Contractors
Aug5427,CAPITAL CARE & SUPPORT LTD,2-Aug-10,"6,708.00",Adult Services,Private Contractors
Aug5447,THE POPLARS NURSING HOME,2-Aug-10,"6,792.84",Adult Services,Voluntary Associations
Aug5512,AITCH CARE HOMES (LONDON) LTD#ACH,2-Aug-10,"7,171.38",Adult Services,Private Contractors
Aug5564,THE AVENUES TRUST LTD,2-Aug-10,"7,600.32",Adult Services,Private Contractors
Aug5625,AVANTE PARTNERSHIP#KCHT,2-Aug-10,"8,092.78",Adult Services,Voluntary Associations
Aug5639,ADMIRAL HOUSE#USE 148830,2-Aug-10,"8,212.80",Adult Services,Private Contractors
Aug5932,MOLYNEUX PARK REST HOME,2-Aug-10,"12,299.72",Adult Services,Private Contractors
Aug6031,MR A W PAINE T/A AP CONSTRUCTION#NEW,2-Aug-10,"15,088.27",Adult Services,Capital Grants and Advances
Aug6104,TREETOPS RESIDENTIAL HOME,2-Aug-10,"17,877.28",Adult Services,Private Contractors
Aug6136,AITCH CARE HOMES (LONDON) LTD#ACH,2-Aug-10,"19,288.39",Adult Services,Private Contractors
Aug6336,THANET LEISUREFORCE LTD,2-Aug-10,511.15,Chief Executives,"External - Rent, Room Hire & Service Charges"
Aug6338,KENT TOP TEMPS LTD,2-Aug-10,515.00,Chief Executives,Public Transport (Officers and Members)
Aug6340,LOCAL GOVERNMENT ASSOCIATION,2-Aug-10,519.00,Chief Executives,Conference Expenses
Aug6361,DELL COMPUTER CORPORATION LTD,2-Aug-10,544.06,Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6363,MERCURE HOTEL IMPERIAL HYTHE,2-Aug-10,548.09,Chief Executives,Consultants
Aug6376,BEST WESTERN MANOR HOTEL,2-Aug-10,568.21,Chief Executives,"External - Rent, Room Hire & Service Charges"
Aug6379,TOTAL GAS & POWER LIMITED#RH1 1RX,2-Aug-10,570.23,Chief Executives,Other Energy Costs
Aug6409,IMC TRAINING,2-Aug-10,600.00,Chief Executives,Consultants
Aug6432,HOLIDAY INN,2-Aug-10,638.30,Chief Executives,"External - Rent, Room Hire & Service Charges"
Aug6438,ADVANCE PEOPLE SERVICES LTD,2-Aug-10,650.00,Chief Executives,Consultants
Aug6443,THE NOSS RYAN AGENCY,2-Aug-10,655.00,Chief Executives,Specialists Fees
Aug6455,POSITIVE WORKS LIMITED,2-Aug-10,700.00,Chief Executives,Consultants
Aug6482,ROK BUILDING LIMITED#NEW,2-Aug-10,760.22,Chief Executives,"Repairs, Alterations and Maintenance of Buildings"
Aug6568,ROK BUILDING LIMITED#NEW,2-Aug-10,999.20,Chief Executives,"Repairs, Alterations and Maintenance of Buildings"
Aug6571,DRAMATIC SOLUTIONS LIMITED,2-Aug-10,"1,000.00",Chief Executives,Consultants
Aug6572,THE FITS FOUNDATION LTD,2-Aug-10,"1,000.00",Chief Executives,Specialists Fees
Aug6618,KENT TOP TEMPS LTD,2-Aug-10,"1,061.11",Chief Executives,Agency Staff
Aug6640,COLLABORA8 NOW LTD,2-Aug-10,"1,100.00",Chief Executives,Consultants
Aug6691,RURAL SECTOR SOLUTIONS,2-Aug-10,"1,250.00",Chief Executives,Consultants
Aug6701,MISSION PERFORMANCE LIMITED,2-Aug-10,"1,300.00",Chief Executives,Consultants
Aug6704,ACCORDO,2-Aug-10,"1,311.12",Chief Executives,Consultants
Aug6718,OPTIMUM TECHNOLOGY TRANSFER LTD,2-Aug-10,"1,350.00",Chief Executives,Consultants
Aug6724,QA LTD,2-Aug-10,"1,396.00",Chief Executives,Consultants
Aug6742,INNOVATIONS AT WORK LTD,2-Aug-10,"1,531.25",Chief Executives,Consultants
Aug6750,NELSON PHILLIPS CONSULTING LTD,2-Aug-10,"1,600.00",Chief Executives,Consultants
Aug6772,THE DEVELOPMENT COMPANY UK LTD,2-Aug-10,"1,764.00",Chief Executives,Consultants
Aug6774,DELL COMPUTER CORPORATION LTD,2-Aug-10,"1,784.76",Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6800,KENT EVENT AND EXHIBITION CENTRE,2-Aug-10,"2,000.00",Chief Executives,Miscellaneous
Aug6823,ROMNEY RESOURCE 2000 LIMITED,2-Aug-10,"2,100.00",Chief Executives,Consultants
Aug6825,MR NICHOLAS HORSLEY,2-Aug-10,"2,115.00",Chief Executives,Legal Fees
Aug6829,KCS,2-Aug-10,"2,162.00",Chief Executives,Specialists Fees
Aug6878,KENT TOP TEMPS LTD,2-Aug-10,"2,750.72",Chief Executives,Agency Staff
Aug6883,KENT TOP TEMPS LTD,2-Aug-10,"2,963.59",Chief Executives,Agency Staff
Aug6937,DELL COMPUTER CORPORATION LTD,2-Aug-10,"4,499.66",Chief Executives,Computer and Other IT Expenditure (Software)
Aug6993,EDF ENERGY NETWORKS LTD#NEW,2-Aug-10,"8,280.00",Chief Executives,Infrastructure
Aug7051,MAIDSTONE BOROUGH COUNCIL,2-Aug-10,"104,931.27",Chief Executives,Other Local Authorities
Aug7084,GUARDIAN SECURITY & FIRE LTD,2-Aug-10,502.80,"Children, Families & Education",Premises Security Charges
Aug7100,KENT COUNTY COUNCIL,2-Aug-10,509.00,"Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug7101,KENT COUNTY COUNCIL,2-Aug-10,509.00,"Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug7117,ASHFORD INTERNATIONAL HOTEL PLC,2-Aug-10,510.64,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7130,KENT TOP TEMPS LTD,2-Aug-10,516.75,"Children, Families & Education",Agency Staff
Aug7176,KENT TOP TEMPS LTD,2-Aug-10,529.23,"Children, Families & Education",Agency Staff
Aug7197,H GOODSELL & SON LTD#NEW,2-Aug-10,536.55,"Children, Families & Education",Building Works - Main Contract
Aug7217,RAMADA HOTEL & RESORT#MAIDSTONE,2-Aug-10,542.98,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7224,TUNBRIDGE WELLS BOROUGH COUNCIL,2-Aug-10,544.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7235,TUNBRIDGE WELLS BOROUGH COUNCIL,2-Aug-10,548.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7250,THANET DISTRICT COUNCIL,2-Aug-10,555.42,"Children, Families & Education",National and Non Domestic Rates and Council Tax
Aug7258,THANET EARLY YEARS PROJECT,2-Aug-10,559.45,"Children, Families & Education",Specialists Fees
Aug7276,LMS MUSIC SUPPLIES,2-Aug-10,566.00,"Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug7284,KENT COUNTY COUNCIL,2-Aug-10,569.00,"Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug7316,KENT COUNTY COUNCIL,2-Aug-10,578.00,"Children, Families & Education",Contract Hire and Operating Leases
Aug7330,KENT COUNTY COUNCIL,2-Aug-10,581.00,"Children, Families & Education",Contract Hire and Operating Leases
Aug7339,KENT COUNTY COUNCIL,2-Aug-10,584.50,"Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug7350,GREENFIELDS COMMUNITY PRIMARY SCHOOL#ME15 8DF,2-Aug-10,588.60,"Children, Families & Education","Repairs, Alterations and Maintenance of Buildings"
Aug7428,SAGE PUBLICATIONS LTD,2-Aug-10,615.72,"Children, Families & Education","Books, Publications and Newspapers etc"
Aug7479,JOHN WILLIAMS & COMPANY (CONTRACTING) LTD#NEW,2-Aug-10,634.72,"Children, Families & Education",Building Works - Main Contract
Aug7550,CELLMARK#OX14 1YX,2-Aug-10,665.00,"Children, Families & Education",Specialists Fees
Aug7643,TONBRIDGE & MALLING BOROUGH COUNCIL,2-Aug-10,700.00,"Children, Families & Education",Grants
Aug7761,QUEST TRAINING SOUTH EAST LTD#DA4 9JZ,2-Aug-10,750.00,"Children, Families & Education",External Training
Aug7762,QUEST TRAINING SOUTH EAST LTD#DA4 9JZ,2-Aug-10,750.00,"Children, Families & Education",External Training
Aug7763,QUEST TRAINING SOUTH EAST LTD#DA4 9JZ,2-Aug-10,750.00,"Children, Families & Education",External Training
Aug7764,QUEST TRAINING SOUTH EAST LTD#DA4 9JZ,2-Aug-10,750.00,"Children, Families & Education",External Training
Aug7765,QUEST TRAINING SOUTH EAST LTD#DA4 9JZ,2-Aug-10,750.00,"Children, Families & Education",External Training
Aug7766,QUEST TRAINING SOUTH EAST LTD#DA4 9JZ,2-Aug-10,750.00,"Children, Families & Education",External Training
Aug7932,L E R BELCOURT#CT21 5PE,2-Aug-10,760.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7940,KENT TOP TEMPS LTD,2-Aug-10,760.76,"Children, Families & Education",Agency Staff
Aug7986,KENT TOP TEMPS LTD,2-Aug-10,780.00,"Children, Families & Education",Public Transport (Officers and Members)
Aug8006,INTERCOUNTRY ADOPTION CENTRE,2-Aug-10,795.00,"Children, Families & Education",External Training
Aug8042,ASHFORD BOROUGH COUNCIL,2-Aug-10,805.20,"Children, Families & Education",Design Fees - External
Aug8049,ARTSWORKSHOPS,2-Aug-10,810.00,"Children, Families & Education",Specialists Fees
Aug8050,ARTSWORKSHOPS,2-Aug-10,810.00,"Children, Families & Education",Specialists Fees
Aug8144,SUGARMAN GROUP LTD#DO NOT REACTIVATE AS AN AGENCY,2-Aug-10,855.38,"Children, Families & Education",Agency Staff
Aug8149,TUNBRIDGE WELLS BOROUGH COUNCIL,2-Aug-10,858.23,"Children, Families & Education",National and Non Domestic Rates and Council Tax
Aug8150,FOLKESTONE TAXI CO LTD,2-Aug-10,859.00,"Children, Families & Education",Public Transport (Clients)
Aug8188,INVICTA TAXIS,2-Aug-10,880.00,"Children, Families & Education",Home to School Transport - Hired
Aug8321,KENT TOP TEMPS LTD,2-Aug-10,949.88,"Children, Families & Education",Agency Staff
Aug8326,KENT TOP TEMPS LTD,2-Aug-10,950.40,"Children, Families & Education",Agency Staff
Aug8327,THANET EARLY YEARS PROJECT,2-Aug-10,950.75,"Children, Families & Education",Private Contractors
Aug8372,OAKLEAF ELECTRICAL CONTRACTORS LTD#NEW,2-Aug-10,979.00,"Children, Families & Education",Building Works - Main Contract
Aug8402,DAY MANAGEMENT SERVICES,2-Aug-10,"1,000.00","Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug8403,KEVIN RICHARDS#CT21 5SE,2-Aug-10,"1,000.00","Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug8496,LEE EVANS PARTNERSHIP LLP,2-Aug-10,"1,045.00","Children, Families & Education",Design Fees - External
Aug8515,KENT TOP TEMPS LTD,2-Aug-10,"1,051.06","Children, Families & Education",Agency Staff
Aug8534,EDEXCEL LTD,2-Aug-10,"1,060.80","Children, Families & Education",Examination Fees
Aug8546,KENT TOP TEMPS LTD,2-Aug-10,"1,071.60","Children, Families & Education",Agency Staff
Aug8591,POWERMAIN LIMITED#NEW,2-Aug-10,"1,106.25","Children, Families & Education",Building Works - Main Contract
Aug8754,KENT TOP TEMPS LTD,2-Aug-10,"1,227.00","Children, Families & Education",Agency Staff
Aug8771,CAPITAL ROOFING CO LTD#NEW,2-Aug-10,"1,246.92","Children, Families & Education",Building Works - Main Contract
Aug8838,KENT TOP TEMPS LTD,2-Aug-10,"1,295.00","Children, Families & Education",Agency Staff
Aug8839,KENT TOP TEMPS LTD,2-Aug-10,"1,295.00","Children, Families & Education",Agency Staff
Aug8842,HARTWELL ARCHITECTS,2-Aug-10,"1,298.50","Children, Families & Education",Design Fees - External
Aug8857,POWERMAIN LIMITED#NEW,2-Aug-10,"1,316.00","Children, Families & Education",Building Works - Main Contract
Aug8879,KENT COUNTY COUNCIL,2-Aug-10,"1,329.31","Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug8881,INSTALLATION & SERVICE,2-Aug-10,"1,333.75","Children, Families & Education","Repairs, Alterations and Maintenance of Buildings"
Aug8901,ACTION FOR CHILDREN SERVICES LIMITED,2-Aug-10,"1,350.00","Children, Families & Education",Specialists Fees
Aug9078,KENT TOP TEMPS LTD,2-Aug-10,"1,500.28","Children, Families & Education",Agency Staff
Aug9097,CHARANGA LTD,2-Aug-10,"1,520.00","Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug9098,INVICTA TAXIS,2-Aug-10,"1,520.00","Children, Families & Education",Home to School Transport - Hired
Aug9102,KENT COUNTY COUNCIL,2-Aug-10,"1,526.25","Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug9142,WRITE TRAK LTD,2-Aug-10,"1,556.00","Children, Families & Education",Specialists Fees
Aug9232,KENT TOP TEMPS LTD,2-Aug-10,"1,650.00","Children, Families & Education",Agency Staff
Aug9238,KENT TOP TEMPS LTD,2-Aug-10,"1,656.60","Children, Families & Education",Agency Staff
Aug9273,FOLKESTONE TAXI CO LTD,2-Aug-10,"1,696.00","Children, Families & Education",Public Transport (Clients)
Aug9358,ALIS HAWKINS SLT,2-Aug-10,"1,820.00","Children, Families & Education",Specialists Fees
Aug9374,KENT COUNTY FACILITIES LTD#NEW,2-Aug-10,"1,856.25","Children, Families & Education",Furniture and Fittings
Aug9447,AMICAS HORIZON (CASA SUPPORT),2-Aug-10,"1,980.06","Children, Families & Education",Social Services Section 17 Payments
Aug9829,ASHFORD INTERNATIONAL HOTEL PLC,2-Aug-10,"2,998.47","Children, Families & Education",Refreshments
Aug9895,CAPSTONE VISION FOSTER CARE#DA1 1DJ,2-Aug-10,"3,225.24","Children, Families & Education",Private Contractors
Aug9934,KENT TOP TEMPS LTD,2-Aug-10,"3,369.13","Children, Families & Education",Agency Staff
Aug10022,ETHELBERT SPECIALIST HOMES LTD,2-Aug-10,"3,783.02","Children, Families & Education",Private Contractors
Aug10023,ETHELBERT SPECIALIST HOMES LTD,2-Aug-10,"3,783.02","Children, Families & Education",Private Contractors
Aug10053,INTEGRATED SERVICES PROGRAMME,2-Aug-10,"3,979.92","Children, Families & Education",Private Contractors
Aug10054,INTEGRATED SERVICES PROGRAMME,2-Aug-10,"3,979.92","Children, Families & Education",Private Contractors
Aug10068,KENT TOP TEMPS LTD,2-Aug-10,"4,013.10","Children, Families & Education",Agency Staff
Aug10087,ETHELBERT SPECIALIST HOMES LTD,2-Aug-10,"4,096.92","Children, Families & Education",Private Contractors
Aug10097,KENT COUNTY COUNCIL,2-Aug-10,"4,162.00","Children, Families & Education",Printing and photocopying
Aug10098,HARTWELL ARCHITECTS,2-Aug-10,"4,169.00","Children, Families & Education",Design Fees - External
Aug10170,BEYOND EXCELLENCE,2-Aug-10,"4,471.75","Children, Families & Education",Specialists Fees
Aug10171,BEYOND EXCELLENCE,2-Aug-10,"4,471.75","Children, Families & Education",Specialists Fees
Aug10242,KENT TOP TEMPS LTD,2-Aug-10,"4,755.28","Children, Families & Education",Agency Staff
Aug10286,SWAN VALLEY YOUTH CENTRE,2-Aug-10,"5,000.00","Children, Families & Education",Specialists Fees
Aug10315,TONY GEE & PARTNERS,2-Aug-10,"5,160.00","Children, Families & Education",Design Fees - External
Aug10328,KENT COUNTY COUNCIL,2-Aug-10,"5,200.00","Children, Families & Education","Repairs, Maintenance and Running Costs"
Aug10414,KENT TOP TEMPS LTD,2-Aug-10,"5,849.45","Children, Families & Education",Agency Staff
Aug10492,E.ON ENERGY,2-Aug-10,"6,453.11","Children, Families & Education",Electricity
Aug10651,JACOBS ENGINEERING UK LTD#CONSULTANTS,2-Aug-10,"8,150.00","Children, Families & Education",Design Fees - External
Aug10691,FARIBA MIRTORABI,2-Aug-10,"8,600.00","Children, Families & Education","Repairs, Alterations and Maintenance of Buildings"
Aug10775,WESTERHAM DAY NURSERY#543586,2-Aug-10,"9,700.00","Children, Families & Education",Capital Grants and Advances
Aug10888,HOME-START MAIDSTONE,2-Aug-10,"12,000.00","Children, Families & Education",Specialists Fees
Aug10889,HOME-START MAIDSTONE,2-Aug-10,"12,000.00","Children, Families & Education",Grants
Aug10890,HOME-START MAIDSTONE,2-Aug-10,"12,000.00","Children, Families & Education",Grants
Aug10937,THE PARENTS CONSORTIUM,2-Aug-10,"13,000.00","Children, Families & Education",Specialists Fees
Aug10950,HYTHE HOUSE SUPPORT LTD-LYNDHURST NURSERY#405/543542,2-Aug-10,"13,391.00","Children, Families & Education",Capital Grants and Advances
Aug11032,STEP BY STEP: A SCHOOL FOR AUTISTIC CHILDREN,2-Aug-10,"16,593.34","Children, Families & Education",Agency and Contracted Services
Aug11042,NEILCOTT CONSTRUCTION LTD#NEW,2-Aug-10,"16,977.35","Children, Families & Education",Building Works - Main Contract
Aug11055,STEP BY STEP: A SCHOOL FOR AUTISTIC CHILDREN,2-Aug-10,"17,772.34","Children, Families & Education",Agency and Contracted Services
Aug11065,NEILCOTT CONSTRUCTION LTD#NEW,2-Aug-10,"18,508.54","Children, Families & Education",Building Works - Main Contract
Aug11155,SENAD LIMITED,2-Aug-10,"27,947.81","Children, Families & Education",Agency and Contracted Services
Aug11237,P & S WARING T/A PAUL WARING#NEW,2-Aug-10,"35,025.45","Children, Families & Education",Building Works - Main Contract
Aug11281,B W MAY & SON LTD#NEW,2-Aug-10,"41,148.30","Children, Families & Education",Building Works - Main Contract
Aug11441,F M CONWAY LTD#NEW,2-Aug-10,"58,900.00","Children, Families & Education",Building Works - Main Contract
Aug11449,BUILT OFFSITE LIMITED#NEW,2-Aug-10,"60,405.84","Children, Families & Education",Specialists Fees
Aug11471,S T ABBOTT LIMITED#NEW,2-Aug-10,"65,549.47","Children, Families & Education",Building Works - Main Contract
