"NHS Bath and North East Somerset CCG - Expenditure over £25,000 - November 2018",,,,,,,,,
"In some cases, items shown are under £25,000. This is because an invoice has either been split for accounting purposes or VAT has been reclaimed reseulting in a net amount lower than £25,000",,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Training Expenses,NON RECURRENT PROGRAMMES,BANES ENHANCED MEDICAL SERVICES + LTD,24917353,"£76,075.00",,BEMSCEPNOCT2018
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Commercial Sector,MATERNITY SERVICES,BATH FERTILITY CENTRE LTD,24969382,"£32,060.00",,12991
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,BATH&NORTH EAST SOMERSET COUNCIL,24619155,"£492,003.42",,6730728
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,BATH&NORTH EAST SOMERSET COUNCIL,24619155,"£57,685.08",,6730728
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec NHS Trust-Contract Baseline,LEARNING DIFFICULTIES,BATH&NORTH EAST SOMERSET COUNCIL,24619155,"£3,906.83",,6730728
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,BATH&NORTH EAST SOMERSET COUNCIL,24634236,"£44,947.50",,6730731
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Voluntary Sector,INTERMEDIATE CARE,BATH&NORTH EAST SOMERSET COUNCIL,24634236,"£2,500.00",,6730731
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Cont Care- Children,CHC CHILDREN,BATH&NORTH EAST SOMERSET COUNCIL,24634236,"£32,683.00",,6730731
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,BATH&NORTH EAST SOMERSET COUNCIL,24634247,"£248,546.33",,673070X
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - COLLABORATIVE COMMISSIONING,BATH&NORTH EAST SOMERSET COUNCIL,24634247,"£3,583.33",,673070X
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Cont Care-Interim Funding(Pre Panel),CHC ADULT FULLY FUNDED,BATH&NORTH EAST SOMERSET COUNCIL,24653355,"£42,912.86",,6731025
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,BATH&NORTH EAST SOMERSET COUNCIL,24683920,"£2,068,294.16",,6730825
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Othe Public Sector,CARERS,BATH&NORTH EAST SOMERSET COUNCIL,24706246,"£1,875.44",,6730682
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Othe Public Sector,REABLEMENT,BATH&NORTH EAST SOMERSET COUNCIL,24706246,"£731,253.58",,6730682
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BATH&NORTH EAST SOMERSET COUNCIL,24938927,"£497,977.24",,674733X
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,BATH&NORTH EAST SOMERSET COUNCIL,24938930,"£137,327.75",,6747294
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,BATH&NORTH EAST SOMERSET COUNCIL,24938930,"£60,419.63",,6747294
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Cont Care-Mental Health (<65),CHC ADULT FULLY FUNDED,BATH&NORTH EAST SOMERSET COUNCIL,24938930,"£11,691.00",,6747294
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BATH&NORTH EAST SOMERSET COUNCIL,24938930,"£52,228.18",,6747294
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,BATH&NORTH EAST SOMERSET COUNCIL,24938930,"£105,114.14",,6747294
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,BATHEASTON MEDICAL CENTRE,24665166,£205.58,,BRS000036849
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BATHEASTON MEDICAL CENTRE,24665166,"£47,378.50",,BRS000036849
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BATHEASTON MEDICAL CENTRE,24665166,"£1,057.35",,BRS000036849
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BATHEASTON MEDICAL CENTRE,24665166,£655.92,,BRS000036849
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BATHEASTON MEDICAL CENTRE,24665166,£208.37,,BRS000036849
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,BATHEASTON MEDICAL CENTRE,24665166,"£1,194.35",,BRS000036849
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BATHEASTON MEDICAL CENTRE,24665166,"£5,469.47",,BRS000036849
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BATHEASTON MEDICAL CENTRE,24665166,"£4,362.41",,BRS000036849
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,24537494,"-£60,281.40",GB235134980,0000098251
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,24566772,"£172,678.67",GB235134980,0000099194
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,24832417,"-£40,690.42",GB235134980,0000099987
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,24917369,"-£39,533.56",GB235134980,0000100269
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Independent Sector,NCAS/OATS,BRISTOL COMMUNITY HEALTH CIC,24832399,"£39,957.00",116149948,41267813
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CARE UK CLINICAL SERVICES LTD,24619176,"£25,930.00",,100080481
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,CHEW MEDICAL PRACTICE,24665168,£295.35,,BRS000036851
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS CCG Constitution,LOCAL ENHANCED SERVICES,CHEW MEDICAL PRACTICE,24665168,"£3,508.44",,BRS000036851
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEW MEDICAL PRACTICE,24665168,"£68,611.37",,BRS000036851
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CHEW MEDICAL PRACTICE,24665168,"£1,483.27",,BRS000036851
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHEW MEDICAL PRACTICE,24665168,£280.00,,BRS000036851
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CHEW MEDICAL PRACTICE,24665168,£346.91,,BRS000036851
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,CHEW MEDICAL PRACTICE,24665168,£288.63,,BRS000036851
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEW MEDICAL PRACTICE,24665168,"£11,612.50",,BRS000036851
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHEW MEDICAL PRACTICE,24665168,"£7,056.12",,BRS000036851
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CHEW MEDICAL PRACTICE,24905254,"-£92,074.70",,BRS000037129
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,CHEW MEDICAL PRACTICE,24905254,"-£7,920.00",,BRS000037129
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CHEW MEDICAL PRACTICE,24905255,"£183,598.32",,BRS000037130
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,CHEW MEDICAL PRACTICE,24905255,"£33,281.26",,BRS000037130
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,CHEW MEDICAL PRACTICE,24905255,"£7,920.00",,BRS000037130
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CIRCLE HOSPITAL (BATH) LTD,24566757,"£383,700.64",727465121-1,103246
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CIRCLE HOSPITAL (BATH) LTD,24832421,"-£91,869.21",727465121-1,CR100414
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CIRCLE HOSPITAL (BATH) LTD,24832426,"-£42,075.22",727465121-1,CR100412
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,COMBE DOWN SURGERY,24665170,£279.84,,BRS000036853
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,COMBE DOWN SURGERY,24665170,"£63,450.16",,BRS000036853
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,COMBE DOWN SURGERY,24665170,"£1,442.58",,BRS000036853
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,COMBE DOWN SURGERY,24665170,£280.00,,BRS000036853
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,COMBE DOWN SURGERY,24665170,£676.05,,BRS000036853
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,COMBE DOWN SURGERY,24665170,£282.90,,BRS000036853
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,COMBE DOWN SURGERY,24665170,"£9,650.85",,BRS000036853
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,COMBE DOWN SURGERY,24665170,"£12,022.48",,BRS000036853
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,COMBE DOWN SURGERY,24665170,"£5,689.01",,BRS000036853
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ELM HAYES SURGERY,24665172,£262.38,,BRS000036855
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ELM HAYES SURGERY,24665172,"£58,003.45",,BRS000036855
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ELM HAYES SURGERY,24665172,"£1,376.71",,BRS000036855
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ELM HAYES SURGERY,24665172,£840.00,,BRS000036855
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ELM HAYES SURGERY,24665172,£527.44,,BRS000036855
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ELM HAYES SURGERY,24665172,£269.64,,BRS000036855
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,ELM HAYES SURGERY,24665172,£851.57,,BRS000036855
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ELM HAYES SURGERY,24665172,"£11,143.25",,BRS000036855
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ELM HAYES SURGERY,24665172,"£6,575.97",,BRS000036855
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ELM HAYES SURGERY,24905258,"£57,961.52",,BRS000037133
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ELM HAYES SURGERY,24905258,"£10,603.06",,BRS000037133
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ELM HAYES SURGERY,24905258,"£1,205.60",,BRS000037133
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,FAIRFIELD PARK HEALTH CENTRE,24665174,"£1,543.97",,BRS000036857
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FAIRFIELD PARK HEALTH CENTRE,24665174,"£79,116.67",,BRS000036857
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,FAIRFIELD PARK HEALTH CENTRE,24665174,"£2,057.86",,BRS000036857
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,FAIRFIELD PARK HEALTH CENTRE,24665174,"£2,068.35",,BRS000036857
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,FAIRFIELD PARK HEALTH CENTRE,24665174,£398.49,,BRS000036857
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,FAIRFIELD PARK HEALTH CENTRE,24665174,"£11,666.67",,BRS000036857
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,FAIRFIELD PARK HEALTH CENTRE,24665174,£928.66,,BRS000036857
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FAIRFIELD PARK HEALTH CENTRE,24665174,"£6,025.10",,BRS000036857
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,24581018,"£52,771.58",654 945 011,16980858
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,GROSVENOR MEDICAL CENTRE BATH,24665178,£114.30,,BRS000036861
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GROSVENOR MEDICAL CENTRE BATH,24665178,"£20,801.73",,BRS000036861
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,GROSVENOR MEDICAL CENTRE BATH,24665178,£481.81,,BRS000036861
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,GROSVENOR MEDICAL CENTRE BATH,24665178,"£1,006.49",,BRS000036861
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,GROSVENOR MEDICAL CENTRE BATH,24665178,£94.23,,BRS000036861
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,GROSVENOR MEDICAL CENTRE BATH,24665178,"£1,559.59",,BRS000036861
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GROSVENOR MEDICAL CENTRE BATH,24665178,"£2,400.00",,BRS000036861
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GROSVENOR MEDICAL CENTRE BATH,24665178,"£2,026.04",,BRS000036861
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,24959309,"£61,329.00",654923417,3226346
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Non Contract,PATIENT TRANSPORT,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,24959309,£988.00,654923417,3226346
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,24959337,"£34,936.78",654923417,3240280
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Non Contract,PATIENT TRANSPORT,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,24959337,"£1,697.22",654923417,3240280
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24665176,£204.44,,BRS000036859
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24665176,"£45,958.67",,BRS000036859
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24665176,"£1,045.79",,BRS000036859
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24665176,£560.00,,BRS000036859
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24665176,£756.46,,BRS000036859
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24665176,£204.39,,BRS000036859
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24665176,"£1,612.94",,BRS000036859
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24665176,"£4,214.17",,BRS000036859
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24665176,"£4,359.49",,BRS000036859
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,HARPTREE SURGERY,24905260,"-£55,440.31",,BRS000037135
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24905260,"-£4,989.60",,BRS000037135
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,HARPTREE SURGERY,24905261,"£112,961.12",,BRS000037136
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,HARPTREE SURGERY,24905261,"£22,133.47",,BRS000037136
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,HARPTREE SURGERY,24905261,"£4,989.60",,BRS000037136
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665209,-£683.42,,BRS000036894
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665209,"-£18,627.82",,BRS000036894
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665209,-£199.90,,BRS000036894
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665209,"-£1,046.25",,BRS000036894
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665209,"-£12,196.76",,BRS000036894
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665209,"-£14,455.98",,BRS000036894
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665210,£943.05,,BRS000036895
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS CCG Constitution,LOCAL ENHANCED SERVICES,HEART OF BATH MEDICAL PARTNERSHIP,24665210,"£6,088.33",,BRS000036895
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665210,"£193,192.97",,BRS000036895
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665210,"£4,486.05",,BRS000036895
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665210,"£1,400.00",,BRS000036895
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665210,"£4,849.01",,BRS000036895
