"TABLE 13 ADMISSIONS BY ADMISSION TYPE, BY HEALTH ORGANISATION, 2014 - 2016",,,,,,,,,,,,
X,288,(32.0),27,(3.0),177,(19.7),406,(45.2),1,(0.1),899,(4.5)
Y,146,(38.3),18,(4.7),6,(1.6),211,(55.4),0,(0.0),381,(1.9)
Z,47,(10.7),29,(6.6),16,(3.6),349,(79.1),0,(0.0),441,(2.2)
ZA,424,(45.1),66,(7.0),18,(1.9),427,(45.4),6,(0.6),941,(4.7)
ZB,167,(26.5),46,(7.3),14,(2.2),403,(64.0),0,(0.0),630,(3.2)
ZC,367,(39.0),31,(3.3),72,(7.6),472,(50.1),0,(0.0),942,(4.7)
ZD,120,(26.3),22,(4.8),10,(2.2),304,(66.7),0,(0.0),456,(2.3)
ZE,138,(69.3),2,(1.0),42,(21.1),17,(8.5),0,(0.0),199,(1.0)
ZF,36,(50.7),4,(5.6),14,(19.7),15,(21.1),2,(2.8),71,(0.4)
Total,"6,835",(34.2),"1,104",(5.5),"1,091",(5.5),"10,939",(54.7),16,(0.1),"19,985",(100.0)
2016,,,,,,,,,,,,
A,168,(26.4),45,(7.1),57,(9.0),365,(57.4),1,(0.2),636,(3.1)
C,145,(27.4),28,(5.3),10,(1.9),347,(65.5),0,(0.0),530,(2.6)
D,136,(18.6),67,(9.2),9,(1.2),519,(70.9),1,(0.1),732,(3.6)
E1,214,(21.6),45,(4.5),172,(17.4),560,(56.5),0,(0.0),991,(4.9)
E2,595,(69.5),14,(1.6),59,(6.9),188,(22.0),0,(0.0),856,(4.2)
F,413,(35.8),53,(4.6),54,(4.7),634,(54.9),0,(0.0),"1,154",(5.7)
G,0,(0.0),2,(15.4),0,(0.0),11,(84.6),0,(0.0),13,(0.1)
H,139,(24.1),41,(7.1),36,(6.3),360,(62.5),0,(0.0),576,(2.8)
I,358,(47.8),52,(6.9),17,(2.3),322,(43.0),0,(0.0),749,(3.7)
K2,181,(58.2),13,(4.2),34,(10.9),83,(26.7),0,(0.0),311,(1.5)
K3,156,(25.0),70,(11.2),21,(3.4),377,(60.4),0,(0.0),624,(3.1)
L,20,(7.5),4,(1.5),12,(4.5),230,(86.5),0,(0.0),266,(1.3)
M,155,(24.5),41,(6.5),30,(4.7),406,(64.1),1,(0.2),633,(3.1)
N,334,(39.5),26,(3.1),19,(2.2),466,(55.1),0,(0.0),845,(4.2)
O,374,(57.4),6,(0.9),38,(5.8),233,(35.7),1,(0.2),652,(3.2)
P,392,(41.6),27,(2.9),19,(2.0),504,(53.5),0,(0.0),942,(4.6)
Q,189,(26.2),44,(6.1),34,(4.7),452,(62.7),2,(0.3),721,(3.5)
R,327,(37.1),29,(3.3),13,(1.5),513,(58.2),0,(0.0),882,(4.3)
S,18,(11.0),1,(0.6),6,(3.7),138,(84.7),0,(0.0),163,(0.8)
T,164,(27.3),27,(4.5),9,(1.5),399,(66.5),1,(0.2),600,(3.0)
U,22,(6.7),16,(4.9),3,(0.9),288,(87.5),0,(0.0),329,(1.6)
V,454,(32.2),82,(5.8),44,(3.1),829,(58.8),0,(0.0),"1,409",(6.9)
W,291,(41.8),35,(5.0),10,(1.4),361,(51.8),0,(0.0),697,(3.4)
X,278,(32.6),21,(2.5),124,(14.6),428,(50.2),1,(0.1),852,(4.2)
Y,129,(25.0),30,(5.8),25,(4.9),331,(64.3),0,(0.0),515,(2.5)
Z,34,(8.9),31,(8.1),10,(2.6),309,(80.5),0,(0.0),384,(1.9)
ZA,439,(45.2),75,(7.7),17,(1.7),440,(45.3),1,(0.1),972,(4.8)
ZB,135,(24.2),48,(8.6),16,(2.9),358,(64.3),0,(0.0),557,(2.7)
ZC,343,(33.3),42,(4.1),57,(5.5),589,(57.1),0,(0.0),"1,031",(5.1)
ZD,86,(23.2),14,(3.8),20,(5.4),250,(67.6),0,(0.0),370,(1.8)
ZE,153,(63.2),2,(0.8),68,(28.1),19,(7.9),0,(0.0),242,(1.2)
ZF,44,(50.6),7,(8.0),20,(23.0),15,(17.2),1,(1.1),87,(0.4)
Total,"6,886",(33.9),"1,038",(5.1),"1,063",(5.2),"11,324",(55.7),10,(0.0),"20,321",(100.0)
Grand Total,"20,517",(34.1),"3,112",(5.2),"3,466",(5.8),"32,910",(54.8),83,(0.1),"60,088",(100.0)
Totals may differ from Table 12 as unknown age is not excluded,,,,,,,,,,,,
"FIGURE 13 ADMISSIONS BY ADMISSION TYPE, BY HEALTH ORGANISATION, 2014 - 2016",,,,,,,,,,,,
