Table 1.43 Trafford Reported Road Casualty Data by Age Group 1989-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,180,156.0,131,133.0,116,126.0,126.0,132.0,134.0,108.0,117.0,103.0,86.0,78.0,77.0,56.0,68.0,88.0,82.0,97.0,97.0,67.0,72.0,65.0,50.0,69.0
TWPV Riders,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 20 years,Male,41,32.0,15,7.0,6,2.0,5.0,4.0,10.0,3.0,6.0,10.0,7.0,13.0,16.0,11.0,7.0,8.0,8.0,3.0,10.0,7.0,6.0,2.0,1.0,4.0
,Female,3,4.0,-,1.0,-,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20 – 29,Male,47,35.0,28,29.0,21,16.0,8.0,9.0,9.0,9.0,11.0,19.0,10.0,7.0,9.0,6.0,9.0,9.0,6.0,5.0,10.0,6.0,4.0,7.0,4.0,9.0
,Female,-,8.0,2,1.0,2,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Over 29 years,Male,36,25.0,32,27.0,25,25.0,15.0,19.0,19.0,14.0,25.0,32.0,28.0,35.0,41.0,18.0,17.0,20.0,17.0,13.0,13.0,16.0,14.0,20.0,15.0,11.0
,Female,9,6.0,2,2.0,6,3.0,3.0,2.0,6.0,0.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
,Total,136,110.0,79,67.0,60,48.0,33.0,34.0,44.0,29.0,46.0,65.0,49.0,60.0,72.0,39.0,34.0,40.0,33.0,21.0,34.0,34.0,25.0,31.0,21.0,26.0
Car Drivers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 20 years,Male,25,36.0,44,22.0,26,31.0,30.0,28.0,22.0,37.0,31.0,20.0,28.0,21.0,8.0,19.0,17.0,19.0,15.0,15.0,10.0,11.0,8.0,8.0,4.0,4.0
,Female,20,26.0,26,23.0,19,18.0,17.0,25.0,16.0,13.0,11.0,21.0,17.0,16.0,14.0,10.0,7.0,8.0,11.0,10.0,14.0,10.0,4.0,3.0,0.0,2.0
20 – 29,Male,88,78.0,86,68.0,92,72.0,84.0,84.0,93.0,118.0,84.0,71.0,74.0,64.0,67.0,55.0,48.0,59.0,50.0,38.0,33.0,29.0,36.0,31.0,18.0,22.0
,Female,68,76.0,98,88.0,91,100.0,90.0,100.0,73.0,92.0,105.0,94.0,67.0,75.0,60.0,38.0,47.0,56.0,35.0,42.0,49.0,36.0,28.0,30.0,27.0,14.0
Over 29 years,Male,126,124.0,122,130.0,122,127.0,128.0,120.0,169.0,167.0,188.0,205.0,162.0,151.0,130.0,130.0,128.0,105.0,82.0,100.0,83.0,75.0,67.0,52.0,52.0,68.0
,Female,83,98.0,104,124.0,123,157.0,163.0,136.0,145.0,165.0,184.0,190.0,143.0,138.0,124.0,104.0,97.0,104.0,104.0,96.0,73.0,85.0,67.0,49.0,68.0,59.0
,Total,410,438.0,480,455.0,473,505.0,512.0,493.0,518.0,592.0,603.0,601.0,491.0,465.0,403.0,356.0,344.0,351.0,297.0,301.0,262.0,246.0,210.0,173.0,169.0,169.0
Note: The definition of car was revised from 1/4/99 to exclude invalid tricycles and motor caravans,,,,,,,,,,,,,,,,,,,,,,,,,,,
