Table L3,,,,,,,,,,,Index
"Total number and rate of completed 'off contract' service requests1 in the United Kingdom2, split by requester type and service type, annually 2013 - 2016, quarterly Q1 2014 - Q2 2017  ",,,,,,,,,,,
Service type,Year,Quarter,Total 'off contract' completed requests,Requester type4,,,,,,,
,,Q4,80,39,(49%),38,(48%),3,(4%),-,-
,2016,Q1,102,28,27%,65,64%,9,9%,-,-
,,Q2,102,15,15%,82,80%,5,5%,-,-
,,Q3,152,25,16%,109,72%,18,12%,-,-
,,Q4,132,28,21%,97,73%,7,5%,-,-
,2017,Q1,158,30,19%,124,78%,4,3%,-,-
,,Q2,151,27,18%,116,77%,8,5%,-,-
Special services12,2014,,13,8,(62%),2,(15%),3,(23%),-,-
,2015,,6,1,(17%),4,(67%),1,(17%),-,-
,2016,,57,1,(2%),50,(88%),6,(11%),-,-
,2014,Q1,4,3,(75%),-,-,1,(25%),-,-
,,Q2,4,3,(75%),-,-,1,(25%),-,-
,,Q3,1,1,(100%),-,-,-,-,-,-
,,Q4,4,1,(25%),2,(50%),1,(25%),-,-
,2015,Q1,2,-,-,2,(100%),-,-,-,-
,,Q2,1,-,-,-,-,1,(100%),-,-
,,Q3,1,1,(100%),-,-,-,-,-,-
,,Q4,2,-,-,2,(100%),-,-,-,-
,2016,Q1,5,1,(20%),-,-,4,(80%),-,-
,,Q2,24,-,-,23,(96%),1,(4%),-,-
,,Q3,22,-,-,21,(95%),1,(5%),-,-
,,Q4,6,-,-,6,(100%),-,-,-,-
,2017,Q1,1,-,-,-,-,1,(100%),-,-
,,Q2,1,-,-,1,(100%),-,-,-,-
Notes:,,,,,,,,,,,
'-' = Nil,,,,,,,,,,,
() =Signifies a percentage based on less than 100 'total completed language service requests' and so should be treated with caution.,,,,,,,,,,,
1) Nothing has changed with the off-contract process during the shift in contract in October 2016. All the figures are 'official statistics'.,,,,,,,,,,,
"2) Courts, prisons and other requesters in England and Wales, and all UK tribunals not transferred to devolved governments.",,,,,,,,,,,
3) Total may not sum to 100% due to rounding.,,,,,,,,,,,
"4) Requester type rates in the table are the proportion of the total ""off-contract"" completed requests which are for a particular requester type.",,,,,,,,,,,
"5) Includes all criminal cases in magistrates' courts and Crown Court, the Central Criminal Court, Royal Courts of Justice - Criminal Appeals, North Liverpool Community Justice Centre, Warwickshire Justice Centre and HMCTS London Collection & Compliance Centre.",,,,,,,,,,,
"6) Includes all Employment tribunals, Immigration & Asylum tribunals, Social Security and Child Support tribunals and Special tribunals.",,,,,,,,,,,
"7) Includes all civil, family and county courts, Civil & Family Justice Centres, Civil & Family Hearing Centres, Huntingdon Law Courts, Royal Courts of Justice - Administrative Court, Royal Courts of Justice - Civil Appeals, the Court of Protection, and the Administrative Court for Wales.",,,,,,,,,,,
"8) Includes requests made by prisons, MoJ Shared Services and policy teams within MoJ and HMPPS.",,,,,,,,,,,
9) Data only available for 9 months of 2013.,,,,,,,,,,,
10) All languages listed in the language services framework as standard language.,,,,,,,,,,,
11) Includes all languages not included in the standard languages or special services lists.,,,,,,,,,,,
"12) Special services comprise of: British sign language, Lipspeak (English), Sign supported (English), Deafblind (all variants) and Palantypists.",,,,,,,,,,,
