Table 2.9  Reported Child (0-15) Road Casualties by District and Severity 1994-2014,,,,,,,,,,,,,,,,,,,,,,,
,Slight,237.0,206.0,224.0,222.0,238.0,225.0,252.0,223.0,220.0,204.0,174.0,160.0,112.0,90.0,91.0,83.0,83.0,84.0,59.0,57.0,46.0,52.0
,Total,273.0,235.0,246.0,249.0,263.0,252.0,272.0,241.0,245.0,221.0,191.0,180.0,124.0,97.0,103.0,90.0,90.0,93.0,62.0,66.0,53.0,60.0
Salford,Fatal,1.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
,Serious,30.0,25.0,22.0,24.0,17.0,29.0,21.0,23.0,21.0,24.0,10.0,10.0,13.0,13.0,13.0,10.0,10.0,5.0,12.0,8.0,8.0,10.0
,Slight,278.0,269.0,253.0,230.0,237.0,224.0,239.0,187.0,126.0,156.0,159.0,122.0,99.0,104.0,91.0,94.0,94.0,76.0,131.0,68.0,68.0,72.0
,Total,309.0,297.0,275.0,255.0,254.0,253.0,261.0,213.0,150.0,180.0,169.0,135.0,112.0,117.0,104.0,104.0,104.0,81.0,144.0,77.0,76.0,82.0
Stockport,Fatal,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Serious,15.0,18.0,22.0,14.0,7.0,16.0,14.0,14.0,14.0,12.0,10.0,11.0,9.0,7.0,10.0,12.0,12.0,3.0,12.0,5.0,5.0,7.0
,Slight,227.0,214.0,183.0,209.0,206.0,200.0,181.0,183.0,135.0,142.0,146.0,99.0,122.0,76.0,72.0,72.0,72.0,82.0,65.0,52.0,49.0,26.0
,Total,242.0,233.0,205.0,224.0,213.0,216.0,195.0,198.0,149.0,154.0,156.0,110.0,132.0,84.0,82.0,84.0,84.0,85.0,77.0,57.0,54.0,33.0
Tameside,Fatal,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Serious,26.0,33.0,20.0,43.0,29.0,24.0,18.0,30.0,21.0,25.0,27.0,16.0,18.0,9.0,15.0,11.0,11.0,10.0,8.0,4.0,9.0,8.0
,Slight,188.0,203.0,179.0,184.0,193.0,157.0,199.0,145.0,159.0,138.0,130.0,118.0,104.0,85.0,78.0,88.0,88.0,61.0,66.0,61.0,40.0,56.0
,Total,216.0,236.0,200.0,228.0,222.0,182.0,217.0,175.0,181.0,163.0,157.0,135.0,124.0,95.0,94.0,99.0,99.0,71.0,74.0,65.0,49.0,64.0
Trafford,Fatal,3.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
,Serious,19.0,18.0,17.0,17.0,11.0,21.0,13.0,8.0,4.0,6.0,9.0,10.0,11.0,8.0,8.0,4.0,4.0,6.0,2.0,10.0,4.0,7.0
,Slight,160.0,145.0,152.0,159.0,153.0,171.0,148.0,108.0,132.0,88.0,83.0,82.0,84.0,57.0,77.0,58.0,58.0,55.0,52.0,42.0,34.0,42.0
,Total,182.0,164.0,170.0,177.0,164.0,193.0,161.0,118.0,137.0,95.0,92.0,92.0,96.0,66.0,85.0,63.0,63.0,61.0,54.0,52.0,38.0,49.0
 Wigan,Fatal,1.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
,Serious,36.0,34.0,34.0,39.0,36.0,26.0,26.0,31.0,31.0,24.0,24.0,26.0,14.0,16.0,16.0,13.0,13.0,13.0,12.0,11.0,12.0,15.0
,Slight,285.0,261.0,306.0,322.0,348.0,300.0,266.0,271.0,284.0,205.0,190.0,143.0,154.0,119.0,123.0,115.0,115.0,90.0,101.0,62.0,70.0,50.0
,Total,322.0,295.0,343.0,361.0,385.0,328.0,294.0,304.0,315.0,231.0,215.0,173.0,168.0,136.0,139.0,130.0,130.0,104.0,114.0,73.0,82.0,65.0
Greater Manchester,Fatal,18.0,12.0,13.0,16.0,10.0,6.0,9.0,17.0,9.0,11.0,7.0,10.0,6.0,5.0,2.0,6.0,6.0,3.0,3.0,3.0,1.0,0.0
,Serious,335.0,297.0,285.0,296.0,238.0,264.0,227.0,237.0,208.0,214.0,194.0,195.0,160.0,135.0,137.0,123.0,123.0,125.0,110.0,86.0,91.0,101.0
,Slight,2556.0,2408.0,2456.0,2558.0,2516.0,2425.0,2388.0,2218.0,2015.0,1903.0,1765.0,1523.0,1429.0,1156.0,1066.0,1072.0,1072.0,935.0,966.0,711.0,664.0,652.0
,Total,2909.0,2717.0,2754.0,2870.0,2764.0,2695.0,2624.0,2472.0,2232.0,2128.0,1966.0,1728.0,1595.0,1296.0,1205.0,1201.0,1201.0,1063.0,1079.0,800.0,756.0,753.0
