Other Treasury,18.216,18.667,16.121,18.614,20.09,23.281,20.935,25.677,26.552,25.499,26.75,24.743,24.511,25.067,28.831,27.773,29.869,41.396,30.952,19.784,19.69,28.126,32.915,44.424,30.72,27.783,29.621,76.009,101.344,100.581,117.39,161.25,205.904,206.002,181.144,210.781,288.131,281.348,382.419,401.394,474.965,506.062,695.464,648.649,707.183,616.637,552.837,627.95,400.058,254.634,93.423,237.74,330.971,306.163,238.078,-5.188,79.222,2.6199391579506406,1.205662464899213,0.7137481737133572,0.194103931970568
Agency and Government-sponsored enterprises-backed securities,0.0,0.155,0.148,0.606,0.96,1.464,0.834,2.268,1.034,0.593,0.236,0.001,0.246,1.133,5.851,6.266,6.121,11.306,15.944,14.616,8.899,8.333,13.67,7.585,11.693,8.373,9.911,12.501,18.601,14.225,13.425,14.519,27.693,23.485,24.08,32.765,53.285,75.582,119.217,117.239,116.509,61.865,193.518,223.042,340.797,398.859,452.252,551.985,608.681,441.475,299.866,437.337,405.402,501.148,434.163,739.73,920.395,0.8167514861798224,1.834393599921306,1.1683105723425151,2.255084300649453
Municipal securities,10.957,13.873,15.964,19.174,21.9,23.851,24.616,28.362,31.007,32.506,32.087,32.094,34.854,36.531,41.151,38.208,36.49,47.244,47.144,45.97,47.684,55.136,62.164,66.809,72.859,78.835,104.168,123.569,130.055,160.273,201.055,246.654,290.436,395.065,410.85,516.598,586.008,613.331,647.709,701.809,672.194,640.834,594.125,533.354,492.959,497.641,498.712,528.08,531.224,580.794,678.386,703.753,742.378,820.959,873.641,906.807,959.845,4.4374316444974005,1.6009599539407275,1.9138758992547888,2.3517417962471265
Corporate and foreign bonds,5.997,5.987,4.852,4.975,6.111,7.176,7.924,8.217,10.612,10.84,10.211,10.143,10.29,9.001,11.099,15.075,18.002,22.006,29.738,37.357,38.506,41.469,54.41,64.342,74.338,79.795,73.633,66.608,59.009,59.97,53.025,57.022,44.659,94.71,127.826,144.646,135.149,178.05,237.642,270.941,283.158,320.614,359.35,466.523,514.632,526.9,590.516,509.362,553.903,717.038,1056.373,971.053,1145.113,1303.667,1563.857,1842.038,1600.856,1.6280770081342877,1.6693080910644678,3.0391978794967747,3.9222999181878224
Other loans and advances \1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,6.0,9.0,8.0,16.0,17.0,0.0,0.0060274383459359,0.0209814169688049,0.0416521527290355
Mortgages,19.236,20.232,21.367,22.667,24.268,26.226,28.834,30.746,33.521,36.783,38.955,40.476,42.045,42.559,44.564,46.49,48.965,49.123,49.99,47.291,48.198,47.167,50.532,50.422,52.779,55.334,62.397,71.562,87.215,101.367,110.86,111.156,102.545,115.486,111.917,119.488,121.825,130.716,140.912,142.721,136.802,129.361,120.517,113.288,105.763,98.66,94.323,101.572,103.423,108.704,116.015,121.262,132.068,142.166,117.444,96.952,94.177,0.9653831703580122,0.3116878780258645,0.3314271249763463,0.2307455757389637
Corporate equities \2,150.984,145.753,198.838,248.246,270.997,244.492,322.286,357.289,359.768,443.217,431.23,469.895,544.127,616.096,548.264,682.128,815.334,667.356,650.213,743.724,921.384,693.87,445.034,584.599,731.643,631.269,639.962,768.059,1010.388,905.159,966.342,1088.573,1008.673,1229.495,1494.043,1462.599,1757.115,2147.477,1961.368,2759.193,3094.169,3436.996,3294.2,4434.15,4712.249,6144.29,7511.207,9769.854,8147.325,6829.468,5161.236,6787.73,7495.933,8004.388,9198.649,9158.176,5502.438,13.437263384798696,24.55374956090112,18.66037802312204,13.48166987988524
Mutual fund shares,3.932,4.146,6.11,7.839,9.046,8.714,13.242,15.818,17.026,22.875,20.909,24.819,28.447,34.41,33.85,42.973,49.529,45.578,44.501,53.006,56.383,43.695,31.813,38.749,41.436,40.355,41.08,44.798,52.06,52.64,65.11,98.04,117.502,213.77,378.721,424.538,439.144,513.038,511.525,645.038,799.428,1098.012,1096.563,1252.996,1561.468,1948.753,2351.845,2894.935,2704.178,2614.633,2218.436,2904.297,3417.414,3839.327,4410.061,4873.381,3254.095,3.5044398363331877,8.149633085718131,8.950502296287867,7.972944819693589
Security credit,0.714,0.708,1.02,0.899,0.882,0.894,1.156,0.989,1.137,1.192,1.226,1.222,1.669,2.533,2.73,4.943,7.039,5.221,4.354,4.886,5.022,4.866,3.891,4.468,5.73,5.739,8.521,10.354,16.236,14.729,17.838,20.557,21.573,35.051,44.015,39.103,40.886,53.19,62.425,87.013,76.23,102.269,108.971,127.569,162.859,215.452,276.675,323.88,412.434,454.329,412.699,475.36,578.316,575.308,655.663,866.424,742.66,0.4276714858180915,1.2429602533838644,1.3411974481654676,1.8196110438673856
Life insurance reserves,60.665,63.647,66.349,69.254,72.724,75.462,78.535,81.956,85.184,88.631,92.398,96.635,101.051,105.876,110.57,115.535,120.324,125.362,130.703,137.055,143.93,151.278,158.399,168.626,177.824,187.808,199.369,210.305,220.559,230.141,237.958,246.737,252.787,264.336,282.599,309.54,335.651,365.25,391.738,418.577,447.71,484.813,520.348,566.188,610.646,664.963,718.262,783.859,819.098,880.004,920.915,1013.152,1060.352,1082.599,1163.73,1201.518,1156.393,2.683783300142692,2.4685313471397032,2.523829003223468,2.833309285340449
Pension fund reserves \3,33.476,38.505,43.858,51.966,58.241,64.59,74.947,85.033,93.865,107.215,113.731,127.964,144.772,161.999,172.487,195.629,218.721,230.936,253.749,293.492,349.329,358.451,367.498,466.998,534.52,589.857,691.4,801.128,969.655,1063.52,1289.101,1535.809,1707.455,2088.568,2326.777,2504.83,2738.343,3168.958,3307.951,3824.775,4130.184,4605.602,4888.354,5715.281,6377.517,7354.783,8264.459,9265.165,9166.045,8766.405,8197.975,9722.378,10632.564,11368.889,12612.563,13247.357,10280.0,22.662656294488453,27.62388555678703,26.50393339789548,25.187301767910924
Equity in noncorporate business,322.273,322.062,325.802,334.907,351.121,363.065,377.804,379.169,389.209,405.765,422.023,426.574,445.591,471.727,504.969,529.511,573.899,607.546,637.798,703.483,784.496,919.281,1029.292,1128.677,1257.814,1420.119,1650.452,1915.603,2156.398,2313.791,2358.879,2418.645,2417.711,2487.139,2609.709,2701.856,2842.99,2966.185,3033.485,2998.669,2979.577,3119.627,3316.9,3486.597,3702.217,3907.738,4121.443,4320.474,4695.287,4822.923,5041.7,5544.398,6369.302,7827.581,8294.183,8436.273,7537.728,20.782299353734775,14.150276454487177,18.24819342423276,18.46838811093693
Miscellaneous assets,10.648,11.293,11.668,12.173,12.548,12.911,13.242,13.801,14.332,14.966,15.545,16.178,17.163,18.54,19.884,21.661,23.586,25.832,28.544,31.102,34.024,37.083,40.014,44.018,49.93,57.345,64.467,72.281,79.453,87.457,96.122,112.53,115.395,146.692,167.44,195.779,216.737,233.853,253.804,264.525,282.796,296.097,310.751,328.327,338.882,351.547,360.788,372.593,378.726,397.775,434.156,489.116,541.506,591.122,631.221,698.417,779.11,1.7388023033492173,1.1413738075014606,1.37806412904821,1.9089181595717004
Credit market instruments,93.875,106.083,117.401,137.951,152.872,165.307,176.137,198.076,215.58,232.266,254.251,281.156,310.302,338.731,361.248,380.428,412.835,442.68,457.086,499.394,555.405,624.89,680.286,734.343,818.922,946.713,1105.353,1276.063,1395.999,1507.184,1576.437,1731.996,1943.279,2277.781,2537.308,2755.136,3043.604,3336.885,3597.845,3785.57,3984.396,4224.505,4546.899,4856.655,5193.051,5494.254,5920.288,6416.108,7010.698,7682.876,8513.703,9500.12,10575.983,11747.123,12916.304,13765.082,13820.968,96.71883740992033,94.73784351379976,96.3809010120996,97.0434708852764
Home mortgages \4,58.433,65.95,75.3,87.878,98.686,107.317,117.124,130.044,141.324,153.976,168.256,185.054,202.282,219.397,232.689,245.857,262.817,278.575,285.897,309.404,343.49,382.154,419.277,459.028,517.013,602.953,708.593,826.675,926.486,998.221,1031.147,1116.227,1242.83,1449.561,1648.339,1827.851,2054.156,2277.347,2505.711,2682.852,2854.0,3012.913,3180.335,3334.369,3539.85,3755.94,4057.523,4435.197,4820.891,5327.779,6034.217,6886.003,7838.613,8879.339,9843.407,10494.942,10453.668,67.35961521556621,65.14626891004085,72.85176917036415,73.40008501592258
Consumer credit,30.522,34.614,35.963,42.949,46.58,49.217,49.49,57.213,61.248,63.435,69.344,77.87,87.352,97.489,103.422,108.567,119.324,129.231,133.66,149.243,168.757,192.98,201.926,206.996,228.961,264.892,311.305,354.616,358.044,377.882,396.718,444.878,526.584,610.574,666.355,698.64,745.206,809.285,824.391,815.581,824.769,886.169,1021.168,1168.16,1273.878,1344.165,1441.272,1553.622,1741.267,1892.005,1999.936,2104.368,2219.41,2313.862,2418.258,2551.895,2596.193,22.161638172628788,23.530307618691253,18.98440191506115,18.229083506166745
Municipal securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.3,2.7,4.7,8.1,10.7,13.6,16.7,21.1,29.6,41.0,51.171,81.334,78.372,78.073,79.564,82.715,85.694,89.511,91.891,92.952,96.138,96.359,102.44,109.571,121.329,131.742,137.501,151.328,164.237,178.328,188.616,205.124,226.894,249.536,270.64,2.3036634577102992,1.8580957589374092,1.6829683267303768,1.9002898321153192
"Bank loans, not elsewhere classified",0.238,0.316,0.444,1.652,1.039,1.416,1.008,1.235,1.89,2.612,3.118,3.51,4.825,4.407,5.133,5.524,6.213,6.774,6.076,7.307,7.618,11.243,16.837,23.004,23.355,23.434,23.142,22.386,27.837,33.48,35.081,35.609,21.996,31.026,30.977,31.852,29.991,20.413,17.853,13.088,17.595,27.369,40.044,57.421,57.968,66.47,71.978,65.235,65.366,43.645,21.093,52.827,35.452,48.286,96.281,107.686,124.338,0.47993212722596656,0.8833120295758045,0.3961691885128165,0.8730351653323772
Other loans and advances,2.902,3.13,3.375,3.605,3.892,4.355,4.821,5.433,6.252,6.977,7.744,8.407,9.155,9.97,11.941,13.262,15.315,18.299,20.9,22.273,23.608,26.174,29.384,31.544,33.386,35.201,38.609,44.413,52.095,60.964,66.825,68.776,69.81,72.22,74.987,74.323,75.686,74.317,81.663,89.077,95.279,96.574,107.704,108.414,122.306,122.959,122.57,117.776,119.117,120.018,120.171,118.691,118.999,119.039,123.794,126.992,131.873,2.1953003587998716,1.609666784367731,0.9766719966735112,0.9259419192674532
Commercial mortgages,1.781,2.073,2.319,1.867,2.674,3.002,3.694,4.151,4.866,5.267,5.788,6.316,6.688,7.468,8.063,7.218,9.166,9.801,10.553,11.167,11.931,11.939,11.562,11.072,11.507,12.132,13.004,14.372,14.836,15.537,17.066,25.507,30.889,33.066,38.279,44.397,59.0,72.807,82.532,95.461,100.863,108.528,101.51,91.932,96.61,95.149,105.617,112.536,126.556,148.101,174.049,159.904,174.893,181.473,207.67,234.031,244.256,2.2186611955533224,1.7101924121866952,1.4889204147576185,1.7150354464719166
Security credit,1.466,1.83,2.606,3.042,3.082,2.745,3.693,3.686,3.565,4.602,4.479,5.987,5.519,5.867,5.822,8.866,11.497,8.198,6.909,9.45,13.08,8.918,7.39,8.286,12.51,14.527,17.145,17.458,24.737,23.023,25.791,34.177,31.834,50.699,57.429,41.797,43.506,42.54,38.809,55.066,53.474,76.123,75.051,78.593,94.411,131.172,152.761,227.926,235.134,196.359,148.201,182.5,264.019,232.447,292.099,325.534,164.838,1.0432804528937734,3.1774422599253005,1.9071436723323247,1.1574045793165275
Trade payables,1.133,1.212,1.298,1.381,1.53,1.658,1.809,2.2,2.31,2.5,2.63,2.94,3.2,3.62,3.97,4.6,5.15,5.82,6.46,7.34,8.18,8.91,10.06,10.555,10.717,11.092,11.879,12.627,13.806,14.776,15.607,18.048,21.191,24.317,26.589,31.272,41.271,57.444,66.788,76.202,82.073,88.063,93.23,101.09,109.116,118.008,126.753,130.895,134.711,132.852,151.96,156.8,173.251,186.288,199.916,214.541,230.232,1.7954241255345238,1.8203935810082643,1.5284257505213843,1.6165663930962688
Unpaid life insurance premiums \5,1.162,1.254,1.341,1.482,1.669,1.843,1.969,2.187,2.379,2.512,2.667,2.853,3.039,3.303,3.659,3.947,4.302,4.688,5.118,5.436,5.976,6.376,7.086,7.744,8.375,9.284,10.349,11.692,12.939,14.722,15.515,16.099,15.108,15.209,13.885,15.093,15.542,16.371,16.459,15.737,15.762,16.268,16.797,17.515,18.306,18.641,17.227,19.435,19.56,19.117,20.003,20.92,22.474,22.369,22.84,23.852,26.0,0.4424580116513853,0.2643206452666942,0.1835295650466634,0.1825581423108125
