STATE Unit indicator,FIPS Code,"Total \1   (1,000)",Percent of units with gross rent of--   $299 or less (percent),$300 to $499 (percent),$500 to $749 (percent),$750 to $999 (percent),"$1,000 or more (percent)",Median gross rent    (dollars),Gross rent as a percent of household income in the past 12 months   Less than 15.0 percent (percent),15.0 to 24.9 percent (percent),25.0 to 29.0 percent (percent),30.0 percent or more (percent)
Maryland,24000,626.355,5.358622506406112,5.104772852455876,13.270749016133024,23.88230316673452,47.6871742063207,1000.0,11.421318581315708,24.655027899513854,11.825562181191177,46.28429564703722
Massachusetts,25000,854.974,9.54742483397156,8.26586539473715,14.044637614711093,20.943326931579207,43.430794386729886,946.0,10.935420258393822,23.88084316014288,12.759335371601942,47.240617843349625
Michigan,26000,968.606,7.573461242238847,13.598098710930968,35.243535555220596,21.83746538840354,15.628335979748215,683.0,11.594704141828565,22.0124591423138,10.213131035735893,48.017356902600234
Minnesota,27000,510.692,8.41054882394868,12.859218472190676,31.47826870207483,22.06613771118404,20.0625817518191,711.0,11.602100679078584,26.505408347888746,11.690803850461727,43.93744174570974
Mississippi,28000,310.116,10.063976060570882,17.810109765378115,31.18897444827097,17.637916134607696,8.20821886003947,609.0,11.224187078383572,21.026648092971662,8.34107237291852,42.384462588192804
Missouri,29000,677.614,8.724140882567362,19.60821352569457,36.32097329748205,18.284893759574032,10.031817524431313,618.0,13.875746368876676,24.111957545151075,10.588033895403578,42.93225936890324
Montana,30000,112.989,9.659347370097974,22.78540388887414,32.1579976811902,15.836939879103276,8.987600562886652,579.0,15.28201860358088,26.787563391126568,9.200010620502882,36.410624043048436
Nebraska,31000,218.574,7.664681069111605,21.20471785299258,35.50147776039236,16.535361021896474,10.887845763906046,614.0,14.981196299651375,26.98033617905149,10.832029427104779,38.25569372386469
Nevada,32000,377.691,1.714099621118851,4.1623973036159185,16.848693773481497,27.822743989133976,46.220587729122485,980.0,9.836082935521365,25.474263352846638,12.243077012690268,47.72022632257587
New Hampshire,33000,129.847,7.0683188675903175,6.0463468543747645,17.074711006030174,30.033038884225284,35.93845063805864,892.0,10.922855360539712,29.078068804054002,13.168575323265074,42.18965397737337
New Jersey,34000,1030.912,5.301034423888751,4.414731810280606,11.031106437794884,25.1983680469332,50.65854311522225,1026.0,11.369641637695555,23.636450055872857,11.241502669481003,48.545559659796375
New Mexico,35000,220.356,6.7871988963313905,18.266350814137123,34.036286736009004,17.40955544664089,14.013233131841202,637.0,13.965129154640673,23.10670006716404,9.91531884768284,42.05376753979924
New York,36000,3158.15,6.544400994252965,8.557446606399315,19.68468882098697,21.032123236705033,40.32601364723018,907.0,13.824802495131644,22.794135807355573,10.395168057248707,47.566106739705205
North Carolina,37000,1122.623,6.209742718615243,14.614256077062379,35.37242689665186,22.935838656432303,12.635497402066411,678.0,13.16408090694739,24.655561127822963,9.503813835989463,42.67042453254565
North Dakota,38000,93.134,12.70749672514871,29.668005239762063,34.137908819550326,9.396138896643546,5.981703781647948,516.0,21.1437283913501,22.423604698606308,10.083320806579767,36.880194128889556
Ohio,39000,1366.336,8.068732727528221,17.36154210970069,37.73910663262916,20.91476767061689,10.242502576233079,643.0,13.106585788561526,24.046135064874232,10.035745233968804,45.05209553140662
Oklahoma,40000,444.786,7.022927879924278,21.759003206036162,37.17068432909309,15.933280274109347,7.617595877568088,588.0,15.155153264716064,23.75884133043756,10.00526095695458,38.778873435764616
Oregon,41000,521.192,4.067598888701285,10.019340281508542,34.70793872507637,26.402362277241398,20.08204270211362,743.0,11.892546316904328,25.97200264010192,11.038350550277057,45.058826689588486
Pennsylvania,42000,1382.326,7.9908791413892235,15.610789350703092,30.74896949055433,22.343065239314026,16.97703725459841,685.0,13.23703670480046,24.52858442943271,11.108595222834555,43.345419242638854
Rhode Island,44000,146.505,11.063103648339649,8.15194020681888,20.439575441111224,29.224258557728405,27.345824374594724,830.0,12.080816354390635,21.90505443500222,13.18521552165455,47.12944950684277
South Carolina,45000,510.098,6.818885782731946,15.92948805915726,33.05541288144631,20.599767103576173,11.622276503730655,645.0,12.54778493544378,23.012244705919255,10.87947806107846,39.239518680724096
South Dakota,46000,99.883,11.05593544447003,29.783847101108297,30.759989187349195,11.441386422113874,5.614569045783567,526.0,16.597418980206843,25.351661443889352,11.754753061081466,34.35219206471572
Tennessee,47000,723.835,8.370277756671065,17.19355930564286,36.05269156644815,19.014830727997403,10.087934404940352,634.0,12.727071777407833,25.433558753030734,10.143610076882162,40.75169064773049
Texas,48000,2870.498,4.441145752409512,11.017112710059369,33.40706037767663,25.5213903650168,19.013843590903043,734.0,12.423245025776016,25.218620601721376,10.414046621875368,43.53833376647536
Utah,49000,236.119,4.737441713712154,9.900939780364986,35.09374510310479,24.57997873953388,20.24021785625045,733.0,14.881902769366295,27.607265827824108,11.614482527877893,39.433082471126845
Vermont,50000,68.66,8.073113894552868,8.08476551121468,29.426157879405768,25.575298572676957,21.366152053597435,756.0,10.151471016603555,23.485289833964462,12.987183221672009,45.01602097290999
Virginia,51000,894.136,5.4408948974205265,8.722498590818399,19.59903191460807,21.845781849740977,38.089843155851014,892.0,12.738442474075532,26.186844059516673,10.65453130172591,42.67583454865927
Washington,53000,848.776,5.021584022168393,8.554553851664043,25.940766468420406,26.59264635192324,29.862767090492664,816.0,11.55440304626898,26.74027069568414,11.790036476054931,44.799216754479396
West Virginia,54000,184.448,12.783006592643996,25.220658396946565,30.757178174878558,9.83746096460791,4.6555126648161,525.0,14.157919847328243,21.153387404580155,9.100667938931299,36.45851405274115
Wisconsin,55000,670.746,6.310585527159312,14.572133117454298,38.673804987282814,23.04344714690807,12.778905874951175,673.0,13.44040814257558,27.370420397587164,11.601410966297228,41.777215220068406
Wyoming,56000,63.366,8.016917589874696,17.648265631411167,33.40750560237351,18.694568064892845,11.763406243095668,636.0,21.79086576397437,29.152857999558123,10.1963197929489,28.27225957137897
