Year and characteristic,Entertainment and reading Total,Average annual expenditure,Percent of total expenditure,add check,add check,Entertainment    Total,Fees and admissions,Audio and visual equipment and services,"Pets, toys hobbies, playground equipment","Other entertain- ment, supplies equip. and serv.","Other entertain- ment, supplies equipment and services \1",Reading
35 to 44 years old,3658.0,58934.0,6.206943360369226,,,3551.0,967.0,1196.0,730.0,658.0,1388.0,107.0
45 to 54 years old,3300.0,58331.0,5.6573691519089335,,,3163.0,823.0,1126.0,711.0,504.0,1215.0,137.0
55 to 64 years old,2881.0,53786.0,5.356412449336259,,,2730.0,645.0,965.0,653.0,468.0,1121.0,151.0
65 to 74 years old,2787.0,42262.0,6.594576688277885,,,2636.0,575.0,812.0,429.0,821.0,1250.0,151.0
75 years old and over,1391.0,30414.0,4.573551653843625,,,1255.0,318.0,570.0,239.0,128.0,367.0,136.0
Hispanic,1712.0,51487.0,3.325111193116709,,,1674.0,316.0,815.0,315.0,229.0,544.0,38.0
Non-Hispanic,2959.0,36067.0,8.204175562148224,,,2831.0,703.0,1010.0,591.0,528.0,1119.0,128.0
"White, Asian and all other races",3017.0,41501.0,7.2697043444736265,,,2890.0,719.0,1021.0,624.0,551.0,1175.0,127.0
Black,1334.0,50720.0,2.6301261829653,,,1288.0,212.0,753.0,173.0,149.0,322.0,46.0
Region of residence: Northeast,2946.0,51624.0,5.706648070664807,,,2811.0,803.0,1010.0,581.0,417.0,998.0,135.0
Midwest,2711.0,48014.0,5.646269837963927,,,2585.0,630.0,913.0,523.0,519.0,1042.0,126.0
South,2409.0,45464.0,5.298697870842864,,,2320.0,476.0,971.0,517.0,357.0,874.0,89.0
West,3459.0,56291.0,6.144854417224779,,,3319.0,857.0,1068.0,650.0,744.0,1394.0,140.0
Size of consumer unit: One person,1510.0,29285.0,5.156223322520061,,,1413.0,323.0,642.0,291.0,157.0,448.0,97.0
Two or more persons,3365.0,58209.0,5.780892989056675,,,3238.0,799.0,1132.0,672.0,634.0,1306.0,127.0
Two persons,3219.0,53091.0,6.063174549358648,,,3079.0,708.0,1032.0,649.0,690.0,1339.0,140.0
Three persons,3123.0,57326.0,5.447789833583365,,,3009.0,646.0,1141.0,671.0,550.0,1221.0,114.0
Four persons,3916.0,66476.0,5.890847824778868,,,3785.0,1079.0,1296.0,770.0,640.0,1410.0,131.0
Five persons or more,3467.0,65042.0,5.330401894160696,,,3373.0,942.0,1227.0,620.0,584.0,1204.0,94.0
Lowest 20 percent,980.0,20471.0,4.78726002637878,,,926.0,112.0,499.0,169.0,136.0,305.0,54.0
Second 20 percent,1576.0,31150.0,5.059390048154093,,,1505.0,231.0,706.0,331.0,238.0,569.0,71.0
Third 20 percent,2244.0,42447.0,5.286592692063043,,,2150.0,393.0,913.0,493.0,351.0,844.0,94.0
Fourth 20 percent,3118.0,57285.0,5.442960635419395,,,2982.0,705.0,1131.0,698.0,449.0,1147.0,136.0
Highest 20 percent,6155.0,96752.0,6.361625599470812,,,5921.0,1838.0,1684.0,1110.0,1290.0,2400.0,234.0
Less than a high school graduate,1335.0,30201.0,4.420383431012218,,,1295.0,131.0,638.0,274.0,252.0,526.0,40.0
High school graduate,2046.0,39164.0,5.224185476457972,,,1966.0,288.0,854.0,485.0,338.0,823.0,80.0
High school graduate with some college,2581.0,45876.0,5.626035399773302,,,2481.0,551.0,975.0,538.0,417.0,955.0,100.0
Associate's degree,3067.0,52721.0,5.817416209859449,,,2957.0,622.0,1091.0,686.0,559.0,1245.0,110.0
Bachelor's degree,3903.0,65706.0,5.940096794813259,,,3727.0,1234.0,1241.0,703.0,549.0,1252.0,176.0
"Master's, professional, doctoral degree",5137.0,79532.0,6.459035356837499,,,4873.0,1544.0,1297.0,811.0,1221.0,2032.0,264.0
