State,FIPS CODE,Total,addsum functional  system,addsum Urban and rural,Interstate,Other freeways and expressways,Functional systems     Arterial,Collector,Local,Urban,Rural,,,,,,,,,,,,,,,
Missouri,,129122.0,,,1181.0,400.0,10183.0,24964.0,92394.0,22710.0,106412.0,,,,,,,,,,,,,,,
Montana,,73203.0,,,1192.0,0.0,6036.0,16194.0,49781.0,2983.0,70220.0,,,,,,,,,,,,,,,
Nebraska,,93398.0,,,481.0,21.0,8087.0,20746.0,64063.0,6222.0,87176.0,,,,,,,,,,,,,,,
Nevada,,33872.0,,,571.0,71.0,3077.0,4997.0,25156.0,7078.0,26794.0,,,,,,,,,,,,,,,
New Hampshire,,15839.0,,,226.0,57.0,1546.0,2755.0,11255.0,4822.0,11017.0,,,,,,,,,,,,,,,
New Jersey,,38752.0,,,431.0,404.0,5760.0,4151.0,28006.0,31455.0,7297.0,,,,,,,,,,,,,,,
New Mexico,,68339.0,,,1000.0,5.0,5097.0,8513.0,53724.0,7988.0,60351.0,,,,,,,,,,,,,,,
New York,,113740.0,,,1688.0,798.0,13827.0,20699.0,76728.0,47866.0,65874.0,,,,,,,,,,,,,,,
North Carolina,,104412.0,,,1109.0,398.0,9509.0,17601.0,75795.0,33106.0,71306.0,,,,,,,,,,,,,,,
North Dakota,,86842.0,,,571.0,0.0,5911.0,11813.0,68547.0,1897.0,84945.0,,,,,,,,,,,,,,,
Ohio,,125160.0,,,1574.0,483.0,10947.0,22628.0,89528.0,44682.0,80478.0,,,,,,,,,,,,,,,
Oklahoma,,112922.0,,,933.0,191.0,8197.0,25292.0,78309.0,15633.0,97289.0,,,,,,,,,,,,,,,
Oregon,,59758.0,,,729.0,58.0,7020.0,17579.0,34372.0,12783.0,46975.0,,,,,,,,,,,,,,,
Pennsylvania,,121581.0,,,1758.0,549.0,13301.0,19807.0,86166.0,45130.0,76451.0,,,,,,,,,,,,,,,
Rhode Island,,6510.0,,,72.0,87.0,836.0,884.0,4631.0,5240.0,1270.0,,,,,,,,,,,,,,,
South Carolina,,66248.0,,,843.0,84.0,7146.0,15084.0,43091.0,16422.0,49826.0,,,,,,,,,,,,,,,
South Dakota,,83744.0,,,679.0,11.0,6392.0,19107.0,57555.0,2878.0,80866.0,,,,,,,,,,,,,,,
Tennessee,,91058.0,,,1105.0,148.0,9069.0,17838.0,62898.0,21713.0,69345.0,,,,,,,,,,,,,,,
Texas,,305855.0,,,3233.0,1245.0,29259.0,63437.0,208681.0,84194.0,221661.0,,,,,,,,,,,,,,,
Utah,,44221.0,,,936.0,12.0,3670.0,7850.0,31753.0,11549.0,32672.0,,,,,,,,,,,,,,,
Vermont,,14400.0,,,320.0,20.0,1302.0,3113.0,9645.0,1421.0,12979.0,,,,,,,,,,,,,,,
Virginia,,72662.0,,,1119.0,269.0,8321.0,14075.0,48878.0,22312.0,50350.0,,,,,,,,,,,,,,,
Washington,,83431.0,,,764.0,375.0,7726.0,16714.0,57852.0,22551.0,60880.0,,,,,,,,,,,,,,,
West Virginia,,38274.0,,,555.0,9.0,3464.0,8618.0,25628.0,5279.0,32995.0,,,,,,,,,,,,,,,
Wisconsin,,114705.0,,,743.0,286.0,12418.0,21663.0,79595.0,22148.0,92557.0,,,,,,,,,,,,,,,
Wyoming,,28052.0,,,913.0,3.0,3590.0,11190.0,12356.0,2642.0,25410.0,,,,,,,,,,,,,,,
