Year,"Crude materials Crude materials, total",Foodstuffs and feedstuffs,Fuel,"Crude nonfood materials, except fuel","Intermediate materials and supplies, components",Consumer goods,Capital equipment,Consumer foods Crude,Processed,"Finished consumer goods, excluding food",,,,,
1975,61.6,77.4,30.6,50,58,58.2,58.2,71.7,70.3,53.2,,,,,
1976,63.4,76.8,34.5,54.9,60.9,60.4,62.1,76.7,69,56.5,,,,,
1977,65.5,77.5,42,56.3,64.9,64.3,66.1,79.5,72.7,60.6,,,,,
1978,73.4,87.3,48.2,61.9,69.5,69.4,71.3,85.8,79.4,64.9,,,,,
1979,85.9,100,57.3,75.5,78.4,77.5,77.5,92.3,86.8,73.5,,,,,
1980,95.3,104.6,69.4,91.8,90.3,88.6,85.8,93.9,92.3,87.1,,,,,
1981,103,103.9,84.8,109.8,98.6,96.6,94.6,104.4,97.2,96.1,,,,,
1982,100,100,100,100,100,100,100,100,100,100,,,,,
1983,101.3,101.8,105.1,98.8,100.6,101.3,102.8,102.4,100.9,101.2,,,,,
1984,103.5,104.7,105.1,101,103.1,103.3,105.2,111.4,104.9,102.2,,,,,
1985,95.8,94.8,102.7,94.3,102.7,103.8,107.5,102.9,104.8,103.3,,,,,
1986,87.7,93.2,92.2,76,99.1,101.4,109.7,105.6,107.4,98.5,,,,,
1987,93.7,96.2,84.1,88.5,101.5,103.6,111.7,107.1,109.6,100.7,,,,,
1988,96,106.1,82.1,85.9,107.1,106.2,114.3,109.8,112.7,103.1,,,,,
1989,103.1,111.2,85.3,95.8,112,112.1,118.8,119.6,118.6,108.9,,,,,
1990,108.9,113.1,84.8,107.3,114.5,118.2,122.9,123,124.4,115.3,,,,,
1991,101.2,105.5,82.9,97.5,114.4,120.5,126.7,119.3,124.4,118.7,,,,,
1992,100.4,105.1,84,94.2,114.7,121.7,129.1,107.6,124.4,120.8,,,,,
1993,102.4,108.4,87.1,94.1,116.2,123,131.4,114.4,126.5,121.7,,,,,
1994,101.8,106.5,82.4,97,118.5,123.3,134.1,111.3,127.9,121.6,,,,,
1995,102.7,105.8,72.1,105.8,124.9,125.6,136.7,118.8,129.8,124,,,,,
1996,113.8,121.5,92.6,105.7,125.7,129.5,138.3,129.2,133.8,127.6,,,,,
1997,111.1,112.2,101.3,103.5,125.6,130.2,138.2,126.6,135.1,128.2,,,,,
1998,96.8,103.9,86.7,84.5,123,128.9,137.6,127.2,134.8,126.4,,,,,
1999,98.2,98.7,91.2,91.1,123.2,132,137.6,125.5,135.9,130.5,,,,,
2000,120.6,100.2,136.9,118,129.2,138.2,138.8,123.5,138.3,138.4,,,,,
2001,121,106.1,151.4,101.5,129.7,141.5,139.7,127.7,142.4,141.4,,,,,
2002,108.1,99.5,117.3,101,127.8,139.4,139.1,128.5,141,138.8,,,,,
2003,135.3,113.5,185.7,116.9,133.7,145.3,139.5,130,147.2,144.7,,,,,
2004,159,127,211.4,149.2,142.6,151.7,141.4,138.2,153.9,150.9,,,,,
2005,182.2,122.7,279.7,176.7,154,160.4,144.6,140.2,156.9,161.9,,,,,
2006,184.8,119.3,241.5,210,164,166,146.9,151.3,157.1,169.2,,,,,
2007,207.1,146.7,236.8,238.7,170.7,173.5,149.5,170.2,166.7,175.6,,,,,
"2008, preliminary",251.7,163.5,296.7,309,188.6,186.3,153.7,175.5,178.8,189,,,,,
1948,9.5,8.2,18.7,11.3,8.2,7.7,9.1,7.9,9.3,6.6,,,,,
1949,-13.25648414985591,-17.00819672131147,-1.1235955056179736,-8.988764044943816,-3.968253968253968,-4.545454545454552,5.092592592592583,-5.424528301886785,-8.529411764705879,-2.054794520547938,,,,,
1950,8.637873754152828,7.16049382716049,0,14.403292181069958,4.545454545454551,1.7006802721088436,2.2026431718061676,-8.977556109725688,4.180064308681663,1.3986013986013937,,,,,
1951,14.98470948012232,15.668202764976968,2.2727272727272645,15.107913669064747,12.252964426877462,9.364548494983293,9.91379310344828,14.7945205479452,11.728395061728408,7.241379310344833,,,,,
1952,-8.244680851063833,-5.776892430278895,0,-13.125,-3.169014084507037,-1.2232415902140847,1.5686274509803866,6.443914081145592,-2.209944751381227,-1.2861736334405212,,,,,
1953,-7.536231884057976,-10.570824524312897,3.333333333333341,-4.316546762589925,0.7272727272727246,-1.8575851393188791,1.5444015444015529,-6.726457399103139,-5.084745762711856,0.9771986970684062,,,,,
1954,-0.9404388714733455,0,-4.3010752688172085,-1.8796992481203008,0.7220216606498169,0,1.5209125475285117,-9.855769230769234,1.1904761904761862,0.3225806451612949,,,,,
1955,-3.797468354430389,-9.219858156028366,0,5.3639846743294965,1.792114695340502,-0.6309148264984206,2.621722846441945,4.266666666666671,-3.8235294117646976,0.6430868167202549,,,,,
1956,0.6578947368421146,-2.083333333333326,6.741573033707861,4.000000000000005,4.225352112676067,1.5873015873015872,7.664233576642341,0,0,2.5559105431309925,,,,,
1957,1.9607843137254832,4.255319148936174,6.315789473684206,-1.398601398601406,2.3648648648648622,2.8125,6.10169491525424,-1.5345268542199524,4.281345565749231,2.4922118380062215,,,,,
1958,2.2435897435897414,6.122448979591832,0.9900990099009866,-3.9007092198581486,0.33003300330032304,2.127659574468094,2.5559105431309925,6.493506493506493,5.865102639296187,0,,,,,
1959,-2.5078369905956026,-6.730769230769241,1.960784313725501,3.6900369003690034,1.3157894736842175,-0.8928571428571555,1.8691588785046773,-9.024390243902445,-3.8781163434903,1.2158054711246158,,,,,
1960,-2.2508038585209094,-1.0309278350515427,0.9615384615384581,-4.2704626334519675,0,0.9009009009009137,0.30581039755349937,6.702412868632708,1.440922190201729,0.6006006006006092,,,,,
1961,-0.657894736842103,-1.3020833333333335,0,1.115241635687735,-0.649350649350647,0,0.30487804878049213,-4.5226130653266265,0.2840909090908929,-0.2985074626865714,,,,,
1962,0.9933774834437109,1.8469656992084509,-0.952380952380949,-0.3676470588235216,0,0.29761904761905184,0.30395136778115933,1.0526315789473648,0.8498583569405221,0,,,,,
1963,-1.967213114754103,-2.8497409326424905,0.9615384615384581,-1.4760147601476092,0.32679738562090804,-0.5934718100890292,0.3030303030303073,-1.5625,-1.1235955056179736,0,,,,,
1964,-1.0033444816053416,-2.4,0,1.8726591760299627,0.32573289902280594,0.2985074626865714,0.9063444108761244,2.910052910052914,0,-0.29940119760479467,,,,,
1965,5.0675675675675675,7.103825136612025,0.952380952380949,1.8382352941176472,1.298701298701294,1.7857142857142898,1.1976047904191574,0.25706940874036355,4.545454545454529,0.9009009009009137,,,,,
1966,6.430868167202572,8.928571428571427,2.8301886792452895,2.1660649819494635,2.5641025641025665,3.5087719298245488,2.3668639053254568,6.41025641025641,6.521739130434799,1.488095238095238,,,,,
1967,-5.438066465256799,-5.620608899297437,3.6697247706422047,-6.360424028268554,0.6250000000000089,0.5649717514124375,3.468208092485537,-4.578313253012045,-1.0204081632653206,1.7595307917888603,,,,,
1968,1.5974440894568689,1.4888337468982666,1.7699115044247724,2.2641509433962317,2.484472049689432,2.528089887640445,3.3519553072625783,7.323232323232319,3.0927835051546464,2.305475504322758,,,,,
1969,6.603773584905653,7.823960880195606,4.3478260869565215,4.797047970479694,3.3333333333333375,3.8356164383561606,3.513513513513506,8,5.749999999999993,2.2535211267605555,,,,,
1970,3.834808259587033,2.4943310657596403,15,2.4647887323943762,3.8123167155425137,3.1662269129287677,4.699738903394268,0.21786492374727978,3.782505910165488,3.0303030303030347,,,,,
1971,2.2727272727272645,1.991150442477873,13.768115942028974,1.0309278350515367,3.9548022598870016,2.8132992327365764,3.9900249376558636,-0.4347826086956583,1.8223234624145883,3.475935828877017,,,,,
1972,10.83333333333333,11.713665943600864,7.006369426751602,9.863945578231288,3.804347826086972,3.2338308457711373,2.6378896882493863,4.803493449781666,5.592841163310962,1.8087855297157511,,,,,
1973,36.59147869674186,40.97087378640776,10.714285714285717,32.81733746130032,10.994764397905747,10.843373493975903,3.271028037383191,32.5,18.220338983050834,4.5685279187817365,,,,,
1974,12.660550458715594,5.234159779614341,33.33333333333333,27.039627039627046,23.820754716981135,15.434782608695654,14.253393665158365,12.578616352201246,14.516129032258068,16.99029126213592,,,,,
1975,0.32573289902280594,1.3089005235602091,23.38709677419355,-8.256880733944955,10.476190476190476,9.604519774011303,15.247524752475252,0.13966480446928564,10.015649452269168,10.373443983402488,,,,,
1976,2.9220779220779174,-0.7751937984496233,12.74509803921568,9.8,5,3.7800687285223296,6.701030927835048,6.97350069735007,-1.8492176386913188,6.203007518796986,,,,,
1977,3.3123028391167217,0.911458333333337,21.73913043478261,2.550091074681236,6.5681444991789935,6.4569536423841045,6.441223832528169,3.6505867014341553,5.362318840579714,7.256637168141595,,,,,
1978,12.061068702290086,12.645161290322577,14.761904761904768,9.946714031971583,7.087827426810469,7.931570762052891,7.8668683812405495,7.924528301886789,9.215955983493814,7.095709570957102,,,,,
1979,17.029972752043594,14.547537227949602,18.87966804979252,21.970920840064622,12.80575539568346,11.671469740633997,8.695652173913047,7.575757575757576,9.319899244332483,13.25115562403697,,,,,
1980,10.942956926658894,4.599999999999994,21.116928446771393,21.58940397350993,15.178571428571416,14.322580645161285,10.709677419354835,1.7334777898158273,6.336405529953917,18.50340136054421,,,,,
1981,8.079748163693603,-0.6692160611854576,22.190201729106615,19.607843137254903,9.191583610188259,9.029345372460497,10.256410256410254,11.182108626198083,5.3087757313109485,10.332950631458095,,,,,
1982,-2.912621359223301,-3.753609239653518,17.924528301886795,-8.925318761384332,1.4198782961460505,3.519668737060048,5.70824524312897,-4.214559386973185,2.880658436213989,4.058272632674304,,,,,
1983,1.3,1.8,5.099999999999994,-1.2,0.5999999999999943,1.3,2.8,2.4000000000000057,0.9000000000000057,1.2,,,,,
1984,2.171767028627841,2.84872298624755,0,2.2267206477732824,2.485089463220676,1.9743336623889436,2.334630350194558,8.7890625,3.9643211100099105,0.9881422924901186,,,,,
1985,-7.43961352657005,-9.455587392550148,-2.283539486203608,-6.633663366336637,-0.3879728419010587,0.48402710551790895,2.1863117870722406,-7.630161579892279,-0.09532888465205769,1.0763209393346322,,,,,
1986,-8.455114822546967,-1.6877637130801628,-10.223953261927946,-19.406150583244962,-3.50535540408959,-2.312138728323691,2.0465116279069795,2.6239067055393472,2.4809160305343596,-4.646660212971923,,,,,
1987,6.841505131128849,3.2188841201716736,-8.78524945770066,16.447368421052634,2.4217961654894102,2.169625246548312,1.8231540565177755,1.4204545454545456,2.048417132216004,2.233502538071069,,,,,
1988,2.4546424759871903,10.291060291060282,-2.3781212841854935,-2.937853107344626,5.517241379310339,2.509652509652518,2.327663384064453,2.5210084033613476,2.8284671532846795,2.383316782522335,,,,,
1989,7.395833333333328,4.80678605089539,3.897685749086484,11.525029103608837,4.5751633986928155,5.555555555555547,3.937007874015748,8.925318761384332,5.235137533274171,5.625606207565482,,,,,
1990,5.625606207565482,1.708633093525172,-0.5861664712778429,12.004175365344468,2.232142857142857,5.441570026761828,3.4511784511784582,2.8428093645485,4.890387858347396,5.876951331496778,,,,,
1991,-7.070707070707074,-6.719717064544646,-2.240566037735839,-9.133271202236717,-0.08733624454147976,1.9458544839255476,3.091944670463789,-3.0081300813008154,0,2.9488291413703434,,,,,
1992,-0.7905138339920921,-0.37914691943128503,1.3268998793727314,-3.384615384615382,0.26223776223775974,0.9958506224066414,1.8942383583267492,-9.807208717518863,0,1.7691659646166757,,,,,
1993,1.9920318725099602,3.139866793529982,3.6904761904761836,-0.10615711252654832,1.3077593722755012,1.0682004930156097,1.7815646785437733,6.319702602230494,1.6881028938906706,0.7450331125827863,,,,,
1994,-0.5859375000000083,-1.7527675276752819,-5.396096440872547,3.0818278427205166,1.9793459552495674,0.24390243902438793,2.0547945205479365,-2.709790209790217,1.1067193675889373,-0.08216926869351562,,,,,
1995,0.8840864440078642,-0.6572769953051669,-12.5,9.072164948453604,5.400843881856545,1.865369018653688,1.9388516032811294,6.738544474393531,1.4855355746677135,1.9736842105263206,,,,,
1996,10.808179162609537,14.839319470699436,28.432732316227465,-0.09451795841209293,0.64051240992794,3.1050955414012784,1.1704462326262055,8.754208754208747,3.081664098613251,2.903225806451608,,,,,
1997,-2.3725834797891063,-7.654320987654319,9.395248380129594,-2.081362346263011,-0.07955449482896462,0.5405405405405317,-0.07230657989878722,-2.0123839009287883,0.9715994020926629,0.47021943573667274,,,,,
1998,-12.871287128712869,-7.397504456327983,-14.412635735439283,-18.357487922705314,-2.0700636942675117,-0.9984639016896951,-0.4341534008683028,0.47393364928910625,-0.22205773501109025,-1.4040561622464767,,,,,
1999,1.446280991735543,-5.004812319538019,5.190311418685121,7.810650887573958,0.1626016260162625,2.4049650892164425,-,-1.3364779874213857,0.8160237388723993,3.2436708860759444,,,,,
2000,22.81059063136455,1.5197568389057752,50.10964912280702,29.52799121844128,4.870129870129858,4.696969696969688,0.8720930232558264,-1.593625498007968,1.7660044150110417,6.053639846743299,,,,,
2001,0.3316749585406349,5.888223552894202,10.591672753834915,-13.983050847457626,0.38699690402476783,2.3878437047756957,0.6484149855907616,3.400809716599192,2.964569775849598,2.167630057803468,,,,,
2002,-10.661157024793393,-6.220546654099901,-22.523117569352713,-0.49261083743842365,-1.4649190439475648,-1.4840989399293247,-0.42949176807444117,0.6264682850430674,-0.9831460674157343,-1.8387553041018345,,,,,
2003,25.161887141535633,14.07035175879397,58.31202046035805,15.742574257425748,4.616588419405314,4.232424677187952,0.2875629043853384,1.1673151750972763,4.397163120567368,4.250720461095084,,,,,
2004,17.51662971175165,11.894273127753303,13.839526117393655,27.630453378956354,6.6566940912490695,4.404679972470734,1.3620071684587853,6.307692307692299,4.551630434782621,4.284727021423648,,,,,
2005,14.591194968553452,-3.3858267716535413,32.30842005676442,18.43163538873995,7.994389901823286,5.735003295978918,2.2630834512022546,1.4471780028943562,1.949317738791423,7.289595758780649,,,,,
2006,1.427003293084535,-2.770986145069279,-13.657490168037178,18.845500848896442,6.493506493506493,3.491271820448874,1.590594744121723,7.917261055634825,0.127469725940082,4.508956145768982,,,,,
2007,12.1,22.96730930427493,-1.9,13.71428571428572,4.1,4.518072289156627,1.7699115044247749,12.5,6.110757479312536,3.782505910165488,,,,,
"2008, preliminary",21.5,11.5,25.3,29.5,10.5,7.4,2.8,3.1,7.3,7.6,,,,,
