Type of construction Unit indicator,2000 (million dollars),2001 (million dollars),2002.0 (million dollars),2003.0 (million dollars),2004.0 (million dollars),2005.0 (million dollars),2006.0 (million dollars),2007.0 (million dollars),2008.0 (million dollars)
House of worship,5656.0,6040.0,6021.0,6238.0,6015.0,5992.0,6262.0,6212.0,5822.0
Other religious,2347.0,2330.0,2312.0,2322.0,2138.0,1723.0,1478.0,1217.0,1253.0
Auxiliary building,1280.0,1247.0,1358.0,1296.0,1258.0,1251.0,1219.0,1068.0,1070.0
Public safety,423.0,274.0,217.0,185.0,289.0,408.0,419.0,495.0,681.0
Amusement and recreation \1,8768.0,7828.0,7478.0,7781.0,8432.0,7507.0,9326.0,10352.0,10948.0
Theme/amusement park,747.0,462.0,230.0,270.0,198.0,200.0,417.0,540.0,268.0
Sports,1068.0,1067.0,1427.0,1306.0,900.0,807.0,959.0,2024.0,2529.0
Fitness,1152.0,1294.0,1286.0,1262.0,1141.0,1425.0,2028.0,1954.0,2183.0
Performance/meeting center,732.0,977.0,900.0,844.0,1054.0,1072.0,737.0,853.0,1158.0
Social center,2368.0,2337.0,2285.0,1996.0,2594.0,1626.0,1538.0,1640.0,1624.0
Movie theater/studio,1461.0,792.0,568.0,855.0,1218.0,1248.0,1309.0,1197.0,623.0
Transportation \1,6879.0,7058.0,6773.0,6568.0,6841.0,7124.0,8654.0,9444.0,10128.0
Air,1804.0,1993.0,1281.0,1012.0,869.0,748.0,719.0,584.0,692.0
Land,4907.0,4883.0,5325.0,5462.0,5800.0,6214.0,7764.0,8543.0,9175.0
Railroad,4263.0,4456.0,4584.0,4851.0,5392.0,5816.0,7313.0,7969.0,8596.0
Communication,18799.0,19596.0,18384.0,14456.0,15468.0,18846.0,22187.0,26947.0,24726.0
Power \1,29344.0,31499.0,32608.0,33619.0,27360.0,26304.0,31164.0,41481.0,60115.0
Electricity,23374.0,25270.0,24998.0,25592.0,20431.0,19192.0,22804.0,29523.0,44804.0
Gas,4891.0,5078.0,6080.0,6358.0,5096.0,5239.0,5528.0,7369.0,8664.0
Oil,1003.0,943.0,1193.0,1068.0,1579.0,1293.0,1831.0,3651.0,4323.0
Sewage and waste disposal,508.0,402.0,246.0,278.0,331.0,240.0,305.0,383.0,602.0
Water supply,714.0,563.0,397.0,393.0,405.0,326.0,477.0,460.0,712.0
Manufacturing,37583.0,37815.0,22744.0,21434.0,23667.0,29886.0,35086.0,42229.0,63189.0
Food/beverage/tobacco,3985.0,4088.0,2817.0,2695.0,3157.0,4677.0,4707.0,4254.0,4948.0
Textile/apparel/leather and allied,413.0,307.0,284.0,218.0,188.0,415.0,144.0,42.0,290.0
Wood,483.0,343.0,477.0,376.0,485.0,982.0,1465.0,856.0,409.0
Paper,479.0,1265.0,584.0,818.0,548.0,467.0,559.0,493.0,497.0
Print/publishing,848.0,1232.0,666.0,630.0,654.0,777.0,727.0,279.0,332.0
Petroleum/coal,1255.0,1171.0,887.0,717.0,1204.0,771.0,1799.0,2541.0,17420.0
Chemical,3798.0,4896.0,5625.0,5368.0,5507.0,6588.0,9235.0,14521.0,15216.0
Plastic/rubber,1645.0,1379.0,776.0,659.0,936.0,877.0,884.0,1034.0,1225.0
Nonmetallic mineral,1898.0,2216.0,536.0,865.0,896.0,1163.0,2603.0,4243.0,4117.0
Primary metal,1976.0,773.0,241.0,436.0,312.0,836.0,1441.0,1442.0,3169.0
Fabricated metal,2148.0,1447.0,833.0,662.0,595.0,699.0,562.0,966.0,1780.0
Machinery,864.0,863.0,797.0,707.0,645.0,917.0,935.0,568.0,985.0
Computer/electronic/electrical,6392.0,6029.0,1918.0,1444.0,2835.0,4247.0,4347.0,2992.0,2730.0
Transportation equipment,6318.0,6901.0,3832.0,3314.0,2610.0,3702.0,2631.0,3881.0,5752.0
Furniture,148.0,232.0,148.0,278.0,217.0,96.0,122.0,194.0,47.0
