Country,FIPS CODE,Total \1,Income and profits taxes \2 Total \3,Individual,Corporate,Social security contributions Total \4,Employees,Employers,Taxes on goods and services \5 Total \3,General consumption taxes \6,"Taxes on specific goods, services \7"
1995,,100.0,46.436695,37.537331,8.170135,13.991866,5.184342,8.543223,25.404512,13.983574,9.9
1996,,100.0,47.150108,37.409619,8.802974,14.001535,5.266111,8.466678,24.96761,13.943488,9.6
1997,,100.0,48.847041,37.58183,10.355712,13.312272,5.075617,7.957136,24.430621,13.674822,9.3
1998,,100.0,48.357748,37.589032,9.912532,13.87875,5.412441,8.153921,24.746413,14.066201,9.2
1999,,100.0,49.853965,37.368677,11.536421,13.384286,5.287338,7.761375,24.066713,14.04638,8.6
2000,,100.0,50.052019,36.811754,12.208833,13.609539,5.473803,7.766326,24.207963,14.279172,8.5
2001,,100.0,47.796857,37.765732,8.872436,14.617243,5.943032,8.247935,25.147024,14.694802,9.0
2002,,100.0,45.779376,35.179035,9.506084,15.279334,6.236676,8.586405,26.417156,15.260347,9.7
2003,,100.0,45.591457,34.865483,9.697278,15.608292,6.33669,8.797475,26.259944,15.251601,9.6
2004,,100.0,46.700869,34.984033,10.596313,15.088269,6.085932,8.526649,25.781069,14.9,9.4
2005,,100.0,47.514322,35.699256,10.48847,14.840524,5.970789,8.396192,25.340665,15.0,8.9
2006,,100.0,48.671147,36.341573,10.996367,14.765829,5.872695,8.412678,24.255861,14.0,8.7
2007,,100.0,50.1377,37.63084,11.156999,14.141999,5.619043,8.06282,23.53991,13.6,8.4
1980.0,,100.0,16.810044,11.610549,5.128212,42.690392,11.116432,28.414703,30.41661,21.144835,8.4
1990,,100.0,16.056526,10.667425,5.329249,44.064816,13.22064,27.221499,28.410068,18.751937,8.7
1995,,100.0,16.278849,11.414242,4.864607,42.921823,13.388462,26.382235,27.340406,17.442979,8.9
1996,,100.0,16.868164,11.653881,5.214283,41.924907,13.103965,25.461878,27.67104,17.876966,8.8
1997,,100.0,18.188813,12.321328,5.867485,40.670165,12.16815,25.315157,27.104659,17.744489,8.5
1998,,100.0,23.118475,17.15877,5.959704,36.092779,8.823939,24.993977,26.849122,17.49553,8.5
1999,,100.0,23.931057,17.390786,6.540271,35.922358,8.814594,24.854381,26.500805,17.291076,8.3
2000,,100.0,24.919397,18.012698,6.906699,36.043272,8.941602,24.78897,25.73569,16.893734,8.2
2001,,100.0,25.366039,17.723729,7.64231,36.30786,9.004713,24.851093,25.195193,16.635734,7.9
2002,,100.0,23.908118,17.314216,6.593902,37.096514,9.290949,25.344004,25.645437,16.683042,8.3
2003,,100.0,23.192317,17.457655,5.734663,37.794158,9.456507,25.719422,25.471551,16.765033,8.1
2004,,100.0,23.362797,17.014126,6.348672,37.136472,9.273732,25.221188,25.509387,16.9,8.0
2005,,100.0,23.524611,18.035044,5.489567,36.998968,9.232203,24.998947,25.289707,17.1,7.6
2006,,100.0,24.224119,17.50685,6.717269,36.952154,9.169815,25.064511,24.763293,16.9,7.2
2007,,100.0,23.89307,17.312205,6.580866,37.129635,9.207636,25.195049,24.692821,17.0,7.1
1980 \8,,100.0,35.098262,29.637409,5.46,34.345703,15.259417,18.445508,27.106157,16.633174,9.3
1990,,100.0,32.380976,27.551881,4.83,37.480803,16.179807,19.055768,26.734065,16.592988,9.2
1995,,100.0,30.268909,27.48224,2.8,38.962832,17.139695,19.349797,27.980549,17.436898,9.5
1996,,100.0,28.618477,24.814478,3.8,40.251919,17.704514,19.842734,28.074334,17.698471,9.3
1997,,100.0,28.152742,24.090812,4.1,41.162189,18.247712,20.207802,27.91187,17.766779,9.1
1998,,100.0,29.374572,25.018123,4.4,40.463456,17.920591,19.842491,27.358398,17.870169,8.4
1999,,100.0,29.832683,25.062505,4.8,39.271209,17.269964,19.340113,28.024332,18.369958,8.7
2000,,100.0,30.148053,25.314443,4.8336138863387,39.038149,17.158064,19.217918,28.116228,18.365426,8.8
2001,,100.0,28.788151,27.127977,1.6601767486072445,39.756776,17.498747,19.537691,28.776096,18.205694,9.4
2002,,100.0,27.968968,25.109503,2.859461138251302,40.273671,17.631611,19.77496,29.174387,18.048118,10.1
2003,,100.0,27.435848,23.889257,3.5465892273702204,40.50886,17.704325,19.869865,29.405395,17.90318,10.5
2004,,100.0,27.333454,22.828765,4.530018488435105,40.725806,17.591197,19.834309,29.159412,17.9,10.2
2005,,100.0,28.241418,23.299115,5.19164209716703,39.926731,17.432943,19.220707,29.034058,18.0,9.9
2006,,100.0,30.396767,24.49088,5.913717886572951,38.414528,16.877075,18.355907,28.369485,17.8,9.4
2007,,100.0,31.31518,25.456352,5.858828,36.563982,16.078991,17.410931,29.284455,19.4,8.8
1980.0,,100.0,31.15,23.07,7.79,38.03,6.9,28.39,26.46,15.62,9.7
1990,,100.0,36.48,26.27,10.04,32.91,6.32,23.59,28.02,14.69,10.6
1995,,100.0,35.3,26.0,8.7,31.5,6.6,20.7,27.3,13.8,11.1
1996,,100.0,34.6,25.0,9.2,34.1,6.8,23.6,25.8,13.0,9.7
1997,,100.0,35.4,25.3,9.454463,33.5,6.6,23.5,25.9,12.6,9.7
1998,,100.0,32.6,25.0,7.021688,29.4,6.3,20.5,27.4,14.2,10.2
1999,,100.0,34.0,26.4,7.696409,28.5,5.5,20.1,27.5,13.7,11.2
2000,,100.0,33.139422,24.801793,6.889248,28.629886,5.436341,19.865943,27.858938,15.38182,9.6
2001,,100.0,34.082964,25.511105,8.355289,28.607655,5.517287,19.950008,26.79839,14.893909,9.1
2002,,100.0,32.412682,25.41378,7.529006,29.414795,5.606782,20.412734,26.959331,15.003808,9.0
2003,,100.0,30.901891,25.129794,6.629387,29.579819,5.464619,20.736922,25.704187,14.171532,8.9
2004,,100.0,31.370465,25.387633,6.863304,30.303009,5.523215,21.129924,26.376514,14.3,9.5
2005,,100.0,31.491046831955927,25.48789,6.839799,30.823247,5.485972,21.432474,26.401894,14.6,9.2
2006,,100.0,33.173503,25.585817,8.131141,29.829413,5.348941,20.62531,25.579405,14.9,9.0
2007,,100.0,34.195411,25.928788,8.732896,30.209455,5.3333955,20.762638,24.516886,14.4,8.5
1980.0,,100.0,46.1212,24.308959,21.812242,29.111816,10.238301,14.840972,16.335159,(NA),14.1
1990,,100.0,50.206347,27.818898,22.387449,26.442537,10.611795,12.720593,13.695573,4.41695,7.5
1995,,100.0,38.27176,22.357638,15.914121,33.493126,13.766333,16.006861,15.822958,5.430511,8.3
1996,,100.0,38.146114,21.015687,17.130427,33.779521,13.875435,16.10427,16.024427,5.550822,8.4
1997,,100.0,37.04132,21.368208,15.673111,34.225133,14.080304,16.30809,17.246078,7.248494,7.9
1998,,100.0,33.628805,19.653839,13.974966,35.425504,14.596015,16.810548,19.657174,9.357658,8.1
1999,,100.0,32.072579,18.841922,13.230657,35.898064,14.760863,16.927695,20.517745,9.836245,8.4
2000,,100.0,34.819717,21.066949,13.752768,35.157055,14.676433,16.446844,19.266907,9.072791,8.0
2001,,100.0,33.412928,20.465274,12.947653,36.445467,15.45066,16.884046,19.362026,9.097692,8.0
2002,,100.0,30.61356,18.430215,12.183346,38.184709,16.286073,17.567232,20.132849,9.547426,8.2
2003,,100.0,30.563716,17.524397,13.039319,38.507086,16.542977,17.528101,20.324773,9.54005,8.4
2004,,100.0,32.011441,17.777732,14.23371,37.693035,16.227619,17.145367,20.032526,9.6,8.1
2005,,100.0,33.824924,18.29569,15.529234,36.822993,15.886286,16.75121,19.43004,9.5,7.7
2006,,100.0,35.422094,18.454519,16.967575,36.590322,15.938231,16.594702,18.648337,9.2,7.4
2007,,100.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1980.0,,100.0,32.849365,26.257454,6.591911,38.054187,15.73762,17.805289,25.246305,15.828364,7.3
1990,,100.0,32.237613,24.69495,7.542664,37.391984,23.070911,7.49924,26.397151,16.474879,7.5
1995,,100.0,26.346684,18.883997,7.462687,41.894842,26.618705,6.70747,27.155589,15.598268,9.0
1996,,100.0,27.068529,17.518805,9.549724,39.661687,25.283372,6.617214,28.347603,16.121876,9.3
1997,,100.0,26.103037,15.611212,10.491825,41.058915,26.570205,6.212691,27.757591,16.042694,9.3
1998,,100.0,26.21777,15.4245,10.79327,38.274488,19.228246,11.540334,28.904801,17.193044,8.8
1999,,100.0,25.485362,15.383771,10.10159,38.685651,19.528063,11.070377,29.200444,17.383952,9.0
2000,,100.0,25.218834,15.122613,10.096221,38.888788,19.369589,11.261726,29.114107,17.403553,8.9
2001,,100.0,26.495767,16.208989,10.286778,36.041756,17.114787,11.555948,30.868525,19.022347,9.1
2002,,100.0,27.093816,18.271534,8.822282,35.466216,16.61184,11.687203,30.808642,19.194796,8.9
2003,,100.0,25.474683,17.868401,7.606282,36.326925,17.380513,11.555959,31.759861,19.739301,9.1
2004,,100.0,24.56602,16.380986,8.185034,36.891063,18.253925,11.192873,31.997729,19.5,9.5
2005,,100.0,27.743323,17.950728,9.792594,33.935148,16.537333,10.71378,31.72501,19.5,9.3
2006,,100.0,27.312576,18.789979,8.522597,36.144057,17.297441,11.751352,30.53086,18.6,9.0
2007,,100.0,29.143628,20.428163,8.715465,36.192293,16.990741,12.111076,29.879782,19.8,8.7
1980.0,,100.0,43.488828,41.03759,2.451238,28.797219,0.097988,27.622523,24.008549,13.36453,9.2
1990,,100.0,41.642404,38.51377,3.128634,27.232778,0.108869,26.047254,24.96306,14.868517,9.2
1995,,100.0,39.267783,33.471942,5.795842,27.646307,3.37374,23.668903,27.757334,19.383907,7.9
1996,,100.0,39.12491,33.778898,5.336397,28.618192,4.286075,23.859237,25.822323,17.26394,8.0
1997,,100.0,39.352979,33.505887,5.838073,28.026417,4.759294,22.807366,25.302516,17.195278,7.4
1998,,100.0,38.956332,33.536359,5.419972,27.496989,5.544397,21.542127,24.942388,17.327361,7.0
1999,,100.0,40.43122,34.668674,5.762547,23.919202,5.490516,18.029933,24.535964,17.195895,6.6
2000,,100.0,40.876933,33.25666,7.620273,26.354145,5.412771,20.389084,24.619368,17.006159,7.0
2001,,100.0,37.916644,32.142924,5.77372,28.512099,5.670092,22.368203,25.538416,17.81213,7.1
2002,,100.0,35.723959,30.909126,4.814832,29.034777,5.875392,23.143877,26.829351,18.685524,7.4
2003,,100.0,36.802028,31.72623,5.075797,28.082818,5.781948,21.808727,26.647752,18.620165,7.3
2004,,100.0,38.112793,31.834972,6.277822,27.381498,5.63938,21.487219,26.163347,18.5,7.0
2005,,100.0,39.127805,31.59254,7.535264,26.724761,5.480459,20.969755,26.107944,18.5,6.8
2006,,100.0,39.454464,31.926764,7.5277,25.493055,5.43361,19.776433,26.096547,18.8,6.5
2007,,100.0,38.755204,30.589134,8.16607,26.080908,5.488794,20.292275,26.635924,19.3,6.4
1980.0,,100.0,37.769399,29.411112,8.358286,16.673444,6.442152,10.116693,29.202864,14.659963,13.3
1990,,100.0,39.281659,29.374364,9.907295,17.009251,6.563398,9.864842,31.094196,16.850793,12.6
1995,,100.0,36.918312,28.835683,8.082629,17.787473,7.470442,9.699636,35.264847,19.046303,14.5
1996,,100.0,36.636396,27.288262,9.348133,17.579829,7.239643,9.670626,35.493493,19.543141,14.3
1997,,100.0,36.948936,25.65583,11.293106,17.78376,7.575827,9.558516,34.796864,19.143388,14.0
1998,,100.0,38.967886,28.016586,10.9513,16.99281,7.224542,9.213792,32.970631,18.280387,13.1
1999,,100.0,38.530701,28.63025,9.90045,17.091221,7.100408,9.423636,32.98875,18.498773,12.9
2000,,100.0,39.063586,29.308244,9.755342,16.957443,6.80386,9.576908,31.86036,18.097283,12.4
2001,,100.0,39.649491,30.074115,9.575376,17.093566,6.833635,9.668798,31.228489,18.156684,11.8
2002,,100.0,38.105756,29.918664,8.187092,17.038416,6.813486,9.602079,32.388038,19.119247,12.0
2003,,100.0,36.665142,28.816885,7.848257,18.278023,7.423371,10.191646,32.706522,19.751711,11.6
2004,,100.0,36.667844,28.563011,8.104833,18.899666,7.800907,10.448206,31.918117,19.6,11.2
2005,,100.0,38.400759,29.111632,9.289127,18.856664,7.778745,10.447198,30.263898,18.6,10.5
2006,,100.0,39.721341,28.96544,10.7559,18.486174,7.648461,10.232381,29.022461,18.1,9.8
2007,,100.0,39.27454,29.843994,9.430546,18.630236,7.674808,10.359904,29.115648,18.2,9.7
