Item,1970 (billion dollars),1971  (billion dollars),1972  (billion dollars),1973  (billion dollars),1974  (billion dollars),1975  (billion dollars),1976  (billion dollars),1977  (billion dollars),1978  (billion dollars),1979  (billion dollars),1980  (billion dollars),1981  (billion dollars),1982  (billion dollars),1983  (billion dollars),1984  (billion dollars),1985  (billion dollars),1986  (billion dollars),1987  (billion dollars),1988  (billion dollars),1989  (billion dollars),1990  (billion dollars),1991  (billion dollars),1992  (billion dollars),1993  (billion dollars),1994  (billion dollars),1995  (billion dollars),1996  (billion dollars),1997  (billion dollars),1998  (billion dollars),1999  (billion dollars),2000  (billion dollars),2001  (billion dollars),2002  (billion dollars),2003  (billion dollars),2004  (billion dollars),2005  (billion dollars),2006  (billion dollars),2007  (billion dollars)
Home consumption,0.230327,0.225924,0.250923,0.256176,0.273239,0.228506,0.229406,0.247764,0.246653,0.245545,0.244441,0.24333,0.24222,0.241111,0.240005,0.238891,0.238888,0.166569,0.163918,0.141526,0.1484654729,0.1554049458,0.16234441870000002,0.1692838916,0.1762233645,0.1831628374,0.19010231030000002,0.19704178320000001,0.2039812561,0.210920729,0.2178602019,0.1838773339,0.1845488875,0.12999,0.101985,0.082591,0.104674,0.093414
Value of inventory adjustment \1,-0.68375805,0.93246356,0.1779993,1.68179195,-2.185565475,4.399550725,-0.899893075,2.306458925,3.16644,4.116074,-7.632631,6.202067,-0.735841,-10.532547,7.612025,-0.45005,-0.739401,-1.4886810000000001,-2.5180871984,4.4632117440000005,2.8220550579,-1.2141108563,3.1772873066,-5.2675218664,7.170177,-5.2660471392,9.0122438509,0.9905393108,-0.29893631660000003,0.46003566879999996,2.237548,1.4895947869,-2.857139,-1.559154,10.658583,-0.832241,-3.529556,3.7942968638
Value of livestock production,30.76752205,31.46134744,36.9039287,48.35514505,42.81718848,42.98824428,46.62806608,47.32104608,58.855362,71.195838,70.318282,70.407807,70.499195,70.036934,72.026902,68.982526,70.748217,75.742616,78.630917,83.45843099999999,90.0369354658,87.2463779315,87.14129139730001,91.98820986310001,89.7410403288,87.7610517946,92.0579242604,96.3184857262,94.1658471919,95.2001546577,99.091154,106.3992059301,93.483483,104.939154,124.367556,126.481038,119.027214,138.132183
Meat animals,18.444848,19.420312,23.906975,30.254799,25.159282,25.822403,27.174374,27.89308,37.454759,44.553625,41.232593,39.748208,40.917288,39.073636,40.750146,38.704432,39.08078,44.477968999999995,46.701062,46.372262,51.131683,50.132104,47.748126,50.968724,46.662024,44.865002,44.154225,49.685904,43.406188,45.659875,53.011551,53.331808,48.117886,56.21245,62.351644,64.847549,63.550065,64.991991
Dairy products,6.526563,6.812035,7.135682,8.09016,9.453647,9.922533,11.428455,11.75173,12.724074,14.641918,16.364999,18.095226,18.233554,18.747732,17.931425,18.074462,17.723533,17.726646000000002,17.631666000000003,19.357305,20.152604,18.006612,19.73625,19.261516,19.983347,19.879611,22.785017,20.940261,24.105134,23.189113,20.586629,24.685667,20.582238,21.238737,27.386587,26.697584,23.40462,35.425015
Poultry and eggs,4.248146,3.95246,4.181995,6.909738,6.219591,6.810241,7.155287,7.212464,8.109932,8.923106,9.159704,9.949077,9.520028,9.980581,12.245116,11.302634,12.701143,11.515483,12.868435,15.377284,15.289018,15.153546,15.527511,17.359132,18.480631,19.075734,22.455175,22.25969,22.968035,22.917544,21.854088,24.633008,21.142275,23.96179,29.51413,28.726784,26.45918,32.606892
Miscellaneous livestock,0.312654,0.294116,0.35853,0.517346,0.493405,0.533586,0.565125,0.777541,0.873452,1.117476,1.233226,1.358032,1.587523,1.803929,1.968374,2.032948,2.048023,2.276343,2.438578,2.496842,2.536205,2.495055,2.738264,2.955173,3.167904,3.396768,3.554571,3.58939,3.769522,3.947333,4.165299,4.058513,4.114299,4.201795,4.331968,4.646448,4.812812,4.86555
Home consumption,0.545643,0.518226,0.637953,0.858986,0.916707,0.899843,0.952934,0.912729,0.967774,1.100386,0.989161,0.971028,0.886946,0.807883,0.777405,0.686799,0.656529,0.5765779999999999,0.568058,0.530264,0.4911454658,0.4520269315,0.4129083973,0.3737898631,0.3346713288,0.2955527946,0.2564342604,0.2173157262,0.1781971919,0.1390786577,0.09996,0.1017639301,0.096617,0.144651,0.199378,0.259967,0.308845,0.293739
Value of inventory adjustment \1,0.68966805,0.46419844,0.6827937,1.72411605,0.574556475,-1.000361725,-0.648108925,-1.226497925,-1.274629,0.859327,1.338599,0.286236,-0.646144,-0.376827,-1.645564,-1.818749,-1.461791,-0.830403,-1.5768820000000001,-0.675526,0.43628,1.007034,0.978232,1.069875,1.112463,0.248384,-1.147498,-0.374075,-0.261229,-0.652789,-0.626373,-0.411554,-0.569832,-0.820269,0.583849,1.302706,0.491692,-0.051004
Services and forestry,3.810077,4.084595,4.326799,4.895896,5.747143,6.353635,7.193859,8.471683,9.95026,11.494033,13.317945,15.072188,18.345581,17.649808,9.782359,10.72389,10.25613,11.440581,15.539769,15.763449000000001,15.254511,15.400809,15.1847460101,16.9740412895,18.0067214245,19.8896314187,20.7245828788,21.713129,23.932892,25.449233,26.471923,27.9537168929,28.455734,30.019084,33.920286,35.00541,38.387151,40.27124772
Machine hire and customwork,0.493789,0.562738,0.568909,0.703806,0.628023,0.743156,0.745542,0.811109,0.637664,0.740444,0.654478,0.712332,1.300876,0.903196,1.07153,1.47476,1.150252,1.467484,1.485393,1.734922,1.752165,1.769408,1.78665,1.864679,2.070568,1.927317,2.153256,2.361233,2.206867,2.047175,2.165137,2.096662,2.160336,2.992727,3.367555,2.782394,2.65261,2.535297
Forest products sold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769446,0.931059,0.973964,1.04012,1.07979,1.187959,1.377137,1.405262,1.540307,1.72828,1.8355160000000001,1.9885869999999999,1.835169,1.776272,2.106367,2.435126,2.594285,2.759481,2.621728,2.820491,3.028738,2.700221,2.849298,2.626978,2.48232,2.232958,2.446641,2.488856,2.494665,2.357372
Other farm income,0.048482,0.047341,0.046198,0.045058,0.177279,0.255175,0.333076,0.410987,0.486154,0.566763,0.644662,0.722556,2.843894,2.96568,2.452692,3.154868,2.998577,3.204064,4.523617,4.858046,4.486026,4.69948,4.084937,4.607721,4.321232,5.79899,6.190645,6.895512,8.674008,10.110602,8.711441,10.088074,10.173032,10.50745,11.313059,10.905342,12.32291,11.754857
Gross imputed rental value of farm dwellings,3.267806,3.474516,3.711692,4.147032,4.941841,5.355304,6.115241,7.249587,8.056996,9.255767,11.044841,12.59718,13.121021,12.592973,4.881,4.689,4.566994,5.040753,7.6952430000000005,7.181894000000001,7.181151,7.155649,7.2067920101,8.0665152895,9.0206364245,9.403843418700001,9.7589538788,9.635893,10.023279,10.591235,12.746047,13.1420028929,13.640046,14.285949,16.793031,18.828818,20.916966,23.62372172
Purchased inputs,25.497354,27.354393,29.869797,38.510541,41.9365,43.012464,47.735708,50.481773,60.971998,72.675874,76.966831,77.439381,76.319703,76.477947,78.907795,73.494854,71.39363,76.074579,83.43180199999999,87.97138000000001,92.248211,94.272141,92.634296,99.982313,103.946365,108.81009,112.169487,119.99224,117.746152,118.674917,121.800383,125.65029,123.314256,130.333268,137.401002,143.962552,153.612951,171.382964
Farm origin,13.279891,14.244483,16.179742,22.906243,21.58445,19.999026,22.619572,23.522259,28.823712,35.230162,34.861062,33.281909,31.447301,32.081271,32.255954,29.261313,30.418013,32.554111,37.341500999999994,38.075828,39.539662,38.573414,38.620326,41.339461,41.312685,41.800162,42.738659,46.866492,44.834088,45.481873,47.857169,48.217189,48.267495,53.688229,57.484007,56.910318,60.967198,68.83064
Feed purchased,8.0285,8.049001,8.396924,13.22414,14.512649,12.906703,14.369707,13.966634,16.035546,19.314395,20.971331,20.854817,18.591984,20.573263,19.383352,16.948977,17.472339,17.463151999999997,20.246184,20.743579,20.382845,19.332111,20.13278,21.43434,22.635018,23.831793,25.23652,26.334286,25.031151,24.501398,24.486129,24.769124,24.929575,27.527842,29.731565,28.029042,31.425117,38.1249
Livestock and poultry purchased,4.323819,5.123372,6.668282,8.065142,5.130801,4.954323,5.883865,7.071625,10.150166,13.011704,10.669704,8.999111,9.683565,8.817895,9.486536,9.184114,9.757935,11.832068,13.035827,12.935089,14.640015,14.12824,13.574187,14.741966,13.304621,12.505866,11.28966,13.82016,12.588563,13.763754,15.85202,15.226524,14.413409,16.735678,18.127412,18.454883,18.515584,18.778984
Seed purchased,0.927572,1.07211,1.114536,1.616961,1.941,2.138,2.366,2.484,2.638,2.904063,3.220027,3.427981,3.171752,2.690113,3.386066,3.128222,3.187739,3.258891,4.059489999999999,4.3971599999999995,4.516802,5.113063,4.913359,5.163155,5.373046,5.462503,6.212479,6.712046,7.214374,7.216721,7.51902,8.221639,8.924511,9.424709,9.62503,10.426393,11.026497,11.926756
Manufactured inputs,5.409992,5.855135,6.146001,7.202314,10.756853,12.354208,13.4001,13.891445,15.27449,17.886093,22.434223,23.926769,22.076493,20.118193,22.403712,20.159256,18.249265,18.076961999999998,18.985830999999997,20.604515,21.965868,23.227286,22.711806,23.143284,24.392017,26.144153,28.590229,29.231316,28.148548,27.112089,28.727113,29.382813,28.450758,28.758007,31.648041,35.406282,37.465557,43.670985
Fertilizers and lime,2.434907,2.654273,2.720627,3.502811,6.053076,6.659913,6.468108,6.528931,6.619474,7.368904,9.490263,9.408571,8.018434,7.054974,8.360374,7.512393,6.820243,6.4525,7.6778059999999995,8.173912999999999,8.206266,8.666116,8.330708,8.396282,9.177134,10.029146,10.928912,10.927346,10.624247,9.920263,10.020234,10.322222,9.619305,10.022069,11.424964,12.829126,13.330913,16.731451
Pesticides,0.960211,1.142651,1.366633,1.41412,1.513139,1.782512,2.107839,1.937972,2.656273,3.43599,3.538624,4.200816,4.282213,3.870115,4.687759,4.33368,4.32373,4.512189,4.147721,5.0114600000000005,5.363703,6.32025,6.470512,6.719572,7.219583,7.718674,8.518375,9.017436,9.016995,8.617422,8.516511,8.616218,8.316338,8.416588,8.616742,8.81761,9.016983,10.017008
Petroleum fuel and oils,1.710766,1.721526,1.688035,1.876596,2.689925,3.318117,3.966413,4.355985,4.609472,5.634568,7.879364,8.569898,7.734462,7.211,7.296045,6.435525,5.310029,4.956645000000001,4.800045,4.771505,5.789706,5.607471,5.300325,5.350658,5.312561,5.426556,5.979082,6.242613,5.599193,5.587892,7.191107,6.8901,6.603708,6.84138,8.215106,10.305571,11.327902,12.989832
Electricity,0.304108,0.336685,0.370706,0.408787,0.500713,0.593666,0.85774,1.068557,1.389271,1.446631,1.525972,1.747484,2.041384,1.982104,2.059534,1.877658,1.795263,2.155628,2.360259,2.647637,2.606193,2.633449,2.610261,2.676772,2.682739,2.969777,3.16386,3.043921,2.908113,2.986512,2.999261,3.554273,3.911407,3.47797,3.391229,3.453975,3.789759,3.932694
Other purchased inputs,6.807471,7.254775,7.544054,8.401984,9.595197,10.65923,11.716036,13.068069,16.873796,19.559619,19.671546,20.230703,22.795909,24.278483,24.248129,24.074285,22.726352,25.443506000000003,27.104470000000003,29.291037,30.742681,32.471441,31.302164,35.499568,38.241663,40.865775,40.840599,43.894432,44.763516,46.080955,45.216101,48.05029,46.596003,47.887032,48.268954,51.645952,55.180196,58.881339
Repair and maintenance of capital items,2.827853,2.985273,3.019624,3.352546,3.969054,4.487969,5.13,5.764975,6.142007,6.754,7.075,7.021,6.427582,6.528605,6.415619,6.370049,6.426143,6.759076,7.716945,8.406981,8.55381,8.630924,8.233825,9.346097,9.219545,9.626789,10.420802,10.589214,10.530122,10.656901,10.915687,11.197602,10.49032,11.004546,11.943253,11.890366,12.460489,13.551837
Machine hire and custom work,0.913448,1.04099,1.052404,1.30194,1.302288,1.541032,1.545978,1.681934,1.776286,2.062588,1.823115,1.984277,2.024693,2.213078,2.565584,2.353912,2.098869,2.104925,2.5086399999999998,2.934562,2.955269,3.079474,3.097989,3.559475,3.85667,3.944361,3.723924,3.978544,4.598125,4.419973,4.144196,4.028781,4.022555,3.532881,3.633104,3.474916,3.504025,3.708533
"Marketing, storage, and transportation expenses",0.822236,0.870447,0.970174,1.004959,1.100092,1.081629,1.269285,1.390411,2.507653,3.16304,3.069,3.522,4.300749,3.903585,4.011835,4.127051,3.651969,4.094963,3.515786,4.207221,4.21089,4.718612,4.54128,5.648425,6.820912,7.182582,6.927518,7.118669,6.859156,7.261563,7.54153,7.798052,7.626739,7.122654,7.193012,8.8208519,9.022789,9.783987
Contract labor,0.390724,0.400556,0.422577,0.482415,0.574749,0.630178,0.72946,0.781677,0.910916,0.988499,1.022983,0.983317,1.103773,0.870906,1.134756,1.477126,1.03783,1.305203,1.0673650000000001,1.336179,1.590027,1.561969,1.706716,1.760019,1.794457,1.956403,2.114529,2.520843,2.355777,2.457998,2.699111,3.120757,2.73388,3.280295,3.103222,3.064627,3.033739,3.824454
Miscellaneous expenses,1.954544,2.056998,2.178173,2.35641,2.755096,2.918422,3.173313,3.582072,5.536934,6.591492,6.681448,6.720109,8.939112,10.762309,10.120335,9.746147,9.511541,11.179339,12.295734,12.406094,13.432685,14.480462,13.722354,15.185552,16.550079,18.15564,17.653826,19.687162,20.420336,21.28452,19.915577,21.905098,21.722509,22.946656,22.396363,24.395524,27.159154,28.012528
Plus: Net government transactions \2,1.019976,0.341035,1.0468,-0.374948,-2.671734,-2.50363,-2.889043,-1.974597,-0.726524,-2.675966,-2.805324,-2.502594,-0.724472,4.645546,3.898045,2.913075,6.96911,11.530278000000001,9.028286,5.099868000000001,3.094553,2.07876,2.685857,7.033233,1.197092,0.3898965519,0.37750951400000005,0.38583766399999997,5.302283,14.264345,15.826829,15.0048885467,5.158312,9.181341,5.415592,15.822665,6.220413,1.487403
Direct Government payments \3,3.717371,3.144655,3.961109,2.607191,0.530448,0.807081,0.733624,1.818879,3.030004,1.375153,1.285672,1.93219,3.491965,9.295099,8.43037,7.704154,11.813351,16.746732,14.479808,10.886702,9.29803,8.214399,9.16892,13.402015,7.879129,7.2794505519,7.339569514000001,7.495293664,12.380016,21.513119,23.221565,22.431246546700002,12.414897,16.523492,12.969872,24.395851,15.788878,11.9031277448
Motor vehicle registration and licensing fees,0.101334,0.099489,0.098898,0.096286,0.106082,0.11727,0.132,0.133,0.154001,0.18,0.2,0.189,0.205995,0.198977,0.210351,0.263335,0.247515,0.263063,0.293737,0.299699,0.361571,0.34757,0.360541,0.362173,0.403487,0.446273,0.405979,0.451614,0.476005,0.442045,0.488006,0.519764,0.449173,0.535834,0.547778,0.565815,0.56024,0.606748
Property taxes,2.596061,2.704131,2.815411,2.885853,3.0961,3.193441,3.490667,3.660476,3.602527,3.871119,3.890996,4.245784,4.010442,4.450576,4.321974,4.527744,4.596726,4.953391,5.157785,5.487135,5.841906,5.788069,6.122522,6.006609,6.27855,6.443281,6.556081,6.657842,6.601728,6.806729,6.90673,6.906594,6.807412,6.806317,7.006502,8.007371,9.008225,9.808977
Equals: Gross value added,30.623373,31.960146,38.359165,57.417546,53.108505,54.230407,51.558654,54.490617,63.7182,73.992753,68.221817,84.448703,83.610353,72.727405,84.540431,82.782823,79.886689,87.117324,89.03279980159999,97.844798744,99.3430219966,91.64103002099999,101.4372841327,98.6709921778,105.4783631178,95.13309046340001,116.6756658144,110.9273004842,107.76825613140001,109.0105960555,114.426439,118.702228,102.078476,122.371332,150.68274,148.569313,129.198252,159.3497823286
Less: Capital consumption,6.903896,7.416,7.909,8.946,10.54,12.354,13.778,15.493,16.963,19.345,21.474,23.573,24.188593,23.757634,20.994716,19.440247,17.726311,17.218587,17.606038,18.116717,18.130088,18.187272,18.273834,18.177875,18.420233005100002,18.898758565900003,19.066513,19.250026,19.560651,19.789551,20.100679,20.551497,20.945959,21.444712,23.085153,24.938106,26.086594,26.8942
Equals: Net value added,23.719477,24.544146,30.450165,48.471546,42.568505,41.876407,37.780654,38.997617,46.7552,54.647753,46.747817,60.875703,59.42176,48.969771,63.545715,63.342576,62.160378,69.898737,71.4267618016,79.728081744,81.2129339966,73.453758021,83.16345013269999,80.4931171778,87.0581301127,76.2343318975,97.6091528144,91.6772744842,88.2076051314,89.2210450555,94.32576,98.150731,81.132517,100.92662,127.597587,123.631207,103.111658,132.4555823286
Less: Employee compensation,3.920782,3.94028,4.10531,4.671927,5.500711,5.956164,6.780806,7.171749,7.367587,7.993483,8.270797,7.948614,8.275354,8.066624,8.292419,8.530419,8.44617,8.670268,9.7522670033,10.597875500499999,12.413333010399999,12.229049772,12.189795,13.129117,13.394029,14.268617,15.083618,15.889409,16.766726,17.353766,17.942933,18.775321,19.112871,18.715381,20.210971,20.491313,21.19602,21.81826
Less: Net rent received by nonoperator landlords,2.051157,2.027633,3.020519,4.779969,4.101568,4.024286,3.465361,3.412358,3.963276,6.181625,6.074703,6.183606,5.475508,5.211169,8.14994,7.689614,6.098924,8.251387200000002,7.65062,8.520567,8.993361,8.726592,9.225183,9.708196,9.320816,9.59932,10.469812,11.234514,10.869158,10.396825,11.247785,11.185793,9.636417,10.148169,10.001925,10.633401,9.438757,8.807366
Less: Real estate and nonreal estate interest,3.38165,3.564628,3.869041,4.663441,5.699008,6.385775,7.359051,8.532133,10.226806,13.05785,16.26094,19.864136,21.829717,21.429983,21.128776,18.613255,16.498311,14.971881999999999,14.39049,14.122865,13.5455763,12.263786,11.577432,10.930864,11.776189,12.595628,13.119375,13.247317,13.452555,13.780635,14.566404,13.315946,12.789428,11.601499,11.583688,13.17128,13.967499,15.052226
Equals: Net farm income,14.365888,15.011605,19.455295,34.356209,27.267218,25.510182,20.175436,19.881377,25.197531,27.414795,16.141377,26.879347,23.841181,14.261995,25.97458,28.509288,31.116973,38.00519979999999,39.6333847983,46.4867742435,46.2606636862,40.234330248999996,50.17104013270001,46.7249401778,52.5670961127,39.7707668975,58.9363478144,51.3060344842,47.1191661314,47.6898190555,50.568638,54.873671,39.593801,60.461571,85.801003,79.335213,58.5093822197,86.7777303286
Cash receipts for all crops,20.976583,22.269174,25.522512,41.11402600000001,51.064734,45.776565,49.031967,48.60003499999999,53.198007,62.293103,71.745935,72.465286,72.30337300000001,67.1645,69.88889,73.86934500000001,63.807375,65.80054,71.619799,76.889693,80.234713,82.24592999999999,85.720054,87.75605900000001,93.13347399999999,100.98548499999998,106.48279,111.314507,102.208341,92.10082400000002,92.381508,93.33346999999999,100.967793,109.99418500000002,113.61973900000001,115.97240299999999,122.60130799999999,146.954202
Cash receipts for all livestock & products,29.532211,30.478922999999995,35.583182,45.772043,41.325925000000005,43.088763,46.323241,47.634814999999996,59.162217000000005,69.236125,67.99052200000001,69.150543,70.258393,69.605878,72.895061,70.114476,71.553479,75.99644099999999,79.63974100000001,83.603693,89.10951,85.787317,85.750151,90.54454500000001,88.29390599999999,87.21711499999999,92.94898799999999,96.47524499999999,94.248879,95.71386499999998,99.61756700000001,106.70899600000001,93.956698,105.61477200000002,123.58432900000001,124.918365,118.226677,137.88944800000002
Production expenses,44.45223400000001,47.106554,51.687976,64.554017,70.97996900000001,75.04339999999999,82.741593,88.884489,103.249195,123.30495099999999,133.138267,139.44352099999998,140.30531200000001,139.59291,142.005971,132.559468,125.007587,130.4031572,138.28273900329998,145.1162385005,151.5340463104,151.81447977200003,150.383603,158.297147,163.53966900509997,171.06196756590003,176.87086499999998,186.722962,185.472975,187.24446799999998,193.05292,196.905205,193.05551599999995,199.58518,209.837019,221.76983799999996,233.87028600000002,254.370741
Net farm income,14.365888,15.011605,19.455295,34.356209,27.267218,25.510182,20.175436,19.881377,25.197531,27.414795,16.141377,26.879347,23.841181,14.261995,25.97458,28.509288,31.116973,38.00519979999999,39.6333847983,46.4867742435,46.2606636862,40.234330248999996,50.17104013270001,46.7249401778,52.5670961127,39.7707668975,58.9363478144,51.3060344842,47.1191661314,47.6898190555,50.568638,54.873671,39.593801,60.461571,85.801003,79.335213,58.5093822197,86.7777303286
