Characteristic,NUMBER 2000.0 Census,2000 Estimates Base \1,2000.0 (July),2001.0 (July),2002.0 (July),2003.0 (July),2004.0 (July),2005.0 (July),2006.0 (July),2007.0 (July),2008.0 (July),"Percent change, 2000 to 2008"
Native Hawaiian and Other Pacific Islander,235203.0,235205.0,236719.0,243054.0,248880.0,254161.0,260621.0,266807.0,273191.0,279465.0,285688.0,21.46340426436513
Two or more races,1910249.0,1910298.0,1928080.0,2001225.0,2073257.0,2144900.0,2223064.0,2301575.0,2383685.0,2468886.0,2554867.0,33.741803634825565
White,114113814.0,114115671.0,114407860.0,115487279.0,116478726.0,117361466.0,118393520.0,119387414.0,120438123.0,121516467.0,122545020.0,7.38667084558439
Black or African American,17643072.0,17643804.0,17705159.0,17951067.0,18174675.0,18367486.0,18610544.0,18849095.0,19108578.0,19383649.0,19651276.0,11.377773183152568
American Indian and Alaska Native,2088142.0,2088202.0,2097656.0,2135364.0,2171686.0,2205852.0,2244770.0,2283681.0,2324816.0,2367861.0,2410335.0,15.426333276186883
Asian,5834258.0,5834217.0,5889549.0,6112270.0,6324706.0,6526067.0,6725838.0,6931225.0,7137440.0,7340627.0,7540644.0,29.248603540115152
Native Hawaiian and Other Pacific Islander,456190.0,456197.0,459222.0,471790.0,483640.0,494782.0,507829.0,520432.0,533549.0,546683.0,559750.0,22.699184782013035
Not Hispanic \3,119891768.0,119894001.0,120116154.0,120891382.0,121559185.0,122111196.0,122846697.0,123513931.0,124234519.0,124981195.0,125670207.0,4.81776064842477
One race,118223631.0,118225817.0,118433075.0,119147523.0,119755740.0,120248571.0,120919434.0,121522483.0,122176121.0,122853342.0,123472302.0,4.437681323022703
White,95695752.0,95697274.0,95806975.0,96132108.0,96381428.0,96558428.0,96873717.0,97129451.0,97418681.0,97721475.0,97978191.0,2.383471236599697
Black or African American,16293049.0,16293733.0,16339897.0,16523066.0,16686389.0,16819387.0,16993824.0,17155910.0,17334055.0,17525237.0,17708252.0,8.681368474615363
American Indian and Alaska Native,1036240.0,1036267.0,1039609.0,1052889.0,1065563.0,1077204.0,1091105.0,1104611.0,1118865.0,1133863.0,1148428.0,10.823561881252612
Asian,5012971.0,5012924.0,5059966.0,5248565.0,5427555.0,5595424.0,5758354.0,5926141.0,6093946.0,6258008.0,6418554.0,28.040121892931154
Native Hawaiian and Other Pacific Islander,185619.0,185619.0,186628.0,190895.0,194805.0,198128.0,202434.0,206370.0,210574.0,214759.0,218877.0,17.917346823331666
Two or more races,1668137.0,1668184.0,1683079.0,1743859.0,1803445.0,1862625.0,1927263.0,1991448.0,2058398.0,2127853.0,2197905.0,31.754350838996174
White,97120797.0,97122360.0,97245468.0,97625185.0,97928211.0,98159011.0,98532664.0,98846513.0,99196337.0,99562071.0,99882419.0,2.841836833454212
Black or African American,16860076.0,16860778.0,16914677.0,17129759.0,17324642.0,17489333.0,17697816.0,17894067.0,18108145.0,18337429.0,18559060.0,10.072382187820752
American Indian and Alaska Native,1691183.0,1691236.0,1696873.0,1718993.0,1739858.0,1758938.0,1781895.0,1803797.0,1826925.0,1851049.0,1874527.0,10.837695034873903
Asian,5649759.0,5649718.0,5703053.0,5917737.0,6122307.0,6315612.0,6506213.0,6701662.0,6897829.0,7090682.0,7280319.0,28.861635217899373
Native Hawaiian and Other Pacific Islander,377303.0,377307.0,379510.0,388593.0,397131.0,404889.0,414178.0,422894.0,432068.0,441286.0,450389.0,19.369372950939155
Hispanic \3,18161795.0,18162128.0,18341996.0,19085609.0,19815254.0,20507571.0,21213975.0,21950726.0,22711675.0,23485166.0,24254397.0,33.54380610025433
One race,17919683.0,17920014.0,18096995.0,18828243.0,19545442.0,20225296.0,20918174.0,21640599.0,22386388.0,23144133.0,23897435.0,33.35611791374716
White,16780562.0,16780855.0,16947344.0,17636003.0,18313272.0,18954035.0,19600404.0,20267724.0,20955143.0,21653769.0,22347831.0,33.17456708850652
Black or African American,678075.0,678105.0,684160.0,708944.0,731581.0,753658.0,781705.0,817032.0,855018.0,893137.0,931380.0,37.350410334682685
American Indian and Alaska Native,296689.0,296695.0,299509.0,310859.0,322015.0,332830.0,344161.0,356258.0,369125.0,382686.0,396233.0,33.54893072009977
Asian,114773.0,114773.0,115891.0,120278.0,124499.0,128740.0,133717.0,139148.0,144485.0,149835.0,155180.0,35.206015352042726
Native Hawaiian and Other Pacific Islander,49584.0,49586.0,50091.0,52159.0,54075.0,56033.0,58187.0,60437.0,62617.0,64706.0,66811.0,34.737627556165044
Two or more races,242112.0,242114.0,245001.0,257366.0,269812.0,282275.0,295801.0,310127.0,325287.0,341033.0,356962.0,47.4355055882766
White,16993017.0,16993311.0,17162392.0,17862094.0,18550515.0,19202455.0,19860856.0,20540901.0,21241786.0,21954396.0,22662601.0,33.361891629006266
Black or African American,782996.0,783026.0,790482.0,821308.0,850033.0,878153.0,912728.0,955028.0,1000433.0,1046220.0,1092216.0,39.48655600197184
American Indian and Alaska Native,396959.0,396966.0,400783.0,416371.0,431828.0,446914.0,462875.0,479884.0,497891.0,516812.0,535808.0,34.975791377599094
Asian,184499.0,184499.0,186496.0,194533.0,202399.0,210455.0,219625.0,229563.0,239611.0,249945.0,260325.0,41.09832573618285
Native Hawaiian and Other Pacific Islander,78887.0,78890.0,79712.0,83197.0,86509.0,89893.0,93651.0,97538.0,101481.0,105397.0,109361.0,38.62466725820763
One race,141380912.0,141381049.0,141709576.0,142987670.0,144206354.0,145374916.0,146539846.0,147728089.0,148970124.0,150294576.0,151522958.0,7.173457172467295
White,115628171.0,115628371.0,115849791.0,116686696.0,117486164.0,118261540.0,119029494.0,119806373.0,120624738.0,121506319.0,122313220.0,5.781322474914051
Black or African American,18733000.0,18733033.0,18782791.0,18990792.0,19185711.0,19366394.0,19559685.0,19759174.0,19971109.0,20203229.0,20419202.0,9.001046440264105
American Indian and Alaska Native,1330889.0,1330889.0,1336625.0,1360527.0,1384229.0,1407962.0,1432087.0,1457554.0,1483641.0,1511629.0,1538773.0,15.619935246290261
Asian,5461521.0,5461425.0,5511577.0,5714856.0,5909606.0,6092721.0,6266302.0,6446581.0,6626232.0,6802903.0,6975330.0,27.71996319641852
Native Hawaiian and Other Pacific Islander,227331.0,227331.0,228792.0,234799.0,240644.0,246299.0,252278.0,258407.0,264404.0,270496.0,276433.0,21.599341928729473
Two or more races,1987431.0,1987424.0,2004210.0,2075142.0,2145854.0,2217231.0,2291609.0,2367803.0,2446655.0,2529395.0,2612162.0,31.434560516527927
White,117320574.0,117320767.0,117557320.0,118457768.0,119320583.0,120160370.0,120995324.0,121840737.0,122730107.0,123686261.0,124567934.0,6.177224361310219
Black or African American,19461176.0,19461205.0,19519533.0,19764260.0,19995904.0,20213683.0,20445684.0,20685037.0,20938718.0,21215081.0,21475532.0,10.350474186978659
American Indian and Alaska Native,2136916.0,2136919.0,2145670.0,2182173.0,2218326.0,2254235.0,2291121.0,2329432.0,2368802.0,2410852.0,2451628.0,14.727231121067295
Asian,6172636.0,6172530.0,6229531.0,6461668.0,6685188.0,6897454.0,7101450.0,7312977.0,7524575.0,7734218.0,7939705.0,28.629670491678453
Native Hawaiian and Other Pacific Islander,450595.0,450600.0,453536.0,465781.0,477850.0,489574.0,501899.0,514493.0,527027.0,539833.0,552547.0,22.624722592099424
Not Hispanic \3,126224320.0,126224223.0,126411962.0,127096179.0,127725214.0,128322105.0,128921688.0,129518039.0,130143288.0,130836753.0,131445904.0,4.136829584603583
One race,124486209.0,124486123.0,124659739.0,125284652.0,125854909.0,126392494.0,126930515.0,127464264.0,128024972.0,128650705.0,129192147.0,3.7803603217685557
White,99879733.0,99879722.0,99955746.0,100178866.0,100367341.0,100550120.0,100733997.0,100908015.0,101099488.0,101338289.0,101513267.0,1.6355121613173893
Black or African American,18019958.0,18019983.0,18064110.0,18248383.0,18421338.0,18579697.0,18746632.0,18912466.0,19088146.0,19283602.0,19463498.0,8.010634638223577
American Indian and Alaska Native,1061200.0,1061197.0,1064566.0,1078633.0,1092587.0,1106197.0,1120381.0,1135011.0,1149749.0,1165489.0,1180554.0,11.247393273821919
Asian,5343833.0,5343737.0,5392822.0,5591980.0,5782647.0,5961544.0,6130444.0,6305591.0,6480259.0,6651762.0,6819144.0,27.61002272379797
Native Hawaiian and Other Pacific Islanders,181485.0,181484.0,182495.0,186790.0,190996.0,194936.0,199061.0,203181.0,207330.0,211563.0,215684.0,18.84463644177999
Two or more races,1738111.0,1738100.0,1752223.0,1811527.0,1870305.0,1929611.0,1991173.0,2053775.0,2118316.0,2186048.0,2253757.0,29.66785570450492
White,101354794.0,101354776.0,101443559.0,101719854.0,101961046.0,102197493.0,102437019.0,102667567.0,102917396.0,103217443.0,103453880.0,2.0710459662996046
Black or African American,18638097.0,18638117.0,18689527.0,18904842.0,19108710.0,19298312.0,19497776.0,19696910.0,19907296.0,20139671.0,20356689.0,9.22073833960802
American Indian and Alaska Native,1764342.0,1764341.0,1769815.0,1792522.0,1814822.0,1836472.0,1859031.0,1881884.0,1905071.0,1929785.0,1953395.0,10.71527556181033
Asian,5982176.0,5982065.0,6037179.0,6261706.0,6477560.0,6681877.0,6877125.0,7079152.0,7281256.0,7480969.0,7676570.0,28.326422397616874
Native Hawaiian and Other Pacific Islanders,374541.0,374542.0,376719.0,385947.0,395008.0,403638.0,412600.0,421606.0,430651.0,439873.0,448982.0,19.874940594112275
Hispanic \3,17144023.0,17144250.0,17301824.0,17966633.0,18626994.0,19270042.0,19909767.0,20577853.0,21273491.0,21987218.0,22689216.0,32.34300713067063
One race,16894703.0,16894926.0,17049837.0,17703018.0,18351445.0,18982422.0,19609331.0,20263825.0,20945152.0,21643871.0,22330811.0,32.174660013308134
White,15748438.0,15748649.0,15894045.0,16507830.0,17118823.0,17711420.0,18295497.0,18898358.0,19525250.0,20168030.0,20799953.0,32.074522709852765
Black or African American,713042.0,713050.0,718681.0,742409.0,764373.0,786697.0,813053.0,846708.0,882963.0,919627.0,955704.0,34.03043264848187
American Indian and Alaska Native,269689.0,269692.0,272059.0,281894.0,291642.0,301765.0,311706.0,322543.0,333892.0,346140.0,358219.0,32.82522284680302
Asian,117688.0,117688.0,118755.0,122876.0,126959.0,131177.0,135858.0,140990.0,145973.0,151141.0,156186.0,32.711916253143904
Native Hawaiian and Other Pacific Islanders,45846.0,45847.0,46297.0,48009.0,49648.0,51363.0,53217.0,55226.0,57074.0,58933.0,60749.0,32.50376251445024
Two or more races,249320.0,249324.0,251987.0,263615.0,275549.0,287620.0,300436.0,314028.0,328339.0,343347.0,358405.0,43.75070189793201
White,15965780.0,15965991.0,16113761.0,16737914.0,17359537.0,17962877.0,18558305.0,19173170.0,19812711.0,20468818.0,21114054.0,32.24393023896857
Black or African American,823079.0,823088.0,830006.0,859418.0,887194.0,915371.0,947908.0,988127.0,1031422.0,1075410.0,1118843.0,35.932366891510995
American Indian and Alaska Native,372574.0,372578.0,375855.0,389651.0,403504.0,417763.0,432090.0,447548.0,463731.0,481067.0,498233.0,33.72582385433386
Asian,190460.0,190465.0,192352.0,199962.0,207628.0,215577.0,224325.0,233825.0,243319.0,253249.0,263135.0,38.153991547003386
Native Hawaiian and Other Pacific Islanders,76054.0,76058.0,76817.0,79834.0,82842.0,85936.0,89299.0,92887.0,96376.0,99960.0,103565.0,36.16582082095243
