Finland,FI,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,7.0,18.8,19.4,19.3,18.8,18.9,19.2,19.0,19.6,19.1,18.9,19.4,20.8,21.8,22.9,22.5,22.8,22.3,22.7,22.7,23.3,22.9,23.4,22.9,0.0,2296.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2605.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2800.0,2800.0,2800.0
France,FR,4.0,22.0,44.0,53.0,55.0,55.0,58.0,57.0,57.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,57.0,57.0,59.0,59.0,59.0,59.0,59.0,58.0,58.0,5.7,61.2,224.0,265.5,275.2,303.9,314.1,331.4,337.6,365.8,359.0,377.2,397.1,386.1,385.9,378.4,395.7,409.4,434.7,441.1,448.2,451.5,450.2,439.1,438.6,1606.0,15412.0,38595.0,52095.0,54755.0,54755.0,58862.0,59224.0,60281.0,59871.0,61234.0,60674.0,60674.0,60674.0,60674.0,59888.0,62920.0,62920.0,66042.0,66042.0,66042.0,66042.0,66130.0,65880.0,65880.0
Germany,GM,4.0,11.0,16.0,19.0,21.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,17.0,17.0,17.0,5.3,43.7,125.7,130.5,145.2,149.5,147.2,147.2,158.8,153.5,151.1,154.1,161.7,170.3,161.7,169.9,169.7,171.3,164.8,165.1,167.1,163.0,167.4,140.5,148.7,907.0,8996.0,16912.0,19848.0,22600.0,23944.0,23973.0,23983.0,24083.0,23843.0,23934.0,24035.0,23431.0,23496.0,23496.0,22209.0,22234.0,22365.0,22365.0,22365.0,21693.0,21723.0,21366.0,21457.0,21497.0
Great Britain,,27.0,33.0,37.0,38.0,41.0,40.0,42.0,37.0,37.0,37.0,35.0,34.0,35.0,35.0,35.0,35.0,33.0,31.0,25.0,25.0,24.0,23.0,23.0,19.0,19.0,26.5,37.2,59.6,56.2,63.5,71.3,68.8,70.4,78.5,90.8,89.4,82.7,94.7,97.6,99.5,93.7,83.6,90.5,89.6,90.6,77.2,(NA),(NA),(NA),(NA),4783.0,9012.0,12280.0,12940.0,14942.0,15273.0,15274.0,14813.0,14656.0,14832.0,14252.0,14022.0,15272.0,15272.0,15272.0,15272.0,15272.0,14612.0,14240.0,14240.0,14000.0,13760.0,13760.0,12540.0,12540.0
Hungary,HU,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.7,13.9,13.8,14.0,14.0,14.1,13.9,13.9,14.1,14.1,14.1,13.9,11.0,11.9,13.8,13.5,14.7,14.8,0.0,0.0,0.0,0.0,0.0,0.0,1760.0,1820.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1840.0,1851.0,1866.0,1866.0,1866.0,1866.0,1866.0,1866.0,1910.0,1940.0
India,IN,2.0,4.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,13.0,14.0,14.0,14.0,14.0,15.0,16.0,17.0,17.0,2.2,2.9,4.4,5.5,6.1,4.0,6.0,5.4,6.3,6.2,4.9,7.6,8.5,9.3,11.4,13.0,15.5,19.2,19.5,18.3,16.9,17.6,17.6,17.8,15.5,400.0,860.0,1095.0,1330.0,1330.0,1330.0,1330.0,1565.0,1800.0,2035.0,2035.0,2270.0,2270.0,2270.0,2270.0,2505.0,2960.0,2720.0,2720.0,2720.0,2770.0,3310.0,3900.0,4120.0,4120.0
Italy,IT,3.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3.3,2.2,7.0,0.2,0.0,0.0,0.0,0.0,0.0,,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),631.0,1490.0,1330.0,1330.0,1132.0,1132.0,1132.0,0.0,0.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Japan,JA,3.0,22.0,33.0,36.0,36.0,38.0,40.0,42.0,42.0,46.0,49.0,50.0,51.0,53.0,53.0,52.0,52.0,52.0,53.0,53.0,52.0,54.0,55.0,55.0,55.0,3.3,81.0,152.0,186.2,173.6,185.3,191.9,205.8,215.8,238.6,253.7,286.0,293.1,317.8,326.9,317.7,319.8,319.3,313.5,227.1,281.9,287.9,303.2,278.7,251.7,828.0,15117.0,24686.0,28046.0,28046.0,29445.0,31645.0,33399.0,33389.0,37361.0,40531.0,41356.0,42712.0,45248.0,45248.0,45082.0,45082.0,45082.0,45907.0,45907.0,45742.0,48222.0,49580.0,49580.0,49580.0
"Korea, South",KS,0.0,1.0,4.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,16.0,18.0,18.0,19.0,20.0,20.0,20.0,20.0,0.0,3.5,16.5,37.8,40.1,47.4,52.8,56.3,56.4,58.1,58.3,63.9,73.9,76.5,87.3,94.2,108.9,112.1,116.5,129.6,129.6,145.6,148.7,142.9,150.9,0.0,587.0,2866.0,5808.0,6666.0,7616.0,7616.0,7616.0,7616.0,7616.0,7616.0,8615.0,9615.0,10315.0,12015.0,12768.0,13768.0,13768.0,15768.0,15768.0,16768.0,17768.0,18393.0,18393.0,18393.0
Lithuania,LH,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),9.6,13.9,12.2,13.5,9.9,7.8,11.4,13.2,15.5,14.1,10.9,8.6,9.8,9.9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,1500.0,1500.0,1500.0,1300.0
Mexico,MX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,4.2,3.9,4.9,4.2,7.9,7.8,9.5,9.5,10.0,8.2,8.7,9.7,10.5,9.2,10.8,10.9,10.4,9.8,0.0,0.0,0.0,0.0,0.0,0.0,675.0,675.0,675.0,675.0,675.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1364.0
Netherlands,NL,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,4.2,3.9,3.6,3.7,4.0,3.4,3.3,3.8,3.9,3.9,4.0,4.1,2.4,3.8,3.8,3.9,3.9,3.9,4.0,3.8,3.9,3.5,4.2,4.2,55.0,529.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,512.0,512.0,515.0
Pakistan,PK,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.1,0.3,0.3,(Z),(Z),0.4,0.4,0.5,0.4,0.5,0.5,0.3,0.4,0.4,0.8,0.4,2.2,1.9,1.9,2.1,2.6,2.7,2.5,1.9,0.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0
Romania,RO,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.5,5.4,5.3,5.2,5.5,5.4,5.5,4.9,5.5,5.5,5.6,7.0,11.2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,1412.0,1412.0
Russia,RS,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,31.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.6,97.6,98.7,108.7,108.0,103.7,119.8,128.9,134.5,139.7,148.6,142.9,146.8,154.5,158.3,162.3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),21316.0,21316.0,21266.0,21266.0,21266.0,21266.0,21266.0,21266.0,22266.0,22266.0,22266.0,22266.0,23266.0,23266.0,23266.0,23266.0
Slovakia,LO,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),11.2,10.8,10.3,10.5,16.5,17.1,18.2,17.9,17.0,17.7,18.0,15.3,16.7,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1760.0,1760.0,1760.0,1760.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2200.0,2200.0
Slovenia,SI,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.1,4.5,4.1,4.1,4.6,5.0,4.0,3.9,4.6,4.7,4.5,5.0,5.0,4.7,4.8,5.3,5.5,5.2,4.0,5.9,5.5,5.7,6.3,0.0,0.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,707.0,707.0,707.0,707.0,707.0,707.0,727.0,727.0
South Africa,SF,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,5.7,6.6,11.1,11.7,8.9,9.7,9.9,7.7,10.2,11.9,12.3,13.2,14.3,13.5,13.6,11.3,12.6,13.2,14.9,12.8,10.6,13.2,13.3,0.0,0.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0
Spain,SP,1.0,3.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,0.9,5.2,28.0,41.2,50.4,56.1,54.3,55.6,55.8,56.0,55.2,55.4,56.2,55.3,59.1,58.9,62.2,63.7,63.0,61.9,63.7,57.5,60.1,55.0,59.0,160.0,1117.0,5812.0,5812.0,7951.0,7857.0,7984.0,7368.0,7405.0,7400.0,7400.0,7400.0,7422.0,7572.0,7625.0,7759.0,7808.0,7815.0,7870.0,7895.0,7895.0,7895.0,7895.0,7735.0,7735.0
Sweden,SW,1.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,(Z),26.7,58.6,67.2,69.4,65.6,68.2,76.8,63.5,61.3,72.7,69.9,74.4,67.5,73.5,73.2,57.3,72.2,68.5,68.4,77.3,72.5,67.7,66.9,63.9,12.0,5770.0,9915.0,10095.0,10067.0,10243.0,10344.0,10359.0,10359.0,10402.0,10434.0,10442.0,10445.0,10445.0,10445.0,10445.0,9844.0,9844.0,9844.0,9844.0,9852.0,9852.0,9241.0,9356.0,9611.0
Switzerland,SZ,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.9,14.3,22.4,23.0,22.3,22.8,23.6,22.9,23.4,23.3,24.2,24.8,25.0,25.2,25.7,24.8,26.3,26.7,27.1,27.3,26.8,23.2,27.6,27.7,27.5,364.0,2034.0,3079.0,3079.0,3079.0,3079.0,3079.0,3079.0,3099.0,3099.0,3135.0,3200.0,3229.0,3229.0,3229.0,3314.0,3322.0,3352.0,3352.0,3352.0,3352.0,3352.0,3352.0,3352.0,3352.0
Taiwan \1,TW,0.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,8.2,28.7,33.1,30.7,28.3,32.9,35.3,33.8,34.3,34.8,35.3,37.7,36.2,36.9,38.4,38.5,35.5,39.5,38.9,39.5,39.9,39.9,40.6,40.8,0.0,1272.0,5146.0,5146.0,5146.0,5146.0,5146.0,5146.0,5146.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0,5144.0
Ukraine,UP,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49.1,68.3,70.5,79.5,79.1,74.2,72.2,77.3,76.2,77.9,81.4,85.4,88.8,90.2,92.4,89.8,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12880.0,12880.0,13880.0,13880.0,12880.0,12880.0,12880.0,12880.0,11880.0,11880.0,11880.0,13880.0,13880.0,13880.0,13880.0,13880.0
