State,Post Office Abbreviation,2-DIGIT ANSI code,"Number on farms \1 2006  (1,000)","2007  (1,000)","2008  (1,000)",Quantity produced 2006 (million pounds),2007 (million pounds),2008 (million pounds),Value of production 2006 (million dollars),2007 (million dollars),2008 (million dollars),Commercial slaughter \2 2007 (million pounds),2008 (million pounds)
Texas,TX,48,940.0,1160.0,1120.0,257.644,273.213,315.521,104.926,107.819,127.899,105.173,109.07
Utah,UT,49,680.0,790.0,740.0,285.755,301.09,313.2,139.583,152.19,163.149,11.566,12.781
Colorado,CO,08,840.0,860.0,720.0,335.987,365.132,283.023,175.44,196.673,161.37,2.58,2.61
Wisconsin,WI,55,450.0,440.0,360.0,219.648,217.526,200.304,105.652,108.595,107.561,246.994,276.198
Kentucky,KY,21,340.0,370.0,350.0,179.505,187.417,173.081,79.987,83.889,76.576,732.785,(\3)
Mississippi,MS,28,335.0,345.0,375.0,150.522,165.652,168.108,64.043,72.814,75.064,(\3),21.433
Arkansas,AR,05,260.0,290.0,280.0,117.862,130.156,140.555,76.747,84.903,88.924,79.408,89.275
Wyoming,WY,56,100.0,107.0,89.0,62.296,86.982,136.259,28.083,40.614,60.634,1.311,1.274
Virginia,VA,51,365.0,370.0,350.0,147.598,130.071,135.586,62.215,58.155,61.06,624.87,660.014
Georgia,GA,13,245.0,265.0,230.0,125.083,106.346,99.71,60.835,52.744,52.307,31.046,25.569
Tennessee,TN,47,220.0,140.0,205.0,93.139,118.062,95.396,38.924,50.213,41.887,304.568,312.809
South Carolina,SC,45,295.0,295.0,240.0,103.437,91.255,92.232,47.967,43.174,44.717,(\3),(\3)
Montana,MT,30,180.0,180.0,175.0,74.653,78.312,78.719,33.778,37.104,35.126,3.451,3.492
Arizona,AZ,04,148.0,175.0,165.0,64.284,67.324,75.056,32.393,34.363,41.531,0.599,0.483
Alabama,AL,01,165.0,175.0,175.0,75.336,80.809,63.749,30.982,34.326,28.23,44.162,38.274
California,CA,06,145.0,155.0,80.0,65.28,67.301,55.729,31.409,32.955,26.125,637.254,650.862
North Dakota,ND,38,169.0,182.0,151.0,62.401,51.345,51.401,37.696,35.825,34.84,32.285,28.507
New York,NY,36,98.0,86.0,95.0,32.287,29.829,26.901,11.754,10.784,9.449,5.39,5.474
Idaho,ID,16,25.0,32.0,33.0,11.1,17.65,20.396,5.351,8.319,9.487,41.012,39.161
Maryland,MD,24,33.0,33.0,31.0,15.562,13.683,15.318,5.93,5.49,6.482,4.352,4.39
Washington,WA,53,36.0,29.0,25.0,11.128,11.14,12.241,5.123,5.329,5.461,5.25,5.701
Oregon,OR,41,22.0,21.0,20.0,10.6,10.288,10.682,5.3,5.154,5.661,47.264,43.882
Florida,FL,12,20.0,20.0,20.0,8.445,8.146,7.408,3.244,3.013,2.815,12.794,11.166
Delaware,DE,10,10.5,9.0,9.0,5.693,6.55,6.329,2.487,2.947,2.87,(\5),(\5)
Louisiana,LA,22,14.0,11.0,11.0,5.142,4.281,4.713,1.969,1.671,1.817,3.339,3.048
Hawaii,HI,15,16.0,15.0,13.0,4.157,3.799,3.367,3.854,3.605,3.273,4.554,4.323
Massachusetts,MA,25,13.0,12.0,10.0,2.661,2.687,3.366,0.974,0.984,1.293,(\4),(\4)
West Virginia,WV,54,11.0,9.0,7.0,3.917,3.701,2.626,1.679,1.63,1.193,2.138,2.019
Maine,ME,23,4.5,4.4,4.4,2.523,2.037,2.426,0.98,0.821,0.997,(\4),(\4)
New Jersey,NJ,34,9.0,9.0,8.0,1.609,1.548,1.499,0.412,0.415,0.376,10.798,10.188
Nevada,NV,32,3.5,3.0,3.5,2.007,2.84,1.481,0.834,1.22,0.685,(\3),(\3)
Vermont,VT,50,2.5,2.7,2.6,1.032,1.066,1.056,0.36,0.384,0.398,(\4),(\4)
New Hampshire,NH,33,2.8,2.8,2.8,0.838,0.915,0.802,0.279,0.304,0.249,3.779,4.291
New Mexico,NM,35,2.0,2.0,2.0,0.771,0.678,0.739,0.316,0.272,0.29,0.249,0.481
Connecticut,CT,09,3.0,3.7,3.1,0.763,0.919,0.722,0.294,0.346,0.282,(\4),(\4)
Rhode Island,RI,44,2.1,2.3,1.8,0.875,0.699,0.718,0.341,0.266,0.284,(\4),(\4)
Alaska,AK,02,0.9,0.9,0.9,0.562,0.492,0.438,0.48,0.421,0.376,0.147,0.163
