Table 707. Net Stock of Fixed Reproducible Tangible Wealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government,38.3,39.2,40,40.6,40.8,39.7,36.1,35.7,41.8,45.9,48.7,54.2,57.2,59.2,61.6,67.6,84.5,117,149.3,169.9,188.4,200.3,214.4,214.6,199.8,211.5,236.7,254.1,259.3,275.2,296.9,329.1,343.2,361.3,371.6,385.1,404.4,430.7,451.6,473.7,504,544.9,588.6,638.9,703.2,782.4,847.5,923.4,1038.8,1276.6,1341.1,1418.1,1507.1,1648,1877,2148.9,2360.7,2491.3,2550.9,2650.3,2766.5,2936.2,3092.6,3251.3,3428.5,3600.7,3722.1,3885.1,4064.3,4295.2,4504.7,4681.8,4901.2,5101.1,5398.9,5712.7,5979.9,6265.6,6507.5,7214.2,7944.1,8746,9210.9,
Nonresidential,38.3,39.2,40,40.6,40.8,39.6,36.1,35.6,41.8,45.8,48.6,54.1,57,59,61.3,67.1,83.5,115.3,146.7,167.1,185.4,196.3,208.8,209.6,194.6,205.2,228.8,246.7,251.4,264.7,289.3,320.2,333.8,351,360.5,373.3,391.9,417.2,437.9,459.1,488.7,528.5,571.3,619.5,681.6,759.3,821.6,894.4,1006,1240,1301,1373.3,1455.6,1588.5,1806.2,2071.2,2275.6,2401,2450,2545.7,2660.7,2826.4,2973,3116.1,3284.1,3451.5,3571.9,3726.1,3894,4113.6,4316.5,4485.4,4704.3,4894.2,5178.9,5481,5733.2,6002,6227.9,6918.4,7609.3,8399.7,8887.2,
Equipment and software,2.9,2.8,2.8,2.6,2.4,2.3,2.3,2.3,2.3,2.6,2.8,3,3.2,3.3,3.6,4,7.7,20.9,45.4,65.5,75.8,70.7,62,52.2,44.3,40.5,44.3,50.7,57.5,64.1,69.5,74.1,76.2,77.9,82.4,85.2,89.2,96.5,99.2,102,104.6,109.8,116.4,120.9,125.1,131.1,132.2,134,136.2,149.7,164.4,178.7,195,207.8,225.2,251.5,282.9,307.5,337.9,360.9,383.7,411.5,437.2,471.1,508.3,551.1,583.9,613.3,637,665.8,674.8,674.8,671.4,677.1,698.2,703,711.3,723.2,738.2,784.1,817.7,864.3,897,
Structures,35.4,36.3,37.2,38,38.4,37.3,33.8,33.4,39.4,43.2,45.8,51.1,53.8,55.6,57.7,63.1,75.8,94.4,101.3,101.6,109.6,125.7,146.8,157.4,150.3,164.6,184.5,195.9,193.9,200.6,219.7,246.1,257.5,273.2,278.1,288.1,302.7,320.8,338.7,357.1,384.1,418.7,454.9,498.6,556.5,628.2,689.5,760.4,869.9,1090.3,1136.6,1194.6,1260.6,1380.7,1581,1819.7,1992.6,2093.4,2112.2,2184.7,2277,2414.9,2535.8,2645,2775.8,2900.4,2988,3112.8,3257,3447.7,3641.7,3810.5,4032.9,4217.1,4480.7,4778,5021.9,5278.8,5489.8,6134.4,6791.7,7535.4,7990.2,
Residential,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.3,0.5,1,1.7,2.6,2.8,3,4,5.6,5,5.2,6.4,7.9,7.4,7.9,10.6,7.6,8.9,9.4,10.2,11.1,11.8,12.6,13.5,13.7,14.6,15.3,16.4,17.3,19.4,21.6,23.1,25.9,29,32.8,36.6,40.1,44.8,51.5,59.6,70.9,77.8,85.2,90.3,100.8,104.6,105.8,109.7,119.6,135.2,144.4,149.2,150.2,159,170.3,181.7,188.2,196.5,196.8,206.9,219.9,231.7,246.7,263.6,279.5,295.7,334.7,346.3,323.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal,9.2,9,8.7,8.3,7.9,7.4,6.8,6.7,7.6,8.6,9.8,11.4,12.6,13.3,14,15.7,24.4,49.7,80.8,103,118.9,122.4,121.1,113,102.8,102.3,113.9,123.9,130.5,140.7,147.5,159.8,165.7,171.7,175.9,180,187,197.9,203.5,209,216,226.7,240.9,253,267.4,285.3,299.5,322.5,349.5,403.3,426.6,462.8,485.7,524,583.9,648,697.1,735.5,772.4,810.6,842.4,885.2,921.5,977.3,1031.2,1078.9,1122.5,1169.4,1209,1260.7,1291.3,1315.5,1334.7,1355.8,1398.9,1424.6,1446.8,1469.9,1498.9,1591.4,1722.6,1830.8,1700.6,
Defense,6.8,6.6,6.3,5.8,5.3,4.8,4.4,4.2,4.4,4.7,4.8,5.2,5.4,5.5,5.7,6.6,13.8,38.4,68.4,90.2,104.4,105,101.2,91.2,80.9,79.5,90.1,97.8,104.7,114.3,119.4,130.3,134.7,139.7,142.7,145.5,150.6,158.6,160.8,163.1,165.3,170.6,180.5,187.4,195.7,207.7,214.9,231.9,250.5,285.9,296.3,324.4,336.7,360.6,400.2,439.2,464.6,489.3,520.2,548.3,570,602.1,625.7,667.7,703.8,735.1,766,800.4,823.2,857.3,865.3,867.1,868.3,871.8,890.7,896,904.2,914.2,927.8,983.3,1059.3,1122.6,1053.8,
State and local,29.1,30.2,31.3,32.3,32.9,32.2,29.3,29,34.2,37.2,38.8,42.8,44.6,45.9,47.6,51.9,60.2,67.4,68.5,66.9,69.5,77.9,93.3,101.6,96.9,109.3,122.9,130.2,128.8,134.5,149.4,169.3,177.4,189.5,195.7,205.1,217.4,232.8,248.1,264.7,288,318.2,347.7,385.9,435.8,497.1,548,600.9,689.3,873.3,914.5,955.3,1021.4,1124,1293.1,1501,1663.6,1755.8,1778.5,1839.7,1924.1,2051,2171.1,2274,2397.4,2521.8,2599.6,2715.7,2855.2,3034.5,3213.4,3366.3,3566.5,3745.3,4000,4288.1,4533.1,4795.7,5008.6,5622.7,6221.4,6915.2,7510.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer durable goods,32,33.4,34.8,35.2,35.8,33.5,28.9,25.7,25.5,25.1,24.9,26.7,27.9,27.8,28.5,31,36.2,40.1,44.3,46.5,46.2,54.1,65.1,73.9,81.9,99.2,109.6,116.6,124.3,127.4,136.7,147.7,156.5,160.2,167.4,172,174.6,180.4,190.3,200.2,211.5,231.4,253,281.3,307.1,330.1,351.3,380.7,421.1,485.1,534.4,585.4,650.3,734.1,824.7,910.2,978.3,1019.5,1088.9,1180.9,1284.9,1422.6,1542.8,1676.3,1795.1,1899.2,1972,2044.1,2148.9,2269.6,2370.7,2468.3,2561.7,2682.9,2835,3014.9,3144.2,3273,3380.3,3564.8,3725.8,3877.4,4025.5,
Motor vehicles and parts,4.4,5.3,5.9,6.5,7.1,7,6.4,5.5,5.2,5.1,5,5.2,5.6,5.4,5.5,6.2,6.3,5.8,5.3,4.2,3.5,4.8,7.8,11.3,16.1,22.3,27.1,30.1,34.2,34.8,38.6,42,45.3,45.6,48.2,48.8,48.4,50.4,54.2,57.3,61.4,66.6,72.3,80.6,87.8,94.8,99.8,108.6,120.8,135,146.1,164.8,190.6,218.5,242.3,254,268.9,279.1,312.8,361.9,420.5,489,535.6,586.6,630.8,670.2,687.5,718.7,760.6,810.4,842.2,875.1,899.4,950.4,1020.8,1092.2,1156,1213.5,1256.1,1326.4,1372,1381.4,1401.9,
Furniture and household equipment,21.9,22.5,23.1,22.8,22.7,20.6,17.1,15.3,15.8,15.8,15.7,17.3,18.1,18,18.4,19.8,24,27.7,31.1,33.4,33.1,37.9,44.5,48.6,51.5,61.2,65.8,68.8,71.8,73.8,78.2,84.2,88.2,90.4,93.8,96.7,98.9,101.5,105.8,110.7,116.4,127.2,138.9,153.2,166.6,177.5,188.5,202.3,222,259.3,283.7,304.1,329.6,368.1,408.7,454.6,494.9,517.2,541.5,569.4,599.4,644.6,686.8,736.6,780.4,814.1,845.6,876.1,920.4,965.5,1010.6,1055.8,1101.1,1146.7,1196.4,1260.3,1292.1,1334.9,1365.6,1438.5,1505.7,1582.9,1646.7,
Other,5.7,5.7,5.8,5.9,6,5.9,5.4,4.9,4.5,4.1,4.1,4.2,4.3,4.4,4.6,5,6,6.6,7.8,8.8,9.5,11.5,12.9,14,14.3,15.6,16.7,17.7,18.3,18.8,19.9,21.5,23,24.3,25.4,26.5,27.4,28.5,30.3,32.2,33.8,37.5,41.8,47.5,52.7,57.7,63,69.7,78.3,90.8,104.7,116.5,130.1,147.6,173.6,201.5,214.4,223.2,234.5,249.6,265,289,320.5,353.1,383.9,414.9,438.9,449.4,467.9,493.7,517.9,537.4,561.2,585.9,617.9,662.3,696,724.6,758.7,799.9,848.1,913.2,977,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAINED (2000) DOLLARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed assets and consumer durable goods,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),22580.2,22985.7,23424.4,23943.2,24521.5,25155.8,25881.2,26666.8,27552.6,28523.9,29527.9,30392.8,31188.5,32004.4,32864.9,33709.2,34623.4,35443.3,
Fixed assets,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),20725.8,21093.4,21475,21918.7,22401.7,22939,23551.9,24205.8,24928.1,25699.6,26497.5,27169.7,27758.7,28368.3,29025.4,29680.3,30410.5,31049,
Private,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),16028.7,16293.1,16576.4,16937.6,17347.2,17803.9,18323.3,18890.9,19522.6,20189.7,20880,21438.3,21901.4,22384.2,22914.8,23458.9,24070.7,24586.8,
Nonresidential,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),7809,7932.3,8045.3,8208.2,8395.7,8638,8917,9241.7,9604.6,9986.4,10392.1,10669.1,10840.9,10986.1,11147.2,11332.6,11584.3,11848.7,
Equipment and software,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2532.4,2571.6,2621.4,2708.9,2826.1,2972,3138.4,3337.8,3566.8,3823.2,4090.5,4249.3,4343,4421.7,4523.4,4663.4,4840.9,4991.4,
Structures,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5347.2,5432.6,5492.8,5559.7,5617.9,5701.7,5802.3,5916.4,6042.2,6163.1,6301.6,6422.1,6499.3,6567.8,6631.8,6690.4,6783.7,6909.6,
Residential,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),8223.3,8365.2,8538.3,8737.9,8961,9174.2,9412.8,9652.9,9919.3,10203.4,10487.8,10769.2,11067.9,11401.4,11763.3,12113.6,12468.9,12721.6,
Government,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4700.2,4804,4902.7,4984.8,5057.4,5137.3,5230.4,5316.1,5406,5510,5617.5,5731.4,5857.2,5983.9,6110.1,6220.7,6339.3,6462,
Nonresidential,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4506.5,4606.5,4701.1,4779.6,4849.4,4925.8,5015.3,5098.2,5184.7,5285.3,5390.1,5500.7,5623.1,5746.6,5869.4,5977.6,6095.2,6216,
Equipment and software,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),631.3,654.4,673.5,681.9,684.3,685.7,687.8,686.6,690.2,698.6,706.1,714.4,726.7,739.3,757.3,779.3,806.1,830,
Structures,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3871.9,3947.1,4021.5,4092.1,4160.6,4237.1,4325.8,4411,4494.3,4586.7,4684,4786.1,4895.9,5006.5,5111.5,5199.1,5292.4,5391.4,
Residential,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),201.3,205.2,209.5,213.2,216.2,219.8,223.5,217.9,221.3,224.7,227.4,230.7,234.2,237.5,241,243.4,244.7,246.6,
Consumer durable goods,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1903.4,1941.1,1994.5,2064,2151.4,2242,2347.7,2472.5,2629.3,2824.4,3030.4,3227.9,3441.4,3661.7,3886.2,4106.3,4323.7,4547.6,
