Mean total money income (dollars),29008.0,(X),28258.0,36255.0,7571.0,(X),7604.0,7189.0,28612.0,(X),26715.0,46570.0,7458.0,(X),7494.0,6748.0,29454.0,(X),28018.0,42977.0,7799.0,(X),7773.0,8295.0
Mean child support received  (dollars),4274.0,(X),4274.0,4273.0,3041.0,(X),3078.0,2622.0,4577.0,(X),4647.0,3906.0,3713.0,(X),3712.0,3733.0,4717.0,(X),4719.0,4691.0,3372.0,(X),3369.0,3428.0
Received the full amount due:,,,,,,,,,,,,,,,,,,,,,,,,
Mean total money income  (dollars),32338.0,(X),31734.0,38479.0,7963.0,(X),7958.0,8032.0,32259.0,(X),30174.0,50246.0,8242.0,(X),8173.0,9461.0,31934.0,(X),30403.0,47134.0,7766.0,(X),7698.0,9112.0
Mean child support received (dollars),5665.0,(X),5655.0,5768.0,4576.0,(X),4701.0,2831.0,6242.0,(X),6380.0,5052.0,5970.0,(X),5985.0,5692.0,6002.0,(X),5981.0,6210.0,4683.0,(X),4686.0,4615.0
Received partial payments:,,,,,,,,,,,,,,,,,,,,,,,,
Mean total money income (dollars),23899.0,(X),22865.0,33199.0,7223.0,(X),7281.0,6647.0,23297.0,(X),21787.0,39900.0,6635.0,(X),6790.0,3074.0,25626.0,(X),24288.0,37278.0,7838.0,(X),7864.0,7328.0
Mean child support received  (dollars),2141.0,(X),2132.0,2219.0,1677.0,(X),1595.0,2487.0,2150.0,(X),2180.0,1826.0,1344.0,(X),1356.0,1082.0,2733.0,(X),2747.0,2608.0,1796.0,(X),1784.0,2022.0
,,,,,,,,,,,,,,,,,,,,,,,,
Received no payments in year shown:,,,,,,,,,,,,,,,,,,,,,,,,
Mean total money income  (dollars),23571.0,(X),21835.0,35348.0,6832.0,(X),6755.0,7492.0,23424.0,(X),21385.0,37949.0,7348.0,(X),7365.0,7560.0,25961.0,(X),24475.0,37751.0,7706.0,(X),7559.0,10315.0
Without child support agreement or award:,,,,,,,,,,,,,,,,,,,,,,,,
Mean total money income (dollars),24055.0,(X),19339.0,39396.0,6113.0,(X),6089.0,6287.0,28059.0,(X),21627.0,46802.0,6316.0,(X),6640.0,4024.0,29787.0,(X),23127.0,50756.0,6488.0,(X),6217.0,8952.0
,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau,",,,,,,,,,,,,,,,,,,,,,,,,
"Current Population Reports, P60-234",,,,,,,,,,,,,,,,,,,,,,,,
and unpublished data.,,,,,,,,,,,,,,,,,,,,,,,,
