Male,Percent,5.5,6.9,8.7,9.1,9.7,10.0,10.0,10.0,9.680741503604533,10.243458935246,10.0,10.3,10.738529962546815,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0,9.0,8.0,12.0
Female,Percent,11.5,12.7,14.0,14.6,14.9,15.0,15.0,15.0,14.62409886714727,14.7408829174664,15.0,14.8,14.939333645443195,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,18.0,11.0,8.0,17.0
Two persons,Percent,28.9,30.6,31.4,31.6,32.3,32.0,32.1,32.0,32.13182286302781,32.1588039195878,33.0,32.4,32.15219257178527,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,34.0,28.0,27.0,23.0,36.0
Three persons,Percent,17.3,17.4,17.5,17.8,17.3,17.1,17.1,18.0,17.404737384140063,16.9986867360339,17.0,16.9,16.90367509363296,17.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,15.0,17.0,20.0,19.0,15.0
Four persons,Percent,15.8,15.6,15.7,15.7,15.5,15.4,15.4,15.0,15.550978372811535,15.4773209415092,15.0,15.2,14.979322721598,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,18.0,20.0,12.0
Five persons,Percent,10.3,9.0,7.5,7.0,6.7,6.6,6.7,7.0,6.90010298661174,6.68350338418022,7.0,6.7,6.874219725343321,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,13.0,5.0
Six persons,Percent,5.6,4.3,3.1,2.6,2.3,2.4,2.2,2.0,2.2657054582904226,2.30225275280331,2.0,2.3,2.1769662921348316,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0
Seven persons or more,Percent,5.0,3.5,2.2,1.5,1.4,1.5,1.4,1.0,1.4418125643666324,1.39610061622386,1.0,1.3,1.2357599875156053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Reports,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P20-537, and earlier reports; and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Families and Living Arrangements"";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and unpublished data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
