Exterior wall material,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Brick,(NA),28.0,22.0,20.0,18.0,17.0,19.0,18.0,19.0,21.0,21.0,21.0,20.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,21.0
Wood,(NA),42.0,43.0,43.0,41.0,42.0,39.0,39.0,38.0,33.0,31.0,27.0,25.0,23.0,19.0,16.0,14.0,14.0,11.0,10.0,8.0,7.0,7.0,8.0
Stucco,(NA),13.0,14.0,13.0,15.0,16.0,19.0,18.0,15.0,14.0,14.0,15.0,16.0,16.0,16.0,18.0,18.0,17.0,18.0,19.0,21.0,22.0,22.0,22.0
Vinyl siding \1,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),23.0,25.0,28.0,30.0,33.0,36.0,37.0,39.0,39.0,39.0,40.0,38.0,38.0,34.0,30.0
Aluminum siding,(NA),9.0,10.0,9.0,9.0,8.0,6.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(Z)
Other \1,(NA),8.0,12.0,14.0,17.0,18.0,18.0,20.0,24.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,10.0,11.0,13.0,14.0,16.0,18.0
,,,,,,,,,,,,,,,,,,,,,,,,
Floor area,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Under 1,200 sq ft",36.0,21.0,20.0,17.0,14.0,12.0,13.0,11.0,12.0,10.0,9.0,9.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0
"1,200 to 1,599 sq ft",28.0,29.0,30.0,30.0,27.0,25.0,23.0,22.0,22.0,22.0,21.0,21.0,22.0,21.0,21.0,20.0,19.0,18.0,18.0,19.0,17.0,17.0,16.0,14.0
"1,600 to 1,999 sq ft",16.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,23.0,23.0,24.0,23.0,23.0,22.0,22.0,22.0,23.0,21.0,21.0,21.0,21.0,20.0,20.0
"2,000 to 2,399 sq ft",21.0,13.0,12.0,14.0,16.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,17.0
"2,400 sq. ft and over",(\2),15.0,17.0,18.0,21.0,25.0,26.0,29.0,28.0,29.0,29.0,28.0,28.0,30.0,31.0,32.0,34.0,35.0,38.0,37.0,38.0,39.0,42.0,44.0
Average (square feet),1500.0,1740.0,1785.0,1825.0,1905.0,1995.0,2035.0,2080.0,2075.0,2095.0,2095.0,2100.0,2095.0,2120.0,2150.0,2190.0,2223.0,2266.0,2324.0,2320.0,2330.0,2349.0,2434.0,2469.0
Median (square feet),1385.0,1595.0,1605.0,1660.0,1755.0,1810.0,1850.0,1905.0,1890.0,1920.0,1945.0,1940.0,1920.0,1950.0,1975.0,2000.0,2028.0,2057.0,2103.0,2114.0,2137.0,2140.0,2227.0,2248.0
,,,,,,,,,,,,,,,,,,,,,,,,
Number of stories,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,74.0,60.0,52.0,51.0,49.0,46.0,46.0,46.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,48.0,48.0,47.0,46.0,47.0,46.0,47.0,44.0,43.0
2 or more,17.0,31.0,42.0,44.0,46.0,49.0,49.0,49.0,47.0,47.0,48.0,47.0,48.0,47.0,49.0,50.0,51.0,52.0,53.0,52.0,53.0,52.0,55.0,57.0
Split level,10.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,(Z),(Z)
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Full or partial basement,37.0,36.0,35.0,37.0,39.0,39.0,37.0,38.0,40.0,42.0,40.0,39.0,39.0,37.0,37.0,37.0,36.0,37.0,35.0,34.0,32.0,31.0,31.0,29.0
Slab,36.0,45.0,48.0,45.0,43.0,41.0,43.0,40.0,38.0,38.0,40.0,41.0,42.0,44.0,45.0,45.0,47.0,46.0,48.0,50.0,52.0,54.0,53.0,56.0
Crawl space,27.0,19.0,18.0,18.0,18.0,19.0,19.0,21.0,22.0,20.0,20.0,20.0,19.0,19.0,19.0,18.0,17.0,17.0,17.0,16.0,15.0,15.0,16.0,15.0
,,,,,,,,,,,,,,,,,,,,,,,,
Bedrooms,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2 or less,13.0,17.0,25.0,21.0,19.0,17.0,15.0,15.0,14.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0
3,63.0,63.0,57.0,59.0,58.0,57.0,57.0,57.0,59.0,59.0,58.0,58.0,57.0,56.0,56.0,55.0,54.0,54.0,52.0,52.0,51.0,51.0,49.0,49.0
4 or more,24.0,20.0,18.0,20.0,23.0,26.0,28.0,29.0,28.0,29.0,30.0,30.0,30.0,31.0,31.0,33.0,34.0,35.0,37.0,36.0,37.0,37.0,39.0,39.0
,,,,,,,,,,,,,,,,,,,,,,,,
Bathrooms,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1 or less,(NA),(NA),13.0,10.0,10.0,8.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1 1/2 or less,52.0,27.0,11.0,9.0,7.0,7.0,14.0,13.0,14.0,13.0,12.0,11.0,11.0,9.0,9.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,5.0
2,32.0,48.0,48.0,47.0,45.0,44.0,42.0,42.0,43.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,40.0,39.0,38.0,39.0,38.0,39.0,36.0,36.0
2 1/2 or more,16.0,25.0,29.0,33.0,38.0,42.0,44.0,45.0,44.0,47.0,48.0,49.0,48.0,49.0,50.0,52.0,53.0,54.0,56.0,55.0,56.0,57.0,59.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,,
Heating fuel,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gas,62.0,41.0,49.0,47.0,52.0,54.0,58.0,59.0,60.0,65.0,66.0,67.0,67.0,69.0,69.0,70.0,70.0,70.0,70.0,68.0,70.0,69.0,66.0,62.0
Electricity,28.0,50.0,44.0,44.0,40.0,37.0,34.0,33.0,32.0,29.0,29.0,29.0,28.0,26.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,29.0,31.0,35.0
Oil,8.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0
Other,1.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,
Heating system,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Warm air furnace,71.0,57.0,54.0,54.0,57.0,60.0,63.0,65.0,65.0,66.0,67.0,67.0,67.0,70.0,70.0,72.0,72.0,71.0,71.0,71.0,71.0,70.0,67.0,63.0
Electric heat pump,(NA),24.0,30.0,29.0,27.0,26.0,24.0,23.0,23.0,24.0,24.0,24.0,25.0,23.0,23.0,21.0,22.0,23.0,23.0,23.0,24.0,26.0,29.0,33.0
Other,29.0,19.0,15.0,17.0,16.0,15.0,13.0,12.0,13.0,11.0,10.0,9.0,9.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,
Central air-conditioning,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
With,34.0,63.0,70.0,69.0,71.0,75.0,77.0,76.0,75.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,90.0,89.0,89.0
Without,66.0,37.0,30.0,31.0,29.0,25.0,23.0,24.0,25.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,10.0,11.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,,
Fireplaces,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
No fireplace,65.0,43.0,41.0,38.0,38.0,35.0,35.0,34.0,37.0,37.0,37.0,36.0,37.0,38.0,39.0,39.0,38.0,40.0,42.0,42.0,42.0,45.0,45.0,47.0
1 or more,35.0,56.0,59.0,62.0,62.0,65.0,65.0,66.0,63.0,64.0,63.0,64.0,63.0,62.0,61.0,61.0,62.0,60.0,58.0,58.0,58.0,55.0,55.0,53.0
,,,,,,,,,,,,,,,,,,,,,,,,
Parking facilities,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Garage,58.0,69.0,70.0,74.0,79.0,78.0,80.0,82.0,81.0,83.0,84.0,86.0,84.0,86.0,86.0,86.0,88.0,89.0,89.0,88.0,88.0,90.0,91.0,91.0
Carport,17.0,7.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No garage or carport,25.0,24.0,25.0,21.0,18.0,18.0,17.0,16.0,17.0,15.0,14.0,13.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,8.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SYMBOL,,,,,,,,,,,,,,,,,,,,,,,,
NA Not available.,,,,,,,,,,,,,,,,,,,,,,,,
|,,,,,,,,,,,,,,,,,,,,,,,,
(Z) Zero.,,,,,,,,,,,,,,,,,,,,,,,,
"\1 Prior to 1992 ""other"" includes vinly siding.",,,,,,,,,,,,,,,,,,,,,,,,
"\2 Included with floor area of 2,000 to 2,399 square feet.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau and U.S. Dept. of Housing and Urban,,,,,,,,,,,,,,,,,,,,,,,,
"Development, Current Construction Reports, Series C25, New One-Family",,,,,,,,,,,,,,,,,,,,,,,,
"Houses Sold, monthly, and Characteristics of New Housing, annual; publication",,,,,,,,,,,,,,,,,,,,,,,,
"discontinued in 2001, see Internet site",,,,,,,,,,,,,,,,,,,,,,,,
<http://www.census.gov/const/www/charindex.html>.,,,,,,,,,,,,,,,,,,,,,,,,
