# Busco id,Status,Sequence,Score,Length
EOG093601KV,Missing,,,
EOG093601KY,Missing,,,
EOG093601LZ,Complete,C0000015351_TRINITY_DN535_c0_g1,460.9,252
EOG093601M6,Missing,,,
EOG093601MF,Missing,,,
EOG093601MT,Fragmented,C0000015856_TRINITY_DN9663_c0_g1,369.7,374
EOG093601NK,Missing,,,
EOG093601NU,Missing,,,
EOG093601OK,Missing,,,
EOG093601PF,Fragmented,C0000019778_TRINITY_DN10805_c0_g1,1286.7,644
EOG093601PJ,Missing,,,
EOG093601PV,Complete,C0000017735_TRINITY_DN8011_c0_g1,446.3,394
EOG093601Q7,Missing,,,
EOG093601QL,Fragmented,C0000013677_TRINITY_DN28795_c0_g1,378.8,299
EOG093601SL,Missing,,,
EOG093601SQ,Fragmented,C0000004236_TRINITY_DN12943_c0_g1,329.2,181
EOG093601T9,Missing,,,
EOG093601TO,Missing,,,
EOG093601TR,Missing,,,
EOG093601U2,Missing,,,
EOG093601UA,Complete,C0000017713_TRINITY_DN34196_c0_g1,876.5,489
EOG093601UC,Missing,,,
EOG093601V0,Fragmented,C0000016978_TRINITY_DN3582_c0_g1,701.8,417
EOG093601VD,Missing,,,
EOG093601WC,Missing,,,
EOG093601XR,Fragmented,C0000013061_TRINITY_DN25414_c0_g1,526.2,263
EOG093601Y2,Complete,C0000020710_TRINITY_DN24549_c0_g1,1042.3,736
EOG093601Y6,Missing,,,
EOG09360205,Missing,,,
EOG0936020C,Missing,,,
EOG0936020T,Missing,,,
EOG0936021K,Missing,,,
EOG09360236,Fragmented,C0000006772_TRINITY_DN34263_c0_g1,328.1,204
EOG0936023S,Complete,C0000020645_TRINITY_DN9593_c0_g1,1204.8,773
EOG0936024P,Fragmented,C0000016619_TRINITY_DN20002_c0_g1,969.3,490
EOG0936024U,Duplicated,C0000014927_TRINITY_DN8729_c0_g1,695.4,407
EOG0936024U,Duplicated,C0000014928_TRINITY_DN8729_c0_g2,695.4,407
EOG09360254,Missing,,,
EOG09360259,Missing,,,
EOG0936025H,Missing,,,
EOG0936025L,Complete,C0000021054_TRINITY_DN11460_c0_g1,756.1,702
EOG0936026P,Missing,,,
EOG0936026R,Fragmented,C0000016540_TRINITY_DN3383_c0_g1,300.0,332
EOG0936026Z,Missing,,,
EOG0936027I,Missing,,,
EOG0936028K,Fragmented,C0000015405_TRINITY_DN19681_c0_g1,650.0,406
