-     Industry \1 -,-   NAICS code  -,- U.S. parents - Total Assets (mil. dol) -,-  - Capital expenditures (mil. dol) -,-  - Value added (mil. dol) -,"-  - Employment (1,000)  -","- All Affiliates Employment (1,000)  -",- MOFA's - Capital expenditures  -,-  - Value added (mil. dol) -,"-  - Employment (1,000)  -"
Semiconductors and other electronic components,3344,157912.0,10914.0,53057.0,335.3,384.4,6596.0,15920.0,359.9
"Navigational, measuring, and other instruments",3345,36070.0,1572.0,12954.0,145.6,63.2,243.0,4368.0,61.1
Magnetic and optical media,3346,11526.0,172.0,2000.0,11.4,16.5,205.0,606.0,16.1
"Electrical equipment, appliances, and components",335,105545.0,4466.0,32258.0,469.2,267.4,1103.0,7566.0,227.2
Transportation equipment,336,1012830.0,76389.0,208603.0,1983.7,1016.4,8681.0,50083.0,902.2
"Motor vehicles, bodies and trailers, and parts",3361-3363,802836.0,70686.0,136046.0,1110.9,M,8472.0,47445.0,862.6
Other,"3364-3366,3369",209993.0,5703.0,72557.0,872.9,K,209.0,2638.0,39.6
Furniture and related products,337,21564.0,1175.0,9936.0,189.3,41.1,199.0,1252.0,40.4
Miscellaneous manufacturing,339,61107.0,2233.0,19384.0,240.7,177.3,1066.0,9266.0,171.5
Wholesale trade,42,412159.0,20933.0,98960.0,898.9,794.5,7829.0,99554.0,752.0
Professional and commercial equipment and supplies,4214,76527.0,(D),23121.0,224.4,321.0,3617.0,31053.0,313.8
Other durable goods,"4211-4213,4215-4219",95137.0,5323.0,20533.0,233.3,207.2,1628.0,18243.0,198.4
Petroleum and petroleum products,4227,116037.0,(D),25688.0,60.1,46.6,963.0,31020.0,37.7
Other nondurable goods,"4221-4226,4228,4229",124459.0,3946.0,29618.0,381.0,219.7,1621.0,19238.0,202.1
Information,51,1360356.0,89343.0,302307.0,2042.0,692.2,9982.0,20635.0,322.6
Publishing industries,511,174105.0,4603.0,49917.0,337.2,71.8,428.0,6792.0,64.7
Motion picture and sound recording industries,512,37227.0,733.0,3123.0,46.4,46.4,211.0,2133.0,37.6
Broadcasting and telecommunications,513,1079974.0,80758.0,218340.0,1403.3,455.7,8622.0,5428.0,114.5
"Broadcasting, cable networks, and program distribution","5131,5132",318804.0,7105.0,37170.0,447.0,34.2,(D),-186.0,16.6
Telecommunications,5133,761170.0,73653.0,181170.0,956.3,421.5,(D),5614.0,97.9
Information services and data processing services,514,69050.0,3248.0,30927.0,255.1,118.3,721.0,6283.0,105.8
Finance (except depository institutions) and insurance,"52 exc. 521, 522",5379109.0,21909.0,156747.0,1417.0,315.3,4762.0,19655.0,286.7
"Finance, except depository institutions","523,525",2416457.0,10740.0,86252.0,574.9,162.2,4171.0,9904.0,145.5
"Securities, commodity contracts, and other intermediation",5231,2051959.0,6726.0,79299.0,458.3,77.7,1288.0,8208.0,72.1
"Other finance, except depository institutions","5232,5239,525",364498.0,4015.0,6953.0,116.6,84.5,2883.0,1696.0,73.4
Insurance carriers and related activities,524,2962652.0,11169.0,70495.0,842.1,153.0,590.0,9751.0,141.2
"Professional, scientific, and technical services",54,233803.0,10882.0,100651.0,1049.6,442.0,4139.0,33043.0,414.6
"Architectural, engineering, and related services",5413,17733.0,342.0,7296.0,102.4,46.7,286.0,2846.0,45.4
Computer systems design and related services,5415,118278.0,7098.0,39131.0,382.0,181.9,2496.0,17259.0,170.3
"Management, scientific, and technical consulting",5416,13732.0,578.0,10976.0,117.7,44.5,296.0,4755.0,43.3
Advertising and related services,5418,37998.0,647.0,10737.0,113.8,90.4,469.0,4972.0,84.0
Other,"5411,5412,5414,5417,5419",46062.0,2216.0,32510.0,333.7,78.6,592.0,3212.0,71.6
Other industries,(X),912050.0,59677.0,379469.0,8808.1,2092.9,14856.0,49374.0,1791.0
"Agriculture, forestry, fishing, and hunting",11,3531.0,200.0,1403.0,33.0,72.4,225.0,758.0,70.1
Construction,23,28037.0,1094.0,13496.0,187.6,45.7,170.0,1661.0,37.3
Retail trade,44-45,326490.0,23341.0,148657.0,3799.5,599.8,2742.0,17658.0,549.2
Transportation and warehousing,48-49,185592.0,13745.0,85286.0,1111.3,174.0,964.0,6594.0,123.1
Real estate and rental and leasing,53,90061.0,9833.0,16851.0,145.0,56.4,6165.0,5976.0,54.0
Real estate,531,43193.0,2293.0,5857.0,31.3,13.6,1243.0,1208.0,11.9
Rental and leasing (except real estate),532,46869.0,7540.0,10994.0,113.7,42.8,4922.0,4768.0,42.1
Management of nonbank companies and enterprises,55,26432.0,92.0,3025.0,2.5,19.1,684.0,-4997.0,18.0
"Administration, support, and waste management",56,61867.0,2356.0,44575.0,1596.0,493.5,795.0,10663.0,450.8
Health care and social assistance,62,52740.0,1563.0,24640.0,486.2,12.1,92.0,285.0,11.4
Accommodation and food services,72,108499.0,6246.0,34643.0,1202.7,495.6,2314.0,7504.0,373.3
Accommodation,721,71960.0,3843.0,16656.0,445.2,60.6,655.0,2054.0,48.3
Food services and drinking places,722,36538.0,2403.0,17987.0,757.4,435.0,1659.0,5450.0,325.0
Miscellaneous services,81,28801.0,1207.0,6892.0,244.2,124.1,705.0,3273.0,103.8
