Hydroelectric \2,0.000685,0.001432,0.001369,0.001266,0.001028,0.000957,0.00122,0.0013,0.001228,0.001228,0.001173,0.001018,0.000687,0.00013,0.00074,0.001052,0.00086,0.000927,0.000764,0.000745
Industrial \11,1.872106,1.718052,1.684932,1.738563,1.774235,1.929071,1.993746,2.033971,2.058822,1.931024,1.936138,1.930117,1.720934,1.722391,1.730305,1.860261,1.88321,2.005007,2.04809,2.055592
Biomass \4,1.841909,1.685205,1.653157,1.705856,1.742242,1.864085,1.936051,1.970297,1.997659,1.873485,1.883379,1.883535,1.683674,1.678696,1.683663,1.823904,1.846958,1.971851,2.027674,2.031718
Wood \8,1.583563,1.441912,1.409847,1.461223,1.484345,1.57977,1.652078,1.683499,1.730613,1.60344,1.61952,1.635925,1.442644,1.396434,1.363315,1.475735,1.451729,1.515187,1.457033,1.29781
Waste \11,0.200406,0.192323,0.184674,0.178514,0.181157,0.199247,0.195026,0.223549,0.184014,0.180344,0.171042,0.145111,0.128595,0.146345,0.142439,0.13193,0.148248,0.14725,0.161643,0.156573
Geothermal \3,0.0018,0.0019,0.0021,0.0022,0.0024,0.0028,0.003,0.0029,0.0031,0.003,0.0041,0.0044,0.00476,0.004787,0.0034,0.0038,0.0043,0.0044,0.0047,0.005
Hydroelectric \2,0.028396,0.030947,0.029675,0.030508,0.029593,0.062186,0.054695,0.060773,0.058062,0.054539,0.048658,0.042183,0.0325,0.038908,0.043242,0.032556,0.031951,0.028756,0.015715,0.018874
Transportation,0.06948,0.061654,0.071525,0.081373,0.095572,0.106979,0.114785,0.082307,0.104047,0.115146,0.120199,0.13764,0.144999,0.173071,0.234468,0.295496,0.345698,0.483965,0.613853,0.83295
Fuel ethanol \12,0.06948,0.061654,0.071525,0.081373,0.095572,0.106979,0.114785,0.082307,0.104047,0.115146,0.120199,0.13764,0.143696,0.171008,0.232741,0.292067,0.334109,0.450716,0.568154,0.792092
Biodiesel \13,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.001303,0.002063,0.001727,0.003429,0.011589,0.033249,0.045699,0.040858
Electric power \14,3.372222,3.688945,3.710219,3.359624,3.662481,3.419693,3.888602,4.305014,4.374601,4.032261,4.033545,3.578955,2.909817,3.445494,3.600915,3.503331,3.568192,3.826785,3.507538,3.689854
Biomass \4,0.23153,0.316506,0.354353,0.402457,0.414619,0.43389,0.421664,0.438273,0.445973,0.444495,0.453224,0.452754,0.337136,0.379973,0.39717,0.388066,0.405695,0.412482,0.423448,0.422547
Wood \8,0.099575,0.128515,0.125796,0.140221,0.149832,0.152335,0.125412,0.13786,0.136992,0.136706,0.138026,0.134321,0.126401,0.150191,0.16729,0.165189,0.184973,0.181815,0.185956,0.180525
Waste \11,0.131955,0.187991,0.228557,0.262236,0.264787,0.281555,0.296252,0.300413,0.308981,0.307789,0.315198,0.318433,0.210735,0.229782,0.22988,0.222877,0.220722,0.230667,0.237492,0.242022
Geothermal \3,0.307863,0.325601,0.335247,0.337509,0.351116,0.324908,0.279793,0.300329,0.308659,0.310503,0.311619,0.296196,0.288784,0.304564,0.303154,0.311282,0.308776,0.306176,0.30763,0.312297
Hydroelectric \2,2.808182,3.014012,2.984899,2.585662,2.860991,2.620314,3.149392,3.527582,3.581168,3.241286,3.217744,2.767916,2.208671,2.649979,2.780551,2.65647,2.670131,2.839353,2.429909,2.432454
Solar \5,0.002614,0.003818,0.004923,0.004133,0.004767,0.00502,0.005123,0.005389,0.005221,0.005124,0.005063,0.005033,0.005608,0.005644,0.005469,0.005764,0.005502,0.005036,0.006047,0.008333
Producers,0.389,0.538,0.596,0.648,0.709,0.705,0.716,0.752,0.754,0.753,0.91,0.972,0.956,1.036,1.103,1.127,(NA),(NA),(NA),(NA)
Biomass \4,0.211,0.295,0.333,0.381,0.394,0.413,0.405,0.418,0.426,0.424,0.433,0.432,0.432,0.467,0.485,0.479,(NA),(NA),(NA),(NA)
Wood \8,0.089,0.12,0.118,0.132,0.141,0.144,0.119,0.13,0.129,0.129,0.131,0.127,0.121,0.14,0.151,0.155,(NA),(NA),(NA),(NA)
Waste \3,0.122,0.175,0.215,0.249,0.253,0.269,0.286,0.288,0.296,0.294,0.302,0.305,0.311,0.327,0.335,0.324,(NA),(NA),(NA),(NA)
Geothermal \3,0.111,0.145,0.165,0.168,0.193,0.18,0.181,0.191,0.194,0.202,0.276,0.293,0.286,0.275,0.277,0.275,(NA),(NA),(NA),(NA)
Hydroelectric \2,0.043,0.066,0.062,0.065,0.087,0.072,0.093,0.104,0.096,0.092,0.151,0.185,0.165,0.185,0.224,0.227,(NA),(NA),(NA),(NA)
Solar \5,(Z),(Z),0.005,(Z),0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.005,0.006,(NA),(NA),(NA),(NA)
Wind \6,0.022,0.029,0.031,0.03,0.031,0.036,0.033,0.033,0.034,0.031,0.046,0.057,0.068,0.103,0.111,0.14,(NA),(NA),(NA),(NA)
