Other,Million dollars,-49.0,-275.0,-767.0,-321.0,-61.0,128.0,102.0,678.0,-293.0,696.0
Accrued depreciation and amortization,Million dollars,22222.0,23439.0,23989.0,24635.0,26649.0,29215.0,29771.0,32508.0,35763.0,38702.0
Net investment,Million dollars,48126.0,62746.0,82147.0,83953.0,91121.0,93686.0,106170.0,108892.0,112556.0,117963.0
Shareholder's equity,Million dollars,23662.0,31419.0,32401.0,34822.0,39675.0,41151.0,51955.0,55828.0,58901.0,59300.0
Net working capital,Million dollars,-3505.0,-2634.0,-5783.0,-6282.0,-6037.0,-6750.0,-5171.0,-4729.0,-4461.0,-5482.0
Cash dividends,Million dollars,2074.0,1518.0,819.0,2120.0,870.0,1406.0,1888.0,1267.0,1089.0,6427.0
Passenger revenue,Million dollars,941.9,734.1,1201.6,1299.9,1304.3,1421.1,1432.6,1461.7,1606.0,1774.7
Revenue passengers carried,"1,000",22382.0,20349.0,22985.0,23444.0,23269.0,24595.0,25215.0,25076.0,24549.0,26550.0
Revenue passenger miles,Million,6125.0,5401.0,5574.0,5571.0,5314.0,5680.0,5511.0,5381.0,5410.0,5784.0
Revenue per passenger,Dollars,42.08,36.1,52.3,55.4,56.1,57.8,56.8,58.3,65.4,66.8
Revenue per passenger mile,Cents,15.38,13.6,21.6,23.3,24.5,25.0,26.0,27.2,27.2,30.7
Freight revenue,Million dollars,24471.0,31356.0,33083.0,33533.0,34110.0,35413.0,39131.0,44457.0,50315.0,52932.0
Per ton-mile,Cents,2.66,2.4,2.3,2.2,2.3,2.3,2.4,2.6,2.8,3.0
Per ton originated,Dollar,19.28,20.2,19.0,19.3,19.3,19.7,21.2,23.4,25.7,27.3
Revenue-tons originated,Million,1425.0,1550.0,1738.0,1742.0,1767.0,1799.0,1844.0,1899.0,1957.0,1940.0
Revenue-tons carried,Million,2024.0,2322.0,2179.0,2187.0,2207.0,2240.0,2398.0,2448.0,2517.0,2431.0
Tons carried one mile,Billion,1034.0,1306.0,1466.0,1495.0,1507.0,1551.0,1663.0,1696.0,1772.0,1771.0
Average miles of road operated,"1,000",133.0,125.0,121.0,121.0,123.0,122.0,121.0,121.0,120.0,120.0
Revenue ton-miles per mile of road,"1,000",7763.0,10439.0,12156.0,12358.0,12245.0,12686.0,13695.0,14071.0,14805.0,14801.0
Revenue per ton-mile,Cents,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
Train miles,Million,380.0,458.0,504.0,500.0,500.0,516.0,535.0,548.0,563.0,543.0
Net ton-miles per train-mile \9,Number,2755.0,2870.0,2923.0,3005.0,3030.0,3024.0,3126.0,3115.0,3163.0,3274.0
Net ton-miles per loaded car-mile \9,Number,69.1,73.6,73.1,72.4,71.5,71.4,78.5,79.0,82.0,84.0
Train-miles per train-hour,Miles,24.0,22.0,21.0,21.0,21.0,20.0,19.0,19.0,18.0,19.0
"Haul per ton, U.S. as a system",Miles,726.0,843.0,843.0,858.0,853.0,862.0,902.0,893.0,906.0,913.0
Persons killed,Number,1297.0,1146.0,937.0,971.0,951.0,868.0,895.0,888.0,910.0,845.0
Persons injured,Number,25143.0,14440.0,11643.0,10985.0,11103.0,9251.0,9178.0,9463.0,8432.0,9461.0
Persons killed,Number,1166.0,994.0,778.0,805.0,796.0,749.0,782.0,738.0,787.0,706.0
Persons injured,Number,19284.0,9571.0,7655.0,7232.0,7722.0,6161.0,6186.0,6238.0,5442.0,6088.0
