Year,"Number of persons (1,000) All races \1",White,White alone \2,Black,Black alone \3,Black alone or in combination \4,Asian and Pacific Islander,Asian alone \5,Asian alone or in combination \4,Hispanic \6,White non-Hispanic,"White alone, not Hispanic \7","Number of persons below poverty (1,000) All races \1",White,White alone \2,Black,Black alone \3,Black alone or in combination \4,Asian and Pacific Islander,Asian alone \5,Asian alone or in combination \4,Hispanic \6,White non-Hispanic,"White alone, not Hispanic \7",Percent of persons below poverty All races \1,White,White alone \2,Black,Black alone \3,Black alone or in combination \4,Asian and Pacific Islander,Asian alone \5,Asian alone or in combination \4,Hispanic \6,White non-Hispanic,"White alone, not Hispanic \7","Below 125 percent of poverty level Number (1,000)",Percent of total population
1979 \11,222903.0,191742.0,(NA),25944.0,(NA),(NA),(NA),(NA),(NA),13371.0,178814.0,(NA),26072.0,17214.0,(NA),8050.0,(NA),(NA),(NA),(NA),(NA),2921.0,14419.0,(NA),11.7,9.0,(NA),31.0,(NA),(NA),(NA),(NA),(NA),21.8,8.1,(NA),36616.0,16.4
1980,225027.0,192912.0,(NA),26408.0,(NA),(NA),(NA),(NA),(NA),13600.0,179798.0,(NA),29272.0,19699.0,(NA),8579.0,(NA),(NA),(NA),(NA),(NA),3491.0,16365.0,(NA),13.0,10.2,(NA),32.5,(NA),(NA),(NA),(NA),(NA),25.7,9.1,(NA),40658.0,18.1
1981 \12,227157.0,194504.0,(NA),26834.0,(NA),(NA),(NA),(NA),(NA),14021.0,180909.0,(NA),31822.0,21553.0,(NA),9173.0,(NA),(NA),(NA),(NA),(NA),3713.0,17987.0,(NA),14.0,11.1,(NA),34.2,(NA),(NA),(NA),(NA),(NA),26.5,9.9,(NA),43748.0,19.3
1982,229412.0,195919.0,(NA),27216.0,(NA),(NA),(NA),(NA),(NA),14385.0,181903.0,(NA),34398.0,23517.0,(NA),9697.0,(NA),(NA),(NA),(NA),(NA),4301.0,19362.0,(NA),15.0,12.0,(NA),35.6,(NA),(NA),(NA),(NA),(NA),29.9,10.6,(NA),46520.0,20.3
1983 \13,231700.0,197496.0,(NA),27678.0,(NA),(NA),(NA),(NA),(NA),16544.0,181393.0,(NA),35303.0,23984.0,(NA),9882.0,(NA),(NA),(NA),(NA),(NA),4633.0,19538.0,(NA),15.2,12.1,(NA),35.7,(NA),(NA),(NA),(NA),(NA),28.0,10.8,(NA),47150.0,20.3
1984,233816.0,198941.0,(NA),28087.0,(NA),(NA),(NA),(NA),(NA),16916.0,182469.0,(NA),33700.0,22955.0,(NA),9490.0,(NA),(NA),(NA),(NA),(NA),4806.0,18300.0,(NA),14.4,11.5,(NA),33.8,(NA),(NA),(NA),(NA),(NA),28.4,10.0,(NA),45288.0,19.4
1985,236594.0,200918.0,(NA),28485.0,(NA),(NA),(NA),(NA),(NA),18075.0,183455.0,(NA),33064.0,22860.0,(NA),8926.0,(NA),(NA),(NA),(NA),(NA),5236.0,17839.0,(NA),14.0,11.4,(NA),31.3,(NA),(NA),(NA),(NA),(NA),29.0,9.7,(NA),44166.0,18.7
1986,238554.0,202282.0,(NA),28871.0,(NA),(NA),(NA),(NA),(NA),18758.0,184119.0,(NA),32370.0,22183.0,(NA),8983.0,(NA),(NA),(NA),(NA),(NA),5117.0,17244.0,(NA),13.6,11.0,(NA),31.1,(NA),(NA),(NA),(NA),(NA),27.3,9.4,(NA),43486.0,18.2
1987 \8,240982.0,203605.0,(NA),29362.0,(NA),(NA),6322.0,(NA),(NA),19395.0,184936.0,(NA),32221.0,21195.0,(NA),9520.0,(NA),(NA),1021.0,(NA),(NA),5422.0,16029.0,(NA),13.4,10.4,(NA),32.4,(NA),(NA),16.1,(NA),(NA),28.0,8.7,(NA),43032.0,17.9
1988,243530.0,205235.0,(NA),29849.0,(NA),(NA),6447.0,(NA),(NA),20064.0,185961.0,(NA),31745.0,20715.0,(NA),9356.0,(NA),(NA),1117.0,(NA),(NA),5357.0,15565.0,(NA),13.0,10.1,(NA),31.3,(NA),(NA),17.3,(NA),(NA),26.7,8.4,(NA),42551.0,17.5
1989,245992.0,206853.0,(NA),30332.0,(NA),(NA),6673.0,(NA),(NA),20746.0,186979.0,(NA),31528.0,20785.0,(NA),9302.0,(NA),(NA),939.0,(NA),(NA),5430.0,15599.0,(NA),12.8,10.0,(NA),30.7,(NA),(NA),14.1,(NA),(NA),26.2,8.3,(NA),42653.0,17.3
1990,248644.0,208611.0,(NA),30806.0,(NA),(NA),7014.0,(NA),(NA),21405.0,188129.0,(NA),33585.0,22326.0,(NA),9837.0,(NA),(NA),858.0,(NA),(NA),6006.0,16622.0,(NA),13.5,10.7,(NA),31.9,(NA),(NA),12.2,(NA),(NA),28.1,8.8,(NA),44837.0,18.0
1991 \14,251192.0,210133.0,(NA),31313.0,(NA),(NA),7192.0,(NA),(NA),22070.0,189116.0,(NA),35708.0,23747.0,(NA),10242.0,(NA),(NA),996.0,(NA),(NA),6339.0,17741.0,(NA),14.2,11.3,(NA),32.7,(NA),(NA),13.8,(NA),(NA),28.7,9.4,(NA),47527.0,18.9
1992 \15,256549.0,213060.0,(NA),32411.0,(NA),(NA),7779.0,(NA),(NA),25646.0,189001.0,(NA),38014.0,25259.0,(NA),10827.0,(NA),(NA),985.0,(NA),(NA),7592.0,18202.0,(NA),14.8,11.9,(NA),33.4,(NA),(NA),12.7,(NA),(NA),29.6,9.6,(NA),50592.0,19.7
1993 \16,259278.0,214899.0,(NA),32910.0,(NA),(NA),7434.0,(NA),(NA),26559.0,190843.0,(NA),39265.0,26226.0,(NA),10877.0,(NA),(NA),1134.0,(NA),(NA),8126.0,18882.0,(NA),15.1,12.2,(NA),33.1,(NA),(NA),15.3,(NA),(NA),30.6,9.9,(NA),51801.0,20.0
1994,261616.0,216460.0,(NA),33353.0,(NA),(NA),6654.0,(NA),(NA),27442.0,192543.0,(NA),38059.0,25379.0,(NA),10196.0,(NA),(NA),974.0,(NA),(NA),8416.0,18110.0,(NA),14.5,11.7,(NA),30.6,(NA),(NA),14.6,(NA),(NA),30.7,9.4,(NA),50401.0,19.3
1995,263733.0,218028.0,(NA),33740.0,(NA),(NA),9644.0,(NA),(NA),28344.0,190951.0,(NA),36425.0,24423.0,(NA),9872.0,(NA),(NA),1411.0,(NA),(NA),8574.0,16267.0,(NA),13.8,11.2,(NA),29.3,(NA),(NA),14.6,(NA),(NA),30.3,8.5,(NA),48761.0,18.5
1996,266218.0,219656.0,(NA),34110.0,(NA),(NA),10054.0,(NA),(NA),29614.0,191459.0,(NA),36529.0,24650.0,(NA),9694.0,(NA),(NA),1454.0,(NA),(NA),8697.0,16462.0,(NA),13.7,11.2,(NA),28.4,(NA),(NA),14.5,(NA),(NA),29.4,8.6,(NA),49310.0,18.5
1997,268480.0,221200.0,(NA),34458.0,(NA),(NA),10482.0,(NA),(NA),30637.0,191859.0,(NA),35574.0,24396.0,(NA),9116.0,(NA),(NA),1468.0,(NA),(NA),8308.0,16491.0,(NA),13.3,11.0,(NA),26.5,(NA),(NA),14.0,(NA),(NA),27.1,8.6,(NA),47853.0,17.8
1998,271059.0,222837.0,(NA),34877.0,(NA),(NA),10873.0,(NA),(NA),31515.0,192754.0,(NA),34476.0,23454.0,(NA),9091.0,(NA),(NA),1360.0,(NA),(NA),8070.0,15799.0,(NA),12.7,10.5,(NA),26.1,(NA),(NA),12.5,(NA),(NA),25.6,8.2,(NA),46036.0,17.0
1999 \17,276208.0,225361.0,(NA),35756.0,(NA),(NA),11955.0,(NA),(NA),34632.0,192565.0,(NA),32791.0,22169.0,(NA),8441.0,(NA),(NA),1285.0,(NA),(NA),7876.0,14735.0,(NA),11.9,9.8,(NA),23.6,(NA),(NA),10.7,(NA),(NA),22.7,7.7,(NA),45030.0,16.3
2000 \18,278944.0,227846.0,(NA),35425.0,(NA),(NA),12672.0,(NA),(NA),35955.0,193691.0,(NA),31581.0,21645.0,(NA),7982.0,(NA),(NA),1258.0,(NA),(NA),7747.0,14366.0,(NA),11.3,9.5,(NA),22.5,(NA),(NA),9.9,(NA),(NA),21.5,7.4,(NA),43612.0,15.6
2001,281475.0,229675.0,(NA),35871.0,(NA),(NA),12465.0,(NA),(NA),37312.0,194538.0,(NA),32907.0,22739.0,(NA),8136.0,(NA),(NA),1275.0,(NA),(NA),7997.0,15271.0,(NA),11.7,9.9,(NA),22.7,(NA),(NA),10.2,(NA),(NA),21.4,7.8,(NA),45320.0,16.1
2002.0,285317.0,(NA),230376.0,(NA),35678.0,37207.0,(NA),11541.0,12487.0,39216.0,(NA),194144.0,34570.0,(NA),23466.0,(NA),8602.0,8884.0,(NA),1161.0,1243.0,8555.0,(NA),15567.0,12.1,(NA),10.2,(NA),24.1,23.9,(NA),10.1,10.0,21.8,(NA),8.0,47084.0,16.5
2003,287699.0,(NA),231866.0,(NA),35989.0,37503.0,(NA),11856.0,12891.0,40300.0,(NA),194595.0,35861.0,(NA),24272.0,(NA),8781.0,9108.0,(NA),1401.0,1527.0,9051.0,(NA),15902.0,12.5,(NA),10.5,(NA),24.4,24.3,(NA),11.8,11.8,22.5,(NA),8.2,48687.0,16.9
2004 \19,290617.0,(NA),233741.0,(NA),36426.0,38037.0,(NA),12231.0,13291.0,41690.0,(NA),195098.0,37040.0,(NA),25327.0,(NA),9014.0,9411.0,(NA),1201.0,1295.0,9122.0,(NA),16908.0,12.7,(NA),10.8,(NA),24.7,24.7,(NA),9.8,9.7,21.9,(NA),8.7,49693.0,17.1
2005,293135.0,(NA),235430.0,(NA),36802.0,38551.0,(NA),12580.0,13731.0,43020.0,(NA),195553.0,36950.0,(NA),24872.0,(NA),9168.0,9517.0,(NA),1402.0,1501.0,9368.0,(NA),16227.0,12.6,(NA),10.6,(NA),24.9,24.7,(NA),11.1,10.9,21.8,(NA),8.3,49327.0,16.8
2006.0,296450.0,(NA),237619.0,(NA),37306.0,39013.0,(NA),13177.0,14331.0,44784.0,(NA),196049.0,36460.0,(NA),24416.0,(NA),9048.0,9447.0,(NA),1353.0,1447.0,9243.0,(NA),16013.0,12.3,(NA),10.3,(NA),24.3,24.2,(NA),10.3,10.1,20.6,(NA),8.2,49688.0,16.8
2007.0,298699.0,(NA),239133.0,(NA),37665.0,39564.0,(NA),13257.0,14430.0,45933.0,(NA),196583.0,37276.0,(NA),25120.0,(NA),9237.0,9668.0,(NA),1349.0,1467.0,9890.0,(NA),16032.0,12.5,(NA),10.5,(NA),24.5,24.4,(NA),10.2,10.2,21.5,(NA),8.2,50876.0,17.0
1960,2946.0,1907.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),361.0,-175.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.1999999999999993,-0.3000000000000007,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-382.0,-0.7000000000000028
1961,1774.0,1443.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-223.0,-419.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.3000000000000007,-0.40000000000000213,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-280.0,-0.3999999999999986
1962,2999.0,2536.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1003.0,-1218.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.8999999999999986,-1.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1161.0,-1.2
1963,2982.0,2467.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2189.0,-1434.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.5,-1.1,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2341.0,-1.7
1964,2452.0,2004.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-381.0,-281.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.5,-0.4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-959.0,-0.8000000000000007
1965,1703.0,1419.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2870.0,-2461.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.7,-1.6,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3656.0,-2.2
1966,1975.0,1515.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-4675.0,-3206.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.6,-2.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-4896.0,-2.8
1967,2284.0,1791.0,(NA),384.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-741.0,-307.0,(NA),-381.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.5,-0.3000000000000007,(NA),-2.5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2061.0,-1.3
1968,1956.0,1694.0,(NA),354.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2380.0,-1588.0,(NA),-870.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.4,-1.0,(NA),-4.599999999999994,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3301.0,-1.8
1969,1889.0,1617.0,(NA),67.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1242.0,-736.0,(NA),-521.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.7000000000000011,-0.5,(NA),-2.5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1240.0,-0.8000000000000007
1970,2666.0,2027.0,(NA),504.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1273.0,825.0,(NA),453.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.5,0.4,(NA),1.3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),959.0,0.20000000000000284
1971,2371.0,2022.0,(NA),269.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),139.0,296.0,(NA),-152.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.09999999999999964,0.0,(NA),-1.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),877.0,0.1999999999999993
1972,1450.0,727.0,(NA),360.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1099.0,-1577.0,(NA),314.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.6,-0.9,(NA),0.7999999999999972,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1848.0,-1.0
1973,1617.0,1060.0,(NA),368.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1487.0,-1061.0,(NA),-322.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.8000000000000007,-0.6,(NA),-1.9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1825.0,-1.0
1974,1741.0,1191.0,(NA),187.0,(NA),(NA),(NA),(NA),(NA),406.0,975.0,(NA),397.0,594.0,(NA),-206.0,(NA),(NA),(NA),(NA),(NA),209.0,353.0,(NA),0.09999999999999964,0.1999999999999993,(NA),-1.1,(NA),(NA),(NA),(NA),(NA),(NA),0.2,(NA),838.0,0.3000000000000007
1975,1502.0,788.0,(NA),390.0,(NA),(NA),(NA),(NA),(NA),-84.0,954.0,(NA),2507.0,2034.0,(NA),363.0,(NA),(NA),(NA),(NA),(NA),416.0,1666.0,(NA),1.1,1.1,(NA),1.0,(NA),(NA),(NA),(NA),(NA),3.9,0.8999999999999995,(NA),3516.0,1.5
1976,1439.0,1001.0,(NA),310.0,(NA),(NA),(NA),(NA),(NA),152.0,818.0,(NA),-902.0,-1057.0,(NA),50.0,(NA),(NA),(NA),(NA),(NA),-208.0,-858.0,(NA),-0.5,-0.6,(NA),-0.1999999999999993,(NA),(NA),(NA),(NA),(NA),-2.2,-0.5,(NA),-1673.0,-0.9000000000000021
1977,1564.0,1089.0,(NA),311.0,(NA),(NA),(NA),(NA),(NA),777.0,328.0,(NA),-255.0,-297.0,(NA),131.0,(NA),(NA),(NA),(NA),(NA),-83.0,-223.0,(NA),-0.20000000000000107,-0.1999999999999993,(NA),0.1999999999999993,(NA),(NA),(NA),(NA),(NA),-2.3,-0.09999999999999964,(NA),150.0,0.0
1978,1789.0,1196.0,(NA),246.0,(NA),(NA),(NA),(NA),(NA),33.0,1168.0,(NA),-223.0,-157.0,(NA),-101.0,(NA),(NA),(NA),(NA),(NA),-93.0,-47.0,(NA),-0.1999999999999993,-0.20000000000000107,(NA),-0.6999999999999993,(NA),(NA),(NA),(NA),(NA),-0.7999999999999972,-0.09999999999999964,(NA),-1504.0,-0.8999999999999986
1979,7247.0,5292.0,(NA),988.0,(NA),(NA),(NA),(NA),(NA),1292.0,4083.0,(NA),1575.0,955.0,(NA),425.0,(NA),(NA),(NA),(NA),(NA),314.0,664.0,(NA),0.29999999999999893,0.3000000000000007,(NA),0.3999999999999986,(NA),(NA),(NA),(NA),(NA),0.1999999999999993,0.1999999999999993,(NA),2461.0,0.5999999999999979
1980,2124.0,1170.0,(NA),464.0,(NA),(NA),(NA),(NA),(NA),229.0,984.0,(NA),3200.0,2485.0,(NA),529.0,(NA),(NA),(NA),(NA),(NA),570.0,1946.0,(NA),1.3,1.2,(NA),1.5,(NA),(NA),(NA),(NA),(NA),3.9,1.0,(NA),4042.0,1.7
1981,2130.0,1592.0,(NA),426.0,(NA),(NA),(NA),(NA),(NA),421.0,1111.0,(NA),2550.0,1854.0,(NA),594.0,(NA),(NA),(NA),(NA),(NA),222.0,1622.0,(NA),1.0,0.9,(NA),1.7,(NA),(NA),(NA),(NA),(NA),0.8000000000000007,0.8000000000000007,(NA),3090.0,1.2
1982,2255.0,1415.0,(NA),382.0,(NA),(NA),(NA),(NA),(NA),364.0,994.0,(NA),2576.0,1964.0,(NA),524.0,(NA),(NA),(NA),(NA),(NA),588.0,1375.0,(NA),1.0,0.9,(NA),1.4,(NA),(NA),(NA),(NA),(NA),3.4,0.6999999999999993,(NA),2772.0,1.0
1983,2288.0,1577.0,(NA),462.0,(NA),(NA),(NA),(NA),(NA),2159.0,-510.0,(NA),905.0,467.0,(NA),185.0,(NA),(NA),(NA),(NA),(NA),332.0,176.0,(NA),0.1999999999999993,0.09999999999999964,(NA),0.10000000000000142,(NA),(NA),(NA),(NA),(NA),-1.9,0.20000000000000107,(NA),630.0,0.0
1984,2116.0,1445.0,(NA),409.0,(NA),(NA),(NA),(NA),(NA),372.0,1076.0,(NA),-1603.0,-1029.0,(NA),-392.0,(NA),(NA),(NA),(NA),(NA),173.0,-1238.0,(NA),-0.7999999999999989,-0.6,(NA),-1.9000000000000057,(NA),(NA),(NA),(NA),(NA),0.3999999999999986,-0.8000000000000007,(NA),-1862.0,-0.9000000000000021
1985,2778.0,1977.0,(NA),398.0,(NA),(NA),(NA),(NA),(NA),1159.0,986.0,(NA),-636.0,-95.0,(NA),-564.0,(NA),(NA),(NA),(NA),(NA),430.0,-461.0,(NA),-0.4,-0.09999999999999964,(NA),-2.5,(NA),(NA),(NA),(NA),(NA),0.6000000000000014,-0.3000000000000007,(NA),-1122.0,-0.6999999999999993
1986,1960.0,1364.0,(NA),386.0,(NA),(NA),(NA),(NA),(NA),683.0,664.0,(NA),-694.0,-677.0,(NA),57.0,(NA),(NA),(NA),(NA),(NA),-119.0,-595.0,(NA),-0.4,-0.4,(NA),-0.1999999999999993,(NA),(NA),(NA),(NA),(NA),-1.7,-0.29999999999999893,(NA),-680.0,-0.5
1987,2428.0,1323.0,(NA),491.0,(NA),(NA),(NA),(NA),(NA),637.0,817.0,(NA),-149.0,-988.0,(NA),537.0,(NA),(NA),(NA),(NA),(NA),305.0,-1215.0,(NA),-0.1999999999999993,-0.6,(NA),1.3,(NA),(NA),(NA),(NA),(NA),0.6999999999999993,-0.7000000000000011,(NA),-454.0,-0.3000000000000007
1988,2548.0,1630.0,(NA),487.0,(NA),(NA),125.0,(NA),(NA),669.0,1025.0,(NA),-476.0,-480.0,(NA),-164.0,(NA),(NA),96.0,(NA),(NA),-65.0,-464.0,(NA),-0.4,-0.3000000000000007,(NA),-1.1,(NA),(NA),1.2,(NA),(NA),-1.3,-0.29999999999999893,(NA),-481.0,-0.3999999999999986
