Code,Borough,Ward,Median_14,
E05000071,Bexley,Crayford,231500,588.0
E05000072,Bexley,Cray Meadows,285000,454.0
E05000073,Bexley,Danson Park,265750,492.0
E05000074,Bexley,East Wickham,259497.5,502.0
E05000075,Bexley,Erith,181000,623.0
E05000076,Bexley,Falconwood and Welling,280000,462.0
E05000077,Bexley,Lesnes Abbey,257500,504.0
E05000078,Bexley,Longlands,250000,510.0
E05000079,Bexley,North End,204497.5,617.0
E05000080,Bexley,Northumberland Heath,250000,510.0
E05000081,Bexley,St Mary's,315000,402.0
E05000082,Bexley,St Michael's,280000,462.0
E05000083,Bexley,Sidcup,280000,462.0
E05000084,Bexley,Thamesmead East,190000,621.0
E05000085,Brent,Alperton,249950,552.0
E05000086,Brent,Barnhill,333000,375.0
E05000087,Brent,Brondesbury Park,465000,176.0
E05000088,Brent,Dollis Hill,306000,424.0
E05000089,Brent,Dudden Hill,495000,154.0
E05000090,Brent,Fryent,263750,497.0
E05000091,Brent,Harlesden,305500,425.0
E05000092,Brent,Kensal Green,500000,132.0
E05000093,Brent,Kenton,440000,205.0
E05000094,Brent,Kilburn,444631.5,200.0
E05000095,Brent,Mapesbury,450000,192.0
E05000096,Brent,Northwick Park,470000,172.0
E05000097,Brent,Preston,350000,332.0
E05000098,Brent,Queens Park,677500,66.0
E05000099,Brent,Queensbury,366000,309.0
E05000100,Brent,Stonebridge,249950,552.0
E05000101,Brent,Sudbury,249950,552.0
E05000102,Brent,Tokyngton,322500,392.0
E05000103,Brent,Welsh Harp,292475,442.0
E05000104,Brent,Wembley Central,250000,510.0
E05000105,Brent,Willesden Green,409500,244.0
E05000106,Bromley,Bickley,480000,161.0
E05000107,Bromley,Biggin Hill,269950,487.0
E05000108,Bromley,Bromley Common and Keston,350000,332.0
E05000109,Bromley,Bromley Town,327000,382.0
E05000110,Bromley,Chelsfield and Pratts Bottom,400000,252.0
E05000111,Bromley,Chislehurst,395000,262.0
E05000112,Bromley,Clock House,308750,420.0
E05000113,Bromley,Copers Cope,315000,402.0
E05000114,Bromley,Cray Valley East,242000,574.0
E05000115,Bromley,Cray Valley West,250000,510.0
E05000116,Bromley,Crystal Palace,250000,510.0
E05000117,Bromley,Darwin,445000,199.0
E05000118,Bromley,Farnborough and Crofton,395000,262.0
E05000119,Bromley,Hayes and Coney Hall,441250,203.0
E05000120,Bromley,Kelsey and Eden Park,421599,226.0
E05000121,Bromley,Mottingham and Chislehurst North,250000,510.0
E05000122,Bromley,Orpington,340000,359.0
E05000123,Bromley,Penge and Cator,320000,394.0
E05000124,Bromley,Petts Wood and Knoll,485000,157.0
E05000125,Bromley,Plaistow and Sundridge,295444,436.0
E05000126,Bromley,Shortlands,468000,174.0
E05000127,Bromley,West Wickham,475000,167.0
E05000128,Camden,Belsize,850000,32.0
E05000129,Camden,Bloomsbury,560000,106.0
E05000130,Camden,Camden Town with Primrose Hill,813500,40.0
E05000131,Camden,Cantelowes,560000,106.0
E05000132,Camden,Fortune Green,575000,98.0
E05000133,Camden,Frognal and Fitzjohns,955000,25.0
E05000134,Camden,Gospel Oak,599999,91.0
E05000135,Camden,Hampstead Town,1190000,16.0
E05000136,Camden,Haverstock,547305,114.0
E05000137,Camden,Highgate,650000,70.0
E05000138,Camden,Holborn and Covent Garden,685000,65.0
E05000139,Camden,Kentish Town,630100,76.0
E05000140,Camden,Kilburn,468000,174.0
E05000141,Camden,King's Cross,625000,81.0
E05000142,Camden,Regent's Park,600000,89.0
E05000143,Camden,St Pancras and Somers Town,465000,176.0
E05000144,Camden,Swiss Cottage,740500,54.0
E05000145,Camden,West Hampstead,622500,83.0
E05000146,Croydon,Addiscombe,250000,510.0
E05000147,Croydon,Ashburton,347000,347.0
E05000148,Croydon,Bensham Manor,246250,566.0
