Ref. No.,Supplier Name,Payment Date,Invoice NET £,Directorate,Cost Type
Aug2911,BETSY CLARA HOUSE,2-Aug-10,"1,729.91",Adult Services,Private Contractors
Aug3035,KAY JAMES BHSC (HONS) OT#ME16,2-Aug-10,"1,800.00",Adult Services,External Training
Aug3281,HIGHLAND HOUSE RETIREMENT HOME,2-Aug-10,"1,924.95",Adult Services,Private Contractors
Aug3412,KENT TOP TEMPS LTD,2-Aug-10,"2,025.00",Adult Services,Agency Staff
Aug3593,KENT COUNTY COUNCIL,2-Aug-10,"2,128.00",Adult Services,Personal Expenses/Adaptations
Aug3624,SAXON COURT,2-Aug-10,"2,169.84",Adult Services,Private Contractors
Aug3650,ABERDEEN CITY COUNCIL,2-Aug-10,"2,203.24",Adult Services,Private Contractors
Aug3939,WARWICK PARK NURSING & RES HOME#IN LIQUIDATION,2-Aug-10,"2,336.43",Adult Services,Private Contractors
Aug4020,KENT TOP TEMPS LTD,2-Aug-10,"2,377.71",Adult Services,Agency Staff
Aug4047,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,2-Aug-10,"2,423.96",Adult Services,Private Contractors
Aug4048,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,2-Aug-10,"2,423.96",Adult Services,Private Contractors
Aug4049,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,2-Aug-10,"2,423.96",Adult Services,Private Contractors
Aug4180,DALE MOUNT RESIDENTIAL HOME,2-Aug-10,"2,692.02",Adult Services,Private Contractors
Aug4343,THE AVENUES TRUST LTD,2-Aug-10,"2,977.92",Adult Services,Private Contractors
Aug4449,ADMIRAL HOUSE#USE 148830,2-Aug-10,"3,171.84",Adult Services,Private Contractors
Aug4471,SCOPE,2-Aug-10,"3,222.18",Adult Services,Private Contractors
Aug4509,THE O'SHEA PARTNERSHIP LLP,2-Aug-10,"3,294.00",Adult Services,Private Contractors
Aug4527,NAS SERVICES LTD,2-Aug-10,"3,347.08",Adult Services,Private Contractors
Aug4528,NAS SERVICES LTD,2-Aug-10,"3,347.08",Adult Services,Private Contractors
Aug4542,SCOPE,2-Aug-10,"3,383.96",Adult Services,Private Contractors
Aug4576,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"3,429.80",Adult Services,Private Contractors
Aug4675,BRITISH TELECOM PLC # CALL CHARGES,2-Aug-10,"3,662.14",Adult Services,Telephone/ Fax Calls
Aug4740,BETSY CLARA HOUSE,2-Aug-10,"3,802.89",Adult Services,Private Contractors
Aug4771,WELCOME HOME,2-Aug-10,"3,871.88",Adult Services,Private Contractors
Aug4878,SKILLNET GROUP COMMUNITY INTEREST COMPANY#CT2 7EG,2-Aug-10,"4,199.75",Adult Services,Private Contractors
Aug4912,THE AVENUES TRUST LTD,2-Aug-10,"4,266.48",Adult Services,Private Contractors
Aug4951,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,392.30",Adult Services,Private Contractors
Aug4975,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,472.41",Adult Services,Voluntary Associations
Aug4976,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,472.41",Adult Services,Voluntary Associations
Aug4977,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,472.41",Adult Services,Voluntary Associations
Aug4978,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,472.41",Adult Services,Voluntary Associations
Aug4979,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,472.41",Adult Services,Voluntary Associations
Aug4988,SEVEN SPRINGS CHESHIRE HOME,2-Aug-10,"4,518.12",Adult Services,Voluntary Associations
Aug4991,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,518.12",Adult Services,Private Contractors
Aug5011,LEONARD CHESHIRE FOUNDATION,2-Aug-10,"4,587.82",Adult Services,Voluntary Associations
Aug5020,SCOPE,2-Aug-10,"4,617.95",Adult Services,Voluntary Associations
Aug5197,THE AVENUES TRUST LTD,2-Aug-10,"5,411.56",Adult Services,Private Contractors
Aug5427,CAPITAL CARE & SUPPORT LTD,2-Aug-10,"6,708.00",Adult Services,Private Contractors
Aug5447,THE POPLARS NURSING HOME,2-Aug-10,"6,792.84",Adult Services,Voluntary Associations
Aug5512,AITCH CARE HOMES (LONDON) LTD#ACH,2-Aug-10,"7,171.38",Adult Services,Private Contractors
Aug5564,THE AVENUES TRUST LTD,2-Aug-10,"7,600.32",Adult Services,Private Contractors
Aug5625,AVANTE PARTNERSHIP#KCHT,2-Aug-10,"8,092.78",Adult Services,Voluntary Associations
Aug5639,ADMIRAL HOUSE#USE 148830,2-Aug-10,"8,212.80",Adult Services,Private Contractors
Aug5932,MOLYNEUX PARK REST HOME,2-Aug-10,"12,299.72",Adult Services,Private Contractors
Aug6031,MR A W PAINE T/A AP CONSTRUCTION#NEW,2-Aug-10,"15,088.27",Adult Services,Capital Grants and Advances
Aug6104,TREETOPS RESIDENTIAL HOME,2-Aug-10,"17,877.28",Adult Services,Private Contractors
Aug6136,AITCH CARE HOMES (LONDON) LTD#ACH,2-Aug-10,"19,288.39",Adult Services,Private Contractors
Aug6336,THANET LEISUREFORCE LTD,2-Aug-10,511.15,Chief Executives,"External - Rent, Room Hire & Service Charges"
Aug6338,KENT TOP TEMPS LTD,2-Aug-10,515.00,Chief Executives,Public Transport (Officers and Members)
Aug6340,LOCAL GOVERNMENT ASSOCIATION,2-Aug-10,519.00,Chief Executives,Conference Expenses
Aug6361,DELL COMPUTER CORPORATION LTD,2-Aug-10,544.06,Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6363,MERCURE HOTEL IMPERIAL HYTHE,2-Aug-10,548.09,Chief Executives,Consultants
Aug6376,BEST WESTERN MANOR HOTEL,2-Aug-10,568.21,Chief Executives,"External - Rent, Room Hire & Service Charges"
Aug6379,TOTAL GAS & POWER LIMITED#RH1 1RX,2-Aug-10,570.23,Chief Executives,Other Energy Costs
Aug6409,IMC TRAINING,2-Aug-10,600.00,Chief Executives,Consultants
Aug6432,HOLIDAY INN,2-Aug-10,638.30,Chief Executives,"External - Rent, Room Hire & Service Charges"
Aug6438,ADVANCE PEOPLE SERVICES LTD,2-Aug-10,650.00,Chief Executives,Consultants
Aug6443,THE NOSS RYAN AGENCY,2-Aug-10,655.00,Chief Executives,Specialists Fees
Aug6455,POSITIVE WORKS LIMITED,2-Aug-10,700.00,Chief Executives,Consultants
Aug6482,ROK BUILDING LIMITED#NEW,2-Aug-10,760.22,Chief Executives,"Repairs, Alterations and Maintenance of Buildings"
Aug6568,ROK BUILDING LIMITED#NEW,2-Aug-10,999.20,Chief Executives,"Repairs, Alterations and Maintenance of Buildings"
Aug6571,DRAMATIC SOLUTIONS LIMITED,2-Aug-10,"1,000.00",Chief Executives,Consultants
Aug6572,THE FITS FOUNDATION LTD,2-Aug-10,"1,000.00",Chief Executives,Specialists Fees
Aug6618,KENT TOP TEMPS LTD,2-Aug-10,"1,061.11",Chief Executives,Agency Staff
Aug6640,COLLABORA8 NOW LTD,2-Aug-10,"1,100.00",Chief Executives,Consultants
Aug6691,RURAL SECTOR SOLUTIONS,2-Aug-10,"1,250.00",Chief Executives,Consultants
Aug6701,MISSION PERFORMANCE LIMITED,2-Aug-10,"1,300.00",Chief Executives,Consultants
Aug6704,ACCORDO,2-Aug-10,"1,311.12",Chief Executives,Consultants
Aug6718,OPTIMUM TECHNOLOGY TRANSFER LTD,2-Aug-10,"1,350.00",Chief Executives,Consultants
Aug6724,QA LTD,2-Aug-10,"1,396.00",Chief Executives,Consultants
