Institution Type,Hybrid End Year,Age,Qualification Level,Qualification Type,Overall Cohort,Overall Achievement Rate %,Retention Rate %,Pass Rate %
General FE and Tertiary College,2015/16,19+,All Qualification Levels,Basic Skills Maths and English,"152,450",72.4,90.4,80.1
General FE and Tertiary College,2015/16,19+,All Qualification Levels,Certificate,"219,980",91.4,94.2,97.0
General FE and Tertiary College,2015/16,19+,All Qualification Levels,Diploma,"102,060",82.6,88.0,93.9
General FE and Tertiary College,2015/16,19+,All Qualification Levels,ESOL,"118,190",88.2,94.7,93.1
General FE and Tertiary College,2015/16,19+,All Qualification Levels,GCSE Maths and English,"53,820",80.9,86.3,93.7
General FE and Tertiary College,2015/16,19+,All Qualification Levels,GCSE Other,"5,350",81.8,86.2,94.9
General FE and Tertiary College,2015/16,19+,All Qualification Levels,Other Non-Regulated,"41,790",95.0,96.9,98.0
General FE and Tertiary College,2015/16,19+,All Qualification Levels,Other Regulated,"13,980",84.9,92.4,91.9
General FE and Tertiary College,2015/16,19+,All Qualification Levels,QCF Unit,"57,450",95.3,98.2,97.1
General FE and Tertiary College,2015/16,19+,All Qualification Levels,All Qualification Types,"885,570",86.1,92.8,92.8
General FE and Tertiary College,2015/16,All Age,1,Award,"119,950",92.1,96.2,95.8
General FE and Tertiary College,2015/16,All Age,1,Basic Skills Maths and English,"288,420",69.9,88.8,78.6
General FE and Tertiary College,2015/16,All Age,1,Certificate,"99,470",90.7,93.9,96.6
General FE and Tertiary College,2015/16,All Age,1,Diploma,"64,820",84.2,88.6,95.1
General FE and Tertiary College,2015/16,All Age,1,ESOL,"125,280",88.2,94.6,93.3
General FE and Tertiary College,2015/16,All Age,1,Other Non-Regulated,"60,600",94.0,95.0,98.9
General FE and Tertiary College,2015/16,All Age,1,Other Regulated,"17,830",81.7,91.0,89.8
General FE and Tertiary College,2015/16,All Age,1,QCF Unit,"49,090",95.3,98.2,97.0
General FE and Tertiary College,2015/16,All Age,1,All Qualification Types,"825,470",83.1,92.4,89.9
General FE and Tertiary College,2015/16,All Age,2,Award,"42,760",92.5,97.4,94.9
General FE and Tertiary College,2015/16,All Age,2,Basic Skills Maths and English,"76,340",38.7,85.4,45.3
General FE and Tertiary College,2015/16,All Age,2,Certificate,"176,190",89.8,93.1,96.5
General FE and Tertiary College,2015/16,All Age,2,Diploma,"114,840",83.4,88.7,94.1
General FE and Tertiary College,2015/16,All Age,2,ESOL,"7,350",87.0,95.5,91.1
General FE and Tertiary College,2015/16,All Age,2,GCSE Maths and English,"246,900",79.9,88.1,90.8
General FE and Tertiary College,2015/16,All Age,2,GCSE Other,"15,850",82.3,87.4,94.2
General FE and Tertiary College,2015/16,All Age,2,Other Non-Regulated,"16,310",93.7,94.9,98.8
General FE and Tertiary College,2015/16,All Age,2,Other Regulated,"36,880",77.9,88.7,87.8
General FE and Tertiary College,2015/16,All Age,2,QCF Unit,"8,330",95.9,98.3,97.5
General FE and Tertiary College,2015/16,All Age,2,All Qualification Types,"741,750",79.8,90.0,88.7
General FE and Tertiary College,2015/16,All Age,3,A Level,"54,560",94.2,96.8,97.3
General FE and Tertiary College,2015/16,All Age,3,Access to HE,"26,650",78.4,84.7,92.6
General FE and Tertiary College,2015/16,All Age,3,AS Level,"91,380",74.6,91.5,81.5
General FE and Tertiary College,2015/16,All Age,3,Award,"3,130",89.8,96.7,92.8
General FE and Tertiary College,2015/16,All Age,3,Certificate,"15,980",84.0,90.2,93.1
General FE and Tertiary College,2015/16,All Age,3,Diploma,"241,230",85.6,90.5,94.6
General FE and Tertiary College,2015/16,All Age,3,Other Non-Regulated,"18,220",94.8,95.8,99.0
