Source,Date of Expense,Location,Purpose,Funded,Type of Expenditure,Value
Expenses,9/9/15,NICE Manchester,Weekly travel to Manchester ,NICE,Subsistence,£20.00
Redfern Travel,9/10/15,Novotel Manchester,Meetings in Manchester,NICE,Hotels,£76.40
Expenses,9/10/15,NICE Manchester,Weekly travel to Manchester ,NICE,Subsistence,£20.00
Redfern Travel,9/11/15,Manchester Piccadilly to Leeds,Leeds meeting HSCIC and NHS England colleagues about the NIB,NICE,Underground/Train/Bus,£11.70
Redfern Travel,9/11/15,Manchester Piccadilly to Leeds,queried as appears to be double charge,NICE,Underground/Train/Bus,£11.70
Redfern Travel,9/11/15,Leeds to London Euston,Meetings in London,NICE,Underground/Train/Bus,£35.17
Expenses,9/11/15,NICE Manchester,Weekly travel to Manchester ,NICE,Underground/Train/Bus,£2.40
Expenses,9/11/15,Quarry House,NIB 1.2 workshop in Leeds,NICE,Subsistence,£5.00
Redfern Travel,9/15/15,London Kings Cross to Lincoln Central,September Board Meeting,NICE,Underground/Train/Bus,£103.56
Expenses,9/15/15,Lincoln Railway Station,Tube travel to Kings Cross,NICE,Underground/Train/Bus,£2.40
Interface event Management,9/16/15,Lincoln,September Board Meeting - Dinner,NICE,Subsistence,£30.00
Interface event Management,9/16/15,Lincoln,September Board Meeting - Bed and Breakfast,NICE,Hotels,£95.00
Expenses,9/16/15,NICE London,Tube travel from Kings Cross,NICE,Underground/Train/Bus,£2.40
Redfern Travel,9/25/15,Mercure Manchester,Meetings in Manchester ,NICE,Hotels,£78.40
