col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
,Automatic Traffic Signals,12.0,16.0,19.0,9.0,10.0,11.0,13.0,7.0,12.0,13.0,6.0,7.0,7.0,4.0,11.0,8.0,8.0
,Stop Sign,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
,Give Way/Uncontrolled,69.0,54.0,57.0,36.0,33.0,42.0,43.0,38.0,52.0,46.0,36.0,39.0,48.0,42.0,37.0,35.0,31.0
All,Authorised Person,6.0,4.0,6.0,5.0,6.0,2.0,2.0,11.0,4.0,3.0,4.0,5.0,0.0,2.0,3.0,2.0,2.0
,Automatic Traffic Signals,226.0,204.0,222.0,197.0,234.0,170.0,189.0,178.0,175.0,132.0,151.0,145.0,146.0,128.0,114.0,94.0,75.0
,Stop sign,21.0,36.0,27.0,21.0,25.0,14.0,13.0,14.0,11.0,13.0,16.0,12.0,6.0,13.0,7.0,4.0,0.0
,Give Way/Uncontrolled,709.0,695.0,705.0,606.0,648.0,641.0,621.0,556.0,512.0,536.0,465.0,424.0,434.0,378.0,332.0,300.0,269.0
KSI,Authorised Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Automatic Traffic Signals,12.0,9.0,6.0,10.0,16.0,13.0,7.0,8.0,10.0,18.0,16.0,14.0,7.0,7.0,6.0,6.0,7.0
,Stop Sign,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Give Way/Uncontrolled,51.0,56.0,41.0,63.0,39.0,50.0,40.0,47.0,50.0,39.0,31.0,37.0,32.0,34.0,23.0,25.0,32.0
All,Authorised Person,5.0,3.0,1.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
,Automatic Traffic Signals,126.0,129.0,122.0,141.0,141.0,117.0,142.0,121.0,114.0,141.0,140.0,118.0,85.0,90.0,73.0,88.0,65.0
,Stop sign,16.0,27.0,13.0,15.0,19.0,12.0,13.0,14.0,9.0,10.0,5.0,9.0,7.0,3.0,8.0,3.0,0.0
,Give Way/Uncontrolled,511.0,526.0,504.0,497.0,491.0,490.0,515.0,451.0,447.0,349.0,375.0,328.0,294.0,304.0,281.0,259.0,214.0
KSI,Authorised Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Automatic Traffic Signals,12.0,8.0,6.0,7.0,7.0,12.0,11.0,7.0,11.0,13.0,12.0,9.0,14.0,11.0,10.0,11.0,9.0
,Stop Sign,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
,Give Way/Uncontrolled,34.0,36.0,33.0,42.0,33.0,42.0,41.0,26.0,33.0,30.0,37.0,25.0,34.0,22.0,16.0,24.0,23.0
All,Authorised Person,4.0,4.0,1.0,4.0,7.0,3.0,2.0,2.0,2.0,1.0,4.0,0.0,3.0,3.0,5.0,2.0,0.0
,Automatic Traffic Signals,163.0,146.0,149.0,156.0,185.0,188.0,189.0,173.0,152.0,169.0,134.0,134.0,151.0,123.0,113.0,115.0,103.0
,Stop sign,8.0,10.0,9.0,2.0,6.0,7.0,3.0,6.0,6.0,2.0,2.0,4.0,2.0,2.0,6.0,1.0,5.0
,Give Way/Uncontrolled,520.0,474.0,496.0,511.0,507.0,527.0,504.0,414.0,437.0,348.0,309.0,287.0,299.0,247.0,252.0,256.0,212.0
KSI,Authorised Person,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
,Automatic Traffic Signals,9.0,15.0,16.0,9.0,15.0,11.0,10.0,6.0,13.0,5.0,14.0,2.0,12.0,15.0,4.0,9.0,8.0
,Stop Sign,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
,Give Way/Uncontrolled,78.0,63.0,66.0,65.0,73.0,57.0,52.0,57.0,71.0,58.0,51.0,58.0,55.0,55.0,44.0,44.0,38.0
All,Authorised Person,4.0,4.0,8.0,9.0,8.0,6.0,7.0,8.0,4.0,9.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0
,Automatic Traffic Signals,176.0,165.0,174.0,185.0,195.0,184.0,189.0,168.0,169.0,173.0,147.0,138.0,143.0,112.0,113.0,85.0,73.0
,Stop sign,9.0,7.0,11.0,8.0,7.0,11.0,15.0,8.0,7.0,9.0,3.0,11.0,10.0,7.0,2.0,1.0,0.0
,Give Way/Uncontrolled,793.0,807.0,787.0,825.0,834.0,791.0,737.0,761.0,717.0,661.0,576.0,514.0,527.0,438.0,388.0,375.0,324.0
KSI,Authorised Person,1.0,2.0,2.0,2.0,2.0,0.0,1.0,8.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0
,Automatic Traffic Signals,161.0,159.0,155.0,127.0,132.0,129.0,148.0,109.0,138.0,143.0,138.0,129.0,143.0,134.0,123.0,114.0,126.0
,Stop Sign,11.0,14.0,11.0,10.0,7.0,5.0,3.0,9.0,8.0,3.0,2.0,6.0,3.0,2.0,4.0,2.0,1.0
,Give Way/Uncontrolled,736.0,651.0,606.0,544.0,483.0,522.0,517.0,521.0,511.0,499.0,477.0,494.0,445.0,443.0,400.0,382.0,365.0
All,Authorised Person,47.0,39.0,35.0,53.0,57.0,33.0,34.0,46.0,28.0,38.0,33.0,38.0,24.0,38.0,26.0,16.0,9.0
,Automatic Traffic Signals,2134.0,2081.0,2118.0,2101.0,2198.0,2093.0,2267.0,2112.0,2016.0,1958.0,1934.0,1852.0,1702.0,1543.0,1395.0,1309.0,1070.0
,Stop sign,149.0,173.0,146.0,115.0,138.0,120.0,108.0,105.0,104.0,87.0,80.0,108.0,75.0,63.0,55.0,40.0,24.0
,Give Way/Uncontrolled,7101.0,6891.0,6826.0,6884.0,6845.0,6692.0,6888.0,6430.0,6028.0,5862.0,5390.0,5015.0,4519.0,4169.0,3861.0,3547.0,3057.0
