American Colleges and Universities with Aid for International Students - 2004,,,,,
COLLEGE,STATE,COST OF ATTENDANCE,NUMBER of INTER'L STDS,NUMBER AIDED,AVERAGE AWARD
University of Richmond,VA,31000.0,132.0,61.0,21897.0
Grinnell College,IO,32480.0,149.0,146.0,21859.0
Birmingham Southern College,AL,28864.0,19.0,19.0,21661.0
Furman University,SC,34336.0,28.0,25.0,21561.0
Hartwick College,NY,35750.0,50.0,49.0,21450.0
U. of Redlands,CA,35390.0,39.0,28.0,21435.0
Carleton College,MN,36195.0,64.0,42.0,21146.0
Millersville U. of PA,PA,20314.0,37.0,25.0,20870.0
Bennington College,VT,39210.0,52.0,48.0,20705.0
Wofford University,SC,29361.0,2.0,2.0,20597.0
Willamette University,OR,33832.0,18.0,16.0,20416.0
Saint Mary's College,IN,31688.0,12.0,7.0,20395.0
Mount St. Mary's College,MD,30100.0,11.0,11.0,20250.0
Northwestern College,IO,22740.0,32.0,3.0,20238.0
Rider University,NJ,32010.0,97.0,,20121.0
Moravian College,PA,32123.0,30.0,27.0,19784.0
Cedar Crest College,PA,29370.0,14.0,12.0,19531.0
Hope College,MI,27315.0,37.0,18.0,19153.0
Washington University,MO,40783.0,281.0,131.0,19082.0
U. of the Incarnate Word,TX,23795.0,,47.0,19079.0
St. John's College,MD,38320.0,12.0,9.0,18888.0
Bard College,NY,40332.0,94.0,45.0,18888.0
Le Moyne College,NY,28100.0,13.0,7.0,18820.0
Assumption College,MA,31605.0,7.0,7.0,18458.0
Randolph-Macon Women's College,VA,31130.0,87.0,84.0,18438.0
Maharishi U. of Management,IO,33510.0,43.0,53.0,18157.0
University of Notre Dame,IN,36792.0,268.0,159.0,17933.0
University of Southern CA,CA,40154.0,1181.0,225.0,17757.0
Bucknell University,PA,39066.0,67.0,22.0,17624.0
Lawrence University,WI,32847.0,120.0,132.0,17503.0
St. Louis University,MO,43490.0,193.0,106.0,17380.0
Rollins College,FL,37798.0,67.0,25.0,17362.0
St. Anselm College,NH,31000.0,24.0,18.0,17173.0
Schreiner College,TX,23156.0,4.0,5.0,17163.0
Ohio Weslyan University,OH,34885.0,212.0,212.0,17054.0
John Brown University,AR,23836.0,123.0,56.0,17032.0
Scripps College,CA,37500.0,19.0,6.0,16850.0
Centenary Coll. Of LA,LA,26200.0,24.0,22.0,16838.0
College of Wooster,OH,33100.0,133.0,129.0,16836.0
Northeastern University,MA,38350.0,4.0,100.0,16833.0
Ithaca College,NY,33806.0,156.0,145.0,16720.0
Austin College,TX,26747.0,27.0,25.0,16712.0
Simpson College,IO,27050.0,31.0,30.0,16707.0
Lebanon Valley College of PA,PA,29570.0,7.0,7.0,16653.0
University of Miami,FL,37796.0,675.0,172.0,16651.0
St. Bonaventure University,NY,28075.0,25.0,25.0,16647.0
Lake Forest College,IL,31890.0,107.0,102.0,16424.0
Rockhurst University,MO,29928.0,34.0,13.0,16353.0
Roanoke College,VA,31093.0,20.0,9.0,16334.0
Milligan College,TN,22780.0,13.0,13.0,16272.0
Salem College,NC,27890.0,31.0,18.0,16221.0
Knox College,IL,31936.0,86.0,76.0,16144.0
American University,DC,36655.0,490.0,101.0,16111.0
St. Norbert College,WI,27760.0,45.0,38.0,16002.0
George Washington University,DC,41190.0,464.0,122.0,15990.0
Agnes Scott College,GA,31780.0,44.0,43.0,15832.0
College of St. Elizabeth,NJ,29530.0,41.0,17.0,15817.0
Virginia Intermont College,VA,25343.0,,2.0,15812.0
Linfield College,OR,29695.0,37.0,35.0,15771.0
Wilson College,PA,25312.0,28.0,27.0,15702.0
Earlham College,IN,33626.0,55.0,55.0,15656.0
Bluffton College,OH,24890.0,20.0,20.0,15624.0
Southern Methodist University,TX,33184.0,284.0,140.0,15577.0
St. John's University,MN,28172.0,55.0,55.0,15457.0
Millsaps College,MS,27332.0,8.0,8.0,15332.0
Hood College,MD,30695.0,41.0,37.0,15174.0
Eastern Michigan University,MI,21257.0,358.0,69.0,15049.0
Alma College,MI,29974.0,11.0,11.0,15000.0
Hillsdale College,MI,25150.0,18.0,10.0,15000.0
Immaculata University,PA,29000.0,35.0,2.0,15000.0
Hofstra University,NY,27812.0,219.0,50.0,14993.0
Canisius College,NY,30309.0,94.0,99.0,14914.0
Denison University,OH,35250.0,105.0,95.0,14815.0
Berry College,GA,24866.0,37.0,30.0,14775.0
Erskine College,SC,24981.0,6.0,8.0,14601.0
U. of Colorado-Boulder,CO,31493.0,344.0,42.0,14433.0
Illinois Wesleyan University,IL,32110.0,44.0,44.0,14425.0
Coe College,IO,31785.0,40.0,30.0,14378.0
Juilliard School,NY,31250.0,114.0,107.0,14376.0
University of Hartford,CT,37000.0,155.0,76.0,14362.0
Converse College,SC,26860.0,8.0,13.0,14349.0
Jacksonville University,FL,26040.0,71.0,54.0,14256.0
Hollins University,VA,32565.0,24.0,17.0,14246.0
McDaniel College,MD,30110.0,52.0,50.0,14165.0
Cabrini College,PA,32470.0,21.0,3.0,14163.0
Boston Conservatory,MA,36655.0,2.0,2.0,14126.0
Ursinus College,PA,36150.0,34.0,34.0,13987.0
Polytechnic University,NY,37309.0,113.0,90.0,13935.0
Whittier College,CA,35390.0,63.0,18.0,13868.0
Art Institute of Seattle,WA,28160.0,200.0,1.0,13779.0
Northwest Nazarene University,ID,22760.0,5.0,5.0,13757.0
Long Island U.-Southhampton,NY,27280.0,41.0,28.0,13714.0
Tulane University,LA,40301.0,241.0,88.0,13704.0
West Virginia Wesleyan College,WV,27015.0,48.0,45.0,13700.0
Covenant College,GA,25490.0,13.0,12.0,13641.0
St. Michael's College,VT,31619.0,46.0,13.0,13553.0
Guilford College,NC,27235.0,38.0,31.0,13414.0
Clark University,MA,33815.0,152.0,83.0,13403.0
Seattle Pacific University,WA,28650.0,43.0,4.0,13385.0
New England College,NH,30560.0,50.0,35.0,13289.0
Manchester College,IN,27890.0,,83.0,13201.0
Catawbe College,NC,25250.0,27.0,13.0,13199.0
Briar Cliff University,IO,24420.0,4.0,4.0,13180.0
Augsburg College,MN,27268.0,38.0,37.0,13146.0
Marywood University,PA,29334.0,25.0,21.0,13142.0
Randolph-Macon College,VA,28690.0,10.0,10.0,13021.0
Mercyhurst College,PA,27944.0,86.0,60.0,13006.0
Hendrix College,AR,23930.0,10.0,5.0,12975.0
Virginia Commonwealth U.,VA,25522.0,206.0,92.0,12958.0
Gonzaga University,WA,30595.0,58.0,38.0,12932.0
Wesleyan College,GA,19970.0,28.0,112.0,12877.0
Cottey College,MO,18500.0,26.0,20.0,12850.0
University of St. Francis,IL,24500.0,4.0,4.0,12837.0
Keuka College,NY,26420.0,7.0,3.0,12833.0
Taylor University-Ft. Wayne,IN,22784.0,32.0,4.0,12820.0
Oglethorpe University,GA,29720.0,57.0,33.0,12729.0
Westminister College,MO,21605.0,40.0,39.0,12677.0
Messiah College,PA,28310.0,70.0,66.0,12668.0
Lyon College,AR,20995.0,31.0,21.0,12649.0
Northwestern College,MN,27050.0,7.0,11.0,12563.0
Whitworth College,WA,30647.0,34.0,25.0,12537.0
Bridgewater College,VA,27400.0,8.0,8.0,12535.0
Beloit College,WI,31234.0,97.0,80.0,12459.0
Alleghany College,PA,31980.0,15.0,15.0,12443.0
Monmouth University,NJ,28946.0,12.0,10.0,12411.0
New England Csv of Music,MA,38016.0,66.0,46.0,12387.0
University of Denver,CO,33528.0,200.0,117.0,12341.0
The Citadel,SC,16113.0,59.0,17.0,12336.0
Sterling College,KS,19365.0,14.0,9.0,12299.0
Gustavus Adolphus College,MN,26236.0,35.0,30.0,12299.0
Worcester Polytechnic Institute,MA,39196.0,131.0,61.0,12291.0
LaGrange College,GA,23300.0,33.0,5.0,12142.0
Sweet Briar College,VA,29890.0,13.0,10.0,12107.0
Newberry College,SC,25406.0,15.0,7.0,12104.0
Duquesne University,PA,28607.0,145.0,89.0,12067.0
William Woods University,MO,26470.0,38.0,15.0,12059.0
Bryant College,RI,33104.0,111.0,27.0,12058.0
Fordham University,NY,38331.0,92.0,19.0,12047.0
Elizabethtown College,PA,30100.0,63.0,63.0,12029.0
Rhodes College,TN,31640.0,23.0,8.0,12020.0
Olivet Nazerene University,IL,22480.0,23.0,15.0,12000.0
Neumann College,PA,27390.0,8.0,5.0,12000.0
University of Maine-Orona,ME,23106.0,157.0,40.0,11976.0
Univ. of VA- College at Wise,VA,20972.0,,5.0,11958.0
Viterbo University,WI,24560.0,18.0,16.0,11955.0
Graceland University,IO,23575.0,103.0,101.0,11854.0
Iona College,NY,30490.0,14.0,14.0,11818.0
University of Saint Thomas,MN,26918.0,49.0,44.0,11774.0
Carroll College,WI,30708.0,68.0,36.0,11745.0
Houghton College,NY,25984.0,59.0,54.0,11677.0
St. Olaf College,MN,30050.0,39.0,26.0,11642.0
Curtis Institute of Music,PA,13000.0,45.0,23.0,11634.0
Stetson University,FL,31915.0,65.0,57.0,11626.0
Seton Hill College,PA,28430.0,21.0,15.0,11605.0
Union College,KY,19280.0,26.0,24.0,11544.0
Lees-McRae College,NC,22834.0,35.0,40.0,11539.0
Shorter College,GA,20205.0,31.0,31.0,11452.0
Gardner-Webb University,NC,21400.0,31.0,31.0,11405.0
Hardin-Simmons University,TX,20163.0,3.0,1.0,11369.0
University of the Ozarks,AR,20239.0,118.0,118.0,11333.0
St. Mary's University,TX,25721.0,106.0,86.0,11332.0
Calvin College,MI,24840.0,322.0,320.0,11250.0
Rocky Mountain College,MT,21227.0,40.0,37.0,11223.0
U. of VA College-Wise,VA,19485.0,14.0,5.0,11223.0
Lewis & Clark College,OR,35316.0,89.0,57.0,11219.0
St. John's University,NY,33430.0,424.0,188.0,11181.0
Lambuth University,TN,20328.0,24.0,9.0,11158.0
Hamline University,MN,29333.0,55.0,54.0,11154.0
Cumberland College,KY,17884.0,25.0,25.0,11032.0
Monmouth College,IL,25450.0,24.0,36.0,11000.0
Cleveland Institute of Art,OH,33541.0,24.0,10.0,10881.0
U. of Wisconsin-Green Bay,WI,21461.0,54.0,37.0,10749.0
Valparaiso University,IN,27788.0,73.0,18.0,10725.0
Wabash College,IN,29432.0,27.0,18.0,10725.0
College of the Ozarks,MO,3350.0,,42.0,10600.0
Ramapo College of NJ,NJ,20699.0,178.0,65.0,10593.0
Manhatton School of Music,NY,34860.0,121.0,52.0,10574.0
Colby Sawyer College,NH,32320.0,17.0,10.0,10545.0
Miami University-Oxford,OH,28145.0,100.0,24.0,10470.0
U. of CA-Los Angeles,CA,27699.0,702.0,95.0,10461.0
Transylvania University,KY,25780.0,3.0,3.0,10420.0
Georgian Court College,NJ,25932.0,17.0,16.0,10368.0
Georgetown College,KY,23650.0,26.0,7.0,10357.0
Bethune-Cookman College,FL,20120.0,173.0,76.0,10353.0
Clarkson University,NY,34743.0,91.0,61.0,10344.0
Coker College,SC,23261.0,8.0,13.0,10331.0
Wayland Baptist University,TX,14320.0,9.0,8.0,10328.0
Salem International University,WV,21070.0,172.0,37.0,10322.0
Augustana College,IL,26392.0,7.0,7.0,10297.0
Spring Hill College,AL,28948.0,21.0,8.0,10294.0
Gordon College,MA,29182.0,34.0,34.0,10284.0
Marquette University,WI,30116.0,143.0,87.0,10266.0
Juniata College,PA,29750.0,43.0,37.0,10245.0
Baker University,KS,24000.0,8.0,7.0,10240.0
Wilmington College,OH,25872.0,7.0,8.0,10096.0
Iowa State University,IO,24052.0,914.0,235.0,10087.0
Malone College,OH,22775.0,12.0,11.0,10070.0
Shippensburg U. of PA,PA,20378.0,39.0,32.0,10054.0
California Institute of the Arts,CA,33995.0,70.0,47.0,10013.0
St. Joseph's University,PA,27810.0,53.0,22.0,10000.0
Roberts Wesleyan University,NY,25532.0,54.0,41.0,9994.0
Sierra Nevada College,NV,26806.0,10.0,10.0,9982.0
U. of Wisconsin-Superior,WI,21342.0,141.0,137.0,9967.0
Barry University,FL,27759.0,293.0,192.0,9961.0
Taylor University,IN,26020.0,,30.0,9951.0
Greensboro College,NC,23750.0,12.0,7.0,9934.0
University of Charleston,WV,25830.0,55.0,28.0,9855.0
Drake University,IO,28335.0,141.0,132.0,9848.0
U. of Pittsburgh-Bradford,PA,27006.0,5.0,5.0,9816.0
St. Ambrose University,IO,24680.0,12.0,10.0,9811.0
Mercer University,GA,29381.0,201.0,103.0,9795.0
Naropa University,CO,27560.0,17.0,15.0,9746.0
Averett University,VA,25210.0,26.0,25.0,9746.0
Jarvis Christian College,TX,15420.0,10.0,10.0,9725.0
Dana College,NE,24380.0,6.0,2.0,9700.0
University of Akron,OH,23593.0,152.0,72.0,9696.0
Cleveland State University,OH,21628.0,196.0,47.0,9673.0
DeSales University,PA,28070.0,3.0,3.0,9666.0
Emmanuel College,MA,30430.0,73.0,33.0,9610.0
E. Stroudsburg U. of PA,PA,18752.0,33.0,29.0,9610.0
Southern Wesleyan University,SC,21540.0,11.0,11.0,9570.0
University of St. Thomas,TX,26076.0,59.0,10.0,9567.0
Ursuline College,OH,25188.0,9.0,8.0,9530.0
Luther College,IO,29015.0,149.0,143.0,9502.0
Towson University,MD,24662.0,326.0,63.0,9486.0
Mannes College of Music,NY,37868.0,54.0,35.0,9486.0
University of La Verne,CA,34954.0,23.0,2.0,9485.0
William Jewel College,MO,24570.0,20.0,,9456.0
Christian Brother University,TN,26961.0,55.0,45.0,9396.0
Texas Christian University,TX,26650.0,272.0,217.0,9331.0
Illinois Institue of Technology,IL,30813.0,314.0,291.0,9254.0
Mount Marty College,SD,21052.0,5.0,4.0,9244.0
St. Martin's College,WA,27126.0,53.0,5.0,9200.0
Nichols College,MA,30033.0,7.0,5.0,9185.0
Franciscan University,IO,20520.0,16.0,14.0,9168.0
Point Park College,PA,23040.0,,11.0,9135.0
Rice University,TX,30009.0,86.0,35.0,9111.0
Barton College,NC,23334.0,25.0,23.0,9090.0
Loras College,IO,26428.0,23.0,10.0,9081.0
North Park University,IL,30155.0,92.0,50.0,9068.0
Lourdes College,OH,25240.0,1.0,2.0,9041.0
Loyola University,LA,32210.0,135.0,44.0,8976.0
Adelphi University,NY,29500.0,123.0,80.0,8974.0
Cornerstone University,MI,24645.0,12.0,16.0,8973.0
Culver-Stockton College,MO,21396.0,11.0,6.0,8968.0
Mount Olive College,NC,16760.0,,9.0,8918.0
Drexel University,PA,34015.0,594.0,375.0,8886.0
University of Arkansas,AR,17955.0,335.0,221.0,8871.0
Marion College of Fond du Lac,WI,23055.0,29.0,25.0,8870.0
Alabama State University,AL,13910.0,16.0,13.0,8840.0
Marietta College,OH,28440.0,57.0,15.0,8813.0
Maryville College,TN,31990.0,28.0,25.0,8806.0
University of Portland,OR,30640.0,63.0,42.0,8792.0
Dominican College of Blauvelt,NY,29010.0,,4.0,8750.0
Otterbein College,OH,28333.0,46.0,5.0,8750.0
Massachusetts Maritime Academy,MA,21943.0,,3.0,8738.0
Bethel College,KS,24000.0,14.0,13.0,8710.0
Harding University,AR,17716.0,241.0,175.0,8691.0
School of Visual Arts,NY,32330.0,360.0,16.0,8665.0
Queens University of Charlotte,NC,20450.0,50.0,17.0,8660.0
St. Mary's University of MN,MN,23140.0,40.0,5.0,8600.0
Eugene Lang Coll/New School U,NY,34940.0,16.0,14.0,8575.0
Huntingdon College,AL,22445.0,14.0,14.0,8544.0
Chestnut Hill College,PA,29775.0,6.0,4.0,8518.0
Northland College,WI,26050.0,17.0,47.0,8517.0
Missouri Baptist University,MO,25230.0,109.0,30.0,8513.0
Tabor College,KS,23620.0,7.0,7.0,8472.0
North Central College,IL,28191.0,34.0,28.0,8430.0
New York University,NY,40855.0,807.0,20.0,8400.0
Concorida College-Moorhead,MN,23020.0,154.0,146.0,8373.0
Marymount College,CA,27070.0,151.0,6.0,8333.0
University of Rochester,NY,38238.0,157.0,85.0,8329.0
Montreat College,NC,22063.0,10.0,12.0,8310.0
NC State University,NC,24355.0,224.0,12.0,8302.0
Brevard College,NC,21690.0,16.0,10.0,8273.0
Kalamzoo College,MI,32148.0,2.0,2.0,8250.0
Hannibal-LaGrange College,MO,16890.0,7.0,13.0,8250.0
Millikin University,IL,27332.0,13.0,13.0,8157.0
Bluefield College,VA,17475.0,15.0,15.0,8136.0
Judson College,IL,24250.0,36.0,46.0,8135.0
Rowan University,NJ,20354.0,,181.0,8132.0
Adrian College,MI,23925.0,16.0,16.0,8087.0
University of Maine-Farmington,ME,19993.0,30.0,16.0,8078.0
Bay Path College,MA,25150.0,26.0,24.0,8062.0
Newman University,KS,22882.0,42.0,40.0,8039.0
Grand View College,IO,22948.0,25.0,22.0,8037.0
Florida Institute of Technology,FL,32740.0,487.0,222.0,8034.0
Rogers State University,OK,16026.0,34.0,13.0,8006.0
Sacred Heart University,CT,30530.0,43.0,10.0,8000.0
Mid-Continent College,KY,18100.0,,20.0,8000.0
George Fox University,OR,28160.0,49.0,25.0,8000.0
Southwestern College,KS,20913.0,29.0,30.0,7986.0
Warner Southern College,FL,19540.0,27.0,36.0,7958.0
Fresno Pacific University,CA,26622.0,37.0,34.0,7907.0
University of Evansville,IN,27056.0,153.0,76.0,7899.0
Trinity International University,IL,25920.0,14.0,14.0,7882.0
U. of N. Carolina-Asheville,NC,19546.0,23.0,18.0,7865.0
Western Michigan University,MI,22610.0,880.0,197.0,7862.0
Concordia University-WI,WI,24180.0,33.0,6.0,7855.0
McMurry University,TX,20641.0,13.0,7.0,7767.0
Crichton College,TN,19250.0,,5.0,7717.0
St. Luke's College,IO,18047.0,1.0,1.0,7672.0
Columbia College,MO,18632.0,55.0,40.0,7587.0
Concordia College,NY,28940.0,58.0,30.0,7562.0
Tiffin University,OH,22050.0,,23.0,7555.0
Bryan College,TN,21000.0,9.0,10.0,7550.0
College of Visual Arts,MN,25126.0,1.0,3.0,7549.0
James Madison University,VA,22920.0,175.0,55.0,7526.0
New Mexico Inst. of Mining/Tech,NM,19024.0,31.0,9.0,7513.0
Waldorf College,IO,21432.0,39.0,44.0,7508.0
Blessing-Reiman Coll of Nursing,IL,5045.0,,2.0,7500.0
Bethany College,KS,20360.0,15.0,11.0,7485.0
Southwest Texas State U.,TX,19986.0,198.0,92.0,7417.0
Colorado Christian University,CO,23200.0,12.0,10.0,7405.0
Trinity University,TX,29168.0,33.0,5.0,7400.0
Lakeland College,WI,21715.0,149.0,96.0,7395.0
McKendree College,IL,28455.0,26.0,21.0,7292.0
Pine Manor College,MA,23998.0,47.0,17.0,7235.0
Wartburg College,IO,26530.0,62.0,64.0,7216.0
U. of Southern Mississippi,MS,15969.0,131.0,70.0,7200.0
Warren Wilson College,NC,24044.0,33.0,30.0,7195.0
NC A&T State University,NC,21113.0,65.0,36.0,7175.0
Old Dominion University,VA,23096.0,337.0,50.0,7175.0
King's College,PA,29790.0,9.0,6.0,7143.0
Lee University,TN,16734.0,118.0,85.0,7075.0
Michigan Technological Univ.,MI,21235.0,331.0,147.0,7051.0
Mount Mercy College,IO,24856.0,2.0,2.0,7050.0
Greenville College,IL,24342.0,18.0,18.0,7044.0
Louisiana State University,LA,17225.0,596.0,483.0,7043.0
Maine College of Art,ME,30488.0,3.0,3.0,7016.0
College of Santa Fe,NM,27783.0,3.0,2.0,7000.0
Walsh University,OH,20990.0,18.0,12.0,7000.0
Prarie View A&M University,TX,20808.0,80.0,10.0,7000.0
Northern Arizona University,AZ,21404.0,241.0,122.0,6994.0
Carson-Newman College,TN,21820.0,39.0,28.0,6973.0
Portland State University,OR,24611.0,,7.0,6939.0
Coastal Carolina University,SC,21962.0,144.0,96.0,6917.0
Abilene Christian University,TX,21885.0,144.0,143.0,6898.0
Radford University,VA,19512.0,95.0,45.0,6879.0
Dominican University,IL,27300.0,23.0,16.0,6851.0
Emory & Henry College,VA,23350.0,7.0,7.0,6850.0
Hampton University,VA,22095.0,23.0,19.0,6841.0
Cardinal Stritch University,WI,20620.0,36.0,20.0,6784.0
Western Oregon University,OR,21250.0,72.0,21.0,6775.0
University of Dallas,TX,28356.0,23.0,20.0,6768.0
University of Kentucky,KY,16885.0,256.0,115.0,6675.0
University of Texas-Austin,TX,19889.0,1345.0,900.0,6666.0
SUNY-College at Potsdam,NY,20810.0,68.0,66.0,6598.0
Winthrop University,SC,18002.0,96.0,87.0,6576.0
Xavier University,OH,29290.0,50.0,12.0,6552.0
Our Lady of the Lake University,TX,23081.0,22.0,20.0,6548.0
University of Maine-Machias,ME,18355.0,46.0,30.0,6459.0
Faith Baptist Bible College,IO,16718.0,2.0,2.0,6438.0
Georgia Southern U.,GA,17758.0,162.0,132.0,6427.0
Northwood University,FL,23842.0,162.0,114.0,6424.0
Trinity Christian College,IL,24812.0,20.0,20.0,6414.0
U. of Wisconsin-Eau Claire,WI,21261.0,111.0,64.0,6402.0
Kutztown University of PA,PA,19277.0,76.0,72.0,6398.0
Wells College,NY,22322.0,10.0,6.0,6333.0
Shepherd College,WV,16267.0,39.0,30.0,6305.0
University of Dayton,OH,28410.0,47.0,21.0,6285.0
Emerson College,MA,34186.0,133.0,22.0,6258.0
Grove City College,PA,26550.0,22.0,11.0,6211.0
Arizona State University,AZ,23260.0,1203.0,526.0,6202.0
Milwaukee School of Engineering,WI,32764.0,,28.0,6178.0
College of Notre Dame,MD,28675.0,32.0,8.0,6128.0
Florida Gulf Coast University,FL,18677.0,37.0,10.0,6098.0
King College,TN,28175.0,39.0,18.0,6054.0
Montana State U-Bozeman,MT,17820.0,18.0,20.0,6028.0
St. Augustine's College,NC,18530.0,119.0,102.0,6026.0
U. of Northern Iowa,IO,20526.0,209.0,66.0,6004.0
Fisk University,TN,21968.0,37.0,15.0,6000.0
Concordia U-St Paul,MN,26236.0,6.0,2.0,5980.0
Texas A&M University,TX,21256.0,464.0,245.0,5894.0
Campbellsville University,KY,19360.0,69.0,65.0,5886.0
University of Nevada-Reno,NV,22646.0,355.0,87.0,5868.0
Berkeley College,NY,24435.0,31.0,2.0,5865.0
Philadelphia Biblical University,PA,21045.0,32.0,23.0,5862.0
Clarke College,IO,26673.0,23.0,12.0,5833.0
Babson College,MA,39460.0,327.0,24.0,5833.0
Oakton Community College,IL,16688.0,,2.0,5831.0
Albright College,PA,32579.0,79.0,12.0,5808.0
Michigan State University,MI,24307.0,850.0,181.0,5757.0
Marymount University,VA,27538.0,226.0,41.0,5757.0
Cornell College,IO,29885.0,9.0,9.0,5745.0
Suffolk University,MA,32882.0,490.0,135.0,5692.0
College of the Southwest,NM,17652.0,9.0,9.0,5635.0
Buena Vista University,IO,26906.0,10.0,4.0,5625.0
Muskingham College,OH,24080.0,37.0,25.0,5600.0
University of Alabama-Huntsville,AL,15140.0,172.0,15.0,5589.0
Pace University,NY,31572.0,941.0,173.0,5568.0
Creighton University,NE,29623.0,68.0,19.0,5546.0
Sheridan College,WY,10086.0,10.0,7.0,5542.0
Jamestown College,ND,16400.0,36.0,35.0,5536.0
Florida Atlantic University,FL,21077.0,1088.0,261.0,5526.0
Paier College of Art,CT,15665.0,,3.0,5500.0
Art Institute of Atlanta,GA,26868.0,84.0,3.0,5480.0
Augustana College,SD,23948.0,32.0,31.0,5455.0
Baltimore International College,MD,28335.0,6.0,6.0,5420.0
Webber International University,FL,23632.0,97.0,77.0,5419.0
Franklin College,IN,24795.0,6.0,5.0,5400.0
Kansas City Art Institute,MO,32350.0,8.0,5.0,5400.0
SUNY-Binghamton,NY,20226.0,280.0,26.0,5394.0
Central Michigan University,MI,21480.0,158.0,74.0,5382.0
Mount Mary College,WI,29749.0,6.0,4.0,5373.0
St. Thomas University,FL,26200.0,177.0,123.0,5362.0
St. Xavier University,IL,14360.0,16.0,7.0,5321.0
Eastern Mennonite University,VA,24490.0,37.0,36.0,5289.0
