"PSB - PS Business Parks, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets %,4.6,5.5,4.3,5.0,3.5999999999999996,4.5,5.1,4.3999999999999995,4.5,4.8,4.9,5.3,4.3999999999999995,4.1000000000000005,4.6,6.0,,5.2,5.2,4.8,4.8,4.8,5.2,4.8,7.6,4.8,5.2,4.8,4.3999999999999995,5.6000000000000005,4.8,4.8,4.8,3.5999999999999996,6.0,4.0,3.2,3.5999999999999996,3.5999999999999996,3.2,7.6,5.2,4.3999999999999995,7.199999999999999,4.3999999999999995,4.3999999999999995,4.3999999999999995,4.0,4.8,4.8,4.3999999999999995,4.3999999999999995,4.3999999999999995,4.3999999999999995,4.8,4.8,4.8,4.8,-0.8,4.8,5.6000000000000005,6.0,6.0,5.2,5.2,6.800000000000001,5.2,6.4,3.5999999999999996,4.0,4.3999999999999995,4.0,4.3999999999999995,4.3999999999999995,4.3999999999999995,4.3999999999999995,6.0
Return on Capital  - Joel Greenblatt %,7.6,6.9,0.0,7.000000000000001,0.0,5.7,5.8999999999999995,0.0,5.6000000000000005,6.3,7.199999999999999,6.3,5.0,5.5,6.0,7.6,,0.0,0.0,0.0,0.0,8.4,0.0,8.799999999999999,2.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.4,6.800000000000001,0.0,5.6000000000000005,5.6000000000000005,5.6000000000000005,6.0,5.6000000000000005,6.4,6.0,5.6000000000000005,6.0,5.6000000000000005,5.6000000000000005,0.0,6.0,5.2,5.6000000000000005,5.6000000000000005,5.6000000000000005,6.0,6.4,6.800000000000001,6.4,6.800000000000001,7.199999999999999,8.0,6.800000000000001,7.6,6.800000000000001,6.4,6.4,6.800000000000001,7.6,4.3999999999999995,5.2,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,6.0,6.0,7.6
Debt to Equity,0.067,0.055,0.275,0.106,0.0,0.011,0.024,0.064,0.053,0.053,0.044,0.121,0.608,0.324,0.146,0.146,,0.137,0.084,0.083,0.067,0.057,0.056,0.056,0.055,0.055,0.049,0.05,0.275,0.272,0.133,0.117,0.106,0.107,0.105,0.104,0.0,0.102,0.021,0.043,0.011,0.011,0.01,0.01,0.024,0.024,0.04,0.039,0.064,0.052,0.052,0.051,0.053,0.053,0.053,0.106,0.053,0.05,0.05,0.087,0.044,0.043,0.045,0.089,0.121,0.141,0.151,0.164,0.608,0.515,0.386,0.333,0.324,0.219,0.219,0.219,0.146
Gross Margin %,72.8,0.0,0.0,73.2,72.39999999999999,70.19999999999999,70.19999999999999,69.3,68.89999999999999,69.1,68.4,67.7,66.5,67.10000000000001,68.10000000000001,71.3,,0.0,0.0,0.0,0.0,73.3,0.0,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7,74.8,72.6,70.39999999999999,70.0,70.5,70.1,70.5,70.6,70.1,70.5,69.5,69.5,69.3,68.89999999999999,69.19999999999999,68.7,68.8,69.1,69.0,68.0,68.89999999999999,68.5,70.89999999999999,67.60000000000001,68.5,68.2,69.1,65.9,69.1,67.5,68.30000000000001,65.10000000000001,67.0,67.7,66.10000000000001,66.9,67.7,66.4,67.60000000000001,66.7,67.4,66.8,71.3
Operating Margin %,47.199999999999996,45.7,46.400000000000006,41.9,39.900000000000006,35.0,32.9,30.8,29.7,31.0,35.0,36.0,35.199999999999996,33.1,36.4,42.9,,0.0,0.0,0.0,0.0,47.5,0.0,47.199999999999996,35.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,44.7,39.7,34.0,35.6,35.4,34.5,34.9,33.7,34.4,32.5,31.0,31.8,30.8,30.2,30.599999999999998,33.0,28.799999999999997,29.2,28.1,28.9,30.4,31.3,33.300000000000004,32.2,33.7,35.9,38.3,34.8,39.0,34.699999999999996,35.3,34.8,35.9,38.0,31.8,32.1,33.2,33.0,33.900000000000006,33.5,34.5,34.2,42.9
Net Margin %,32.1,39.300000000000004,33.900000000000006,31.5,26.3,29.4,34.2,26.6,25.3,24.9,28.4,30.8,31.6,25.7,28.7,35.0,,32.2,32.7,32.2,31.2,30.0,30.2,29.799999999999997,96.7,28.999999999999996,31.2,29.599999999999998,52.6,34.5,27.6,28.799999999999997,35.699999999999996,19.6,32.800000000000004,24.2,25.1,22.3,23.599999999999998,21.3,48.6,31.7,29.7,46.6,28.9,27.700000000000003,28.1,23.799999999999997,26.900000000000002,28.499999999999996,24.5,24.8,23.599999999999998,23.599999999999998,24.6,25.3,25.900000000000002,24.2,-4.5,29.099999999999998,31.4,34.1,31.6,28.199999999999996,29.299999999999997,36.7,29.9,33.800000000000004,25.8,24.4,26.5,25.4,26.3,25.4,27.1,26.900000000000002,35.0
Total Equity to Total Asset,0.615,0.606,0.513,0.574,0.493,0.744,0.747,0.721,0.762,0.763,0.777,0.736,0.551,0.672,0.767,0.767,,0.676,0.702,0.609,0.615,0.618,0.615,0.607,0.606,0.608,0.627,0.586,0.513,0.53,0.575,0.582,0.574,0.574,0.574,0.575,0.493,0.587,0.66,0.717,0.744,0.747,0.762,0.767,0.747,0.745,0.736,0.766,0.721,0.765,0.767,0.766,0.762,0.762,0.762,0.76,0.763,0.762,0.762,0.774,0.777,0.778,0.778,0.776,0.736,0.748,0.742,0.732,0.551,0.584,0.64,0.628,0.672,0.73,0.731,0.727,0.767
LT Debt to Total Asset,0.041,0.033,0.141,0.061,0.0,0.008,0.018,0.046,0.04,0.0,0.034,0.089,0.335,0.218,0.112,0.112,,0.093,0.059,0.051,0.041,0.035,0.035,0.034,0.033,0.033,0.031,0.03,0.141,0.144,0.077,0.068,0.061,0.061,0.06,0.06,0.0,0.06,0.014,0.031,0.008,0.008,0.008,0.008,0.018,0.018,0.029,0.03,0.046,0.04,0.04,0.039,0.04,0.041,0.0,0.04,0.0,0.038,0.038,0.034,0.034,0.034,0.035,0.034,0.089,0.106,0.112,0.12,0.335,0.301,0.247,0.209,0.218,0.16,0.16,0.159,0.112
Asset Turnover,0.142,0.14,0.126,0.158,0.137,0.155,0.15,0.166,0.179,0.192,0.174,0.171,0.139,0.161,0.161,0.042,,0.04,0.04,0.037,0.039,0.04,0.042,0.042,0.019,0.043,0.041,0.042,0.021,0.039,0.043,0.042,0.033,0.043,0.045,0.042,0.031,0.04,0.037,0.039,0.04,0.039,0.038,0.038,0.038,0.041,0.04,0.043,0.043,0.042,0.043,0.044,0.046,0.047,0.048,0.048,0.047,0.05,0.048,0.043,0.043,0.043,0.046,0.046,0.044,0.046,0.045,0.048,0.035,0.04,0.041,0.038,0.042,0.042,0.041,0.042,0.042
Dividend Payout Ratio,0.575,0.45,0.501,0.436,0.51,0.407,0.334,0.383,0.501,0.514,0.556,0.509,0.451,0.48,0.458,0.361,,0.629,0.579,0.625,0.419,0.545,0.509,0.0,0.33,0.581,0.511,0.507,0.491,0.374,0.464,0.451,0.466,0.637,0.366,0.528,0.59,0.524,0.515,0.558,0.239,0.371,0.385,0.247,0.389,0.382,0.371,0.419,0.366,0.333,0.568,0.552,0.569,0.543,0.517,0.496,0.501,0.536,0.0,0.549,0.504,0.47,0.492,0.549,0.525,0.402,0.498,0.409,0.552,0.514,0.47,0.483,0.454,0.478,0.45,0.445,0.361
Days Sales Outstanding,17.78,0.0,0.0,0.0,0.0,0.0,0.0,35.37,32.49,30.68,32.12,33.48,3.92,5.0,5.32,,,0.0,0.0,0.0,16.36,15.9,18.91,18.23,0.0,19.71,20.1,19.69,0.0,22.06,24.63,25.16,0.0,26.13,22.94,25.52,0.0,30.36,30.83,29.09,0.0,33.04,33.97,34.71,0.0,34.8,33.63,34.52,34.11,35.31,31.99,31.78,31.4,33.13,30.36,30.36,0.0,0.0,0.0,32.47,32.12,4.45,3.21,33.05,32.75,5.6,4.0,3.92,3.89,4.41,5.74,4.61,4.84,6.46,4.96,4.64,5.1
Days Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory Turnover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGS to Revenue,0.27,0.0,0.0,0.27,0.28,0.3,0.3,0.31,0.31,0.31,0.32,0.32,0.34,0.33,0.32,0.29,,0.0,0.0,0.0,0.0,0.27,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.25,0.27,0.3,0.3,0.29,0.3,0.29,0.29,0.3,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.31,0.32,0.29,0.32,0.31,0.32,0.31,0.34,0.31,0.33,0.32,0.35,0.33,0.32,0.34,0.33,0.32,0.34,0.32,0.33,0.33,0.33,0.29
Inventory to Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,128.613,130.396,147.139,182.599,186.913,211.561,220.183,242.839,271.499,281.843,271.655,276.948,298.141,347.197,359.885,359.885,,29.2,31.2,33.281,34.833,35.864,38.088,38.485,18.056,39.49,41.082,43.367,24.184,48.36,48.785,48.067,37.602,49.607,51.588,48.897,42.236,53.765,52.008,53.162,54.541,53.908,55.533,54.799,55.943,58.903,59.305,61.842,62.789,65.307,67.457,68.707,70.028,70.306,70.623,71.642,69.272,69.309,67.548,67.057,67.741,67.305,69.595,69.938,70.594,73.69,73.139,76.633,74.73,84.843,85.791,87.179,89.384,88.278,88.087,89.934,93.586
Cost of Goods Sold,34.985,0.0,0.0,48.967,51.536,62.994,65.712,74.671,84.36,87.182,85.912,89.348,99.917,114.108,114.831,114.83099999999999,,0.0,0.0,0.0,0.0,9.577,0.0,9.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.519,12.986,13.403,12.498,16.116,15.335,15.891,16.067,15.87,16.623,16.182,17.037,17.946,18.195,19.213,19.317,20.439,21.022,21.204,21.695,22.49,21.939,22.591,20.162,22.436,21.251,21.32,20.905,22.966,21.476,22.743,22.388,25.708,24.156,24.778,25.328,28.115,27.717,29.294,28.982,29.384,28.72,29.901,26.826
Gross Profit,93.628,0.0,0.0,133.632,135.377,148.567,154.471,168.168,187.139,194.661,185.743,187.6,198.224,233.089,245.054,245.05399999999997,,0.0,0.0,0.0,0.0,26.287,0.0,28.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.088,38.602,35.494,29.738,37.649,36.673,37.271,38.474,38.038,38.91,38.617,38.906,40.957,41.11,42.629,43.472,44.868,46.435,47.503,48.333,47.816,48.684,49.051,49.11,46.873,46.297,45.737,46.836,44.339,48.119,47.195,48.206,47.982,48.983,51.855,49.402,56.728,58.074,57.885,60.402,58.894,59.367,60.033,66.76
"Selling, General,  &Admin. Expense",3.153,4.298,4.892,5.125,0.0,0.0,5.843,7.046,7.917,8.099,6.202,9.651,9.036,8.919,5.312,5.311999999999999,,0.0,0.0,0.0,0.0,0.883,0.0,0.995,1.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.054,1.399,1.055,0.0,1.091,1.004,1.154,0.0,1.438,1.326,1.499,1.58,1.65,1.872,1.742,1.782,1.702,2.112,2.124,1.979,2.046,2.085,1.95,2.018,1.976,1.538,1.413,1.275,2.749,2.4,1.831,2.671,1.57,1.748,1.365,4.353,2.273,2.412,2.24,1.994,2.399,2.37,2.635,-2.092
Advertising,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Research &Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA,90.475,95.188,0.0,134.676,0.0,147.79000000000002,149.87,161.149,178.975,186.833,179.86,178.463,189.47899999999998,224.26600000000002,239.742,239.742,,6.7,7.3,7.6,29.762,25.403999999999996,8.898,36.521,15.358,9.646,9.733,10.679,0.0,13.978,14.312,14.595,15.258,35.034,37.232,34.807,0.0,37.038,36.751999999999995,37.117999999999995,37.792,37.19,38.182,37.145,37.352999999999994,39.333,39.239000000000004,40.887,41.69,43.105999999999995,44.260999999999996,45.317,46.291,45.707,46.534,47.035,47.557,44.96,44.818,44.388999999999996,45.693,41.521,45.754,45.397999999999996,45.937,46.456,47.248000000000005,50.472,45.277,54.51,55.703,55.644999999999996,58.408,56.495,56.997,57.397999999999996,68.852
"Depreciation, Depletion and Amortization",29.762,35.637,0.0,58.143,0.0,73.793,77.42,86.243,98.274,99.588,84.823,78.868,84.682,109.494,108.917,108.91700000000002,,6.7,7.3,7.6,29.762,8.376,8.898,18.347,8.914,9.646,9.733,10.679,0.0,13.978,14.312,14.595,15.258,13.685,14.17,15.383,0.0,17.884,18.33,18.802,18.777,19.016,19.084,19.318,20.002,20.612,20.951,22.184,22.496,21.58,24.854,25.223,26.617,25.384,25.055,24.637,24.512,22.677,22.029,20.335,19.782,18.121,18.595,21.127,21.025,20.798,21.001,21.364,21.519,27.299,27.239,26.884,28.072,26.961,26.629,26.597,28.73
Other Operating Charges,-29.761999999999993,63.849000000000004,73.214,-51.974000000000004,-60.86200000000001,-74.57000000000001,-76.17800000000001,-86.21600000000001,-98.52100000000002,-99.31700000000001,-84.50399999999999,-78.35399999999998,-84.39099999999999,-109.39799999999998,-108.917,-108.91700000000002,,0.0,0.0,0.0,0.0,-8.376000000000001,0.0,-9.448999999999998,7.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.684999999999999,-14.140999999999995,-15.015,-15.381,-17.404,-17.247000000000003,-17.801000000000005,-19.458999999999996,-18.425999999999995,-18.485999999999997,-19.290999999999993,-19.975,-20.586000000000002,-20.95,-22.184,-22.496,-21.640000000000004,-24.916,-25.284999999999997,-26.68,-25.447000000000003,-25.119999999999997,-24.703,-24.046999999999997,-22.613999999999997,-21.97,-20.270000000000007,-19.65,-18.189999999999998,-18.560000000000002,-21.092999999999996,-20.623000000000005,-20.753999999999998,-20.988,-21.381999999999994,-21.291,-27.244,-27.198,-26.883999999999997,-28.072000000000003,-26.961,-26.629,-26.597000000000005,-28.730000000000004
Operating Income,60.713,59.551,68.322,76.533,74.515,73.997,72.45,74.906,80.701,87.245,95.037,99.595,104.797,114.772,130.825,130.825,,0.0,0.0,0.0,0.0,17.028,0.0,18.174,6.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.349,23.062,19.424,14.357,19.154,18.422,18.316,19.015,18.174,19.098,17.827,17.351,18.721,18.288,18.703,19.194,21.526,19.407,20.094,19.674,20.323,21.479,22.398,23.045,22.283,22.789,24.054,25.911,23.4,27.159,24.271,24.912,25.658,26.247,29.108,23.758,27.211,28.464,28.761,30.336,29.534,30.368,30.801,40.122
Interest Income,2.356,4.076,0.0,0.959,1.125,0.406,4.888,6.874,5.104,1.457,0.536,0.333,0.221,0.241,1.485,1.485,,0.0,0.3,0.581,1.511,1.688,0.741,1.035,1.03,0.764,0.557,0.35,0.0,0.311,0.383,0.071,0.219,0.272,0.553,0.145,0.155,0.027,0.051,0.134,0.194,0.398,0.982,1.4,2.108,2.0,0.0,0.0,1.417,1.801,0.0,1.151,0.963,0.328,0.282,0.404,0.443,0.179,0.068,0.134,0.155,0.109,0.091,0.06,0.073,0.094,0.043,0.037,0.047,0.043,0.08,0.037,0.081,0.043,0.069,0.063,1.31
Interest Expense,-3.153,-1.481,-1.715,-5.324,-4.015,-3.054,-1.33,-2.575,-4.13,-3.952,-3.552,-3.534,-5.455,-20.618,-16.166,-16.166,,-0.9,-0.8,-1.0,-0.453,-0.374,-0.37,-0.502,-0.235,-0.237,-0.157,-0.538,-0.783,-1.551,-1.432,-1.115,-1.226,-1.002,-0.998,-1.013,-1.002,-1.266,-0.833,-0.513,-0.442,-0.282,-0.28,-0.304,-0.464,-0.513,-0.517,-0.628,-0.917,-1.107,-1.012,-1.009,-1.002,-0.993,-0.99,-0.988,-0.981,-0.93,-0.881,-0.875,-0.866,-0.855,-0.856,-0.875,-0.948,-1.215,-1.145,-1.261,-1.834,-5.348,-5.213,-5.172,-4.885,-4.588,-3.961,-4.017,-3.6
Other Income (Minority Interest),-16.11,-25.276,-25.44,32.17,-29.638,-24.785,-16.262,-16.268,-13.009,-15.303,-17.161,-16.697,-8.552,-6.293,-12.952,-12.952,,3.0,3.4,4.3,-26.81,5.911,6.12,6.36,-43.667,6.423,6.729,6.591,-45.183,8.844,7.643,7.768,7.914,0.0,0.0,0.0,0.0,6.344,6.244,-8.112,-4.313,-4.155,-4.509,-3.781,-3.817,-4.349,-3.878,-5.223,-2.818,-3.629,-3.046,-3.213,-3.121,-3.1,-3.391,-3.662,-5.15,-4.915,-4.281,-4.079,-4.109,-4.895,-4.501,-3.836,-3.467,2.389,-3.462,-4.696,-2.785,-1.148,-0.649,-1.557,-2.939,-2.566,-2.613,-2.696,-5.077
Pre-Tax Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.394,99.563,94.395,116.144,116.144,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.906,23.331,23.626,25.532,24.989,26.476,26.847,37.832
